,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6,vo600_cluster7,vo600_cluster8,vo600_cluster9,vo600_cluster10,vo600_cluster11
1965-01-01,8.716772e-06,-5.1114257e-06,8.788564e-06,1.13819115e-05,8.469942e-07,8.04376e-06,1.3140721e-05,6.69773e-06,-6.430535e-06,1.0646079e-05,2.0023414e-05
1965-02-01,5.019683e-06,-3.1551972e-06,1.0699921e-05,1.8013343e-05,2.785273e-06,7.882234e-06,5.8901132e-06,3.4852055e-06,-1.734234e-05,7.245115e-06,1.487261e-05
1965-03-01,9.488496e-06,6.2041872e-06,9.048796e-06,1.6532715e-05,8.277071e-06,8.671908e-06,1.3616314e-05,6.383656e-06,-3.1910895e-06,5.513226e-06,1.690063e-05
1965-04-01,2.2019958e-06,-1.2214878e-07,3.3326578e-06,1.2360026e-05,-2.491157e-06,5.2888863e-06,4.409485e-06,7.909155e-06,-2.518078e-06,4.5081906e-06,1.0798634e-05
1965-05-01,-3.0116207e-06,5.957336e-07,-3.908972e-06,1.5289843e-06,-4.590962e-06,-7.3906995e-06,8.851377e-06,5.6568024e-06,3.7185237e-06,5.2440228e-06,6.2849504e-06
1965-06-01,-5.528782e-07,-2.7244678e-06,-1.3963872e-06,-2.6167909e-06,-7.031762e-06,-3.0205993e-06,2.5340123e-06,3.072426e-06,8.016839e-06,7.3169067e-06,8.375777e-06
1965-07-01,7.648923e-06,4.4184562e-06,1.5384103e-05,1.0269192e-05,-7.5522257e-06,4.7145804e-06,8.205279e-06,-1.1348027e-05,1.3046447e-06,2.6596463e-06,7.1015384e-06
1965-08-01,3.808258e-06,4.624846e-06,6.769522e-06,2.337054e-05,-7.951603e-07,-4.510199e-06,8.528332e-06,-1.3066528e-06,1.5150792e-05,-5.2101386e-06,1.9327927e-06
1965-09-01,1.1013995e-05,2.30968e-06,9.546784e-07,1.356248e-05,-4.6806963e-06,1.1161974e-06,5.6029603e-06,3.0365336e-06,3.6018682e-06,7.12389e-07,-8.625648e-08
1965-10-01,8.788564e-06,1.422652e-05,-1.3963872e-06,9.416712e-06,1.2687451e-06,-1.2528108e-06,9.730778e-06,8.806506e-06,6.585469e-07,-5.066562e-06,1.995606e-06
1965-11-01,1.1516517e-05,5.7375655e-06,-4.810863e-07,1.6864731e-05,-2.76036e-06,8.200732e-07,1.2288234e-05,1.9597064e-06,-3.2180105e-06,1.2911187e-07,1.2709992e-05
1965-12-01,8.66293e-06,2.9288494e-06,3.8800426e-06,1.5061058e-05,-5.640868e-06,-1.5804108e-07,1.26741e-05,1.1947239e-05,-1.2887031e-06,1.6905033e-06,1.5110345e-06
1966-01-01,1.4832942e-05,1.0270731e-05,1.3499848e-06,1.0914329e-05,3.5822086e-06,2.0169096e-05,5.741109e-06,3.4355653e-06,-9.591171e-06,6.9794223e-06,1.8303479e-05
1966-02-01,9.806365e-06,-3.6521524e-06,6.246213e-06,1.7928725e-05,1.1671982e-05,-1.9820582e-06,1.083286e-05,3.1748677e-06,-2.7723e-06,-2.9189396e-06,7.1260656e-06
1966-03-01,9.86339e-06,-9.311225e-07,3.7940226e-06,1.9118159e-05,3.5984995e-06,-4.178728e-07,1.0873595e-05,-8.8223896e-07,-7.7825825e-06,-3.7254758e-06,1.4181196e-05
1966-04-01,1.0441814e-05,8.551757e-06,-8.659481e-07,6.596525e-06,-5.1022835e-06,5.0486306e-06,9.439758e-06,1.16801275e-05,3.9325205e-06,5.521146e-06,-1.0614713e-06
1966-05-01,8.323645e-06,8.0792415e-06,4.619833e-07,5.7003745e-06,-6.3324514e-06,3.940666e-06,3.4274162e-06,1.4368574e-05,6.6535504e-06,6.1728897e-06,5.4804113e-06
1966-06-01,-5.859936e-06,7.1830946e-06,8.9376044e-07,6.091421e-06,-7.4811505e-06,-3.0085575e-06,2.906021e-06,-2.9107941e-06,1.0686217e-05,7.060891e-06,-1.4707362e-05
1966-07-01,1.4490775e-05,1.2519249e-05,3.01193e-06,8.128121e-06,-6.3324514e-06,-1.3384633e-06,9.602692e-06,-6.1043393e-06,5.961072e-06,2.990455e-07,4.0139857e-06
1966-08-01,7.0445967e-06,6.4417363e-06,2.0098742e-06,9.708601e-06,-2.087967e-06,4.5516754e-06,1.7328821e-06,-4.7030917e-06,6.946837e-06,1.0392934e-05,4.6087043e-06
1966-09-01,-6.096194e-06,3.1667187e-06,1.4395991e-06,4.2013635e-06,3.5607445e-07,-3.7173268e-06,4.0058403e-06,2.3683351e-06,1.236446e-05,1.7654711e-06,-4.295751e-06
1966-10-01,4.9456867e-07,8.356234e-06,-4.409805e-06,-1.5717524e-07,-4.026908e-06,-1.9790969e-07,5.8633123e-06,8.486582e-06,1.1060973e-05,9.18204e-07,3.4437107e-06
1966-11-01,-8.0891914e-07,1.1623102e-05,3.1422787e-06,-1.1673801e-06,-4.35278e-06,5.064925e-06,2.2950117e-06,1.02381455e-05,-1.2081146e-06,1.2812536e-05,3.557765e-06
1966-12-01,9.032417e-06,-9.637079e-07,8.543611e-06,5.936632e-06,-4.7030917e-06,8.470288e-06,9.065006e-06,6.330629e-07,4.4783555e-06,6.946837e-06,4.9997507e-06
1967-01-01,1.4279425e-05,1.0509812e-05,5.713584e-06,7.349754e-06,1.7354396e-06,8.175863e-06,1.5843414e-05,3.6683668e-06,-6.9667512e-06,5.9942977e-06,6.964772e-06
1967-02-01,1.3709974e-05,2.4251967e-06,2.024175e-06,1.2859804e-05,4.1255335e-06,1.789665e-05,1.3292909e-05,1.0135991e-06,-5.097987e-06,1.4467041e-06,1.3825374e-06
1967-03-01,1.87789e-05,2.144483e-06,2.2006243e-06,1.1079264e-05,4.269903e-06,6.323138e-06,3.5641024e-06,3.588164e-06,-6.3010557e-06,8.280127e-06,7.710674e-06
1967-04-01,6.3792795e-06,-5.4990087e-06,5.5611927e-06,1.6749724e-05,-7.832961e-06,2.521443e-06,1.839704e-06,-1.6652339e-06,-6.373237e-06,2.705914e-06,1.7720198e-05
1967-05-01,-2.0181324e-06,9.443094e-06,-5.980237e-06,8.905721e-06,-2.4592591e-06,-9.421008e-06,-2.8923605e-06,-9.322321e-08,5.328602e-06,9.507257e-06,8.745312e-06
1967-06-01,-5.4589073e-06,1.7944772e-05,7.750776e-06,1.41912005e-05,-8.410432e-06,6.72416e-06,2.9866278e-06,-7.351733e-06,8.48866e-06,1.5354166e-05,9.098214e-06
1967-07-01,2.6497692e-06,1.4463896e-05,3.6282654e-06,5.705562e-06,-6.5496897e-06,-5.579215e-06,3.5560806e-06,3.1229756e-06,1.2242232e-05,1.5121574e-05,3.2272437e-06
1967-08-01,5.2323558e-06,-1.2241071e-06,-2.2155291e-07,1.1215612e-05,-7.5843272e-06,-1.6973136e-06,6.908631e-06,4.4383305e-06,1.4664407e-05,-1.4887846e-06,2.1605229e-06
1967-09-01,1.2242232e-05,5.5852543e-06,-4.9536175e-06,-5.5841156e-07,-4.592697e-06,7.729832e-07,9.964424e-06,1.5589903e-06,7.60641e-06,-1.8657447e-06,1.6525151e-05
1967-10-01,9.654759e-07,1.3918507e-05,1.1041266e-08,3.0507945e-06,-6.541668e-06,2.1957385e-07,1.1993598e-05,4.542595e-06,4.903519e-06,1.6043925e-05,1.6148191e-05
