,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9,sst_cluster10,sst_cluster11
1965-01-01,26.38092,28.109314,25.941315,27.687683,26.025665,21.915192,17.208008,18.062714,16.707031,16.030457,27.679718
1965-02-01,26.873901,28.507477,26.343506,27.724121,26.342499,21.816895,18.67044,18.825623,17.821716,16.517426,28.388245
1965-03-01,27.058502,28.702087,26.484192,27.847351,26.113983,22.556366,18.347626,18.215912,17.530334,16.599762,27.988068
1965-04-01,27.153809,29.306335,26.779083,28.439117,25.888428,21.01706,17.812225,17.022888,16.799347,15.568909,27.670746
1965-05-01,26.074554,28.850769,26.69278,28.544403,24.471893,20.038605,17.098236,15.681183,16.096313,14.1763,26.668304
1965-06-01,25.027222,28.893188,25.782654,27.947144,23.734924,18.454895,16.354279,14.4627075,14.617889,13.126495,25.715302
1965-07-01,24.234863,28.846283,24.581665,26.64087,23.2659,17.496399,15.315918,13.956268,13.434845,12.602081,25.006287
1965-08-01,22.865234,28.207123,24.201935,26.41983,22.861237,16.699066,15.748016,14.108429,12.953857,13.07608,24.695435
1965-09-01,22.530914,28.459076,24.396545,26.917786,22.903137,16.516418,15.83783,13.168884,12.996246,13.243256,24.62207
1965-10-01,23.620667,28.476044,24.399048,27.468658,23.14914,17.621643,15.619812,13.440338,13.329559,12.517242,25.31314
1965-11-01,23.955444,28.646698,23.881104,28.575348,24.30423,18.912445,16.502472,13.949768,14.212219,13.697784,26.401886
1965-12-01,25.785645,28.638214,24.784729,28.87973,25.454834,21.097412,17.993866,16.070862,16.449066,15.54245,27.42276
1966-01-01,26.723694,28.646576,25.400421,28.086304,26.939545,23.011078,18.802765,18.261139,17.277283,17.018585,27.72168
1966-02-01,27.300598,29.461517,26.105927,28.203796,27.522003,23.560272,19.51532,18.732147,18.075073,18.70694,28.537628
1966-03-01,26.895142,29.462524,26.58551,28.762543,26.497772,22.352997,19.901123,18.238953,17.763428,17.92276,28.249695
1966-04-01,26.664185,29.396454,26.432709,29.5654,26.08374,21.568298,18.6893,17.317108,17.140625,16.703888,28.27237
1966-05-01,25.429688,29.208862,26.096344,29.11203,25.505829,20.68277,17.45227,16.40738,15.57782,15.032166,27.301605
1966-06-01,24.68332,28.90982,25.326813,28.123627,24.206757,19.295471,16.733154,14.887421,14.334717,13.718475,26.20578
1966-07-01,23.85376,29.413086,24.810913,27.00409,23.683807,17.586914,16.670105,13.82135,13.578278,13.007935,25.0802
1966-08-01,22.758453,28.804413,24.664673,27.034851,23.366608,17.480011,15.706909,13.343292,12.996826,12.931274,24.638458
1966-09-01,22.884003,28.64505,23.969238,27.31018,23.169434,17.235931,15.270172,13.210144,12.854126,12.936829,24.984894
1966-10-01,23.16388,28.485199,24.49118,28.159912,23.03125,18.016571,15.448212,13.987274,12.486481,12.661987,25.803864
1966-11-01,24.242584,28.194733,24.978851,29.187683,23.9057,18.5708,16.437134,14.966095,14.417419,12.86673,26.556274
1966-12-01,25.955658,28.231018,25.458435,28.973358,25.227966,21.192108,17.153717,17.144135,15.87384,15.312042,27.65512
1967-01-01,27.03897,28.12326,26.148499,28.248962,26.652344,22.847076,18.332123,18.903564,16.630829,17.006958,28.245453
1967-02-01,27.1091,28.549469,26.921783,27.396057,27.312927,23.987946,19.053314,19.82309,17.498749,17.773224,28.74878
1967-03-01,27.18222,28.983673,27.038483,27.866852,27.19574,22.98581,19.272675,18.374207,16.945862,17.866364,28.6391
1967-04-01,26.059357,29.618713,26.89624,28.387207,26.442993,21.544434,18.215454,17.093597,16.492615,16.929321,28.25647
1967-05-01,24.607971,29.399872,26.406921,28.337616,25.500427,19.721436,17.87387,15.036713,16.267242,14.844391,27.090546
1967-06-01,23.543213,29.278656,25.85852,28.307556,24.451202,18.076202,16.725983,14.048065,14.941559,13.417023,25.60962
1967-07-01,22.435883,29.327728,24.84134,27.08255,23.556244,17.068542,15.374268,13.801178,13.717041,13.006348,24.892944
