,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10,msl_cluster11
1965-01-01,1010.98047,1017.3204,1019.6454,1015.6193,1009.7866,1020.0528,1016.423,1018.3406,1006.8042,1012.4366,1019.1158
1965-02-01,1009.43805,1014.0304,1017.1058,1015.3228,1008.29694,1015.28815,1013.6707,1015.58954,1006.16296,1010.68964,1016.54956
1965-03-01,1011.6632,1018.53467,1020.2519,1016.1321,1009.32587,1018.0733,1019.0569,1017.6559,1009.85297,1016.59174,1023.0042
1965-04-01,1010.1066,1016.6946,1023.0581,1020.5167,1010.42163,1021.1493,1018.00073,1019.9418,1016.23444,1016.7418,1020.3306
1965-05-01,1010.7869,1013.7941,1020.3331,1012.72064,1010.41797,1017.0444,1017.56165,1019.7229,1015.7458,1019.59076,1016.867
1965-06-01,1014.1842,1012.6493,1021.6721,1016.1092,1012.0868,1018.2903,1021.83325,1019.9604,1019.8128,1020.1967,1021.55054
1965-07-01,1013.78046,1019.6919,1026.1329,1019.4519,1012.8781,1023.74713,1023.5071,1025.2281,1022.20294,1023.6529,1025.8682
1965-08-01,1013.36127,1015.7315,1029.1538,1013.3551,1012.67847,1022.06525,1023.9425,1025.199,1016.6401,1025.2411,1028.2012
1965-09-01,1013.8239,1016.75226,1024.0039,1015.61615,1013.5299,1020.8274,1021.5915,1024.0776,1015.4574,1022.9025,1022.5137
1965-10-01,1012.27655,1018.3629,1023.3006,1016.23694,1012.6307,1021.1995,1018.9793,1023.798,1012.79565,1021.4482,1019.5555
1965-11-01,1011.3513,1018.82495,1023.85876,1016.52594,1011.6973,1023.00977,1018.8528,1023.62744,1010.7925,1020.4348,1019.8736
1965-12-01,1011.18195,1013.3309,1019.6894,1014.3541,1009.6068,1016.55695,1013.1833,1018.4869,1006.6957,1017.43945,1015.5982
1966-01-01,1011.8206,1020.25446,1017.5118,1018.48315,1010.97565,1018.3767,1014.967,1020.123,1008.6818,1015.6116,1014.4318
1966-02-01,1010.44995,1017.299,1020.829,1015.2461,1009.29016,1019.9164,1012.889,1018.22284,1007.5602,1014.88745,1015.39374
1966-03-01,1009.7458,1016.8359,1022.2629,1016.2255,1009.22064,1019.5547,1017.9868,1018.1771,1011.6554,1015.5309,1020.66064
1966-04-01,1010.1708,1019.9972,1018.89185,1019.1629,1009.3434,1018.4381,1015.7768,1020.1718,1013.96423,1017.6057,1016.60547
1966-05-01,1012.69055,1017.4016,1019.0721,1017.6858,1011.5183,1016.14294,1016.2844,1019.5941,1020.1217,1018.8731,1017.4279
1966-06-01,1012.9241,1017.06616,1023.2724,1016.9359,1012.3864,1017.4636,1024.1763,1020.8778,1018.4575,1023.3325,1024.1212
1966-07-01,1011.6197,1015.99084,1020.7082,1015.1247,1012.2981,1017.4867,1018.4268,1023.3607,1019.8632,1022.52325,1017.47046
1966-08-01,1012.3526,1019.94775,1026.385,1020.8502,1012.6061,1021.81104,1021.1701,1022.68353,1020.61615,1024.1061,1023.725
1966-09-01,1013.03296,1017.2145,1022.512,1015.932,1013.04175,1020.06915,1018.818,1023.4571,1015.0132,1022.0507,1019.3331
1966-10-01,1011.97455,1021.78784,1018.86804,1018.93823,1011.7768,1017.6507,1018.4444,1021.4016,1014.6997,1020.49786,1016.2118
1966-11-01,1011.0464,1014.04877,1015.1065,1015.6122,1010.0538,1011.11523,1015.7286,1017.22144,1009.359,1017.06744,1014.18896
1966-12-01,1009.625,1019.069,1016.50854,1016.6036,1008.53656,1018.31476,1014.2127,1017.279,1009.9611,1013.73267,1014.8887
1967-01-01,1010.7605,1015.1909,1014.2353,1014.18964,1008.17664,1013.86304,1012.1209,1016.2307,1005.9215,1013.1658,1012.1304
1967-02-01,1009.95935,1019.8833,1018.79205,1019.0068,1007.8857,1019.9595,1013.55835,1017.9931,1007.64545,1013.61053,1014.28827
1967-03-01,1009.73737,1021.58405,1022.04846,1019.50745,1009.3274,1023.6375,1016.3562,1019.63367,1012.2399,1014.1627,1019.5111
1967-04-01,1010.0182,1016.61304,1022.962,1018.0018,1010.41437,1020.87585,1017.4641,1017.62305,1015.87805,1013.78687,1021.21906
1967-05-01,1009.9297,1012.9757,1019.34564,1015.37085,1010.2467,1013.2732,1019.4429,1017.2494,1017.068,1019.66345,1020.66327
1967-06-01,1010.85406,1009.80853,1021.09357,1016.68494,1011.13776,1011.5114,1018.9487,1020.3114,1020.67126,1023.14844,1020.5399
