,vws250-50_cluster1,vws250-50_cluster2,vws250-50_cluster3,vws250-50_cluster4,vws250-50_cluster5,vws250-50_cluster6,vws250-50_cluster7,vws250-50_cluster8,vws250-50_cluster9,vws250-50_cluster10
1965-01-01,15.984314828654659,31.191004422595483,29.300294913812458,28.54689863403828,17.932987671531833,55.04611532572094,13.679343873221425,25.572653868572786,19.405224510049564,8.9150595769053
1965-02-01,10.427381569971235,29.467187546260316,26.367929832452166,31.43237016058041,20.18046423328524,53.64154103986517,17.203845707064048,26.72832669739431,18.787147729459836,8.568264608109901
1965-03-01,9.961483156869184,31.623385910961137,25.24848699858123,24.87924170465474,18.546831845924427,56.280654452174915,15.527461321437777,25.256656423502065,18.310114931205163,7.9319345492048265
1965-04-01,9.430537044445177,28.11678743821887,32.23202017215094,18.366804874432283,22.60867535197945,45.18866278974881,13.360052113652234,26.67143206259784,20.050188177334896,8.23085313183473
1965-05-01,8.251892013281863,22.739817692559402,32.51711127424338,17.566100368283106,23.177565024709565,39.783111579206235,7.730619536688096,26.712769226731005,19.742626727529164,7.308788119471549
1965-06-01,6.932908938880115,18.084811314143032,36.87948489243289,10.352892759382621,25.620235574957487,33.38801119429909,8.016801103945498,27.038417986984438,18.39539499227512,8.398307020049772
1965-07-01,8.771984704035999,14.8265283892733,41.84026381126447,9.920158732966218,28.66300834806848,22.428827276656985,8.565143336903883,27.036868585564566,18.022735750734775,9.790166126501566
1965-08-01,9.90926228221905,16.132785834235165,40.334186236516615,10.516355209491158,25.741571592289525,21.562896949573815,5.823541275174453,24.698774948038036,18.588128099903056,11.06179909487532
1965-09-01,12.789986867831342,15.103519102842538,39.88624519339566,15.530777625614059,22.03830602519975,28.75801249338613,7.1694679376801815,27.639617373144514,19.560042586065958,13.11990690111974
1965-10-01,20.21444538189282,20.19070788406714,37.2014655232584,21.08020927406697,18.552701362718583,35.37391073738604,12.68520209912337,29.72340355400379,24.14340213773692,15.715346288875942
1965-11-01,22.8363250214979,23.168667777006384,35.55184019762669,20.656294209707685,19.878732394927052,38.036969326818,18.750944597110678,27.208114588583438,25.82659794321801,19.78141419946443
1965-12-01,28.88360613703043,26.344556888954145,26.115970502815188,29.717046601092584,16.373174999005766,41.588698868086354,19.816376883554,24.791440319054534,24.733220998789363,20.59425943130508
1966-01-01,35.440245067446625,33.845477964494485,23.986168837138443,30.208579336408985,18.05862920863708,49.919711696788916,23.22513971911271,23.67289724045388,27.88336959142087,23.98826184784904
1966-02-01,29.439508199025326,31.287747268059125,26.020855819803383,26.72536013298615,19.20195191398457,46.94820459468787,20.962119821488518,25.743080400034085,28.16614486488295,22.279676503952615
1966-03-01,30.74057190664797,29.44600054822536,24.68439120730671,24.179717659000662,21.82989480788892,48.10349493710457,19.385839574612845,26.06794086224466,27.153955102842385,21.604414216959984
1966-04-01,27.545494385954342,27.796157107403605,29.50812741574412,17.83281677142323,21.820515505715196,40.691928151685275,19.371653553118673,26.324889469688976,29.787384446183264,21.909997292567674
1966-05-01,17.902074396883545,24.600602989190897,32.96632709420487,12.400202513258211,26.45174224810044,39.38234087585282,11.827921503009652,26.30846796792063,27.677946297190466,18.701791166138385
1966-06-01,8.444546146893677,20.488532679825784,37.31981977140896,13.015141057496809,25.924135750328997,34.20397503249172,8.665835302332598,25.886538876949665,18.912965486526325,8.301772496147235
1966-07-01,5.594554962711028,16.991656917834636,37.380845442384,12.545785270107471,28.285037473861713,22.329039345227987,13.286519487254532,25.785671955763664,14.697852216557644,8.21911485317549
1966-08-01,6.5784735825196945,16.726340510338595,36.05089714956104,8.413428000204112,24.240582833466075,18.420861042521388,15.421671592966213,22.896623154803937,13.514167019369978,7.113125440807142
1966-09-01,7.574734119735923,16.63313146689168,40.1021022427232,10.51839632591532,19.66236923891614,25.666344758660273,17.365803784122438,24.263052554219517,12.291888217878055,6.645596474202449
1966-10-01,6.259032302401186,18.023648246092208,36.84019058853513,22.113613261775107,16.238077659619602,35.9760289476182,14.167801401366921,24.82667431351957,14.668222855630908,6.507665662924451
1966-11-01,8.053468188753921,18.90888272117659,32.50185994291912,28.714004841744195,16.87794543703115,38.044475764119106,12.026617175411271,24.654505863782166,15.333459260970784,7.547960331972518
1966-12-01,7.197628586954919,22.444636106757574,27.15090211267578,28.85478024079228,13.638737612308603,48.355992051920055,14.931311433723584,23.2284762082449,13.79886278620995,7.918974796255795
1967-01-01,12.797237596937476,25.37726706732828,22.165488128429928,32.005674470429625,15.650758559352626,55.43143647509161,15.410376147182111,22.99163363289713,12.000673058918425,7.734652264588468
1967-02-01,9.451446151231497,29.77924850473529,21.538616131456923,26.4549469891912,16.254209074222164,54.43477592012524,15.065102460105637,23.02751900563774,14.752041358329528,7.6617073889126255
1967-03-01,7.765468235137429,28.201514505076243,24.01517193563204,21.444235197258557,18.7468172710625,50.70146346744048,13.631500418055765,23.227468772426853,13.924606936559803,7.533103965092995
1967-04-01,7.370622609717286,25.38175702131399,26.264218347437783,18.422214308077056,23.042953536669586,39.033288181846935,14.354740358789085,24.596533772544486,17.21827716464134,7.7594134166385516
1967-05-01,9.034840229233863,22.601630132553666,31.941801660380985,14.4039658030328,20.797324382770558,35.82944290540614,17.091439220453957,25.002941589430854,18.368725990664533,8.309438438133661
1967-06-01,11.151787943479947,16.540785413194264,33.42353633350985,17.4607173909426,23.03391850893033,31.615947823638226,21.13476942484792,25.817882517278473,14.345450559650502,7.710440846190206
1967-07-01,8.341999080085547,14.470355063317754,37.698467339254805,10.427824729344916,24.915932118615483,19.220408506506494,22.64170893590742,24.485903591363407,14.917241712467478,7.802379398636245
1967-08-01,7.78670620772167,13.824972084287637,36.23204398835763,13.468855356674057,23.494506472748075,15.249976799922823,22.59147095166449,22.253841489693354,14.083537245019082,7.486591985196122
1967-09-01,11.514006799394148,14.207994773227265,41.75926876972793,23.497249850337013,20.90412258715265,22.28528826857902,21.122802161878788,27.00165361143304,13.777086672604227,7.691948196011909
1967-10-01,8.868722746859092,16.729486275142218,38.83290088783647,27.091920344539634,15.313670796941176,36.960904888312974,13.884911292664363,27.795976651921954,17.242722989501623,6.703532865537082
1967-11-01,10.145896856833579,24.168467801117195,29.108438248488667,25.57097534145974,17.378592127169966,44.92767441937149,9.335016803908045,26.784101965600314,20.290175961475413,7.636416574518097
1967-12-01,17.21652874247062,29.261731906673635,29.005099467367224,28.701298528048376,18.117622749648913,55.129724456831255,8.76282331424342,26.534662939485518,21.38806098566211,9.22862102067277
1968-01-01,18.622216339146764,28.91178674900673,25.80111636277582,30.179951117838964,18.269209608112316,56.37220658365364,9.797784799057982,26.4525912217705,20.71922214844536,10.480449770147624
