,mgv250_cluster1,mgv250_cluster2,mgv250_cluster3,mgv250_cluster4,mgv250_cluster5,mgv250_cluster6,mgv250_cluster7,mgv250_cluster8,mgv250_cluster9,mgv250_cluster10
1968-08-01,-0.9346091,-0.052803613,0.056625795,0.06526117,-0.704142,0.45159084,0.12797435,-1.0683875,0.2550993,0.37500447
1968-09-01,-0.2897826,0.067101575,0.264301,0.12103765,-0.12627557,0.26444256,0.23966877,-0.6929585,-0.22437973,0.3132823
1968-10-01,0.0055210115,0.18233514,-0.21631062,0.10220959,-0.29700238,-0.47225934,-0.21970813,0.40643176,0.05096321,-0.14156455
1968-11-01,-0.20441918,0.32446593,-0.13476944,0.36523646,-0.35320354,0.27605078,-0.5096324,1.0729176,0.44012412,-0.59032404
1968-12-01,-0.11466726,0.6887115,0.072905734,-0.1126854,-0.23513865,0.96801835,-0.86269426,0.8447156,0.538653,-0.4143594
1969-01-01,-0.16004534,0.027557468,0.40457994,0.04830122,0.037096597,0.1966877,-0.23484421,-0.9474014,0.17745796,0.088728905
1969-02-01,-0.32932687,0.035128213,-0.08660917,-0.08252096,-0.19002533,0.8009834,-0.37611398,-0.49769992,0.3658178,-0.00787363
1969-03-01,-0.22363944,0.66955554,0.007722092,-0.10311337,-0.24953134,0.68288004,-0.45772657,-0.32781267,0.33220375,-0.55220926
1969-04-01,-0.6217086,0.4321374,-0.37989932,-0.38413894,-0.46999106,1.1471174,-0.5263173,0.17503539,0.04966401,0.029525852
1969-05-01,-0.08706343,0.5467583,-0.08100681,-0.03891357,-0.00030282736,0.5578116,-0.111138344,0.9732933,0.09963083,-0.09569404
1969-06-01,-0.08918323,0.33402073,0.23529832,0.18624003,-0.047089957,0.60475016,-0.38777298,-0.1494463,-0.17458114,-0.08176394
1969-07-01,-0.25059125,-0.19547634,0.3552187,0.09145441,-0.41623887,0.6816687,0.1346076,-0.8426226,-0.21652289,0.47801605
1969-08-01,-0.45893782,0.43001756,-0.13173072,0.021197986,-0.59596807,0.4755934,0.07510165,0.21849136,-0.04315319,0.6067184
1969-09-01,-0.5228348,0.33084098,0.29329023,0.040427733,-0.31463963,0.13930146,0.3206962,-0.4291092,0.40806246,0.43985954
1969-10-01,-0.009539127,0.5832492,0.049815416,-0.054812096,-0.5334338,0.7440516,-0.116135046,-0.018169736,-0.11022985,-0.3044949
1969-11-01,-0.394738,0.29238167,0.07707006,-0.025286198,-0.4895235,0.48013583,-0.07161913,0.96072596,-0.22379084,-0.22999883
1969-12-01,-0.68242586,0.42426386,-0.11870909,-0.55145216,-0.79159576,1.6502682,-0.9604232,0.9979739,0.46196613,-0.46332878
1970-01-01,0.03758688,0.15257378,-0.066530034,-0.021085262,-0.061291505,0.6908384,-0.33513844,0.9111209,0.5982463,-0.51194066
1970-02-01,-0.2409749,0.3275426,0.09887829,0.081067085,-0.1451089,0.85336554,-1.2076247,2.0017943,0.370106,-0.78866893
1970-03-01,-0.19553015,0.3521638,-0.13030978,0.066530034,-0.50434476,0.90300095,-0.6161885,-0.34299633,0.3754756,-0.6224748
1970-04-01,-0.38464305,0.3711537,-0.026585769,-0.02043047,-0.43231422,0.5484799,-0.8933096,-0.9743767,0.36683187,-0.4456726
1970-05-01,-0.18963677,-0.054743193,-0.4004898,0.22342563,-0.101497576,-0.7085186,-0.5047376,-0.0513381,0.32557803,0.103724
1970-06-01,-0.102938175,0.35308057,0.05644574,0.14812097,-0.15886009,0.43650514,0.023180723,-0.1902916,0.01728735,0.6639906
1970-07-01,-0.16344383,0.014667988,0.2361292,-0.13790575,-0.3283283,-0.24568959,0.30121863,-0.45811424,0.05657673,0.6499774
1970-08-01,-0.69581497,0.07491179,0.09455647,0.15388341,-0.3097313,0.020168591,0.27293032,-0.3990491,0.1862317,0.6642526
1970-09-01,-0.5010706,0.2963729,0.1655393,0.18754132,-0.53918135,0.22748554,0.39132228,-0.573887,0.069280244,0.3086836
1970-10-01,0.17169464,-0.046492457,0.3883101,0.22578302,-0.091020405,0.59156716,0.04256351,-0.76339275,-0.18282656,0.0019644618
1970-11-01,-0.48365235,0.3246613,0.26991808,0.069542125,-0.60243726,0.32047042,-0.8046466,0.7628689,-0.13148847,-0.43964824
1970-12-01,-0.56982696,0.58816206,0.071506694,-0.4713416,-0.7615592,1.3078127,-0.48443812,-1.1062582,0.34181765,-0.4613883
1971-01-01,-0.15417929,-0.008493518,-0.21852855,-0.16583987,-0.2966979,1.0146176,-0.6803466,0.3843685,0.45850697,-0.76225877
1971-02-01,0.06362953,-0.097603895,-0.12020512,-0.23839483,-0.094436646,0.98035556,-1.2335781,0.16497621,0.19520736,-0.71057785
1971-03-01,-0.5106198,0.371988,0.029367447,-0.5091802,-0.62938535,1.1860719,-0.5873496,0.35960767,0.48643488,-0.78773946
