,zgv50_cluster1,zgv50_cluster2,zgv50_cluster3,zgv50_cluster4,zgv50_cluster5,zgv50_cluster6,zgv50_cluster7,zgv50_cluster8,zgv50_cluster9,zgv50_cluster10
1965-01-01,0.054013014,0.0086833,-0.07152679,-0.0045624254,0.17234132,-0.010007858,0.073587224,-0.0136872055,0.013245702,0.039442755
1965-02-01,-0.0781496,0.015453339,0.002060437,0.09271993,0.044299506,0.040620137,0.11788676,-0.023253571,-0.01824963,0.08109312
1965-03-01,0.045771264,-0.026197052,0.0019132614,0.068583295,0.07947421,-0.03635206,0.09772382,-0.030317951,-0.024725294,0.18426247
1965-04-01,0.06887765,-0.047390174,0.07461748,0.030906629,-0.0063284873,0.0075058937,-0.010743737,0.010890913,-0.052835632,-0.039001238
1965-05-01,0.08271203,-0.030612301,-0.005151081,-0.023400735,0.22032022,-0.011479616,0.11273565,0.03017075,-0.13495901,-0.05519042
1965-06-01,0.032084037,0.009566331,0.015306139,-0.015453314,0.09110103,-0.05519042,0.038265347,-0.008094597,-0.09787102,-0.008388924
1965-07-01,0.033702947,0.062107634,0.03252554,-0.007947445,0.03134818,-0.05931132,0.03635211,-0.0039736987,-0.038854074,0.0048567294
1965-08-01,0.028110337,0.023547936,0.038854074,-0.076383546,0.049303435,-0.09345579,0.005592632,0.00058870314,-0.12186046,0.014570284
1965-09-01,0.07108526,-0.045771252,0.002796316,-0.042827774,0.081829,-0.047390174,0.026049877,-0.0045624254,-0.19544768,-0.041650392
1965-10-01,-0.015011787,-0.033850133,-0.038118172,-0.020310069,0.095957756,-0.003679371,0.023842264,0.0013245821,-0.3096551,-0.061813284
1965-11-01,0.047684528,0.012362647,-0.039442778,-0.04562409,-0.011038112,-0.024283791,0.020751595,-0.011038089,-0.046654273,0.191474
1965-12-01,0.06593414,-0.005003929,-0.005886984,-0.13113241,0.21855411,0.010743713,0.017513776,0.01471746,-0.10743735,0.056367826
1966-01-01,-0.05743275,-0.013020014,0.020976733,-0.052080106,0.2955544,0.0037613392,0.0069439886,-0.004484677,-0.023580695,0.22423363
1966-02-01,0.11819287,-0.02415936,-0.070742086,0.03674538,0.19038162,0.022134017,0.035298683,-0.0007233143,-0.09982014,0.038626052
1966-03-01,0.036311388,0.01634736,-0.03399668,-0.07927744,0.01837268,0.051501416,0.03341808,-0.0039060116,-0.02878871,0.14596888
1966-04-01,0.09432278,-0.048463393,-0.029801369,-0.02560606,0.14090553,-0.005786705,0.034720086,0.02054267,-0.11052547,0.080579445
1966-05-01,0.028933382,-0.007956696,0.015479326,-0.034864713,0.15334687,-0.00028934478,0.01085,-0.0008679867,-0.077975415,0.10141144
1966-06-01,0.027486706,-0.0075226785,0.020832062,-0.03587737,0.15016422,-0.0619174,0.05989208,-0.024448728,-0.20947757,-0.03312874
1966-07-01,0.033996724,0.07204411,0.04947605,-0.018951368,0.011139393,0.01142869,0.06466608,-0.086944796,-0.2230763,-0.048897408
