,vws850-200_cluster1,vws850-200_cluster2,vws850-200_cluster3,vws850-200_cluster4,vws850-200_cluster5,vws850-200_cluster6,vws850-200_cluster7,vws850-200_cluster8,vws850-200_cluster9,vws850-200_cluster10
1965-01-01,11.057205200195312,26.03022575378418,50.79849624633789,16.300628662109375,32.78975296020508,34.550411224365234,7.5456695556640625,12.817886352539062,18.360097885131836,21.020156860351562
1965-02-01,7.108012676239014,22.809120178222656,42.97437286376953,19.355684280395508,22.182968139648438,35.18573760986328,6.76940393447876,18.565773010253906,17.797866821289062,19.95697593688965
1965-03-01,18.211641311645508,16.07472801208496,42.48874282836914,12.415653228759766,30.748531341552734,24.84319305419922,7.992130279541016,19.189634323120117,17.92398452758789,23.640483856201172
1965-04-01,28.87441635131836,14.455015182495117,45.4122200012207,9.12539005279541,24.570667266845703,30.198209762573242,3.8666880130767822,35.400779724121094,24.246219635009766,16.34588050842285
1965-05-01,30.536884307861328,16.299585342407227,33.429901123046875,4.778520107269287,22.190038681030273,16.59503936767578,12.726640701293945,39.306785583496094,25.80916404724121,18.045698165893555
1965-06-01,25.559354782104492,15.508892059326172,17.86406898498535,14.410650253295898,11.03563117980957,30.278644561767578,25.013566970825195,35.925174713134766,33.386348724365234,18.504257202148438
1965-07-01,31.8221435546875,17.7164363861084,16.82454490661621,14.933366775512695,16.952695846557617,20.668916702270508,23.76721954345703,43.476680755615234,31.101192474365234,18.77321434020996
1965-08-01,31.831026077270508,13.504852294921875,11.926188468933105,13.922479629516602,14.228075981140137,18.90671730041504,14.594059944152832,41.86616897583008,27.368791580200195,18.682464599609375
1965-09-01,34.85074996948242,4.8893208503723145,11.77623176574707,8.310538291931152,6.025041580200195,27.909868240356445,18.541427612304688,44.17757034301758,25.471073150634766,20.529327392578125
1965-10-01,26.997020721435547,3.9160561561584473,36.21041488647461,8.33642864227295,21.468904495239258,28.484975814819336,7.886300563812256,40.59614562988281,26.192047119140625,18.947782516479492
1965-11-01,28.36435890197754,15.21325969696045,34.826175689697266,7.607964992523193,27.822093963623047,34.779541015625,6.27079963684082,46.93626403808594,29.726062774658203,12.386905670166016
1965-12-01,16.9996280670166,13.810829162597656,39.8740234375,8.585363388061523,25.772520065307617,38.446380615234375,11.237373352050781,29.581342697143555,19.603452682495117,16.394664764404297
1966-01-01,7.776587963104248,21.275814056396484,46.673484802246094,7.696788787841797,42.255287170410156,28.19947624206543,6.010951995849609,20.316585540771484,17.987451553344727,24.559795379638672
1966-02-01,9.530945777893066,21.094722747802734,49.6458854675293,11.8063383102417,37.34596633911133,37.88797378540039,7.561297416687012,28.20865249633789,24.75644302368164,14.300009727478027
1966-03-01,15.477655410766602,25.804973602294922,46.97832489013672,7.961703777313232,28.3905086517334,40.25661849975586,8.074353218078613,26.037763595581055,19.50202178955078,22.754545211791992
1966-04-01,27.24167823791504,17.028139114379883,35.2159423828125,5.558509826660156,35.20546340942383,25.328886032104492,3.163881301879883,30.936628341674805,26.653573989868164,16.342824935913086
1966-05-01,35.39857864379883,15.855219841003418,31.02445411682129,4.900428295135498,22.39058494567871,27.988021850585938,14.015623092651367,40.69866180419922,24.764585494995117,15.042405128479004
1966-06-01,33.05064392089844,3.6513211727142334,21.44757843017578,5.243527412414551,13.621868133544922,21.567655563354492,16.589214324951172,51.58292770385742,29.36272430419922,18.208942413330078
1966-07-01,25.638498306274414,5.5351362228393555,21.732423782348633,11.46866226196289,16.856040954589844,19.655054092407227,18.999601364135742,39.802955627441406,41.784420013427734,22.779356002807617
1966-08-01,26.21700668334961,7.412800312042236,15.906317710876465,7.3508620262146,15.39806842803955,18.875165939331055,19.688474655151367,35.10721206665039,34.67375183105469,18.629987716674805
1966-09-01,29.716785430908203,4.508986949920654,14.11638355255127,8.90710163116455,6.738362789154053,20.3072509765625,16.902240753173828,40.836307525634766,29.582454681396484,15.417061805725098
1966-10-01,34.943885803222656,0.8570791482925415,28.452861785888672,6.203968524932861,11.16314697265625,30.673646926879883,13.820569038391113,39.68468475341797,29.2442626953125,13.415531158447266
1966-11-01,21.738441467285156,21.55611801147461,32.02456283569336,8.187780380249023,12.46281909942627,34.611507415771484,13.158940315246582,31.192256927490234,26.431743621826172,20.733762741088867
1966-12-01,16.70437240600586,28.804819107055664,51.60596466064453,8.634505271911621,19.773967742919922,37.32805252075195,14.769112586975098,23.880672454833984,21.064775466918945,12.37790584564209
1967-01-01,7.103605270385742,25.098588943481445,58.25783157348633,12.020682334899902,26.944210052490234,41.01355743408203,14.736715316772461,11.866308212280273,25.074331283569336,24.28878402709961
1967-02-01,7.522181034088135,24.916839599609375,52.47248840332031,14.832625389099121,32.50993728637695,47.491729736328125,10.10762882232666,17.036684036254883,23.603147506713867,22.86935806274414
