,zgv250_cluster1,zgv250_cluster2,zgv250_cluster3,zgv250_cluster4,zgv250_cluster5,zgv250_cluster6,zgv250_cluster7,zgv250_cluster8,zgv250_cluster9,zgv250_cluster10
1965-01-01,0.2134410192569097,0.04211401856761836,0.21745661232206556,0.3802600625443132,-0.4229076500096569,-0.5646863474255115,-0.005435206067378476,-1.1298672699216588,-0.14764905859858304,-0.15843436121940613
1965-02-01,0.12520035273498958,-0.03886698650046982,0.16906710300180647,0.24225517444006384,-0.3725380962911034,0.1791092476486105,0.017019508594180225,0.06597415724797036,0.6428629159927368,-0.16357836942387444
1965-03-01,-0.12656084034177992,-0.033581271714385866,-0.1586882538265652,0.24760437644507788,-0.28889751488817056,-0.05327693343294406,0.006021195627147213,0.16406254184928107,0.7087838094113237,-0.1016844414238237
1965-04-01,0.5446054803000556,-0.022444118032358507,0.29458305570814347,0.27050143107771873,-0.22777020302502918,-0.6671775231319191,-0.029856598312554758,0.4555448000110798,-0.4616088533805589,0.19892659197505724
1965-05-01,0.14663451578882006,0.0013493724262910207,-0.6096378564834595,0.27185314832484886,-0.11293380848707109,0.9509143576157832,-0.08577140975591543,0.008775675622978022,0.3853776065979974,-0.16607863780779716
1965-06-01,0.00040776779254277545,0.07744956992962251,-0.49837161435021293,0.18596147276359062,-0.04877637634276505,0.6314804332446209,-0.08111816903050496,-0.18793948698992755,0.04076502459534144,0.12919374256052524
1965-07-01,0.10463887867000368,0.1541394555922782,-0.5832347737418281,0.1150699602822735,-0.07833919699766193,0.14427951907953332,-0.08851316641957238,-0.671764333449786,0.28616194376500986,0.689173687217582
1965-08-01,-0.045452954040633306,0.16592832820357556,-0.38909365071190727,0.09144110668909877,-0.10674905877445108,-0.1621937428691746,-0.111892053254141,-0.1687922176733539,0.44890796860395854,0.37199523713853627
1965-09-01,0.04141051239437527,0.1587753986368085,-0.34230395158131915,0.1781774784935868,-0.19359402882482765,0.5104880944817467,-0.09441996469386511,0.33160422127045214,0.057568187999018174,0.3929681120774685
1965-10-01,-0.2197492371002833,0.03065533347555263,-0.2908419602447086,0.189614066063133,-0.2846738404781674,1.987116421218467,-0.002837123823887998,0.04754349848820796,-0.2306211992340573,0.33184720410241025
1965-11-01,-0.1791258149055971,0.07975718440717669,-0.0398575562155909,0.2586251395205929,-0.18612623984929377,0.5314143621816045,-0.10988953671449925,-0.7525641230208364,-0.2313719651961731,0.6494583991857675
1965-12-01,-0.13015469246440464,0.06771994340564623,-0.11591713296042548,0.24588759018950268,-0.2357097911096994,-0.2708690620101659,-0.06222879493936313,0.025386009272651295,0.3800515274880296,-0.2973263717105246
1966-01-01,0.0362155863808261,-0.04728870800822893,-0.23841066492928398,0.28515828798895015,-0.2566345696207843,0.2970573583007914,0.001569876647387615,-0.6653503176584766,0.7263209355079522,0.0016261306073930529
