,mgu600_cluster1,mgu600_cluster2,mgu600_cluster3,mgu600_cluster4,mgu600_cluster5,mgu600_cluster6,mgu600_cluster7,mgu600_cluster8,mgu600_cluster9,mgu600_cluster10
1965-01-01,0.98644865,-0.4816555,0.108519174,2.6096725,-0.30893746,-0.32327613,0.014012909,-0.0065177917,-1.2458518,0.75018346
1965-02-01,0.9958992,-0.76061136,0.08864021,2.0696845,-0.3975773,-0.4904541,-0.06908722,-0.038779832,-0.9623329,0.66936415
1965-03-01,0.6602394,-0.47774467,-0.23300648,2.5405853,-0.20400277,-0.3799801,0.13458976,-0.029329682,-1.2047901,1.5433826
1965-04-01,0.5109848,-0.53021204,-0.25288525,1.3514376,-0.12416153,-0.4340767,0.025744628,-0.8098198,-1.1650324,1.1275558
1965-05-01,-0.08016739,-0.23984985,0.66936415,0.7159653,0.34543648,-0.32164687,0.368248,-1.1725279,-0.7729948,1.1229935
1965-06-01,-0.30502662,-0.09255066,0.7524643,0.9884037,0.2629879,-0.0048885345,0.3887787,-0.9258343,-0.7342148,0.7772312
1965-07-01,-0.48067778,0.27863008,1.2683372,0.7951549,0.86554563,-0.52793086,0.3887787,-1.4521357,-0.3324009,0.5438992
1965-08-01,-0.50837785,-0.31024092,0.9088882,0.018249512,1.0086082,-0.5823534,0.41093865,-1.6007383,-0.51847994,0.2088913
1965-09-01,-0.08994369,-0.13165665,1.0754147,0.0791893,0.7661514,-0.53379667,0.33370438,-0.9884039,-0.5165249,0.43961638
1965-10-01,0.4018139,-0.4621025,1.2272762,0.07821198,0.36889952,-0.29916078,0.24213143,-0.8381718,-0.55009097,0.47057533
1965-11-01,0.6680603,-0.5171768,0.46047288,1.1265781,0.007169342,-0.11503677,0.059962463,-0.13426399,-0.52467215,1.2367268
1965-12-01,0.5921299,-0.39040795,-0.24636784,1.8933814,-0.32001725,-0.100371934,0.21703835,-0.443853,-1.7271808,0.8577248
1966-01-01,0.8005527,-0.42144737,-0.20941086,2.713805,-0.30033034,-0.048577882,0.23895149,0.12013207,-1.3030729,0.60919493
1966-02-01,0.8635731,-0.4979248,-0.36367875,1.5784576,-0.343985,-0.21794471,0.15328331,-0.16247368,-1.0628084,0.32265013
1966-03-01,0.9781254,-0.42702714,0.05415783,1.2856766,-0.06630249,-0.22844811,0.19103011,-0.21696015,-1.2055887,0.952195
1966-04-01,0.8264828,-0.4161957,0.012144471,1.7507782,0.04037247,-0.31707,-0.011159897,-0.47133827,-0.22089882,0.6587578
1966-05-01,0.45755234,0.047593307,0.82057494,0.9705757,-0.13949776,-0.06860008,0.37254104,-0.32199326,-0.53140414,1.0910362
