,abs_vo600_cluster1,abs_vo600_cluster2,abs_vo600_cluster3,abs_vo600_cluster4,abs_vo600_cluster5,abs_vo600_cluster6,abs_vo600_cluster7,abs_vo600_cluster8,abs_vo600_cluster9,abs_vo600_cluster10,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,abs_vo850_cluster7,abs_vo850_cluster8,abs_vo850_cluster9,abs_vo850_cluster10,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,mpi_cluster10,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10,r400_cluster1,r400_cluster2,r400_cluster3,r400_cluster4,r400_cluster5,r400_cluster6,r400_cluster7,r400_cluster8,r400_cluster9,r400_cluster10,r600_cluster1,r600_cluster2,r600_cluster3,r600_cluster4,r600_cluster5,r600_cluster6,r600_cluster7,r600_cluster8,r600_cluster9,r600_cluster10,r700_cluster1,r700_cluster2,r700_cluster3,r700_cluster4,r700_cluster5,r700_cluster6,r700_cluster7,r700_cluster8,r700_cluster9,r700_cluster10,r850_cluster1,r850_cluster2,r850_cluster3,r850_cluster4,r850_cluster5,r850_cluster6,r850_cluster7,r850_cluster8,r850_cluster9,r850_cluster10,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7,ssta20_cluster8,ssta20_cluster9,ssta20_cluster10,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8,ssta30_cluster9,ssta30_cluster10,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9,sst_cluster10,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6,vo600_cluster7,vo600_cluster8,vo600_cluster9,vo600_cluster10,vo850_cluster1,vo850_cluster2,vo850_cluster3,vo850_cluster4,vo850_cluster5,vo850_cluster6,vo850_cluster7,vo850_cluster8,vo850_cluster9,vo850_cluster10,vws600-250_cluster1,vws600-250_cluster2,vws600-250_cluster3,vws600-250_cluster4,vws600-250_cluster5,vws600-250_cluster6,vws600-250_cluster7,vws600-250_cluster8,vws600-250_cluster9,vws600-250_cluster10,vws850-200_cluster1,vws850-200_cluster2,vws850-200_cluster3,vws850-200_cluster4,vws850-200_cluster5,vws850-200_cluster6,vws850-200_cluster7,vws850-200_cluster8,vws850-200_cluster9,vws850-200_cluster10,vws_u600-250_cluster1,vws_u600-250_cluster2,vws_u600-250_cluster3,vws_u600-250_cluster4,vws_u600-250_cluster5,vws_u600-250_cluster6,vws_u600-250_cluster7,vws_u600-250_cluster8,vws_u600-250_cluster9,vws_u600-250_cluster10,vws_u850-200_cluster1,vws_u850-200_cluster2,vws_u850-200_cluster3,vws_u850-200_cluster4,vws_u850-200_cluster5,vws_u850-200_cluster6,vws_u850-200_cluster7,vws_u850-200_cluster8,vws_u850-200_cluster9,vws_u850-200_cluster10,vws_v600-250_cluster1,vws_v600-250_cluster2,vws_v600-250_cluster3,vws_v600-250_cluster4,vws_v600-250_cluster5,vws_v600-250_cluster6,vws_v600-250_cluster7,vws_v600-250_cluster8,vws_v600-250_cluster9,vws_v600-250_cluster10,vws_v850-200_cluster1,vws_v850-200_cluster2,vws_v850-200_cluster3,vws_v850-200_cluster4,vws_v850-200_cluster5,vws_v850-200_cluster6,vws_v850-200_cluster7,vws_v850-200_cluster8,vws_v850-200_cluster9,vws_v850-200_cluster10,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5,mgu850_cluster6,mgu850_cluster7,mgu850_cluster8,mgu850_cluster9,mgu850_cluster10,mgu600_cluster1,mgu600_cluster2,mgu600_cluster3,mgu600_cluster4,mgu600_cluster5,mgu600_cluster6,mgu600_cluster7,mgu600_cluster8,mgu600_cluster9,mgu600_cluster10,mgv850_cluster1,mgv850_cluster2,mgv850_cluster3,mgv850_cluster4,mgv850_cluster5,mgv850_cluster6,mgv850_cluster7,mgv850_cluster8,mgv850_cluster9,mgv850_cluster10,mgv600_cluster1,mgv600_cluster2,mgv600_cluster3,mgv600_cluster4,mgv600_cluster5,mgv600_cluster6,mgv600_cluster7,mgv600_cluster8,mgv600_cluster9,mgv600_cluster10,zgu850_cluster1,zgu850_cluster2,zgu850_cluster3,zgu850_cluster4,zgu850_cluster5,zgu850_cluster6,zgu850_cluster7,zgu850_cluster8,zgu850_cluster9,zgu850_cluster10,zgu600_cluster1,zgu600_cluster2,zgu600_cluster3,zgu600_cluster4,zgu600_cluster5,zgu600_cluster6,zgu600_cluster7,zgu600_cluster8,zgu600_cluster9,zgu600_cluster10,zgv850_cluster1,zgv850_cluster2,zgv850_cluster3,zgv850_cluster4,zgv850_cluster5,zgv850_cluster6,zgv850_cluster7,zgv850_cluster8,zgv850_cluster9,zgv850_cluster10,zgv600_cluster1,zgv600_cluster2,zgv600_cluster3,zgv600_cluster4,zgv600_cluster5,zgv600_cluster6,zgv600_cluster7,zgv600_cluster8,zgv600_cluster9,zgv600_cluster10,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8,w_cluster9,w_cluster10,EA-WR,ENSO3.4,EP-NP,NAO,PDO,PNA,SOI,TNA,TSA,WP,month
1965-01-01,-4.184660563690797e-05,2.2788389221562047e-05,7.492464217997875e-05,-2.335152087277377e-05,7.630454084457078e-06,-6.914917485529375e-05,-8.82332739189502e-05,0.0001055632478102,4.582683030101451e-05,0.0017702607146929,-7.736106165461688e-05,5.295741923022485e-05,1.7755439371119726e-05,7.454193429783337e-05,-3.14117431786705e-05,-5.478939817963555e-05,3.381355712612387e-05,-0.000100323905633,0.0001170146730424,-1.6467381215079512e-06,,,,,,,,,,,1105.224382329561,1133.5663729332705,1330.0630927606442,1057.3812440384263,1014.486973626273,1197.4989282803272,1244.7893585727384,1037.0735991996562,1192.7094132319924,1794.389155873081,20.950249187107197,43.2317534736965,19.9634412439858,60.40568641322827,43.97674006456769,27.18041363884421,70.80307608523204,39.44620994672383,57.911275576238765,31.74968633536037,35.31034322074763,58.05476118878621,22.84598288597999,67.13048721028265,35.959987089954026,84.12128388881683,23.956993444642023,80.44721854206983,49.68816104119056,30.099299613465657,38.21514762194225,71.63327702746227,47.1211669999925,26.92266715200324,43.26307009344232,24.82891532139004,56.284520689878434,32.22193192462532,61.916453827845366,73.0124319300932,49.794983018374616,50.70254051974075,87.93994870960204,68.06833130972727,77.62898855079892,54.36808895057356,77.94080402540123,68.48286502063274,40.0647476692062,64.93471674172275,-1.4763377688743256,-8.183615762482649,-6.617192020566445,-4.611662818539527,-2.1450829313129107,-14.43211841583252,1.241469817707337,-12.843948881202769,0.6002097670174024,-12.67380714416504,-0.2741462991132841,-6.80752250383485,-5.3250725813738,-3.2000571681607157,-0.9655746809555836,-13.338126182556152,2.427728599812611,-11.310310898540177,1.9051730158788784,-11.328734335352165,27.66506383707235,25.17321244725641,24.704079365167093,29.605988533266128,26.446479735670064,12.086562156677246,29.996663059096736,24.331765754200585,32.232826414923544,19.931124468318757,4.858204384013865e-07,1.108671329310441e-06,-1.0744678499912353e-05,0.0009335351205663,7.727412778434852e-06,0.0005251535185379,-1.1006161479990594e-05,8.913256227958878e-06,0.0058092846302315,-0.0007151262252591,3.903160014877878e-06,3.539247611514861e-06,-0.000137799777024,-4.480711978567595e-06,6.08505797572434e-05,0.0009757492989592,-9.370480972996218e-06,-8.213548706128047e-05,0.0001798641177528,9.594922895806243e-06,24.07427946632732,27.76577803490245,20.7756591312122,10.16772098986676,6.7186447636219375,76.65957659174704,28.76050565051439,15.87712398686561,11.735657853879186,15.192708877803964,14.928705050152098,29.58513035898386,59.54166389848123,11.66623132833166,33.79207373005016,50.97927805336129,12.342129285914533,29.04478382825141,20.267663432723506,21.42615844381403,21.525269398148865,-1.4840578083452958,5.596731446066621,26.598922866948165,10.499218646575928,17.20303680561407,34.63860738044263,16.50071704450367,-1.7893404438879557,11.130068036330272,16.535607675192285,17.125087734279163,38.51718655976229,26.20842456902996,29.306630548144625,4.663766176874114,-1.1242792632089842,28.32834929208489,59.9456800456009,-5.35062558073682,0.1142109951085239,5.600914523621264,7.14991304843528,1.1013546269594714,-7.048715940929198,-3.2871387420541573,-1.2794515777617097,-1.4736492389319542,2.951626523933625,-3.594544517074139,-3.960322626022251,3.6237908713940494,2.527569582737709,-1.417081069829003,11.340664941273944,-4.216442464926443,5.029553166518849,-9.852226116814643,-3.509001910124017,11.868173619033753,0.2145023467455357,-0.6266412400175719,0.9731983801103988,-0.9778087117053844,0.6255930640753125,1.0513000693910328,-0.1135573468891963,-0.8478024910236227,-0.163220267506004,0.3178640842845995,-0.7911644956612329,0.0384321979740086,0.2620093436976302,2.8675324674965683,-0.3211619865816408,-1.2997108100229486,1.1141855813361503,-0.387882564901771,-0.060088777954274,1.3190657116887643,-0.0940993878540101,-0.3562743046197547,-0.0553210388538958,0.1192234423808967,0.6799438752626118,-0.2302149352242157,0.88659944859418,0.1111914872523122,-1.2907514118012928,0.3369310747061554,-0.1074065461202904,-0.0442857865483877,0.7939940149133855,0.1394471324736364,0.1656300948574276,-0.2395174810736198,-0.356783156936196,-0.0826087814279973,-1.175332453943068,0.6199709603176026,0.2119255430987642,-0.1118667654940138,-1.208876990354978,0.5094005687702338,0.2409438341856002,-0.3093759558894524,-0.6868052941102247,0.0179843319191677,0.115566896420205,-0.1274416944733611,0.177180954485574,-0.0730207858401158,0.7026454731195915,-0.0425960280393299,-0.01712902663992,6.80508751135606,0.1675038518650191,-0.0488466752595089,-0.2851477847702202,-6.875234842300415,9.113989935980904,-0.5941609740257263,-0.0109872008490278,-0.968107659565775,1.1657866022803565,0.092013721309957,0.1648687918382476,-0.2453512390819164,0.1602981188055557,-0.5635150330407279,-0.0052475132148474,0.0679513313773557,-0.333026141033577,0.0117773321107961,-0.0393238331440627,0.0980793975475357,0.38381828329502,-0.1716806512811909,0.0802103264894062,-0.2746838503159009,-0.0422913213146895,1.8265743553638456,0.0299591376320817,-0.6626407114359049,0.0237154639310392,37.78055906295776,3.687096387147904,-0.0566008217090545,0.0072646847998146,-1.2092051406701407,-0.37,-0.89,0.6,-0.65,-1.24,-0.92,-0.7,-0.36,-0.39,-1.0,1
1965-02-01,-4.201940109897124e-05,2.326364717878983e-05,7.579557748367059e-05,-2.289717208423731e-05,6.695069438527364e-06,-6.769463228769915e-05,-8.630168284415394e-05,0.0001071244269,4.451756248578112e-05,0.0019766582408919,-7.72492326549747e-05,5.240544268809213e-05,1.817484559217032e-05,7.616927587057718e-05,-3.012274418747136e-05,-5.494116916417865e-05,3.2106758406801675e-05,-9.76462372167102e-05,0.0001224473965573,-1.587504948474816e-06,,,,,,,,,,,1104.4070721716014,1133.750010923518,1327.0495552162936,1056.784107296966,1013.4568282536096,1197.4524310254676,1243.1383949037286,1034.8481902765402,1191.021549526897,1789.3251117907073,15.180993746112843,45.99870875261832,18.56833550988174,71.86449645501881,39.86813671318068,25.610005888952266,72.3620152999926,41.8013021390732,57.30199212897314,31.609179531474258,36.79523810497305,64.99792192040421,18.92256869455879,65.65275727031387,35.43842535844561,83.2441434264183,25.47620979707632,86.24922376160228,52.06215700595016,29.271917140230222,38.957061380299216,70.26260194803605,47.79073222518882,23.531084060668945,43.06599081379094,26.606579725654964,55.59953007384808,29.339842504384563,59.85560564217588,75.32144644681145,50.68144696824094,46.30514098698705,87.87893591055213,66.4371613093785,76.99194860674137,36.54206235643844,80.67773736041525,67.23749861121178,32.10126208914746,57.22009819674205,-0.8786376361008529,-7.742216752010321,-7.552636514498492,-3.952436754780431,-2.7696997971547583,-15.846940994262695,1.0049532389784432,-14.130620867292455,0.8137068561246807,-12.226577274134902,0.3743603518539732,-6.307967353916768,-6.2059090832087,-2.481174353630312,-1.5403434112065564,-14.70671844482422,2.2413453926523044,-12.532171579164878,2.173820167602175,-10.82465765906162,28.596912635551703,25.997097687151445,24.127780734084723,30.65757320773217,26.14971016937832,10.975817680358888,30.08986507553652,23.471369698782947,32.80904174562003,20.752220466488694,1.4933170686953366e-06,1.2984631126109045e-06,-1.213053818853376e-05,0.0012772661284543,9.464571952237583e-06,0.0005529523398515,-1.0486416605128712e-05,8.774515323910959e-06,0.0071163153431067,-0.0005748483421153,3.229729363810625e-06,5.312175250360159e-06,-0.0001207743653573,-4.85771788640394e-06,6.766877049813047e-05,0.002113837217621,-8.76069120798439e-06,-8.009841482047565e-05,0.0001838552028251,9.75434003167133e-06,20.73518368516348,30.96478763333832,22.78934698795865,10.267651896275796,6.629045306201192,69.84287943792273,30.201813071995677,14.709386731928037,12.120400889238752,13.28763228865419,13.39202682773702,24.96917721598575,61.16589952460788,10.591507293913985,36.838895193001456,60.38307936727936,10.62833655056829,28.086097645812995,23.498463458540694,24.27731086605657,24.131686602007377,-5.178734620249887,4.705480454017714,23.2857999100755,13.50562016448746,16.320618152919714,36.68066677006486,7.421573472215736,-2.2283217987825643,13.003966531274989,18.777104873769893,19.688780613156325,35.75773869741736,12.046429379924106,32.81008170382759,1.4173577842601357,-9.152426445986288,27.58946884972571,59.73781440882575,-6.766357605826076,0.4378361807823125,4.692492051823808,5.222633707810044,-0.1462163228476225,-8.500541730967628,-3.058579210814293,-1.6066075399687156,5.15370345799253,2.7962538420982903,-0.8050215256121444,2.344550892547711,2.2831897709677333,2.102137658914258,-1.6131589720308517,9.399707065645009,-1.7703333845929403,4.008063356546033,-9.526204814152774,-3.420432735450353,8.459881098039002,0.2497908695198123,-0.7889021487909907,1.3876741224864744,-0.9916245937347412,0.6014186507709578,1.003317093793607,-0.0737905935608448,-0.9864604678647272,-0.310165554586518,0.4292706665519166,-0.9085503575238046,-0.0817929203895961,0.2796652936780384,2.9601096243098164,-0.4930207971483469,-1.2651598227379446,1.1067485809326172,-0.5885440783828542,0.6379375432399994,1.1188045062900456,0.0018500114003053,-0.2935128982167646,-0.0539567535703821,0.0984868832890646,0.7579477837211208,-0.2100914493075366,0.9441923011432994,0.0692847074411592,-1.484583502724057,0.3147885542666889,-0.1803164266877704,-0.0444428970755683,0.7688961245796897,0.1726443512481268,0.0993774674862904,-0.0294979933033308,-0.2828192533175835,-0.1161139524547305,-1.2797760386620798,0.6739246672478275,0.1927950234098625,-0.1070743958044254,-1.3424660723942976,0.576876694634116,0.2010461091995239,-0.3061535269532052,-0.7447680028585287,0.0354453649106559,0.0126044265925884,-0.1670212191235911,0.1459747978840449,-0.0651653829648736,0.8616876952788409,-0.0964199241838957,0.0571556499180121,8.476289419027475,0.1254688207908267,-0.0229025105126227,-0.3535835050988472,-8.4664948284626,11.791752444373238,-0.6078541874885559,-0.0003414705710171,-0.7657699679073534,1.2528347427194768,0.1265856629562756,0.147275172592885,-0.2065838066809767,0.1464234450445746,-0.5645148583820888,-0.0144857097956467,0.0170010012866806,-0.2105428978748119,0.1455796766094863,-0.0240651825148202,0.1410786971086409,0.4912788096146706,-0.4988358936448028,0.0404467084668219,-0.6116769634760343,-0.0602000379344312,1.9279375672340395,0.0236108303607369,-0.7290021731303288,0.0258283640601133,77.3419976234436,6.089940294623375,-0.0490019504593389,0.0041921711098915,-1.819506453143226,1.46,-0.56,-0.93,-2.2,-1.16,-1.03,0.7,-0.25,-0.08,-1.04,2
1965-03-01,-4.2614475103411855e-05,2.3507034039290443e-05,7.473664843364452e-05,-2.040019458791099e-05,6.784877350745384e-06,-6.943844750924455e-05,-8.765207566866265e-05,0.000109258567534,4.382410560806061e-05,0.0017975353694055,-7.644506288574314e-05,5.223459362286869e-05,1.718906976096071e-05,7.617035461684922e-05,-3.083415678577653e-05,-5.441156250560867e-05,3.2514858399277895e-05,-9.915750517508044e-05,0.0001286667623152,-2.4100152131723007e-06,,,,,,,,,,,1107.711705180696,1135.4203396995597,1326.629958506755,1058.230122410974,1014.9360929216656,1198.397995355561,1244.33017721386,1037.4270064282075,1191.5252059086326,1787.4338250411186,16.698148397094045,44.52303513236667,17.621273778456843,75.38394078551998,39.93120282277936,25.48765775536289,72.71316359847879,39.08465738165869,55.4901666510595,26.601375533555164,36.3990433308301,59.00562449199398,18.21983758505289,63.44112948836567,34.65078035591537,80.88496625423431,23.216772969089337,91.270276457527,54.285602180325256,29.20928407222667,39.40207486225264,69.98723616386152,51.491354432557245,21.47443620782149,42.9398356398491,26.353984353429983,53.12263414517516,29.361794530128943,62.89707469520064,75.88225603103638,53.09696603328624,46.75820822534264,87.01994340498369,64.05878748212542,76.04447964629436,28.09053877709617,85.8330249786377,69.86784152686596,26.18760201905178,50.09035087493529,-0.8220463868353393,-8.387913943836523,-8.15687198338546,-4.291402216880552,-2.931230376672873,-16.311138153076172,0.8738018437681427,-14.662235919560226,0.7939244181687979,-13.0665837741289,0.5336045686687741,-6.836163172931791,-6.699812506127545,-2.6996053418805523,-1.6011578535455258,-15.07748794555664,2.2114864027643777,-12.932831773134035,2.26546625493772,-11.549808549099282,28.862430237151763,25.59055652258531,23.748099710058977,30.563927312051096,26.193165329267394,10.70174503326416,30.16487328402967,23.206284335840525,33.016046330658625,20.14597478460093,1.1961542294475156e-06,1.1789299166088415e-06,-1.1013787163966826e-05,0.0009860219142865,8.967292513505668e-06,0.0005690470888194,-1.0990630598885352e-05,8.151842726450223e-06,0.0056190328905358,-0.0005039909328016,2.908736264760678e-06,3.734367126639882e-06,-3.948572113932598e-05,-4.095468267630281e-06,7.371042859934582e-05,0.0018203327272203,-8.969861179745447e-06,-6.742765645657737e-05,0.0001151310647805,9.760354530046904e-06,15.619590554760592,22.53526444461815,23.441461260361205,9.23599289430528,5.705604019752202,68.71699787040382,28.62576792843931,16.081470186932982,12.995789841620695,13.52878989463682,17.22513860063549,23.561470334552325,57.48876691884201,9.677599202136914,37.315166718911264,47.82213489361702,10.256763609765237,29.131188267778008,21.906038382736728,22.02685367022137,22.165186950231444,-3.3672215518491164,7.657225091151809,23.34531715024574,11.61471624910569,17.61582684662731,33.30340726934633,9.994133015987703,-1.1766969590490244,12.448817495009896,19.215651783797544,18.10964736266998,37.32098673637682,16.270205164994504,29.785508940342357,7.042556199092328,-5.5674305479786605,26.13837752972309,57.37183477702441,-3.846976251788552,0.928579249335924,3.682040511770963,4.990022682369768,0.1055581326609908,-6.07989319037396,-1.8534885186190797,-0.738093480515675,2.863694029212001,2.0340879060023065,-2.818128399725063,4.312071038826338,0.3577430792165596,1.7377840579158832,-0.0743027931110404,7.54613597755426,-3.665025279641273,2.481913299008928,-7.6249133770149635,-3.169559038742931,4.601936293423067,0.0359064354670308,-0.610331751152953,0.8943309761443228,-1.053266183093742,0.5440204586546126,1.0768519692765528,-0.1332797640486356,-0.8434225772989208,-0.243809508062856,0.3899555934006221,-0.7281917186203475,-0.0913464860881076,0.2393312902981146,2.79479968375054,-0.2918244249975452,-1.3059639349216368,1.0760197929433877,-0.418218794335877,-0.0404017719816654,1.184644873003694,0.0065883355481284,-0.2351346145193261,-0.0589216113845004,0.1021395535935415,0.6961869566064133,-0.2238453405799015,0.4385466264052824,0.0103940569603726,-0.7001796506700061,0.3095337290465266,-0.1571023602176595,-0.0306644886960413,0.7656676119024103,0.1472297237660842,0.1164995625234067,-0.0947352205439815,-0.3109884073679475,-0.1124811051982864,-1.1160925511390931,0.617960340158951,0.2009711132875179,-0.1047163908768362,-1.2853778325594387,0.4706529999625753,0.149851307272911,-0.3079799429711619,0.0136911475027983,0.0288340166689225,-0.0838550520711578,0.0163251307566423,0.1082533532889122,-0.0719843207563953,0.6650905398761525,-0.0770658450691323,0.0735305211482904,7.4820225055401135,0.1458632174347128,-0.0140270841385181,-0.3270422864234311,-6.079064682126045,15.660946898990208,-0.4900156855583191,8.058432868613309e-05,-0.0322855567853701,1.1948422410271384,0.0636429579499813,0.1296044772408573,-0.2490463442758682,0.0574437463613149,-0.4106920787266322,0.0227584180607137,0.0299956595158054,-0.3086584090344055,0.2679315337445587,-0.0286669264691005,0.2635690315467555,0.395270226857601,-0.2634684028832809,0.0457265942741316,-0.4415569110558583,-0.0473657506518066,1.3501237332820892,0.0216210552025586,-0.8935990241857675,0.0249045257522304,29.5803964138031,4.355843365192413,-0.0466989172557293,0.0052221862071227,-1.1482534309228265,-1.84,-0.34,2.23,-1.99,0.04,-0.8,1.2,-0.13,0.11,-1.17,3
1965-04-01,-3.797739854215456e-05,2.619281676803445e-05,7.617272627001067e-05,-2.146627987196946e-05,5.952895167281116e-06,-7.019394492691984e-05,-9.242772714125816e-05,0.0001041500171038,4.755758513267542e-05,0.0016812117246445,-7.917803528387762e-05,5.4769870629152976e-05,1.7410442299934767e-05,7.57736021534736e-05,-2.982567010992815e-05,-5.1813055146134126e-05,3.275393018997114e-05,-0.0001001171767711,0.0001224240323915,-4.218926642352017e-06,,,,,,,,,,,1109.506619576552,1137.9209241077672,1322.9656102875956,1058.57147926508,1014.7316319601877,1200.4288921206016,1243.8966037591688,1038.380509821315,1188.8504162561858,1777.4679083573192,23.50461922544341,49.55781411433565,25.141139977485043,63.97378743901426,34.999035812179024,32.459763919605926,72.3686302497936,41.81238514103302,44.77837758521511,30.852348221856555,37.79345954979322,67.96686358568145,27.044689765887718,50.51487717673043,35.97737674880656,75.70305317640305,26.97727342150105,87.01371592483754,55.12638654297982,39.27320926747424,40.3554674332517,67.15226689240549,49.64212871268582,28.04496162816098,43.54160047557256,27.071295233921237,61.64264725362587,34.745068842050976,54.83334074986664,74.88019746892591,57.3173076548475,45.28272820179025,86.8391351385431,61.38016428266253,76.33428444150346,33.90905219064632,83.30359873564346,70.96777707338333,28.554026056282787,60.38953252585538,-1.5643348282837606,-10.147843570829188,-8.084465011836976,-5.802623071978169,-2.7333376863896044,-16.059219360351562,1.0667878281639285,-14.713040467734649,0.4700530387061253,-14.71583882316214,-0.0366451996532115,-8.399166551026157,-6.442498973035437,-4.008819364732312,-1.234472279921375,-14.669020652770996,2.5742311362760613,-12.764168454107836,2.1283406031060643,-13.006579289670851,28.69377607827658,24.48723151248956,24.437049054724024,29.72625732421875,26.95386274805609,11.475663185119627,30.92388796519084,23.88726127481906,33.31484140506085,19.138524180553,2.424777499888967e-06,-1.4609769529560553e-06,-9.83233803708572e-06,0.0020349620899651,4.430717725920928e-06,0.0004801891257309,-7.397759238778627e-06,9.354447012088315e-06,0.0053615309298038,-0.0004900452040601,6.538683403541366e-07,3.3562404844471487e-06,5.336600051599644e-05,-2.264390433477465e-06,7.036709575913846e-05,0.0015544921552645,-8.342020264492521e-06,-6.478096390940034e-05,1.3305265787898356e-05,8.923306595236704e-06,13.274262513736428,26.66177262263069,19.074420542947948,9.551976177176323,5.497860493504828,42.49069242687876,24.245606447151022,24.817662872970526,16.076463972089694,9.96138323392581,26.4147197700776,19.94727814243524,47.07169744663815,8.80251851449518,31.663308146915643,49.03165562502087,10.771328794663305,42.10737699005344,24.04890828134905,20.535909195222672,21.277855907309217,0.7713850137233608,13.218042019250342,16.973309546580662,9.953686591564054,25.85658787695507,26.974949224514067,7.324252881903308,1.8660773618511668,14.59669503576052,22.688068472512803,14.91255747968557,28.65347854853312,12.318124688178273,29.38738693766659,13.321558939862786,1.0221696213919105,39.45576941555996,49.22054112209529,2.7299379574605966,1.1784129940632586,4.748123285399305,2.3985678958982923,-1.6141303873709911,-4.468019999848815,-2.117558505719206,-1.724840905370136,-0.1064014390353889,1.956232109640465,-0.0320769678170634,-0.7665606891528304,-3.680973248935773,2.4309393235490493,-1.4973124640749886,2.2551490544276387,-0.5196967588755359,0.5966625816714104,-5.262246031694355,-3.1951621843496394,6.762621354235531,0.3710996454194208,-0.4334232781568878,0.9981548448778548,-0.8637054871629785,0.4366973679198396,0.7695030082355846,-0.0784160006532375,-0.1929797510477318,-0.4268901928656363,0.1698600000714602,-0.4958936014720793,-0.2566166515736019,0.3095205421048093,1.955340219580609,-0.7594492143163314,-1.0004683077173828,0.8392927372777784,-0.0755289137942552,0.0546311620286011,1.1317804708319197,0.1495925811948357,-0.059402232754033,-0.0589389709130966,0.0853448295400451,0.5958385216562372,-0.178450390722085,0.2098114822398532,-0.0503614225833191,-1.1157219182877314,0.2599566581127087,-0.1276239387139126,-0.0053118498172074,0.9616248174147172,0.1353114631927819,0.0902115521528839,-0.2225210816841425,-0.2347077810387501,-0.0980135301840757,-1.0250706826486895,0.3840556107281487,0.1697782466563235,-0.0940527261429413,-1.2108221650123596,0.5191476211039978,0.0755117461085319,-0.267382410598559,0.4157564387871669,0.0384811059439151,-0.2415452530840411,0.1138553988222066,0.1181477373911226,-0.0805941449522536,0.6581980140269303,-0.2910627346289785,0.0332275059265204,6.276406691624568,0.1146237516687029,-0.0015908614011696,-0.2433347702026367,-5.853269249200821,14.813077449798584,-0.476389467716217,-0.0037743307239863,1.021548164518256,1.0553457520224832,0.2403324795147729,0.0790906149705116,-0.2349378264278446,-0.0601262261893617,-0.1835213686738695,0.0765646472322418,0.1378794329879927,-0.2808462183382822,0.0082033657236024,-0.0358112890224488,0.2543318198948371,0.4605615177215674,-0.1858441510062287,0.0356977171199128,-0.4207134246826172,-0.0676023642100939,0.8525101095438004,0.003579671969279,-1.199087959069472,0.0210741700391803,158.55038166046145,9.768937528133392,-0.0232825295609294,0.0040077945370631,-0.8961507015758091,0.67,-0.44,1.02,0.64,0.62,-1.07,-0.9,-0.18,0.1,0.49,4
