,r900_cluster1,r900_cluster2,r900_cluster3,r900_cluster4,r900_cluster5,r900_cluster6,r900_cluster7,r900_cluster8,r900_cluster9,r900_cluster10
1965-01-01,56.241103663589016,79.2549101624766,48.011190053578964,42.679810197386026,80.18436008029514,87.2063707422327,93.72477546287845,78.85793467037013,86.86606630897772,51.91583332262541
1965-02-01,53.06121132590554,79.31155864312838,34.729655497782936,29.650719525062875,74.61764623248388,76.89943666811342,92.03257100233037,72.9766262033598,86.32310839811753,44.57473152562192
1965-03-01,57.74977944113992,79.49152185116516,24.43800436483847,22.35458060486676,77.42913745698475,60.419213330304174,91.3292976926049,67.10902563209741,86.17112145980096,46.843263726485404
1965-04-01,62.13556000680635,79.50767299882882,24.609205916121198,24.477031132946276,81.6327873108879,61.86798413594563,91.1619501321858,63.09866566475623,86.38330962054852,39.888869837710736
1965-05-01,64.8992480653705,79.07456684225677,16.10591682227882,21.783473393688464,87.19925168960813,57.98679457770453,81.07456314229519,47.80004741064186,87.44851208608085,32.46061325073242
1965-06-01,68.10213724772136,78.11762175101826,18.244802114125843,42.890504288346804,90.86756146143354,103.89968377572518,77.00601857027904,44.775536542381744,87.05023469337473,36.15276537443462
1965-07-01,73.65361300381747,78.15941146542876,20.193612382218642,64.36879928797892,94.26903618706598,116.30918361522532,74.54903742234654,39.75784218376452,86.36066791739408,33.54787324604235
1965-08-01,72.42770339503433,78.32208816691225,26.21345313819679,76.51943050018728,96.06734987289187,132.37444559733072,70.11425101497092,42.83147718085617,86.95786852355397,36.14821183054071
1965-09-01,64.22603491580848,78.20425384268077,27.574889724319043,73.84670205312233,95.37880064949157,146.3367532800745,72.11543407024253,49.44640196086279,87.11418861799127,35.650723105982735
1965-10-01,58.99218010179924,79.43433261568154,36.14145227380701,51.81738971030875,88.05956764826699,129.80477721602827,80.68485200590806,57.947930091065786,87.2933768976094,38.51208235088148
1965-11-01,57.96181187485204,79.73936992749343,43.74703484612542,39.915231156022585,85.83200121682788,97.46295787669993,84.00569689979434,66.95075321718643,87.74099137492449,43.81672307064659
1965-12-01,58.919800267075054,79.39778980694066,44.001134923986484,40.32457168788126,83.38989015609499,84.26305276376229,91.14261520243137,72.52281063892802,87.69401510296143,49.915014568128086
1966-01-01,57.07767602169153,79.90384537412886,36.38897457638302,33.79412089308647,79.29995703318762,75.97994980988679,92.84914913949937,74.87330202196465,87.45880326937254,51.57373528731497
1966-02-01,60.723576401219226,80.40058774031779,38.075433679529134,30.779221939713988,80.59962075854105,67.94365247090657,96.18663847260757,73.13595547702143,86.41094392748991,52.25789923416941
1966-03-01,54.869606711647734,80.01817995118925,25.718337394095755,20.903964891825638,74.67153882223462,44.97714925695348,90.31587166949596,67.00534299423134,87.14508616596187,40.20724045602899
1966-04-01,65.0667109633937,79.70912747818663,22.142759787069785,21.70533741990181,83.26301574707031,53.16329885412145,87.75627159998054,56.608694107806095,87.07644561327614,36.72974536293432
1966-05-01,65.11709039861506,78.76913855791375,19.912611471640098,30.163655215746736,88.58688838898189,81.24844233194986,82.82264519331983,52.420402485164786,87.13557242097268,36.61626313862048
1966-06-01,70.17638697768703,78.36115419652539,17.272334743190456,42.13141088616358,93.02060566251241,100.75415858515986,78.2534792415821,46.6269216902269,87.14404724841037,36.442479585346426
1966-07-01,75.28373718261719,78.4131481129928,19.670122507456185,58.95070637742134,96.62574162558904,112.55205648916738,72.67422780069607,41.13892101850666,87.27843458343146,35.21352065236945
1966-08-01,74.02757586854877,78.02594683772729,23.26841302820154,78.85766225318386,96.40414525592138,140.89255156340423,70.85533260927765,40.479013828631956,87.31446722388111,37.596104270533516
1966-09-01,69.91403753107245,78.49514917122512,28.870849609375,76.5020396611462,97.11133684430804,149.45567095721208,74.33723616080121,49.724182795957134,86.93681469438586,37.3210334777832
1966-10-01,61.91227074825403,79.358906593187,34.79652817184861,54.422326283912135,91.06791662791419,130.60168866757994,78.59416022850345,55.755227511046364,87.52171477671533,38.08804261057001
1966-11-01,57.0931660045277,79.85667390472666,44.04614010372677,44.11418862538795,85.30916849772136,106.37962553236218,85.32185777325496,63.63651921840313,87.96991170780687,40.8790417721397
1966-12-01,58.09093128551137,79.39208540910786,42.15659064215583,39.30753681757679,83.31414480057974,93.72391524138273,89.83740643177448,70.82034668635801,86.88178756133914,46.19652999074836
1967-01-01,56.74925601843632,79.4248370513373,45.55425695470861,32.99119243883107,77.96262953016493,63.28795044510452,91.71894346813546,70.26696752329342,87.22451536246083,51.131069785670235
1967-02-01,57.73841164328836,78.93560733093769,38.04696572793497,31.12018010387682,75.07771688794332,50.15921945925112,94.91744709906177,76.83289324650998,86.72047186335293,58.07075500488281
1967-03-01,60.67089658794981,79.61648373134338,28.043767568227405,26.733016967773438,78.69331723167782,70.6452899509006,93.92624139043029,70.08877947030822,86.14335816309618,47.99584639699836
1967-04-01,62.53637834028765,80.31222251810638,25.622630763698268,27.881580509551586,82.65589153955854,85.08727108990703,93.06078759309287,69.69083984041474,87.2938108631699,43.476094697651114
