,vws850-200_cluster1,vws850-200_cluster2,vws850-200_cluster3,vws850-200_cluster4,vws850-200_cluster5,vws850-200_cluster6,vws850-200_cluster7,vws850-200_cluster8,vws850-200_cluster9,vws850-200_cluster10,vws850-200_cluster11
1965-01-01,4.037280559539795,18.451457977294922,17.35482406616211,7.519267559051514,16.07946014404297,16.175851821899414,13.766356468200684,5.763899326324463,15.608678817749023,8.523357391357422,19.090478897094727
1965-02-01,9.7163724899292,14.717357635498047,22.296939849853516,1.8890869617462158,18.63467788696289,12.533713340759277,20.793033599853516,5.523484230041504,20.257753372192383,7.487673282623291,19.355575561523438
1965-03-01,3.394277811050415,15.694879531860352,21.433292388916016,15.082874298095703,12.508268356323242,19.688549041748047,20.49752426147461,6.410009384155273,7.582005500793457,9.910384178161621,12.106941223144531
1965-04-01,1.9377065896987915,20.455957412719727,31.632814407348633,25.029273986816406,10.546404838562012,4.067753314971924,25.116697311401367,15.568597793579102,32.043704986572266,5.1967267990112305,33.21735382080078
1965-05-01,12.167116165161133,24.235471725463867,39.56475830078125,26.780134201049805,25.143911361694336,6.445035457611084,41.994991302490234,11.601608276367188,31.882728576660156,10.264780044555664,36.16999816894531
1965-06-01,19.692399978637695,40.316497802734375,44.55560302734375,20.132606506347656,25.618295669555664,8.063764572143555,52.39460372924805,5.522185802459717,28.670068740844727,22.316482543945312,37.187957763671875
1965-07-01,20.408912658691406,28.66597557067871,51.51399230957031,26.048912048339844,19.78742218017578,15.750509262084961,49.42289352416992,9.416318893432617,26.364274978637695,21.85418701171875,38.48533630371094
1965-08-01,12.05849552154541,21.214752197265625,54.333778381347656,25.088777542114258,21.738615036010742,6.965790748596191,36.23093795776367,17.714773178100586,32.00459289550781,13.330246925354004,42.96537780761719
1965-09-01,8.97928237915039,20.544036865234375,40.457950592041016,28.030071258544922,16.638776779174805,9.980101585388184,38.40575408935547,11.973920822143555,30.766433715820312,15.305107116699219,35.35419845581055
1965-10-01,9.380205154418945,23.097124099731445,35.83551025390625,21.26997184753418,23.156583786010742,5.704941272735596,31.222843170166016,14.454228401184082,31.8659725189209,7.5094404220581055,38.00428771972656
1965-11-01,5.073436260223389,21.34372329711914,38.649593353271484,20.827075958251953,11.1333646774292,3.936594009399414,26.63804054260254,12.813007354736328,31.38840103149414,7.59350061416626,37.30394744873047
1965-12-01,7.4415059089660645,15.029210090637207,29.230321884155273,12.981947898864746,18.592756271362305,5.832561016082764,18.749507904052734,6.759981632232666,22.150249481201172,12.895805358886719,28.61119842529297
