,zgu50_cluster1,zgu50_cluster2,zgu50_cluster3,zgu50_cluster4,zgu50_cluster5,zgu50_cluster6,zgu50_cluster7,zgu50_cluster8,zgu50_cluster9,zgu50_cluster10,zgu50_cluster11
1965-01-01,0.0791893,-0.07267189,-0.007820892,0.024441147,-0.029655457,0.0029331208,-0.029981231,0.12090282,0.026722718,0.119924925,0.017272186
1965-02-01,0.029655457,-0.105912015,-0.06419869,0.11047439,-0.092876434,0.07560501,-0.1026535,0.045297813,0.06745758,-0.038779832,0.040734865
1965-03-01,0.02281189,-0.017923737,-0.105912015,0.13361207,0.025744628,0.0,-0.009124756,0.16978511,0.0016296387,-0.022159958,0.05377083
1965-04-01,0.034217834,-0.15349121,-0.14110756,0.059310533,-0.008798981,0.11634026,-0.122206114,0.23105125,0.14110756,-0.007820892,0.040409468
1965-05-01,0.0084728245,-0.09906845,-0.013686943,0.083100125,-0.028351784,0.047253035,-0.022485733,0.053445052,0.09026947,-0.03454361,0.024441147
1965-06-01,0.057355117,-0.24767132,-0.043016434,0.20302543,-0.11536255,0.044646073,-0.11699219,-0.009450531,0.086359024,0.06028824,0.020204544
1965-07-01,0.04986,-0.16685219,-0.034869384,0.02118225,-0.079841234,0.06322136,-0.061265945,-0.006191635,0.13915214,0.0410614,-0.026070785
1965-08-01,0.017923737,-0.31447715,-0.008147049,0.081796646,-0.09580956,0.029981231,0.06191788,0.027374268,0.18053894,-0.021182632,0.00032577515
1965-09-01,0.039432526,-0.28384417,0.025418853,0.088966176,-0.075279236,0.033892058,-0.1525135,-0.0065177917,0.087336734,0.022486115,0.074301146
1965-10-01,0.035195924,-0.229422,-0.068761446,-0.03584709,-0.14697342,0.038128663,-0.06648026,-0.043668367,0.07560501,-0.027374268,0.097113416
1965-11-01,0.08016739,-0.09124718,-0.107867435,-0.122206114,-0.15740165,0.036173247,-0.09026947,-0.063547514,0.009124756,-0.01173172,-0.01401329
1965-12-01,0.013035583,-0.10004616,-0.16945915,0.003910446,-0.015642548,0.060940553,-0.07267227,-0.082774356,0.07625656,0.011405945,-0.06680603
1966-01-01,0.089278415,-0.10175095,-0.038731385,0.021006774,-0.038731385,-0.021006774,-0.0091903685,-0.08698044,0.009518432,0.061707307,0.025273895
1966-02-01,0.0623642,-0.0922329,-0.16608429,0.03347931,-0.033151247,0.0019691468,-0.025930023,0.0059082033,0.06630249,0.039715577,-0.07286682
1966-03-01,0.069913484,-0.07483635,-0.08993492,0.12407112,-0.022647858,0.035777282,-0.017724609,-0.07483597,0.051203918,0.060394287,0.07614975
1966-04-01,0.042341612,0.03905945,-0.06564598,0.04562416,-0.1273531,0.044638824,-0.038402937,-0.053173065,0.057440184,0.04431076,0.0728672
1966-05-01,0.038731385,-0.16608429,-0.018052673,0.05940952,-0.092889026,0.011160279,0.092889026,-0.09485855,-0.038731,0.064661406,0.18216744
1966-06-01,0.023304367,-0.15000096,0.061379243,0.043326378,-0.16608429,-0.023304367,0.05054741,-0.062363815,0.2336998,-0.023304367,0.025930023
1966-07-01,0.089278415,-0.24650078,-0.26159936,0.042998124,-0.18249588,0.08960686,0.03150978,-0.037418175,0.105033875,-0.099782184,-0.058096696
1966-08-01,-0.0042671203,-0.11356773,-0.079431534,-0.068928145,-0.09059143,0.20120506,0.04365463,0.02494545,0.15295525,0.041685294,-0.10437699
1966-09-01,-0.025601959,-0.03413601,-0.0019695282,0.018708993,0.008534241,0.057440184,0.03905945,-0.04628048,-0.050219346,0.025601959,-0.043326568
1966-10-01,0.06269188,0.04365463,-0.17166404,-0.072538756,-0.098797224,0.07286682,0.032494735,-0.08895016,0.021006774,0.036761858,-0.030525208
1966-11-01,0.09846916,-0.11159821,-0.15295525,0.0170681,-0.09059143,0.10339241,-0.030197144,0.05186043,0.03347931,-0.010174942,0.09912529
1966-12-01,0.116522215,-0.044639207,-0.059409715,-0.11258278,0.0006565094,0.065317914,0.0091903685,0.14409295,0.020022202,0.042341612,0.113895796
1967-01-01,0.029389191,-0.018286515,-0.10482063,-0.08326874,-0.048001863,-0.0065307617,-0.020245362,0.16392517,0.0048980713,-0.04343033,0.018286515
1967-02-01,0.06041031,-0.050614547,-0.11592331,-0.068574145,-0.0414711,0.0009796142,-0.0032653809,0.22629508,0.0068572997,-0.14661828,-0.07510529
1967-03-01,0.05322647,-0.029715348,-0.12506637,-0.013714599,0.044736482,0.09992256,-0.061717223,0.0950243,0.04343033,-0.040491484,-0.026776886
1967-04-01,0.02253151,-0.12637253,-0.114616774,0.12212753,-0.0225317,0.094371416,-0.13551597,0.08751373,0.07967682,-0.096004106,0.05322685
1967-05-01,0.0009799957,-0.19462033,-0.06759472,0.12898502,-0.09306507,0.003918457,-0.07771759,0.088819884,0.19037513,-0.061716843,0.05747185
1967-06-01,-0.021551896,-0.33209532,-0.00881691,0.10155525,-0.08261566,-0.0042449953,-0.03657303,0.10253525,0.12767868,-0.03657303,-0.015673827
