,mslGLB_cluster1,mslGLB_cluster2,mslGLB_cluster3,mslGLB_cluster4,mslGLB_cluster5,mslGLB_cluster6,mslGLB_cluster7,mslGLB_cluster8,mslGLB_cluster9,mslGLB_cluster10,mslGLB_cluster11,mslGLB_cluster12,abs_vo850GLB_cluster1,abs_vo850GLB_cluster2,abs_vo850GLB_cluster3,abs_vo850GLB_cluster4,abs_vo850GLB_cluster5,abs_vo850GLB_cluster6,abs_vo850GLB_cluster7,abs_vo850GLB_cluster8,abs_vo850GLB_cluster9,abs_vo850GLB_cluster10,abs_vo850GLB_cluster11,abs_vo850GLB_cluster12,ssta20GLB_cluster1,ssta20GLB_cluster2,ssta20GLB_cluster3,ssta20GLB_cluster4,ssta20GLB_cluster5,ssta20GLB_cluster6,ssta20GLB_cluster7,ssta20GLB_cluster8,ssta20GLB_cluster9,ssta20GLB_cluster10,ssta20GLB_cluster11,ssta20GLB_cluster12,vws850-200GLB_cluster1,vws850-200GLB_cluster2,vws850-200GLB_cluster3,vws850-200GLB_cluster4,vws850-200GLB_cluster5,vws850-200GLB_cluster6,vws850-200GLB_cluster7,vws850-200GLB_cluster8,vws850-200GLB_cluster9,vws850-200GLB_cluster10,vws850-200GLB_cluster11,vws850-200GLB_cluster12,EA-WR,ENSO3.4,EP-NP,NAO,PDO,PNA,SOI,TNA,TSA,WP
1980-01-01,126841.88552057356,103358.21821732954,103532.55997474748,104799.24903100776,114794.31778169014,144377.384478673,106865.04009226713,146557.91766826922,102898.5907643312,121037.20820783133,107955.9829059829,132921.66309232026,-5.312404065844934e-05,8.698242661347124e-05,6.291652594531888e-06,-8.13934238976799e-05,3.629189802873223e-05,-4.233760811717876e-05,0.0002523937837395,2.2085212457713775e-05,-6.769709923055473e-05,5.509647711858571e-05,0.0001101430751411,-1.0904671795132231e-05,-2.6729800718293775,-0.4979321152108524,-10.37922939368054,-10.578091939290363,-8.46744258654172,-1.1580469859082525,-4.952146965160704,0.9012034426541088,-15.417347740881224,-3.7204467081556136,1.7140332792626052,-14.650384856433403,31.479392813514007,18.0515974162782,22.923732980641084,10.035177800571493,76.12158971636569,23.734054903780123,27.112672732277545,59.25271429689179,40.51831691873283,27.402119111524936,18.420377970646157,15.889708370524204,0.31,0.54,0.53,-1.38,-0.11,-1.01,0.7,0.4,-0.15,-1.71
1980-02-01,127059.74322007482,103322.6935369318,103525.37878787878,104926.40302002584,114856.65052816902,144151.61803909953,106890.8790092267,146786.0576923077,102929.27149681529,120874.35052710844,107919.95693108976,132863.85059232026,-5.359215111224269e-05,8.60628151974271e-05,7.016862317174546e-06,-8.156480471370742e-05,3.5874103407512956e-05,-4.145164131057246e-05,0.0002540606146794,2.292959905781911e-05,-6.892099871988272e-05,5.451437541994202e-05,0.0001115375368125,-9.98101639460192e-06,-2.1194082369907297,-0.9531044666099984,-9.513831349600734,-11.639493703842165,-9.808471322603966,-0.567820404724377,-4.271060876679002,1.0727866206713634,-16.692159593719797,-4.523323563968434,1.5536300634425846,-13.49426641696837,29.007300814531355,18.58759440656075,23.35287724990498,10.871930949312778,76.17424172235056,24.535742403031513,19.37350920594354,59.69126020243514,42.27665177747026,27.573033969706906,16.935546643010646,14.85484676630772,-0.3,0.22,0.86,-0.39,1.32,2.03,0.5,0.41,-0.34,-0.5
1980-03-01,126646.7074501247,103313.98792613635,102941.02746212122,104884.19331395348,114720.40492957747,143881.44623815166,107023.20271309314,147115.04281850962,102868.40465764332,123086.24811746988,108062.34809027778,132551.6544117647,-5.151637139750613e-05,8.614682987929461e-05,5.88676702455221e-06,-8.211409294744954e-05,3.702025784583176e-05,-4.1353223638877194e-05,0.0002901489278883,2.5192583903457695e-05,-6.749571740751861e-05,5.5344801318103144e-05,0.0001091056784381,-1.3370511157182603e-05,-2.1725190200394007,-1.1044163427768496,-10.06816467352673,-12.024391690889995,-10.16095566422972,-0.517418335487203,-4.546464786194918,1.0798569989803175,-17.219354688506765,-4.799343744913737,1.5221030985722777,-14.69200273839439,36.395728752279936,17.27025220641219,25.372503037388235,8.713335705960954,63.711795317423984,28.414221315741905,27.516686004618183,59.34672549261585,36.692793864415925,20.849364383484897,11.420305769113485,15.722310917242677,-1.42,0.03,0.15,-0.73,1.09,-0.64,-0.7,0.17,-0.26,1.09
1980-04-01,126620.53460099752,103366.04847301135,102408.79103535354,104974.3963985788,114798.60475352113,143466.15817535546,107152.460456942,146960.85486778847,102839.64868630574,123234.39382530122,108249.42407852564,132374.39746732026,-4.9723871502826554e-05,8.509933045323333e-05,4.9505963129894055e-06,-8.319922053487972e-05,3.811847550283178e-05,-3.8775819534727184e-05,0.0002874238089134,2.606027496780376e-05,-6.8575357520239e-05,5.652228647422504e-05,0.0001060650345384,-1.6393257774422593e-05,-3.0151176795685037,-0.5721379686659629,-11.574341132577542,-11.683873335520428,-9.5558162149229,-1.250616597329698,-5.698974843610797,0.769325061679975,-17.032971332982644,-4.192940581078624,1.567472981624916,-16.55240175200672,31.131333143533254,21.225304398459546,22.648928572815567,7.48826015311114,49.94608939776454,36.08128595780126,18.944827734817967,47.52373107571455,30.51723565985001,21.365548241183276,14.266388281618664,28.86112324657496,0.3,-0.07,-0.75,1.26,1.49,1.66,-1.0,0.56,-0.11,0.72
1980-05-01,126523.20370947632,103496.5518465909,102033.9567550505,104997.71075581395,114839.3926056338,143107.84212085308,107347.36105008789,147125.99534254806,102872.25318471338,123282.32304216867,108488.49492521369,132140.90839460783,-4.854120264681266e-05,8.421237555412693e-05,1.6209976280576955e-06,-8.356876787729561e-05,4.026704535271874e-05,-3.7174898512017034e-05,0.0003282984471297,2.674166279364278e-05,-6.727159937553012e-05,5.7479361077702355e-05,0.0001040418601273,-1.73569286924122e-05,-4.263179679568723,0.1688656969628202,-13.079251230290508,-10.34175157546997,-8.11807771795961,-2.308661726916709,-7.046517991183097,0.2702788130877769,-15.155696868896484,-3.0855305054608517,1.8159291349039268,-17.95805582186071,27.960738653510976,22.689542987960667,26.549566215844266,8.65639059841549,37.31229379002609,44.29817375001484,14.172523142652407,40.068876524662514,22.656378411241217,13.60074051182304,12.246327134663009,33.14010189803527,0.24,0.08,-0.7,-1.34,1.2,-0.16,-0.0,0.71,-0.04,1.85
1980-06-01,126722.17308291772,103601.34232954544,101734.82481060606,104913.46091731264,115069.71610915494,142663.97363744077,107403.89114674868,147548.8544170673,102898.25835987262,123441.20858433736,108644.0404647436,132074.86468545752,-4.792231775963461e-05,8.531437329524621e-05,-1.3728702835553268e-06,-8.67295588250272e-05,4.431290809338961e-05,-3.523619072602828e-05,0.0003535940413712,2.547216766999111e-05,-6.790099751536444e-05,6.000534226743561e-05,0.0001014721403869,-1.71696240949117e-05,-5.1124818891072445,1.1435821925828216,-14.373456904318482,-7.495021820068359,-5.288865903741149,-3.1470778511791697,-7.9570572836357245,-0.4384731907890812,-11.499863064166195,-1.152967050963757,1.9357121490172784,-19.401193014005337,25.39509514928053,22.94133007893575,29.0831837336717,10.646108270992256,18.05847643529254,51.95410284616467,8.963958614378601,36.12630681812407,11.247421192307208,9.87548075862631,34.415032451068164,36.8113576563304,-1.86,0.21,1.59,-0.07,-0.22,-0.81,-0.0,0.47,-0.08,3.29
1980-07-01,126350.46563279304,103627.27627840907,101473.7610479798,104711.6904877261,115062.77068661973,142607.96060426542,107463.49406854127,147369.68149038462,102940.63992834395,123216.18034638556,108661.12112713676,131961.5247140523,-4.775807747707963e-05,8.770174901925795e-05,-1.9310709224506933e-06,-8.599472203059122e-05,4.5242519055068544e-05,-3.3862225269822634e-05,0.0003592316352296,2.409653578844464e-05,-6.704573341444602e-05,6.276694217251197e-05,9.985605050109152e-05,-1.691525885397954e-05,-5.924835479516777,1.6873527010646434,-14.76417220799269,-4.761920124292374,-2.3876648243159466,-3.83759700670475,-8.623649697554738,-0.8839860830677154,-7.752915018612577,0.4180046477738549,2.0591171712823253,-19.721492209085607,17.334271790927406,22.77958493720724,30.827291745605915,11.153850096033896,13.398893226293676,51.714271100248226,9.624368302364068,23.425694407764528,10.150954269256436,9.38246069232872,40.079516444867686,35.439486798388806,0.45,-0.06,-0.35,-0.39,0.23,-0.81,-0.1,0.19,-0.06,0.36
1980-08-01,126475.00389650872,103648.9240056818,101751.09690656564,104779.79449289406,115161.7011443662,142792.71697274884,107598.68189806676,147052.54657451922,102982.32484076434,123177.96498493975,108739.98063568377,132014.1237745098,-4.7752698900462534e-05,8.695790245872811e-05,-1.8877254811644228e-06,-8.32799938507378e-05,4.505732109296312e-05,-3.424730575759344e-05,0.0003361515337019,2.2853994572059715e-05,-6.567203416167749e-05,6.183459798445131e-05,0.0001013313728804,-1.745488078543234e-05,-6.371698962698738,1.859951333715281,-15.359699620609792,-3.1520823637644453,-0.792452529685138,-4.178384891370448,-9.154201641417384,-1.1904336954360684,-5.369435143224972,1.3483008216409125,2.0767850411177116,-20.672625564947364,14.265942868267125,21.662958239880492,31.078430730285827,11.1087863296175,15.120930104970103,46.2497971231706,10.350948772995352,28.3513597390601,9.75557203709299,10.706510747164224,41.79263818703664,33.09202843021777,1.18,-0.38,-0.15,-3.01,0.51,-2.03,0.6,0.29,0.03,-1.39
1980-09-01,126632.0370947631,103581.61754261365,102397.90877525252,104685.38840439275,115093.43970070424,143282.77547393367,107362.34072934971,147070.88716947116,102971.52468152868,122752.08960843374,108576.81957799144,132306.7835988562,-4.913553346029315e-05,8.351137185119467e-05,-5.929553382458219e-07,-8.324651280418038e-05,4.60728372348214e-05,-3.5203409261071296e-05,0.0003079698944929,2.334890337470144e-05,-6.695212149990608e-05,6.011145677771781e-05,0.000100705345669,-1.6872098466772385e-05,-6.584653579931466,1.915781145248938,-15.580606038591505,-3.709971656401952,-0.9594436241611498,-4.275855712774323,-9.449959470514663,-1.0019305498088331,-6.276177868400652,1.2696498749302885,2.1125433114925585,-20.677729815971563,18.373213599108347,20.3393593142597,30.0595323753569,9.47909021009748,20.33865951655195,40.98471262360558,10.40160558564496,38.70304205500938,9.113413809444989,6.966748541907393,27.94024733887041,33.288441066124406,-0.04,-0.28,0.43,0.79,0.1,-0.08,-0.8,0.21,0.11,-1.68
1980-10-01,127048.74337593516,103530.94904119318,102851.3336489899,104917.3974483204,115230.64480633804,143765.2732523697,107334.90361379612,146926.97190504806,102964.4078423567,122853.18147590362,108456.94277510684,132648.43494689543,-4.943138333432041e-05,8.19184323513778e-05,1.6792113574347602e-06,-8.257568842964246e-05,4.286831398679165e-05,-3.6724198197033393e-05,0.0002810120349749,2.68622042152428e-05,-6.966028081237352e-05,5.7141422640315486e-05,0.0001026813430255,-1.6753226293348657e-05,-6.166037038075839,1.608056472528965,-14.8849563261049,-5.2778661251068115,-2.299337681025675,-3.9849054522630647,-8.987678393983003,-0.5427657809431694,-9.016749785118495,0.489445428053538,2.113981542257229,-19.74907293552306,17.967201933178874,19.84901048689026,28.55075319079288,7.703322350626005,40.3330061401617,41.055200514253954,14.38140507500855,47.00949259245966,20.04020894707899,11.289957943171611,20.97594738606163,27.333668401045937,0.04,-0.26,1.24,-1.41,1.35,2.87,0.0,0.05,-0.03,0.68
