,vws_u250-50_cluster1,vws_u250-50_cluster2,vws_u250-50_cluster3,vws_u250-50_cluster4,vws_u250-50_cluster5
1965-01-01,-31.25871467590332,4.790482521057129,-24.675874710083008,-9.913368225097656,-11.69920825958252
1965-02-01,-26.502452850341797,1.5169868469238281,-12.919638633728027,-7.682696342468262,-19.714303970336914
1965-03-01,-32.857173919677734,6.411752700805664,-16.00412368774414,-11.342365264892578,-22.050888061523438
1965-04-01,-29.179582595825195,12.794175148010254,-24.995243072509766,-10.586315155029297,-8.461557388305664
1965-05-01,-23.08393669128418,2.6771316528320312,-27.595788955688477,-14.956409454345703,-13.571405410766602
1965-06-01,-14.130294799804688,-8.065608978271484,-20.62677574157715,-16.028564453125,-13.046733856201172
1965-07-01,-12.533466339111328,-12.18966293334961,-22.5755615234375,-13.752273559570312,-20.13143539428711
1965-08-01,-17.48363494873047,-6.954347610473633,-23.470108032226562,-11.322811126708984,-16.11166763305664
1965-09-01,-16.523906707763672,-11.614477157592773,-13.278108596801758,-18.575342178344727,-7.817939758300781
1965-10-01,-15.282293319702148,-17.257143020629883,-9.026966094970703,-24.853485107421875,-1.1780662536621094
1965-11-01,-21.6256103515625,-24.762235641479492,-22.9128475189209,-26.733827590942383,-7.759280204772949
1965-12-01,-32.64372253417969,-34.028724670410156,-16.859567642211914,-32.60624313354492,-0.4643840789794922
1966-01-01,-29.489818572998047,-33.96030807495117,-21.512187957763672,-25.784103393554688,-19.97771453857422
1966-02-01,-26.440561294555664,-30.776479721069336,-17.033493041992188,-22.534626007080078,-34.99423599243164
1966-03-01,-16.424625396728516,-25.554340362548828,-33.03470230102539,-30.858537673950195,-12.013215065002441
1966-04-01,-22.86285400390625,-22.421384811401367,-26.404455184936523,-26.87218475341797,-27.97339630126953
1966-05-01,-19.91535186767578,-13.304800033569336,-26.58662223815918,-27.807640075683594,-4.352329254150391
1966-06-01,-14.673517227172852,-5.581548690795898,-22.55103874206543,-14.604591369628906,-14.483144760131836
1966-07-01,-10.260469436645508,-0.7024116516113281,-23.218984603881836,-10.078298568725586,-26.28793716430664
1966-08-01,-19.807037353515625,10.939903259277344,-20.54391098022461,-3.6400680541992188,-15.58599853515625
1966-09-01,-18.61884307861328,10.833227157592773,-5.65704345703125,-4.852878570556641,-14.056447982788086
1966-10-01,-24.659915924072266,9.710683822631836,-3.7647972106933594,-4.550907135009766,-9.27741813659668
1966-11-01,-27.40555763244629,-0.5465030670166016,-19.052106857299805,-1.5951976776123047,-10.762660026550293
1966-12-01,-24.623809814453125,2.634044647216797,-22.48539161682129,-2.551987648010254,-6.343042373657227
1967-01-01,-29.630611419677734,2.8752212524414062,-9.974288940429688,-7.077842712402344,-10.049394607543945
1967-02-01,-39.0416145324707,5.0663299560546875,-17.795021057128906,-2.8931808471679688,-9.211808204650879
1967-03-01,-24.974092483520508,15.047151565551758,-23.83608627319336,-0.20409011840820312,-8.268095016479492
1967-04-01,-31.72702407836914,18.93629264831543,-28.628122329711914,-0.8310546875,-15.406350135803223
1967-05-01,-25.15859031677246,17.46684455871582,-20.621259689331055,-7.324382781982422,-10.803711891174316
1967-06-01,-17.34602165222168,17.404800415039062,-17.09947967529297,-5.859832763671875,-12.66501235961914
1967-07-01,-18.23095703125,11.789875030517578,-19.930620193481445,-1.0710620880126953,-16.707626342773438
1967-08-01,-20.833513259887695,14.087114334106445,-19.59754180908203,-3.4123878479003906,-14.621011734008789
1967-09-01,-15.603909492492676,15.788408279418945,-11.990699768066406,-1.7763996124267578,-13.063397407531738
1967-10-01,-13.566272735595703,2.489898681640625,-11.709871292114258,-8.318710327148438,-3.1854381561279297
1967-11-01,-36.781925201416016,-7.11702823638916,-12.521332740783691,-9.8355073928833,-4.214052200317383
1967-12-01,-29.839599609375,-7.144783973693848,-14.292835235595703,-20.030214309692383,-13.724647521972656
1968-01-01,-23.497970581054688,-10.836380004882812,-24.096040725708008,-20.761070251464844,-14.242464065551758
1968-02-01,-27.383607864379883,-2.809835433959961,-27.71910858154297,-0.4175548553466797,-21.158567428588867
1968-03-01,-30.764162063598633,2.9228878021240234,-23.780595779418945,-9.474311828613281,-15.473251342773438
1968-04-01,-35.370033264160156,-2.9228858947753906,-31.050434112548828,-20.30340003967285,-18.43260383605957
1968-05-01,-24.818099975585938,-5.109127044677734,-16.811613082885742,-18.06245994567871,-16.685802459716797
1968-06-01,-16.29377555847168,-5.936943054199219,-17.45891761779785,-13.026264190673828,-11.286754608154297
1968-07-01,-12.296911239624023,-7.937198638916016,-19.93689727783203,-17.424274444580078,-19.006969451904297
1968-08-01,-9.443313598632812,-12.408138275146484,-17.342220306396484,-15.600887298583984,-14.054655075073242
1968-09-01,-19.20024871826172,-11.140884399414062,-13.575103759765625,-15.01193618774414,-10.371417999267578
1968-10-01,-17.5592041015625,-13.323478698730469,-9.335735321044922,-19.35706329345703,-15.002817153930664
1968-11-01,-24.923856735229492,-23.541730880737305,-10.832733154296875,-19.876728057861328,-10.562871932983398
1968-12-01,-31.914718627929688,-24.209089279174805,-12.389904975891113,-24.20362091064453,-4.376125335693359
1969-01-01,-23.985572814941406,-24.934316635131836,-20.60029411315918,-26.740571975708008,-12.582433700561523
1969-02-01,-31.07128143310547,-24.20783042907715,-25.786855697631836,-30.014728546142578,-24.418476104736328
1969-03-01,-34.9840087890625,-27.16684341430664,-24.254274368286133,-23.215965270996094,-31.552282333374023
1969-04-01,-18.12560272216797,-9.233642578125,-29.70787811279297,-18.825551986694336,-0.5788650512695312
1969-05-01,-11.192493438720703,0.10449409484863281,-23.617355346679688,-13.622400283813477,-12.803030967712402
1969-06-01,-21.675090789794922,8.731075286865234,-16.748933792114258,-10.683292388916016,-14.672317504882812
1969-07-01,-15.226303100585938,15.592863082885742,-15.584571838378906,-1.06982421875,-13.990617752075195
1969-08-01,-14.022132873535156,17.79387664794922,-15.108539581298828,1.1925621032714844,-19.497297286987305
1969-09-01,-14.838180541992188,9.961784362792969,-12.015178680419922,2.6936283111572266,-8.230165481567383
1969-10-01,-24.637420654296875,6.027492523193359,-6.160182952880859,-3.8762378692626953,-7.3560638427734375
1969-11-01,-24.111631393432617,2.622307777404785,-18.875308990478516,1.0515766143798828,-13.590887069702148
1969-12-01,-32.081390380859375,1.2672004699707031,-19.293285369873047,-5.372331619262695,-2.093202590942383
1970-01-01,-32.77520751953125,0.15474891662597656,-20.29044532775879,-0.9051990509033203,-27.806594848632812
1970-02-01,-25.139251708984375,3.3828506469726562,-20.38861846923828,-11.810857772827148,-0.3228111267089844
1970-03-01,-24.734909057617188,0.434295654296875,-22.282217025756836,-7.764081954956055,-21.27884292602539
1970-04-01,-40.16822814941406,0.5524368286132812,-16.648014068603516,-19.42684555053711,-24.30893325805664
1970-05-01,-15.696226119995117,1.2230186462402344,-30.300886154174805,-11.421487808227539,-20.29044532775879
1970-06-01,-16.774477005004883,-6.860546112060547,-20.238862991333008,-14.083839416503906,-16.42837142944336
1970-07-01,-14.736114501953125,-8.5328369140625,-21.92113494873047,-13.118736267089844,-23.400402069091797
1970-08-01,-16.641357421875,-9.672653198242188,-22.044267654418945,-18.483375549316406,-18.55658721923828
1970-09-01,-16.41006851196289,-16.489938735961914,-20.807937622070312,-17.85772132873535,-11.39486312866211
1970-10-01,-21.556726455688477,-20.82124900817871,-20.74471092224121,-19.769622802734375,-11.489709854125977
1970-11-01,-20.167312622070312,-24.78815460205078,-23.751502990722656,-22.81635284423828,-10.38150691986084
1970-12-01,-31.126216888427734,-26.87144660949707,-17.56818962097168,-35.04985427856445,-8.907230377197266
1971-01-01,-31.006202697753906,-27.84450340270996,-19.561378479003906,-31.902780532836914,-20.3305721282959
1971-02-01,-31.772132873535156,-24.370882034301758,-20.325672149658203,-29.30777359008789,-8.26842975616455
1971-03-01,-35.3911018371582,-18.579879760742188,-21.08343505859375,-26.302852630615234,-4.610267639160156
1971-04-01,-24.2059383392334,-9.970129013061523,-31.71497344970703,-21.370861053466797,-13.505810737609863
1971-05-01,-28.231552124023438,3.0049209594726562,-27.383968353271484,-19.767148971557617,-10.796483993530273
1971-06-01,-13.69198226928711,7.159549713134766,-21.233680725097656,-11.719186782836914,-14.284805297851562
1971-07-01,-23.164016723632812,4.131765365600586,-21.524375915527344,-7.62171745300293,-20.208087921142578
1971-08-01,-18.313682556152344,15.877082824707031,-19.22658920288086,-2.372905731201172,-16.587486267089844
1971-09-01,-19.012653350830078,11.727354049682617,-12.514514923095703,-2.6113414764404297,-18.989789962768555
1971-10-01,-21.67298698425293,6.878654479980469,-9.570018768310547,-2.5933761596679688,-11.039814949035645
1971-11-01,-28.883163452148438,3.545480728149414,-12.54554271697998,-7.319594383239746,-5.034875869750977
1971-12-01,-27.779178619384766,2.0936450958251953,-4.892793655395508,-11.858001708984375,-7.827489852905273
1972-01-01,-27.762100219726562,6.194540977478027,-17.219331741333008,-12.225539207458496,-11.762166976928711
1972-02-01,-28.03610610961914,3.344019889831543,-23.891590118408203,-6.723902702331543,-14.348726272583008
1972-03-01,-26.667512893676758,6.157240867614746,-33.12314987182617,-5.899015426635742,-10.998968124389648
1972-04-01,-29.675840377807617,10.808168411254883,-22.693710327148438,-5.371088981628418,-4.520380020141602
1972-05-01,-20.246307373046875,6.601963996887207,-22.045278549194336,-14.486446380615234,-5.488725662231445
1972-06-01,-18.785900115966797,-4.3037567138671875,-15.731668472290039,-14.476404190063477,-13.335908889770508
1972-07-01,-12.876840591430664,-11.506811141967773,-21.267730712890625,-18.774423599243164,-20.011035919189453
1972-08-01,-14.24543571472168,-14.380285263061523,-18.84615135192871,-19.907745361328125,-13.668731689453125
1972-09-01,-16.72726821899414,-22.743919372558594,-18.53341293334961,-24.033613204956055,-10.281676292419434
1972-10-01,-20.51170539855957,-19.82884407043457,-18.44590187072754,-23.79977798461914,-8.045156478881836
1972-11-01,-34.20195770263672,-24.70069694519043,-13.546792984008789,-31.741641998291016,-1.6196479797363281
1972-12-01,-25.080860137939453,-27.55552101135254,-12.769247055053711,-38.763938903808594,-6.388210296630859
1973-01-01,-34.501007080078125,-30.353431701660156,-15.292192459106445,-36.83123016357422,-15.210960388183594
1973-02-01,-34.383140563964844,-20.962451934814453,-25.462032318115234,-31.261308670043945,-0.4857940673828125
1973-03-01,-27.89897346496582,-3.8194637298583984,-23.02190589904785,-17.797618865966797,-14.236185073852539
1973-04-01,-33.74284744262695,6.6068115234375,-15.510401725769043,-11.646339416503906,-25.251785278320312
1973-05-01,-28.1506290435791,10.62696647644043,-21.5804500579834,-9.351156234741211,-17.34049415588379
1973-06-01,-19.199256896972656,12.597223281860352,-21.080320358276367,-7.825281143188477,-8.542028427124023
1973-07-01,-19.145103454589844,11.783317565917969,-17.426504135131836,-5.587440490722656,-21.349498748779297
1973-08-01,-15.118579864501953,11.60651969909668,-18.396503448486328,-4.376934051513672,-13.552886962890625
1973-09-01,-18.488882064819336,15.053276062011719,-14.201143264770508,-0.22298812866210938,-7.653263092041016
1973-10-01,-18.339162826538086,8.830320358276367,-13.102130889892578,-7.033674240112305,-8.97367000579834
1973-11-01,-18.995384216308594,4.026523590087891,-15.381386756896973,-12.257964134216309,-6.713528633117676
1973-12-01,-22.239856719970703,4.953516006469727,-19.495512008666992,-9.332042694091797,-1.9304370880126953
1974-01-01,-21.611398696899414,8.594266891479492,-19.90207862854004,-13.493770599365234,-9.851603507995605
1974-02-01,-36.865440368652344,11.10072135925293,-20.707433700561523,-11.88142204284668,-13.076301574707031
1974-03-01,-33.22985076904297,12.509267807006836,-23.89761734008789,-6.8553619384765625,-11.10236644744873
1974-04-01,-29.931190490722656,12.990837097167969,-23.93048858642578,-11.467240333557129,-8.323077201843262
1974-05-01,-19.670333862304688,2.0363941192626953,-21.693578720092773,-17.85582733154297,-9.66588020324707
1974-06-01,-19.63253402709961,0.2580413818359375,-20.52170753479004,-13.002340316772461,-12.502693176269531
1974-07-01,-12.527345657348633,-7.276119232177734,-20.1223201751709,-17.116214752197266,-23.292781829833984
1974-08-01,-18.100717544555664,-5.266021728515625,-20.51184844970703,-15.835868835449219,-16.435775756835938
1974-09-01,-26.356409072875977,-9.580413818359375,-18.720346450805664,-18.848548889160156,-0.8431568145751953
1974-10-01,-13.045072555541992,-18.7729434967041,-17.00773811340332,-19.57829475402832,-6.975341796875
1974-11-01,-23.478506088256836,-22.725744247436523,-19.169042587280273,-20.80769157409668,0.19229888916015625
1974-12-01,-36.00914001464844,-27.472396850585938,-17.661884307861328,-31.980730056762695,-7.28269100189209
1975-01-01,-33.980926513671875,-22.28394889831543,-11.220355987548828,-38.585609436035156,-6.074131011962891
1975-02-01,-27.12932014465332,-24.32343864440918,-20.703662872314453,-33.391883850097656,-19.43214988708496
1975-03-01,-37.7099609375,-17.682432174682617,-18.564416885375977,-29.145055770874023,-9.902921676635742
1975-04-01,-42.43815612792969,-15.525768280029297,-16.323829650878906,-25.92589569091797,-15.991304397583008
1975-05-01,-24.024168014526367,-8.848342895507812,-23.13268280029297,-25.21492576599121,-7.815929412841797
1975-06-01,-17.543087005615234,-3.896881103515625,-18.184389114379883,-18.36331558227539,-13.636707305908203
1975-07-01,-21.411466598510742,5.234899520874023,-17.918367385864258,-10.206947326660156,-23.897489547729492
1975-08-01,-14.604198455810547,11.657388687133789,-21.417800903320312,-2.0426578521728516,-19.039453506469727
1975-09-01,-21.164447784423828,15.570106506347656,-17.018964767456055,-2.994312286376953,-9.009855270385742
1975-10-01,-15.55902099609375,9.975761413574219,-11.126932144165039,-2.188333511352539,-12.656550407409668
1975-11-01,-21.685405731201172,4.248407363891602,-12.740471839904785,-5.812859535217285,-6.226140975952148
1975-12-01,-27.2053279876709,1.7402172088623047,-24.288604736328125,-2.6617860794067383,-9.763578414916992
1976-01-01,-24.982559204101562,3.572540283203125,-19.428638458251953,-16.113439559936523,-7.365423202514648
1976-02-01,-28.783851623535156,8.500764846801758,-24.60747718811035,-1.8215923309326172,-10.332449913024902
1976-03-01,-34.221717834472656,9.7235689163208,-20.459697723388672,-7.45793342590332,-7.777509689331055
1976-04-01,-24.641117095947266,10.776494026184082,-30.64244842529297,-2.036886215209961,0.5617847442626953
1976-05-01,-19.30080795288086,13.21873950958252,-17.499399185180664,-10.483827590942383,-10.927873611450195
1976-06-01,-19.64897918701172,13.243968963623047,-19.32939910888672,-5.555604934692383,-12.056486129760742
1976-07-01,-12.712459564208984,10.606613159179688,-22.48312759399414,-4.267204284667969,-21.684185028076172
1976-08-01,-14.888952255249023,10.448507308959961,-18.0023136138916,-3.9913558959960938,-18.16714859008789
1976-09-01,-18.239471435546875,0.4305896759033203,-17.028440475463867,-10.89927864074707,-10.441778182983398
1976-10-01,-24.030555725097656,-2.3732833862304688,-10.493919372558594,-10.458599090576172,0.9452762603759766
1976-11-01,-31.713876724243164,-11.66290283203125,-3.3606109619140625,-13.494585037231445,-7.134990692138672
1976-12-01,-29.190893173217773,-18.27142906188965,-9.205516815185547,-21.758190155029297,-7.066030502319336
1977-01-01,-40.299781799316406,-19.455493927001953,-21.764251708984375,-17.663330078125,-16.649599075317383
1977-02-01,-23.940322875976562,-16.465606689453125,-12.693748474121094,-11.964855194091797,-23.119430541992188
1977-03-01,-40.556304931640625,-17.976472854614258,-12.254997253417969,-31.852020263671875,-16.22146224975586
1977-04-01,-14.717672348022461,-9.521636962890625,-23.128276824951172,-23.342344284057617,-8.716669082641602
1977-05-01,-11.416412353515625,-11.198806762695312,-26.399459838867188,-19.61294937133789,-5.939083099365234
1977-06-01,-15.639408111572266,-10.754745483398438,-18.866361618041992,-19.526260375976562,-13.843706130981445
1977-07-01,-10.860897064208984,-17.815475463867188,-24.600221633911133,-22.792137145996094,-19.48025894165039
1977-08-01,-16.010929107666016,-13.960472106933594,-21.55902862548828,-19.206043243408203,-12.343454360961914
1977-09-01,-16.47091293334961,-21.352035522460938,-13.981698989868164,-21.868629455566406,-12.58759880065918
1977-10-01,-22.42945671081543,-26.615297317504883,-12.720285415649414,-22.029624938964844,-2.735126495361328
1977-11-01,-17.054737091064453,-29.115127563476562,-13.440336227416992,-27.174352645874023,-13.622560501098633
1977-12-01,-33.313350677490234,-21.873937606811523,-13.519947052001953,-28.515378952026367,-14.827360153198242
1978-01-01,-31.135698318481445,-11.441871643066406,-18.143077850341797,-19.53569221496582,3.8530654907226562
1978-02-01,-26.779319763183594,-11.780248641967773,-24.216842651367188,-9.392911911010742,-29.540739059448242
1978-03-01,-23.15750503540039,-5.849313735961914,-18.807926177978516,-6.223398208618164,-7.920379638671875
1978-04-01,-27.109193801879883,7.76054573059082,-26.383129119873047,-3.2953414916992188,-19.823055267333984
1978-05-01,-26.405235290527344,12.215545654296875,-14.80862808227539,-6.435947418212891,-12.749465942382812
1978-06-01,-19.31974220275879,17.451025009155273,-13.776496887207031,-0.7022571563720703,-15.905374526977539
