,zgv600_cluster1,zgv600_cluster2,zgv600_cluster3,zgv600_cluster4,zgv600_cluster5
1965-01-01,0.019279862,0.0027962923,0.70437706,0.17440173,-0.39943153
1965-02-01,-0.05519042,-0.06505112,-0.26903495,0.12421527,0.2969981
1965-03-01,0.09095383,-0.05254128,-0.08153465,0.17440173,-0.35719246
1965-04-01,-0.09404449,-0.10493541,0.062549114,-0.19029659,-0.77781713
1965-05-01,-0.012215471,-0.02089877,0.09963713,-0.17366588,-0.38059315
1965-06-01,0.13613637,0.030023575,-0.10699584,0.24180765,-0.14069882
1965-07-01,0.10184474,-0.020310069,-0.75780135,0.44814625,0.015453339
1965-08-01,0.14275925,-0.019132663,-0.36175483,0.36469835,-0.1424649
1965-09-01,0.11685653,-0.045624066,0.03443885,0.20339513,-0.3283462
1965-10-01,0.03870692,0.06431522,0.1389328,-0.10758455,-0.54660606
1965-11-01,0.03296707,-0.014275933,-0.21649365,0.10405235,-0.34512419
1965-12-01,0.013687229,0.020604443,-0.09875412,0.2057499,-0.0946332
1966-01-01,0.04108541,-0.026329374,-0.30510244,0.25996637,0.2116476
1966-02-01,0.11674619,-0.14191818,-0.12860885,0.12701754,-0.043689393
1966-03-01,-0.07291212,-0.0711761,-0.26474032,0.046293378,-0.30597043
1966-04-01,0.09576945,0.007378006,0.018951416,0.08303881,-0.3176884
1966-05-01,0.21772365,-0.06741476,-0.39696592,0.20296764,0.0539608
1966-06-01,0.07493744,-0.026184702,-0.17417888,-0.037758064,-0.25938773
1966-07-01,0.12484751,-0.0666914,-0.41736388,0.28441507,-0.23262434
1966-08-01,0.08506413,0.008679962,0.027342033,0.24694633,-0.01417737
1966-09-01,0.09186344,-0.05092273,0.051646065,0.29396304,-0.13989286
1966-10-01,-0.023146678,-0.08578744,0.1932749,0.069440104,0.31016573
1966-11-01,0.04238739,-0.07493744,0.2230763,-0.02329135,-0.08911476
1966-12-01,-0.1219542,-0.045570064,0.2347943,0.023146724,-0.6010908
1967-01-01,-0.032972552,-0.026144916,-0.33738592,0.15620336,0.47627038
1967-02-01,-0.0021648644,0.120899424,0.6484605,0.17035824,-0.36852676
1967-03-01,0.038134933,-0.026644498,0.58784425,0.11223994,-0.45262343
1967-04-01,0.017651986,-0.027144074,0.38984233,0.13588694,-0.8038311
1967-05-01,0.093588784,-0.09492101,-0.12905931,-0.033305623,0.14821005
1967-06-01,0.07660293,-0.0068276525,-0.030474663,0.008492947,-0.07360542
1967-07-01,0.032806028,0.06777693,-0.16752724,0.23696952,0.21632
1967-08-01,0.12589525,-0.15237322,-0.30641168,0.30541253,0.075936794
1967-09-01,0.0019983412,0.13488775,-0.16336408,0.049292326,-0.23413852
1967-10-01,0.05245634,-0.054954268,0.22098279,0.053622056,-0.3751878
1967-11-01,0.018484617,-0.020482969,-0.16403016,0.08526238,-0.34870976
1967-12-01,-0.04229814,0.03763535,0.19233999,0.035803545,-0.8797679
1968-01-01,0.15501317,-0.15756133,-0.3222009,0.25665653,-0.07375507
1968-02-01,0.09909518,-0.11877265,0.19691625,0.015147423,-0.45923528
1968-03-01,0.04034586,-0.08493874,0.34032115,0.21461184,-0.48047
1968-04-01,0.19903974,-0.15359752,-0.029020716,0.31314078,-0.361839
1968-05-01,0.16294079,-0.16053417,0.11650763,0.14298017,-0.35532704
1968-06-01,0.0846556,0.1473687,-0.30478844,0.3417368,0.0563427
1968-07-01,0.14184766,0.03482487,-0.47933754,0.51656896,0.0120329615
1968-08-01,0.05917399,-0.1537391,-0.28879166,0.2534005,-0.31639668
1968-09-01,0.07049914,0.071773216,-0.17398281,-0.09895362,-0.21659374
1968-10-01,0.044734407,-0.046008468,-0.116932295,0.017553996,0.23230739
1968-11-01,0.09314947,-0.08961035,-0.033126067,0.13066407,-0.39369097
1968-12-01,-0.019252777,-0.0018403291,0.023782838,0.13760073,-0.15303127
1969-01-01,0.18442301,-0.028768778,-0.00787363,0.22151962,0.55084646
1969-02-01,0.111592606,0.010447597,-0.31857643,0.2574049,-0.006813669
1969-03-01,-0.05148096,-0.075858735,-0.16958436,0.21379748,0.01680703
1969-04-01,0.15822832,-0.081309654,0.09478557,-0.02316643,-0.14020999
1969-05-01,0.08994031,-0.05238948,0.23105875,0.16655609,-0.06026306
1969-06-01,0.065865375,-0.081915334,0.50935876,0.1353647,-0.19941309
1969-07-01,0.036188103,-0.09054594,0.03240273,0.2854166,0.029374385
1969-08-01,0.110835515,-0.06086869,-0.3718744,0.22878751,0.17034148
1969-09-01,0.019986749,0.02604332,-0.01892681,0.18184899,-0.2805714
1969-10-01,-0.01953249,0.085700676,0.04587865,-0.15580566,-0.35007077
