,mgv500_cluster1,mgv500_cluster2,mgv500_cluster3,mgv500_cluster4,mgv500_cluster5
1971-08-01,0.06175809,-0.56114924,0.16094533,0.03195872,-0.31685206
1971-09-01,-0.50615716,-0.15518697,0.2129142,-0.055135988,0.07529013
1971-10-01,-0.61585337,0.1076808,-0.0061902045,0.03339832,0.47794136
1971-11-01,0.4576432,-0.69143134,0.3883993,-0.052256834,-0.25624567
1971-12-01,0.5189694,-0.1269712,0.16799927,-0.1854182,-0.14251871
1972-01-01,0.21083364,-0.22385445,0.14507136,-0.0611588,-0.11824036
1972-02-01,0.68208545,-0.5977783,-0.06931333,-0.41048756,-0.52570295
1972-03-01,0.13744295,-0.5733148,0.1704556,-0.05366192,-0.63328993
1972-04-01,0.79164517,-0.46349186,0.09614434,-0.11350554,0.08325493
1972-05-01,0.57173645,-0.27935782,0.17400675,-0.016572094,0.34696132
1972-06-01,0.3096084,-0.33472955,0.08667457,0.0038142204,-0.43389884
1972-07-01,-0.1295515,-0.56739616,0.047085714,0.14928016,-0.12429054
1972-08-01,0.3236815,-0.517943,-0.0073653697,-0.07339058,-0.011574161
1972-09-01,-0.2443723,-0.5188637,0.08299186,0.004997921,-0.0528728
1972-10-01,-0.012626362,-0.50439596,-0.0036826849,0.0031565905,0.0630002
1972-11-01,0.7182547,-0.38391963,0.14152022,-0.26909888,-0.120213315
1972-12-01,0.07207537,0.16151181,0.14862251,-0.5166278,0.09364529
1973-01-01,0.4933918,0.044463445,0.22730374,-0.18007,-0.8274909
1973-02-01,1.0714166,-0.36512652,0.024517214,-0.39698508,-0.48674303
1973-03-01,0.1242483,-0.42468816,0.08864985,0.10457913,0.009557629
1973-04-01,-0.060531236,-0.1116434,0.1854721,0.051666237,-0.55378455
1973-05-01,0.014128566,-0.4881282,-0.18948904,0.0067872526,-0.26414883
1973-06-01,0.16483332,-0.9431513,0.017314434,-0.043770857,0.065102234
1973-07-01,-0.18741131,-0.3115211,-0.07936932,0.03850727,-0.105964266
1973-08-01,0.15028918,-0.47483078,0.06468669,0.10444061,-0.35820076
1973-09-01,0.45765486,-0.58356535,0.037814688,0.045710076,0.062886
1973-10-01,0.19225936,-0.5710989,-0.008310914,0.06939621,0.06898066
1973-11-01,0.79701746,-0.30043986,0.32468006,-0.026594952,-0.2501588
1973-12-01,0.4314754,-0.33423764,0.23242882,0.14516413,-0.13408288
1974-01-01,0.07843964,0.2831685,0.18859196,-0.23223181,0.08222828
1974-02-01,0.67634887,-0.16642113,0.15056479,-0.30253285,-0.6381815
1974-03-01,0.3237213,-0.23686238,0.10285556,-0.5284502,-0.14004071
1974-04-01,0.13793588,-0.74931604,0.27923948,-0.10299587,0.1603873
1974-05-01,0.43808326,-0.41717535,0.048972152,-0.021188522,-0.4013191
1974-06-01,-0.17273557,-0.9397321,0.013190222,-0.088823415,-0.37185153
1974-07-01,0.1978531,0.052480172,-0.0926121,-0.025819134,-0.3966884
1974-08-01,-0.043780256,-0.17736614,0.0072967173,-0.07465096,-0.17834845
1974-09-01,0.11183612,-0.38167405,0.18774998,-0.022451425,-0.5865432
1974-10-01,0.3261068,-0.23672214,0.11169579,0.035501312,-0.21637554
1974-11-01,0.23012705,-0.12825373,0.055286624,0.051217295,0.09303303
1974-12-01,0.43653965,0.19294187,0.14453101,-0.7094647,-0.21918193
1975-01-01,0.69527245,-0.02254939,0.059326362,-0.36964875,-0.51809883
1975-02-01,0.00630846,0.044024967,-0.07073526,-0.4893752,-0.539306
