experiment,model,n_clusters,n_features,MSE_mlp,MSE_mlp_noFS,MSE_lgbm,MSE_lgbm_noFS,MSE_pi-lgbm,MSE_pi-lgbm_noFS,MSE_Y_mlp,MSE_Y_mlp_noFS,MSE_Y_lgbm,MSE_Y_lgbm_noFS,MSE_Y_pi-lgbm,MSE_Y_pi-lgbm_noFS,R2_mlp,R2_mlp_noFS,R2_lgbm,R2_lgbm_noFS,R2_pi-lgbm,R2_pi-lgbm_noFS,R2_Y_mlp,R2_Y_mlp_noFS,R2_Y_lgbm,R2_Y_lgbm_noFS,R2_Y_pi-lgbm,R2_Y_pi-lgbm_noFS,R_mlp,R_mlp_noFS,R_lgbm,R_lgbm_noFS,R_pi-lgbm,R_pi-lgbm_noFS,R_Y_mlp,R_Y_mlp_noFS,R_Y_lgbm,R_Y_lgbm_noFS,R_Y_pi-lgbm,R_Y_pi-lgbm_noFS
test1_linreg_nc5_nv8_nd9,linreg,5,12,0.2165085439221268,0.2285519271927437,0.2417679912545495,0.2383541640033062,0.2346976720200327,0.2363369536359914,2.410785156360556,2.765506871879847,2.7750516244125687,3.0155671027032707,2.9113135848035325,3.043638981309882,0.3117764226086149,0.2734936824993806,0.2314832993390689,0.2423349560953579,0.2539579800548031,0.2487471360038042,0.023058806381801,-0.1206878295419369,-0.1245557237454106,-0.2220216791106295,-0.1797742163090816,-0.2333974645142735,0.559045718273466,0.5293115539556454,0.5129144819905153,0.5181225999319639,0.5233582387526879,0.5209981911301489,0.2311375222269939,0.0365720282739055,-0.1276513947583815,-0.2546671343369189,-0.0003102049235528,-0.0880846169772814
test1_linreg_DSnc5_nv8_nd9,linreg,5,11,0.1590697821579783,0.1740431252881058,0.1621961406520163,0.1651084291196302,0.163453334225306,0.1665106259681402,3.016293322004356,3.138969112049068,2.8801379917965515,2.8515815887452245,2.9190409783450684,3.0247893944645865,0.0199920831710718,-0.0722567060700407,0.0007310014405408,-0.0172112231330536,-0.0070144021056011,-0.0258499727047838,-0.1578769548754555,-0.2049690162402047,-0.1056104468468817,-0.0946483826583448,-0.120544296705497,-0.1611383772433956,0.1871374597895156,0.1336695124421429,0.0673049458024545,-0.0014268017994735,0.083746456166947,0.0607362074964846,-0.0559651647022206,0.1013820976199668,-0.1604741480536603,-0.2071348040239062,-0.052649968638244,0.0235235022776029
test2_linreg_nc5_nv8_nd9,linreg,5,12,0.2131561849243276,0.2285519271927437,0.234797701309409,0.2383541640033062,0.2253474107336067,0.2363369536359914,2.592333410039956,2.765506871879847,2.949619842504438,3.0155671027032707,2.9204538978982377,3.043638981309882,0.3224326879936677,0.2734936824993806,0.2536400133171799,0.2423349560953579,0.2836799954335717,0.2487471360038042,-0.0505114025523736,-0.1206878295419369,-0.1952973586441142,-0.2220216791106295,-0.1834782163777835,-0.2333974645142735,0.5684201756968361,0.5293115539556454,0.5304964538553183,0.5181225999319639,0.5625313413563782,0.5209981911301489,0.1547571183003855,0.0365720282739055,-0.204815513893064,-0.2546671343369189,-0.0232637955530453,-0.0880846169772814
test2_linreg_DSnc5_nv8_nd9,linreg,5,16,0.1679083394487352,0.1740431252881058,0.1651052089422486,0.1651084291196302,0.1645162286112357,0.1665106259681402,3.051655807025337,3.138969112049068,2.978885080191391,2.8515815887452245,2.9362137840311924,3.0247893944645865,-0.0344611008389834,-0.0722567060700407,-0.017191384045549,-0.0172112231330536,-0.0135627540228091,-0.0258499727047838,-0.1714516978138227,-0.2049690162402047,-0.1435168988418937,-0.0946483826583448,-0.1271364924344271,-0.1611383772433956,0.1654130741246538,0.1336695124421429,-0.0076450851168219,-0.0014268017994735,0.0726221840996157,0.0607362074964846,-0.0387593738278933,0.1013820976199668,-0.262144238217524,-0.2071348040239062,-0.0097595362435583,0.0235235022776029
test3_linreg_nc5_nv8_nd9,linreg,5,10,0.2111402467416284,0.2285519271927437,0.2384698013260964,0.2383541640033062,0.2272543119287183,0.2363369536359914,2.769583498500237,2.765506871879847,3.072754668322464,3.0155671027032707,3.08165763320763,3.043638981309882,0.3288408239626397,0.2734936824993806,0.2419673755346607,0.2423349560953579,0.2776184592999046,0.2487471360038042,-0.1223398326107096,-0.1206878295419369,-0.2451962405055887,-0.2220216791106295,-0.2488040581158419,-0.2333974645142735,0.5745028343097189,0.5293115539556454,0.5133910659696772,0.5181225999319639,0.5444652974310287,0.5209981911301489,0.0214487317732159,0.0365720282739055,-0.2682423423022383,-0.2546671343369189,-0.1894978574971014,-0.0880846169772814
test3_linreg_DSnc5_nv8_nd9,linreg,5,12,0.1624252270144416,0.1740431252881058,0.1628914731329351,0.1651084291196302,0.1620219972686413,0.1665106259681402,2.8215150639512947,3.138969112049068,2.7841722252522296,2.8515815887452245,2.858204297886496,3.0247893944645865,-0.0006803693790373,-0.0722567060700407,-0.0035528501300357,-0.0172112231330536,0.0018038758234411,-0.0258499727047838,-0.0831066218096523,-0.2049690162402047,-0.0687716723391058,-0.0946483826583448,-0.0971906693244257,-0.1611383772433956,0.1789339052912207,0.1336695124421429,0.0579818208288369,-0.0014268017994735,0.1236405115615484,0.0607362074964846,0.2026546708688702,0.1013820976199668,-0.1070861275795446,-0.2071348040239062,0.100471084731288,0.0235235022776029
test4_linreg_nc5_nv8_nd9,linreg,5,14,0.2096812133178322,0.2285519271927437,0.2442065474368713,0.2383541640033062,0.2335627615561593,0.2363369536359914,2.658362213219981,2.765506871879847,2.752112277905774,3.0155671027032707,2.802303579288672,3.043638981309882,0.3334787065342385,0.2734936824993806,0.2237317721749908,0.2423349560953579,0.2575655611937107,0.2487471360038042,-0.0772687673145067,-0.1206878295419369,-0.1152598341892454,-0.2220216791106295,-0.1355992450873462,-0.2333974645142735,0.5806067531663447,0.5293115539556454,0.4950786536166274,0.5181225999319639,0.5341672748792767,0.5209981911301489,0.1633466497978446,0.0365720282739055,-0.0274094363655821,-0.2546671343369189,0.0902193536561859,-0.0880846169772814
test4_linreg_DSnc5_nv8_nd9,linreg,5,12,0.162145632950075,0.1740431252881058,0.1614985897059954,0.1651084291196302,0.1609682894258782,0.1665106259681402,2.913943844440195,3.138969112049068,2.771006425439232,2.8515815887452245,2.8021727251681914,3.0247893944645865,0.0010421727207912,-0.0722567060700407,0.0050285206815807,-0.0172112231330536,0.0082956306616229,-0.0258499727047838,-0.1185876388959557,-0.2049690162402047,-0.063717662477146,-0.0946483826583448,-0.0756815984649508,-0.1611383772433956,0.1621681504710431,0.1336695124421429,0.0877455240014579,-0.0014268017994735,0.1333271949270951,0.0607362074964846,-0.0265464267110888,0.1013820976199668,-0.089771483890855,-0.2071348040239062,0.0901079410757532,0.0235235022776029
test5_linreg_nc5_nv8_nd9,linreg,5,17,0.2140863058451541,0.2285519271927437,0.2414040286411084,0.2383541640033062,0.2311409194956322,0.2363369536359914,2.745739958557323,2.765506871879847,2.940132552604548,3.0155671027032707,3.02785351616061,3.043638981309882,0.3194760788181516,0.2734936824993806,0.232640240526338,0.2423349560953579,0.2652639585713791,0.2487471360038042,-0.1126775297255038,-0.1206878295419369,-0.1914527504696586,-0.2220216791106295,-0.2270005978652234,-0.2333974645142735,0.568244046393,0.5293115539556454,0.5045647250797164,0.5181225999319639,0.5380703305861342,0.5209981911301489,0.01621634229085,0.0365720282739055,-0.2473761372251605,-0.2546671343369189,-0.1654000320592384,-0.0880846169772814
test5_linreg_DSnc5_nv8_nd9,linreg,5,13,0.1626648562480824,0.1740431252881058,0.1626967234359998,0.1651084291196302,0.1647915225259489,0.1665106259681402,3.268491331927115,3.138969112049068,2.9357190947111484,2.8515815887452245,3.039995853065341,3.0247893944645865,-0.0021566934355976,-0.0722567060700407,-0.0023530229711161,-0.0172112231330536,-0.0152588034686171,-0.0258499727047838,-0.2546892448555853,-0.2049690162402047,-0.126946594005344,-0.0946483826583448,-0.1669757432086462,-0.1611383772433956,0.1521710310190572,0.1336695124421429,0.0451906707963038,-0.0014268017994735,0.0629747126722061,0.0607362074964846,-0.1230226508215509,0.1013820976199668,-0.2686378505888857,-0.2071348040239062,-0.1064474004361869,0.0235235022776029
