,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10,msl_cluster11,msl_cluster12
1965-01-01,1019.56165,1017.6621,1017.97217,1015.18945,1012.92584,1020.36664,1018.418,1020.35297,1022.1819,1020.21716,1017.82336,1011.8455
1965-02-01,1016.09064,1009.3668,1018.58795,1016.2742,1013.2266,1019.36694,1019.86304,1011.5479,1014.5309,1015.14294,1018.6891,1010.1029
1965-03-01,1019.5095,1013.3222,1020.57935,1013.8047,1014.3554,1017.9858,1020.2693,1017.5442,1022.15326,1020.08936,1016.2996,1011.0784
1965-04-01,1019.06305,1022.0541,1015.8295,1014.6543,1013.66077,1016.1768,1017.3818,1028.2668,1023.75464,1024.8894,1016.4497,1011.2595
1965-05-01,1017.7067,1018.2593,1016.63696,1018.06213,1013.7458,1016.61334,1019.15045,1021.8457,1022.1992,1020.77844,1018.3678,1009.7903
1965-06-01,1018.71576,1023.98157,1016.9445,1022.03674,1015.3793,1015.8233,1021.59576,1024.007,1024.9956,1021.6994,1018.77466,1010.5705
1965-07-01,1018.1557,1026.3134,1015.9883,1024.1793,1014.4732,1015.84314,1022.0429,1026.5546,1025.7484,1022.9967,1017.14545,1010.4446
1965-08-01,1015.78986,1021.71735,1016.11725,1020.3561,1013.6211,1015.7749,1019.6063,1023.5065,1021.1778,1020.8727,1016.90735,1010.59784
1965-09-01,1017.4487,1020.1763,1016.4776,1017.3049,1013.07477,1015.2701,1017.1976,1021.9164,1020.98,1020.21655,1020.50616,1009.9888
1965-10-01,1015.9132,1021.2994,1015.57086,1017.6621,1012.68713,1018.85345,1016.4155,1018.4832,1021.63794,1012.5153,1017.3018,1010.77325
1965-11-01,1018.139,1021.18646,1019.8624,1017.4215,1012.4998,1019.1573,1015.60626,1021.6937,1020.0287,1020.7226,1018.9961,1010.83344
1965-12-01,1021.93195,1019.21564,1021.8166,1015.7346,1013.06665,1021.48413,1017.02954,1023.44946,1022.3257,1025.9493,1019.82587,1010.41547
1966-01-01,1018.94446,1006.2809,1019.6379,1012.14667,1013.72205,1022.65405,1018.0707,1007.52576,1014.35547,1015.9746,1017.5569,1009.9517
1966-02-01,1019.03265,1010.366,1018.4024,1017.3684,1014.0776,1020.94727,1021.0237,1009.36646,1019.33124,1015.59155,1021.67017,1010.44745
1966-03-01,1017.1094,1017.78845,1020.4791,1018.5245,1013.0792,1020.22815,1018.78174,1021.96564,1019.6329,1020.9867,1019.1253,1010.3041
1966-04-01,1017.8253,1013.66943,1016.3057,1016.9328,1013.32086,1015.6116,1019.1147,1015.76306,1019.7305,1018.9958,1018.4456,1010.5056
1966-05-01,1017.0167,1026.5245,1016.5592,1024.4529,1013.4429,1016.15424,1021.51056,1025.8254,1024.4135,1022.1559,1017.5769,1010.9844
1966-06-01,1018.21783,1025.3159,1016.15234,1023.69366,1013.466,1017.4148,1020.8666,1024.451,1024.799,1021.26276,1018.6834,1010.84485
1966-07-01,1017.9981,1024.118,1014.5195,1021.29083,1013.71326,1015.017,1020.6869,1027.6667,1024.4047,1022.5032,1015.44446,1010.6083
1966-08-01,1015.6735,1021.5813,1014.7685,1021.61633,1013.3653,1016.17365,1020.18243,1021.61633,1022.68225,1020.076,1017.22144,1011.2736
1966-09-01,1016.5642,1020.5492,1016.3182,1017.7209,1013.28577,1014.6421,1017.8066,1020.307,1021.2383,1018.66595,1014.0706,1010.93054
1966-10-01,1016.85834,1015.5371,1014.5044,1016.3858,1012.2393,1018.5808,1015.6905,1013.47797,1017.3929,1016.2143,1017.008,1010.54315
1966-11-01,1017.8273,1020.2826,1019.1347,1016.19244,1011.1015,1021.7015,1012.43524,1023.49774,1016.6424,1021.8786,1020.5411,1011.55896
1966-12-01,1019.0465,1018.5676,1022.14276,1015.9827,1011.1947,1020.50476,1016.6512,1025.0863,1018.06134,1024.7289,1019.46643,1011.4788
1967-01-01,1019.5822,1015.6146,1023.54175,1020.01025,1012.8204,1021.8518,1021.3446,1017.21313,1017.96045,1022.82404,1019.8709,1011.3257
1967-02-01,1019.14825,1020.717,1019.4646,1018.2754,1013.43787,1021.5856,1020.5109,1022.33575,1023.7993,1021.10156,1017.49896,1011.8234
1967-03-01,1018.4785,1020.614,1022.31836,1017.0999,1013.0214,1019.5103,1018.8225,1025.815,1022.6463,1024.5974,1021.08344,1011.8176
1967-04-01,1016.9294,1016.6203,1013.12585,1012.46564,1013.5257,1017.1928,1017.9721,1022.4947,1018.4945,1017.55194,1018.78546,1011.17914
1967-05-01,1017.9895,1024.7832,1015.57544,1019.707,1014.3093,1015.5609,1021.21185,1022.84656,1024.974,1019.4059,1015.6371,1010.9121
1967-06-01,1018.35596,1025.4326,1016.5739,1023.71655,1014.0321,1014.63873,1019.4436,1025.6938,1024.7985,1022.6152,1018.2028,1010.64
1967-07-01,1016.3206,1025.3629,1016.6232,1026.1393,1014.12573,1017.39526,1022.5106,1024.4958,1025.0735,1022.4482,1017.85315,1011.13416
1967-08-01,1015.6574,1024.2898,1015.21265,1024.9203,1014.0764,1017.1152,1020.7301,1023.49963,1023.07227,1020.7997,1018.44006,1010.95123
1967-09-01,1016.74506,1020.09735,1016.92,1017.0564,1013.5228,1016.68494,1017.1275,1021.47235,1020.41583,1019.9602,1016.8235,1010.78217
1967-10-01,1018.062,1021.4817,1018.47424,1019.5321,1013.0504,1017.9779,1016.0405,1023.1216,1021.38525,1021.0667,1019.06195,1010.5769
1967-11-01,1016.0405,1022.8045,1016.1356,1016.867,1011.61444,1019.6794,1015.5022,1023.6172,1020.9441,1017.1906,1017.4743,1010.71185
1967-12-01,1020.59875,1010.4572,1020.1322,1013.3465,1013.2572,1019.17505,1017.91986,1020.3013,1016.01514,1024.3849,1019.5234,1011.4977
1968-01-01,1020.26685,1019.0733,1024.1519,1018.52795,1013.44086,1024.3279,1019.0053,1023.613,1019.4318,1026.0796,1022.47955,1011.538
1968-02-01,1017.91327,1011.7706,1015.7193,1008.46674,1013.48444,1021.32526,1016.00055,1014.71313,1016.447,1014.7146,1013.1696,1011.7993
1968-03-01,1018.89575,1021.73315,1015.61554,1016.90717,1014.1342,1020.3907,1018.36554,1025.032,1022.3671,1020.4143,1017.85175,1012.1527
1968-04-01,1017.53326,1017.8546,1015.14966,1015.77295,1013.3822,1016.5994,1016.8571,1017.2556,1019.8168,1017.7215,1017.8933,1011.5209
1968-05-01,1017.9684,1020.26544,1014.9321,1018.20166,1014.3847,1014.27954,1019.4082,1023.3203,1022.7779,1021.07904,1015.5203,1010.73584
1968-06-01,1017.9684,1022.1711,1015.74,1020.1939,1014.7976,1014.5636,1020.7799,1022.9425,1023.0784,1020.99963,1016.2559,1011.5838
