,vws_u250-50_cluster1,vws_u250-50_cluster2,vws_u250-50_cluster3,vws_u250-50_cluster4,vws_u250-50_cluster5,vws_u250-50_cluster6,vws_u250-50_cluster7,vws_u250-50_cluster8,vws_u250-50_cluster9,vws_u250-50_cluster10,vws_u250-50_cluster11
1965-01-01,-2.1606063842773438,-54.2204475402832,19.649126052856445,-45.356422424316406,-24.39398765563965,-64.22505950927734,-44.326637268066406,7.773944854736328,-28.175865173339844,-26.80389404296875,20.96895408630371
1965-02-01,-6.033727645874023,-50.66180419921875,18.987585067749023,-57.55260467529297,-18.63726043701172,-55.455543518066406,-40.11785125732422,13.825593948364258,-38.856685638427734,-30.80573844909668,24.01270294189453
1965-03-01,-5.290714263916016,-57.704139709472656,17.46082305908203,-47.40949249267578,-22.51201057434082,-63.69550323486328,-38.09574890136719,11.329328536987305,-34.325279235839844,-29.391407012939453,21.951492309570312
1965-04-01,-12.981557846069336,-31.881153106689453,13.97550106048584,-38.29453659057617,-15.979683876037598,-36.761253356933594,-29.05411720275879,3.8372745513916016,-34.377418518066406,-24.983835220336914,14.267166137695312
1965-05-01,-19.484556198120117,-33.49101638793945,-0.4774188995361328,-30.35927963256836,-17.397275924682617,-20.814159393310547,-40.65230178833008,-3.6938858032226562,-23.085567474365234,-3.5570144653320312,6.799552917480469
1965-06-01,-16.49131965637207,-24.618846893310547,-4.709012985229492,-36.69933319091797,-12.779510498046875,-24.038772583007812,-37.73564529418945,-6.22599983215332,-22.97313690185547,-9.450613021850586,-0.27700042724609375
1965-07-01,-21.532730102539062,-11.13705825805664,-7.154766082763672,-21.866764068603516,-9.25345230102539,-21.003173828125,-28.361614227294922,-9.413137435913086,-34.180259704589844,-13.413351058959961,2.6673545837402344
1965-08-01,-17.921945571899414,-14.273683547973633,-7.391033172607422,-20.81578826904297,-16.23061180114746,-12.357492446899414,-26.429128646850586,-10.115413665771484,-24.204975128173828,-15.251335144042969,-2.810741424560547
1965-09-01,-16.94266700744629,-21.593021392822266,-8.378456115722656,-33.55293273925781,-12.997852325439453,-12.254837036132812,-31.26360321044922,-10.744367599487305,-26.43238639831543,-8.383346557617188,0.2590789794921875
1965-10-01,-14.151479721069336,-32.11741638183594,-10.11215591430664,-33.47309494018555,-17.097461700439453,-14.052083015441895,-27.41981315612793,-13.284629821777344,-16.932889938354492,-11.022998809814453,-12.90660285949707
1965-11-01,-14.5262451171875,-32.467742919921875,-15.634246826171875,-38.69048309326172,-15.319769859313965,-28.650022506713867,-34.80758285522461,-5.003936767578125,-26.714275360107422,-11.72201919555664,-15.124238967895508
1965-12-01,-10.917089462280273,-36.811763763427734,-20.760391235351562,-40.25471878051758,-17.073020935058594,-44.696510314941406,-30.424457550048828,-9.188274383544922,-15.424049377441406,-21.312761306762695,-14.487138748168945
1966-01-01,-6.98309326171875,-45.279319763183594,-13.442655563354492,-42.50413131713867,-23.53244400024414,-64.03109741210938,-40.296791076660156,-9.581029891967773,-24.029712677001953,-28.52974510192871,-11.1663818359375
1966-02-01,-13.601848602294922,-46.01455307006836,-14.983695983886719,-35.79183578491211,-23.947654724121094,-43.30009078979492,-33.64849090576172,-8.630805969238281,-22.124340057373047,-32.99203109741211,-11.2254638671875
1966-03-01,-18.259431838989258,-38.28309631347656,-18.65494728088379,-39.27106475830078,-21.79939079284668,-38.207603454589844,-33.61894989013672,-11.14340591430664,-28.299983978271484,-25.191646575927734,-12.482582092285156
1966-04-01,-22.183422088623047,-27.720657348632812,-15.876482009887695,-28.687297821044922,-23.309247970581055,-32.86566162109375,-32.49311828613281,-13.969465255737305,-25.59701156616211,-20.670278549194336,-14.831069946289062
1966-05-01,-19.17190933227539,-28.723400115966797,-19.40331268310547,-29.28303337097168,-18.45965003967285,-24.09535789489746,-24.98814582824707,-16.84476089477539,-25.57403564453125,-16.467294692993164,-8.995140075683594
1966-06-01,-26.284650802612305,-28.06365966796875,-4.411409378051758,-31.204818725585938,-15.668054580688477,-23.245243072509766,-43.04243469238281,-12.315185546875,-23.55870246887207,-10.875898361206055,3.8862438201904297
1966-07-01,-23.658815383911133,-12.223283767700195,-0.7040538787841797,-19.98263931274414,-17.716209411621094,-13.60348892211914,-28.437841415405273,-11.24351692199707,-29.419248580932617,-17.711288452148438,2.291044235229492
1966-08-01,-15.249563217163086,-13.180070877075195,1.1307506561279297,-12.822301864624023,-19.094776153564453,-11.61441421508789,-18.748493194580078,-2.7144622802734375,-21.09697723388672,-20.297739028930664,11.990238189697266
1966-09-01,-8.399402618408203,-19.27037811279297,9.535078048706055,-25.150619506835938,-15.421884536743164,-9.912544250488281,-21.612300872802734,3.641712188720703,-22.710227966308594,-11.161460876464844,16.401649475097656
1966-10-01,-3.4743118286132812,-34.67913055419922,8.130254745483398,-41.773826599121094,-11.02688217163086,-25.5018253326416,-33.03962326049805,3.845212936401367,-24.24634552001953,-12.933900833129883,10.762659072875977
1966-11-01,1.2357845306396484,-30.847049713134766,11.79986572265625,-45.481178283691406,-3.807466506958008,-37.25245666503906,-31.605260848999023,11.752273559570312,-30.00185775756836,-14.427345275878906,14.212356567382812
1966-12-01,5.021917343139648,-36.863502502441406,18.206912994384766,-53.5080451965332,-4.562397003173828,-52.77937316894531,-44.877235412597656,15.531841278076172,-37.201576232910156,-15.114988327026367,19.84149932861328
1967-01-01,1.4612865447998047,-41.55436706542969,16.368022918701172,-61.644996643066406,-4.955306053161621,-57.63829803466797,-50.7286262512207,16.270057678222656,-41.338844299316406,-19.4016170501709,23.44260025024414
1967-02-01,-1.0824928283691406,-51.342525482177734,17.78685760498047,-47.4697151184082,-18.77628517150879,-56.635807037353516,-41.04822540283203,12.532760620117188,-26.151287078857422,-27.735021591186523,23.163406372070312
1967-03-01,-4.777339935302734,-42.47358703613281,13.135235786437988,-39.11018753051758,-18.62117576599121,-44.09161376953125,-31.713960647583008,12.242137908935547,-29.320392608642578,-29.202838897705078,18.627708435058594
1967-04-01,-14.857756614685059,-26.272104263305664,10.374305725097656,-33.10013961791992,-16.653749465942383,-29.077117919921875,-23.493215560913086,5.373283386230469,-27.42807388305664,-18.815471649169922,14.291202545166016
1967-05-01,-13.723015785217285,-21.924169540405273,5.319403648376465,-30.030628204345703,-12.411941528320312,-23.640159606933594,-25.4361515045166,-5.161029815673828,-26.469663619995117,-15.538599967956543,12.63888931274414
1967-06-01,-9.169357299804688,-23.684242248535156,5.660642623901367,-32.794822692871094,-9.453451156616211,-25.25328826904297,-34.422645568847656,1.6147613525390625,-30.53840446472168,-8.899959564208984,14.394062042236328
1967-07-01,-15.443901062011719,-13.13850212097168,8.290952682495117,-21.656402587890625,-11.891101837158203,-11.156377792358398,-22.116832733154297,-3.9691429138183594,-30.977603912353516,-19.44733238220215,16.532926559448242
1967-08-01,-13.749139785766602,-7.241115570068359,5.611660003662109,-5.7667694091796875,-13.585866928100586,-8.751380920410156,-20.16083335876465,-0.3004188537597656,-19.883270263671875,-19.89959716796875,22.753589630126953
1967-09-01,-12.127849578857422,-19.605709075927734,16.033313751220703,-22.09397315979004,-14.423454284667969,-7.776647567749023,-27.04111671447754,0.41307830810546875,-20.55758285522461,-15.109195709228516,21.519254684448242
1967-10-01,-10.828201293945312,-20.861270904541016,7.575822830200195,-36.02107620239258,-8.359529495239258,-18.492191314697266,-37.941158294677734,-2.6515369415283203,-28.566078186035156,-5.81901741027832,13.520559310913086
1967-11-01,-7.753789901733398,-28.78976058959961,5.502267837524414,-41.52497863769531,-13.401369094848633,-36.680694580078125,-38.573020935058594,2.2025394439697266,-31.900094985961914,-15.505946159362793,9.21507453918457
1967-12-01,-3.9462852478027344,-53.60057830810547,9.29507827758789,-40.4653434753418,-29.162019729614258,-57.790138244628906,-54.83818435668945,2.0670242309570312,-24.817350387573242,-22.263774871826172,10.761260986328125
1968-01-01,-5.699901580810547,-48.999839782714844,12.88951301574707,-57.32542037963867,-20.600610733032227,-68.45718383789062,-32.906639099121094,7.530584335327148,-36.0465087890625,-30.435951232910156,18.27214813232422
1968-02-01,-4.9377288818359375,-54.296775817871094,18.498245239257812,-46.95218276977539,-25.841020584106445,-77.4683609008789,-25.097078323364258,7.49958610534668,-26.302337646484375,-31.519044876098633,20.230464935302734
1968-03-01,-16.915546417236328,-43.148597717285156,7.937196731567383,-28.791257858276367,-25.939483642578125,-34.921478271484375,-31.96394920349121,0.5688972473144531,-17.16535186767578,-30.705812454223633,15.699348449707031
