,vo850_cluster1,vo850_cluster2,vo850_cluster3,vo850_cluster4,vo850_cluster5,vo850_cluster6,vo850_cluster7,vo850_cluster8,vo850_cluster9,vo850_cluster10,vo850_cluster11
1967-06-01,-1.9246065e-05,2.040215e-06,4.0613704e-06,2.6534675e-05,4.3581276e-06,2.4251967e-06,8.4405365e-06,5.344642e-06,1.7864568e-05,3.0779847e-07,1.2622331e-06
1967-07-01,1.1419252e-06,-3.3976503e-06,6.1386672e-06,2.6029387e-05,-2.908404e-06,3.7485734e-06,3.2558033e-05,-1.3845165e-06,2.7457028e-05,7.5101634e-06,3.034751e-06
1967-08-01,8.697192e-06,-1.3655808e-05,9.1735274e-07,2.3895947e-05,4.767171e-06,1.4868056e-06,4.741191e-05,-1.0717195e-06,2.6497692e-06,1.278273e-06,-4.3280234e-06
1967-09-01,-2.9886069e-06,-3.0768315e-06,2.4813417e-06,1.2603152e-05,1.1929435e-05,4.526555e-06,-5.063811e-05,-3.4778568e-06,-6.3491752e-06,-8.8724846e-07,1.7996026e-06
1967-10-01,-1.9967905e-05,-7.4961026e-06,6.034399e-06,9.098214e-06,-1.913868e-06,4.269903e-06,3.1499338e-05,5.537131e-06,-1.4473895e-05,1.1392061e-05,3.3315082e-06
1967-11-01,-3.0586983e-05,-1.0006504e-05,7.036957e-06,9.691728e-06,-3.8708567e-06,4.4944754e-06,8.239712e-05,4.269903e-06,1.4776693e-05,9.5553805e-06,4.8072725e-06
1967-12-01,-3.1878277e-05,-8.47147e-07,5.9653394e-07,-5.102884e-07,7.911185e-06,2.5615445e-06,0.00013762596,5.8980513e-06,5.079968e-06,5.1681927e-06,-3.0977753e-07
1968-01-01,-5.0882816e-05,1.8211515e-05,-1.5780824e-07,2.2523527e-06,1.0543674e-05,2.5501358e-06,0.00013897073,-1.4419857e-06,2.5860747e-05,9.33394e-06,3.862231e-06
1968-02-01,-3.1294454e-05,1.9076939e-05,-1.4172088e-05,1.8658186e-05,7.286704e-06,-2.7524948e-08,7.9377445e-05,-4.0940868e-06,1.6499278e-05,2.031459e-05,8.971023e-06
1968-03-01,-2.8567905e-05,-4.2801985e-06,3.3783363e-06,-4.522146e-06,1.9917934e-06,4.2845204e-07,7.819563e-05,4.2437605e-06,7.2029507e-06,1.3683166e-06,8.924493e-06
1968-04-01,-2.8633047e-05,-1.0338168e-05,1.7591519e-06,3.6109777e-06,8.93735e-07,1.014705e-06,3.889794e-05,5.1277966e-06,2.4198525e-06,3.3131946e-06,8.0998143e-07
1968-05-01,-2.6976639e-05,2.978195e-06,7.742681e-06,3.5138462e-05,-3.014633e-06,1.9638828e-06,2.205474e-05,5.630296e-06,5.6653087e-05,3.9366714e-06,6.7376677e-06
1968-06-01,-4.671034e-06,6.6260036e-06,5.016125e-06,1.4135647e-05,1.6754057e-06,4.746267e-06,3.9316692e-05,9.6988515e-09,3.2197884e-05,-6.230839e-07,1.61957e-06
1968-07-01,8.710464e-06,-8.728297e-06,6.2351683e-06,2.4176428e-05,9.734082e-06,4.923073e-06,-2.6424095e-06,2.3268003e-06,4.4425484e-05,-4.8943693e-06,3.2387543e-06
1968-08-01,1.0320338e-05,-8.836432e-07,4.941685e-06,2.9350358e-05,1.5698995e-05,3.127083e-06,2.9648141e-05,-1.5780824e-07,4.652856e-05,-5.3933763e-07,-4.847847e-06
1968-09-01,-2.774901e-05,-1.3781253e-05,7.4833224e-08,2.828021e-05,7.448398e-07,4.3368127e-06,8.301016e-06,-1.7304556e-06,1.5438436e-05,-1.6839258e-06,-2.9308867e-06
1968-10-01,-1.1287346e-05,-9.956639e-06,7.165727e-06,-6.1320243e-06,6.076967e-06,2.7362476e-06,6.2258623e-06,3.1829186e-06,-1.8571882e-07,4.0669547e-06,5.6116914e-06
1968-11-01,-5.6028824e-05,-7.797731e-06,3.5272242e-06,-1.3582321e-06,6.238697e-07,2.3081884e-06,0.00010894144,1.8708233e-06,1.9114163e-05,4.560148e-06,1.4892939e-06
