,abs_vo600_cluster1,abs_vo600_cluster2,abs_vo600_cluster3,abs_vo600_cluster4,abs_vo600_cluster5,abs_vo600_cluster6,abs_vo600_cluster7,abs_vo600_cluster8,abs_vo600_cluster9,abs_vo600_cluster10,abs_vo600_cluster11,abs_vo600_cluster12
1965-01-01,-6.8502544e-05,3.997348e-05,5.4497227e-06,0.00010000345,8.508181e-05,-4.422302e-05,-8.2004495e-05,1.2192888e-05,-3.1928357e-05,0.00021985696,-2.4004052e-05,6.975104e-05
1965-02-01,-6.3620944e-05,3.5002147e-05,5.8714736e-06,9.696143e-05,8.3233266e-05,-4.8790545e-05,-7.8675315e-05,2.4953237e-05,-2.7522357e-05,0.00025305004,-1.3056355e-05,5.4020456e-05
1965-03-01,-6.459906e-05,3.2812608e-05,1.2529834e-05,8.690211e-05,8.2542305e-05,-5.507201e-05,-8.207629e-05,2.5339095e-05,-3.0169547e-05,0.00017778909,-8.749061e-06,6.9876674e-05
1965-04-01,-7.5591626e-05,3.8564638e-05,9.936486e-06,9.155039e-05,8.04425e-05,-4.533574e-05,-7.899837e-05,1.6993718e-05,-3.53383e-05,0.00021543301,-1.625093e-05,6.492329e-05
1965-05-01,-7.480196e-05,4.015295e-05,8.90453e-06,8.80238e-05,7.493275e-05,-4.8332895e-05,-9.459435e-05,2.7528635e-05,-3.1668125e-05,0.00015267219,-1.2616654e-05,6.4357955e-05
1965-06-01,-7.1634306e-05,5.6359135e-05,1.0616654e-06,9.613586e-05,7.1944574e-05,-4.9400744e-05,-8.805265e-05,2.9798937e-05,-3.0528492e-05,0.00022629996,-1.1791088e-05,5.699069e-05
1965-07-01,-7.287265e-05,3.7855727e-05,1.7346842e-06,9.0967114e-05,7.320086e-05,-5.242482e-05,-8.106227e-05,2.1534323e-05,-2.3035594e-05,9.434429e-05,-1.8377656e-05,4.9820846e-05
1965-08-01,-6.732701e-05,3.9551724e-05,3.0627648e-06,8.2873e-05,7.589292e-05,-4.712147e-05,-9.695438e-05,2.6227475e-05,-2.784541e-05,9.9154095e-05,-1.7453383e-05,5.7914964e-05
1965-09-01,-6.815258e-05,4.6793353e-05,1.4116317e-06,9.094019e-05,8.093604e-05,-5.5897577e-05,-9.201895e-05,1.7621865e-05,-2.584431e-05,9.692866e-05,-2.6579457e-05,5.11579e-05
1965-10-01,-6.352224e-05,4.102338e-05,2.676899e-06,8.516124e-05,7.696077e-05,-6.794004e-05,-8.676944e-05,1.9362733e-05,-3.4539655e-05,0.000151721,-1.6394506e-05,6.528223e-05
1965-11-01,-7.430842e-05,3.836722e-05,4.6331274e-06,8.7844324e-05,8.317045e-05,-6.150603e-05,-9.090623e-05,1.0981463e-05,-3.3202603e-05,0.00020133561,-1.8000768e-05,5.7950856e-05
1965-12-01,-6.7174464e-05,3.0820487e-05,3.8614103e-06,0.00010233657,8.3421706e-05,-4.8305974e-05,-8.263264e-05,1.6419412e-05,-2.6284011e-05,0.00016173546,-1.9517289e-05,6.548862e-05
1966-01-01,-5.9815182e-05,2.6891503e-05,4.0861937e-06,0.00010640317,8.376321e-05,-5.767118e-05,-7.38197e-05,1.5196672e-05,-3.5850866e-05,0.00016254159,-1.9315581e-05,5.536822e-05
1966-02-01,-7.7110846e-05,3.3710377e-05,1.3259496e-05,9.237438e-05,8.6467946e-05,-4.8074246e-05,-8.943712e-05,1.127806e-05,-3.6445585e-05,0.00025103215,-1.375946e-05,6.6374545e-05
1966-03-01,-7.083781e-05,4.020338e-05,1.4710727e-06,9.19263e-05,8.4423096e-05,-4.668114e-05,-8.107035e-05,1.5604013e-05,-3.2535117e-05,0.00019569907,-1.19019915e-05,6.371869e-05
1966-04-01,-6.416558e-05,3.0989344e-05,7.516e-06,9.1787806e-05,8.580806e-05,-4.5402092e-05,-7.701325e-05,1.5188527e-05,-4.0388637e-05,0.00019978876,-1.0085254e-05,5.944162e-05
1966-05-01,-6.836932e-05,4.1612777e-05,7.3775022e-06,8.0390426e-05,7.886698e-05,-5.741048e-05,-8.6642765e-05,2.7262087e-05,-2.8306928e-05,0.00023722333,-1.7767687e-05,7.316898e-05
1966-06-01,-7.788479e-05,4.713631e-05,5.300067e-06,9.012586e-05,7.24473e-05,-5.2563133e-05,-9.644337e-05,2.651258e-05,-3.490584e-05,0.0001304269,-8.146313e-06,5.1742893e-05
1966-07-01,-6.1411956e-05,4.2158612e-05,8.3561963e-07,9.130714e-05,7.364488e-05,-4.9068156e-05,-8.727007e-05,1.8756824e-05,-2.5072648e-05,0.00011976273,-1.6586402e-05,5.8333655e-05
1966-08-01,-7.7607794e-05,4.1034353e-05,1.6584468e-06,9.2186994e-05,7.410925e-05,-5.0664927e-05,-8.315593e-05,2.5404615e-05,-2.5031914e-05,6.424227e-05,-1.9185232e-05,5.7518973e-05
1966-09-01,-6.9868336e-05,5.2016243e-05,2.6034772e-06,9.757203e-05,8.193018e-05,-4.923109e-05,-9.892e-05,2.6675518e-05,-2.6425016e-05,7.44828e-05,-2.145819e-05,5.358407e-05
1966-10-01,-7.649169e-05,4.4195313e-05,4.3224513e-06,9.567383e-05,8.615837e-05,-4.9760634e-05,-9.572645e-05,2.445144e-05,-3.1883374e-05,0.00023938222,-1.8191322e-05,6.1087274e-05
1966-11-01,-5.9676684e-05,4.25741e-05,9.397909e-06,0.00010517301,8.610949e-05,-5.1715866e-05,-7.94247e-05,1.7322987e-05,-3.652705e-05,0.00013140451,-1.2586321e-05,5.50342e-05
1966-12-01,-7.5318545e-05,4.073292e-05,8.632111e-06,0.00010100999,8.7698114e-05,-4.810683e-05,-8.739227e-05,1.8398367e-05,-2.8290633e-05,0.00017821603,-1.39468375e-05,5.4920143e-05
1967-01-01,-7.136201e-05,3.510022e-05,1.0358746e-05,0.00010157641,8.505814e-05,-5.7115634e-05,-7.724656e-05,1.9472327e-05,-3.1704265e-05,0.00021550359,-1.6747354e-05,5.225459e-05
1967-02-01,-6.306887e-05,3.2228898e-05,9.507544e-07,0.00010208972,8.350217e-05,-5.6393794e-05,-7.495271e-05,2.3057471e-05,-4.1280684e-05,0.0003639381,-1.5905205e-05,6.0892613e-05
1967-03-01,-6.881151e-05,4.0337574e-05,8.13708e-06,9.578564e-05,8.418391e-05,-5.633765e-05,-7.98131e-05,1.5983433e-05,-3.1062627e-05,0.00021403584,-1.6907763e-05,6.1438004e-05
