,abs_vo600_cluster1,abs_vo600_cluster2,abs_vo600_cluster3,abs_vo600_cluster4,abs_vo600_cluster5,abs_vo600_cluster6,abs_vo600_cluster7,abs_vo600_cluster8,abs_vo600_cluster9,abs_vo600_cluster10,abs_vo600_cluster11,abs_vo600_cluster12,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,abs_vo850_cluster7,abs_vo850_cluster8,abs_vo850_cluster9,abs_vo850_cluster10,abs_vo850_cluster11,abs_vo850_cluster12,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,mpi_cluster10,mpi_cluster11,mpi_cluster12,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10,msl_cluster11,msl_cluster12,r700_cluster1,r700_cluster2,r700_cluster3,r700_cluster4,r700_cluster5,r700_cluster6,r700_cluster7,r700_cluster8,r700_cluster9,r700_cluster10,r700_cluster11,r700_cluster12,r850_cluster1,r850_cluster2,r850_cluster3,r850_cluster4,r850_cluster5,r850_cluster6,r850_cluster7,r850_cluster8,r850_cluster9,r850_cluster10,r850_cluster11,r850_cluster12,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7,ssta20_cluster8,ssta20_cluster9,ssta20_cluster10,ssta20_cluster11,ssta20_cluster12,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8,ssta30_cluster9,ssta30_cluster10,ssta30_cluster11,ssta30_cluster12,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9,sst_cluster10,sst_cluster11,sst_cluster12,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6,vo600_cluster7,vo600_cluster8,vo600_cluster9,vo600_cluster10,vo600_cluster11,vo600_cluster12,vo850_cluster1,vo850_cluster2,vo850_cluster3,vo850_cluster4,vo850_cluster5,vo850_cluster6,vo850_cluster7,vo850_cluster8,vo850_cluster9,vo850_cluster10,vo850_cluster11,vo850_cluster12,vws600-250_cluster1,vws600-250_cluster2,vws600-250_cluster3,vws600-250_cluster4,vws600-250_cluster5,vws600-250_cluster6,vws600-250_cluster7,vws600-250_cluster8,vws600-250_cluster9,vws600-250_cluster10,vws600-250_cluster11,vws600-250_cluster12,vws850-200_cluster1,vws850-200_cluster2,vws850-200_cluster3,vws850-200_cluster4,vws850-200_cluster5,vws850-200_cluster6,vws850-200_cluster7,vws850-200_cluster8,vws850-200_cluster9,vws850-200_cluster10,vws850-200_cluster11,vws850-200_cluster12,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8,w_cluster9,w_cluster10,w_cluster11,w_cluster12,EA-WR,ENSO3.4,EP-NP,NAO,PDO,PNA,SOI,TNA,TSA,WP,month
1965-01-01,-7.880245613926481e-05,3.672090758849032e-05,5.906055980245829e-06,0.0001299505785648,8.372809207759092e-05,-6.309911115727399e-05,-9.82128919228368e-05,2.205952219656061e-05,-4.5638206875478126e-05,0.0043356118840165,-2.022491825364129e-05,5.961632611243049e-05,-5.3725096222478896e-05,5.494638470635336e-05,-1.2480987337328395e-05,2.3307365149242656e-05,0.0001112774879768,-8.726571626865711e-05,7.336144914523947e-06,8.20526395140689e-05,-7.85794802616258e-05,-3.805034793913365e-05,3.8850914023043216e-05,0.0002771278201235,,,,,,,,,,,,,1009.9379348754884,1066.8778268914473,1038.0226727490012,1057.534322367086,1443.2784094064723,1150.444142831921,1054.5460997643202,1346.6823956824296,1477.215694114206,1055.8311855670104,1246.189522448881,1040.8631310096157,65.00217943306428,57.6258287832104,33.75598208397222,26.92001815836159,29.53932896638528,86.52354717254639,73.01254496196847,52.66893662904438,80.68058393154925,55.78030433444028,42.28119287546184,39.14076141095093,69.9294301813299,43.317303513035625,54.43762475317652,90.39321948795258,63.78951337602404,83.46927862431703,62.7760561708173,59.78470500717816,84.31561677352242,57.45776589847941,70.96367723801556,79.48930623145077,0.6712775004925641,-4.769304891427359,-8.301890202057667,1.4075387619499469,-14.289696250806015,-2.52212247122889,-27.47728249122357,-16.865098199179005,-10.08522194043725,-1.7078975620477097,-0.9597170886708728,-6.251839883462831,1.7808049131358614,-3.629726254277759,-7.179844196026142,2.6542555063198776,-12.719369961314223,-1.332998794058095,-25.59109062984072,-15.168983991755995,-8.633016485028563,-0.5187738717169217,0.3465447852860636,-4.818659890687101,27.5664876972686,22.85431954595778,18.8967523819361,31.62825168707432,23.775392742248243,26.302529763484348,18.24456905496532,24.249131550160488,25.116567696090296,27.116745969523556,30.704375309730644,28.48879218622066,-3.1268721049741227e-06,1.7447971358554195e-06,0.0058092846302315,0.0006297911750152,1.2126518517926575e-05,-1.6262149986160974e-05,2.4883631565531828e-06,-9.248286630885597e-06,2.4428133949093723e-06,4.535750118785291e-06,0.0009335351205663,-0.0008110173803288,-0.0001738396917971,0.0008348419820928,-3.694567982640128e-06,6.785767902938172e-06,9.683904260783834e-06,-9.351431489971644e-05,3.395376545515561e-06,-8.610302778157178e-06,2.094937372021377e-05,-1.911654839330305e-05,0.0003602249147233,0.0002016672249951,24.07427946632732,10.253329754438402,7.214251649399352,26.83653709820144,9.466966019200916,29.439018784941634,13.579293498652724,18.60846921273136,15.431962632241431,20.303997598666506,84.43784883719493,14.41169910483594,21.292037152072226,27.67886598508357,34.53320367023738,11.278000957026476,54.96910021949183,30.62701653528785,11.622136020316166,61.65501467076436,22.524577744682983,28.925924227059514,16.766044127613743,14.1432558592991,-0.0472771316936552,0.0283822614653403,0.0249667795551888,-0.6626407114359049,0.0090055234726544,37.78055906295776,3.687096387147904,-0.0713883081549092,0.0261218807693705,-1.2092051406701407,1.8265743553638456,-0.0093617905343918,-0.37,-0.89,0.6,-0.65,-1.24,-0.92,-0.7,-0.36,-0.39,-1.0,1
1965-02-01,-7.799763917769565e-05,3.5411318650922336e-05,4.984335752419996e-06,0.0001333819084023,8.544912152747447e-05,-6.240167289276688e-05,-9.562967938513288e-05,2.1316448872024376e-05,-4.677261925751542e-05,0.0048064143629744,-1.905222678371586e-05,5.931696303854708e-05,-5.361364674172364e-05,5.5119278871814494e-05,-1.2486775311336904e-05,2.373587484822697e-05,0.0001119763904021,-8.643480750600784e-05,7.39380846971882e-06,8.425486157648265e-05,-7.78827712680255e-05,-3.746764632523991e-05,3.667254079303024e-05,0.0003265851939266,,,,,,,,,,,,,1008.8974685668944,1066.0929361979167,1037.3845487969106,1056.835414341518,1440.309439564203,1147.6976987332273,1053.7359249616711,1344.682766743843,1473.621814377642,1052.57568359375,1257.4820812837577,1040.344739082532,68.96967715527639,57.59277343749999,28.772552196796124,26.103123385547647,31.121609761164738,88.82014513015747,72.0660603990303,48.89239386508339,79.71198767946478,53.98472949286192,43.35649294825541,39.06603433341215,69.33680655739524,35.86059555862889,50.08304302509014,91.07236152327948,52.27285756005181,83.47654037638259,62.61496444837983,38.924566089597526,88.66959281589675,57.64634619454969,69.05275232651654,75.09538874279853,0.7463090197309762,-4.280681742562188,-9.348990611540966,1.1780642482460055,-13.98069847143438,-1.9367244796476504,-30.159996295797416,-18.638484422550643,-9.561952236479364,-2.304706949254741,-0.4319313991425642,-7.268391946517744,1.9027272900509784,-3.092944042550193,-8.17952620677459,2.4774695733333925,-12.344005119287226,-0.697345934484316,-28.19408548289332,-16.870689392089844,-8.048373830001967,-1.065328215127406,0.9295351647618992,-5.774643639810221,27.949911972572064,23.659689558876885,18.161522302872097,31.745305020585025,24.520861703242986,27.2184399590976,16.08612948450549,22.94718498407408,26.04347752258841,26.850458331730053,31.59523750419047,27.87058884399947,-1.0210051569910494e-06,2.7748471214247e-06,0.0071163153431067,0.000652499802527,1.1367070113025108e-05,-1.7679401265852466e-05,-4.181906158114893e-06,-9.833755822356647e-06,5.92446796044086e-06,4.334882394616987e-06,0.0012772661284543,-0.0006397103425115,-0.0001810171283977,0.0022763313609175,-4.096941230945168e-06,6.605879522024994e-06,9.249235537943835e-06,-9.157660354097236e-05,4.323469585160898e-06,-8.397170679314133e-06,2.4087222348163395e-05,-1.5073100383170671e-05,0.0004173765773884,0.0002129203494405,20.73518368516348,8.888251422763878,7.308992675266038,28.39616396204527,9.871393951411417,30.920840556571854,14.270998533686887,21.12309355992303,13.42116489013307,18.606792942461546,76.17852964580712,16.71712444769861,23.086580144700864,24.414678919974197,35.38667477135916,10.579234803363962,65.91516755474365,37.73402324949268,10.35389621407124,62.98568085714083,24.94038409702529,26.88287848185899,17.27241123131462,13.114487189851744,-0.0636731839587545,0.0281088411169632,0.0237715003918336,-0.7290021731303288,0.0124848692131329,77.3419976234436,6.089940294623375,-0.060363894230441,0.0251547039026416,-1.819506453143226,1.9279375672340395,-0.0128160466666958,1.46,-0.56,-0.93,-2.2,-1.16,-1.03,0.7,-0.25,-0.08,-1.04,2
1965-03-01,-7.84328340924841e-05,3.592686196437976e-05,5.24626446993013e-06,0.0001346767415868,8.591462746325477e-05,-6.410424158488757e-05,-9.743685209455348e-05,2.171684179958909e-05,-4.6136942854300216e-05,0.0042053594370372,-1.775947556208933e-05,5.783421544621179e-05,-5.368885031202808e-05,5.46068159199686e-05,-1.3437506799959348e-05,2.284186188028813e-05,0.0001134661524973,-8.631352288946987e-05,6.45425004076723e-06,8.417550784574782e-05,-7.771707608192521e-05,-3.7238060394884086e-05,3.714426484413851e-05,0.0003578459709939,,,,,,,,,,,,,1010.3888778686523,1068.1900399191338,1038.7500362309147,1057.462063083401,1439.8630729783767,1150.7345253464866,1056.536737812337,1345.1008575641556,1477.846420214372,1050.7720632651417,1252.3484218267747,1041.2522379557292,65.48348277448171,60.62599447169907,28.92050031083741,23.17971453503128,31.06249418014135,90.48464775085448,72.39507971620979,47.19901586833753,79.22243486370957,57.80066284685503,42.5704022671314,38.47538857883573,69.5390957919034,29.977456728617348,51.33022965092362,89.53347314137086,41.65682527754042,84.68077279357259,64.49889344348398,29.637844542152862,97.05103335173234,62.69509147676787,65.95400501700009,70.62225448352665,0.7869703109559375,-4.6688012778759,-9.828424698267227,1.0511758851359714,-14.977349276748,-2.048498132954473,-31.194035760287584,-19.132695456807927,-10.25245041973823,-2.462238688831744,-0.3410141414670802,-7.794261499263314,2.038129106254655,-3.383756428956985,-8.563148791973408,2.457036252035375,-13.206571369079883,-0.7075822520731152,-29.067069086535227,-17.220074261805806,-8.614871354229683,-1.1213223409393558,1.1319919219657557,-6.178135746951707,28.18339968791598,23.4696196185218,17.87708673721705,31.83508191013608,23.79711689561178,27.31332502503326,15.379887613756903,22.747736198957572,25.605357853712235,26.899586553158965,31.91316690017928,27.593792578018387,-2.421339859287005e-06,2.439370801821413e-06,0.0056190328905358,0.0006640490028075,1.1200141831016073e-05,-1.59961690313857e-05,7.71984336285396e-07,-9.29461285353362e-06,4.947544145989464e-06,4.53530665578076e-06,0.0009860219142865,-0.0005730376506107,-2.2974657554186703e-05,0.0031328718857063,-3.718369135379649e-06,5.44535774942772e-06,9.825340945309188e-06,-7.709185159368877e-05,3.4382909609071545e-06,-8.143613338815644e-06,2.5486186036447948e-05,-1.2060343124176144e-05,0.0003811492420294,0.0001319113781552,15.619590554760592,11.10464842315294,5.863317223424562,22.03961372358119,8.23907376970764,29.31561446252288,15.01512986456174,21.68676102943756,13.64843609313943,19.924776925924515,77.91014998184681,14.687739612539229,22.789442358780253,23.12993658512874,37.55641035077872,10.42878065763816,51.30616177645004,35.29085488320414,9.26287332163984,59.05568924985607,22.117075490173683,27.366498706278666,11.595060027437524,16.499925935773046,-0.0607784731350733,0.0307429802374076,0.0213726387260346,-0.8935990241857675,0.0044894510261302,29.5803964138031,4.355843365192413,-0.0603807882258766,0.0239429793444024,-1.1482534309228265,1.3501237332820892,-0.0059042204631185,-1.84,-0.34,2.23,-1.99,0.04,-0.8,1.2,-0.13,0.11,-1.17,3
1965-04-01,-8.230512253461388e-05,3.920126462707389e-05,4.172980093302212e-06,0.0001270189398333,8.409565969093426e-05,-6.343310186495706e-05,-0.0001020993615249,2.2631640014289e-05,-4.011074743319208e-05,0.004020704946015,-1.9060962586081587e-05,6.079339924678396e-05,-5.205546331126243e-05,5.734049502793008e-05,-1.5858804956461705e-05,2.3020121317542827e-05,0.0001093705572229,-8.833899837321578e-05,5.639577231794941e-06,8.464431526391205e-05,-7.933954252580364e-05,-3.458713181316853e-05,3.729712165543904e-05,0.0003598159475421,,,,,,,,,,,,,1010.1332931518556,1069.9731659470942,1039.017413413688,1056.0925451501623,1435.864344592343,1150.7536290055614,1058.1366489227232,1341.7951167024523,1479.0912720316276,1044.452407679607,1259.289852189429,1041.8580040564905,70.46628400503872,58.00410760543482,35.79598249892843,27.986038328789785,33.43401016333164,88.97385597229004,64.60126054601585,60.17039073140997,77.37815031531261,50.87215465735335,45.097728116830496,39.51507120214424,69.23761679909445,32.48628341790401,48.32445500971197,89.99839955549024,49.73693953620063,83.58534302538645,66.07465715719613,35.44190887712006,94.81242304262908,67.94790996502397,64.16439308839685,75.52423956673904,0.7725793800295971,-5.965607364972433,-9.77681380051833,1.2186204648425438,-16.986744255540476,-3.1389911537585053,-30.349981373754044,-19.13939261621283,-12.154273227252792,-2.2856170716493027,-1.0048182553319789,-7.713752438407798,2.1825161957112096,-4.517484456300736,-8.350972151144957,2.8028914561638465,-14.99124417464699,-1.627906357896501,-27.953091983137465,-16.984050957731498,-10.308876923755207,-0.7745329371613004,0.6551193390319596,-5.892532465239279,28.698423668047,22.716560628679066,18.464087461813904,32.59740351272105,22.537010138114677,26.790226369664293,17.12395240520609,23.550345546515413,24.39646172312509,27.6435981626096,31.87264912164033,28.358147133906336,-4.033231444891423e-06,2.64559367852122e-06,0.0053615309298038,0.0005510558912646,8.740337237848857e-06,-1.4219676153159298e-05,-3.2390656857527438e-06,-6.521616442329305e-06,1.2588099697932374e-06,9.601005657760147e-06,0.0020349620899651,-0.0005589059946942,3.842780529339507e-05,0.0013874950430666,-2.562345612056521e-06,1.1726326102191242e-06,7.785048899832477e-06,-7.315541145718717e-05,3.121889155499813e-06,-7.826511189832249e-06,2.819096966720137e-05,9.284422499776751e-06,0.0004058210727046,1.384548260616344e-05,13.274262513736428,18.12376146384007,6.677658465283014,21.946371124968024,7.62978924670672,25.23390967082929,18.291775612971453,17.62389550845881,10.118396859218455,32.23644503804148,43.37539567564963,14.53736040880905,27.00556030536388,19.24270289791467,27.802549427021063,11.421634222219348,51.33887953145185,36.97200289006079,7.511013023428436,49.35994640658629,20.35426561356029,41.55222055513463,6.87090485171806,24.987075151333503,-0.0664904320936257,0.0301780599130584,0.0107188309756154,-1.199087959069472,0.0062298941446325,158.55038166046145,9.768937528133392,-0.0248557698765867,0.0192346856985465,-0.8961507015758091,0.8525101095438004,-0.0146511677487552,0.67,-0.44,1.02,0.64,0.62,-1.07,-0.9,-0.18,0.1,0.49,4
1965-05-01,-8.205910336778926e-05,4.07700355018947e-05,3.6505797706787863e-06,0.0001217079899668,8.124234571713148e-05,-6.341638782257099e-05,-0.0001051120492505,2.687388218505107e-05,-3.883419217327389e-05,0.003526979999151,-1.7312964108748212e-05,6.01175497996955e-05,-5.086394885438495e-05,5.775476364582045e-05,-1.694713922294416e-05,2.5516843308457927e-05,0.0001078372240872,-9.026567568071188e-05,2.5399451607417946e-06,8.295717163962292e-05,-7.809201076622581e-05,-3.3105405236710794e-05,4.031914537608426e-05,0.0004162570500435,,,,,,,,,,,,,1009.4416961669922,1070.3700657894738,1039.3467942329305,1056.0273881392045,1431.419018207568,1150.5489715748588,1059.7567564261485,1339.9583020747102,1479.3723580917876,1040.764499939594,1261.598488136574,1041.1570387620193,74.99524656548557,58.42996980652915,41.12889302801762,27.24480691874562,29.29974763821333,89.30776596069336,55.6548982771261,71.83678652110852,71.77021517391094,42.25136035055087,36.77242876713235,40.41290064595832,68.4500354420055,20.383994145826858,36.13343710427756,92.41356340426844,58.9322566986084,80.30575587551222,68.15480874624733,31.042715219350963,90.24086330247962,71.53851095698934,54.288613095003015,80.06086509320988,0.489075117674609,-7.231578230857849,-8.340669778677134,1.4225584149700286,-18.667362067117647,-4.2167736136395,-26.133981244317415,-16.95996144021204,-13.720376512645622,-1.3481389569199602,-1.8745372733518255,-6.091193653090032,1.9118256307760555,-5.770293540424771,-6.901870874258188,3.021227260600468,-16.653727572500422,-2.691956404326618,-23.715298751304893,-14.78502731914668,-11.85820841156276,0.1766782496934351,-0.1995141203723736,-4.253422016660199,28.324511375195115,21.357734998067222,19.808802482409355,32.699753687931945,20.728436611485822,25.615553925002832,21.18625805295747,25.591575267703032,22.712025600197045,28.48418484563413,30.89649428182573,29.86392724982516,-3.21479396245048e-06,4.169410034363027e-06,0.0044128736287044,0.0002718227551667,6.6298204314067e-06,-1.3161711836629492e-05,-1.7821137659596458e-05,-2.475694379625427e-06,-1.7581880365244135e-06,1.270622554327049e-05,0.0022319231356959,-0.0002648584268172,0.0002200220933445,0.0056453107390552,-5.232681824845318e-07,-4.456247203521196e-06,7.548955052990888e-06,-5.749311156328173e-05,2.6360801237578197e-06,-8.397600256927923e-06,2.8784038716510528e-05,2.2012228986693965e-05,0.0004335823177825,-0.0002169655464753,9.181234569732922,20.97188158637348,7.651304886347443,20.535535355541583,12.386410149042522,16.69758546094194,23.113278668624982,13.84091696857506,8.812770298164295,34.92986264753427,40.49960225270311,16.27994616787084,33.27678085160311,14.233997225786492,17.940635597012456,16.349577917439166,43.75075797197556,31.918923975121853,7.95692503496915,35.640822997355585,21.580967971847667,46.83548277026557,21.76202788256155,30.16785345629844,-0.0619597754247507,0.0339858395623918,-0.0233319314852273,-2.19707924586076,0.0150667032612582,238.5715484619141,17.436614632606506,-0.0047490875432757,0.0103984552250434,-0.5027664204438528,0.1706804521381855,-0.0169587025788754,2.95,0.06,0.07,-0.52,-0.66,-0.42,0.3,-0.21,0.15,1.18,5
1965-06-01,-8.534848730560723e-05,4.318526031763085e-05,2.6550795731486303e-06,0.0001166656642171,7.977630515154954e-05,-6.714873579991866e-05,-0.000101919261363,2.9171332872574288e-05,-3.9561941793874986e-05,0.0033689086558297,-1.5402325981656676e-05,5.737453321872975e-05,-5.083077412564308e-05,5.917945289292819e-05,-1.6822781818614682e-05,2.5147119485454468e-05,0.0001084844042275,-8.986135071609169e-05,-1.979788458179192e-06,8.517257353108558e-05,-7.94686498052256e-05,-3.192568874510471e-05,4.403177406592705e-05,0.0004447861680422,,,,,,,,,,,,,1010.9001083374023,1073.322025767544,1041.5309470538136,1054.8949085582385,1427.6555499759331,1151.733467403778,1062.0504040807673,1338.9115693553397,1481.6118175856734,1037.279392517719,1260.6638967255014,1041.566913311298,79.6297303165298,61.08138318688934,46.77673616020928,27.540010638476048,28.338193282102925,87.7767825126648,47.72621445641839,77.53569703353078,64.52457249513147,37.64869942849512,37.82868044058174,38.415923022950615,68.71085565740412,23.561269586736504,37.03208476195842,90.24009581136858,87.09279431237115,74.918241846536,69.10052087257453,57.68343770605887,86.514020173446,72.2251908461935,52.02682439018698,83.32613087233219,0.0278456291489862,-8.114450507693821,-5.681690313877204,1.698140422163526,-19.475236920078405,-5.052837254344554,-20.156861995828564,-13.626905929210574,-14.609021634127188,0.0069576153612655,-2.662322877058342,-3.567134761393851,1.2992152335919425,-6.80864734782113,-4.395976922450922,3.1267108061374764,-17.67585517116711,-3.690261685329935,-17.99553180563039,-11.683384577433268,-12.944990343752162,1.3695340603590012,-1.165521643055019,-1.9249018623318732,27.405271859004586,20.004448625776504,22.004607763045875,32.46069307680484,19.272332898737712,24.288617700770285,26.38476141567888,28.22448079900224,21.22391093093737,29.348413322282877,29.569489777977783,31.7963729258708,-3.3908217693278148e-06,4.943143250041245e-06,0.0032954201742541,0.0001853151115938,4.469380979094933e-06,-1.2745593126088645e-05,-1.893253799887764e-05,2.9012712694229705e-06,-1.959303151405191e-06,1.3643500315407511e-05,0.0024963991018012,-0.0003180159910698,0.0004616984369931,0.0081582188916703,1.2503615419953586e-06,-9.478219916718238e-06,7.242372489405894e-06,-5.1354881508543375e-05,2.610192709833742e-06,-8.11777684163623e-06,2.967107751541526e-05,3.325243251938132e-05,0.00039934684002,-0.0003835807386648,5.1025794660324655,22.351487762521263,7.286113544945404,24.82318076633634,16.613527652452976,9.73285167228035,25.01969502221283,9.272421781491282,8.119464724080693,38.27767939161387,23.158160150217853,15.54254758775232,33.38272162509748,9.3948754311445,10.094165652760434,19.682128775015915,43.80187056661541,22.686110371354363,9.824624667995744,21.72691858057253,20.89114581656453,49.146524190381726,47.59164249635933,32.26206135776741,-0.0574024792155648,0.0341232511159263,-0.0748440592065869,-1.9157911722476664,0.0245435902737395,171.50462865829468,16.36022925376892,0.0193148220055981,0.0037843721542866,-0.2857244470053249,-0.1926088891923427,-0.0150539284893252,1.33,0.36,-1.56,0.6,-0.8,1.89,-0.9,-0.28,-0.17,1.19,6
1965-07-01,-8.41779489245344e-05,4.531352602528439e-05,1.879573745608761e-06,0.0001092031430437,7.65657436253654e-05,-6.177475033500404e-05,-0.000104509153634,3.018907429935846e-05,-3.484654464743288e-05,0.0021964142797514,-1.76210598806921e-05,6.027472529527151e-05,-4.996027346351184e-05,6.11295168072634e-05,-1.6724407855256334e-05,2.370945732977486e-05,0.0001071716824706,-9.128284522702392e-05,-2.720606172049424e-06,8.385507399400822e-05,-7.835985777526254e-05,-3.112283084192313e-05,4.623662000229697e-05,0.0004526304440911,,,,,,,,,,,,,1010.2705841064452,1072.569323087993,1041.3085867825164,1053.951320895901,1426.0711814554948,1154.3888932567531,1062.1533610875522,1337.9413933153974,1481.8057147777024,1034.0793884906573,1262.808792679398,1040.2320587940706,82.98074193747647,64.07339413171962,56.87788795022404,34.39127335762286,23.79660820349669,84.5100462436676,41.37586274804258,83.8509810598273,59.99677446153429,33.05303826516504,32.52652941174387,41.25197391455357,68.3368481722745,24.962234497070312,32.32682406247317,89.99055782182317,101.07639100816516,72.489224008914,70.45991258026937,85.58317005124867,82.63985343601394,76.9633591942521,48.83210098042207,85.95606201853832,-0.3055546561191822,-8.558036883672079,-3.0473436453403573,1.840745383857662,-19.998064451810848,-5.612662218619085,-13.289842934444032,-9.262539989264436,-15.065831209705996,1.1261453123196312,-3.3103744307560707,-1.00390332299549,0.7907878040783788,-7.432001829147339,-1.938632818368765,3.072646931026057,-18.44639892213082,-4.437670500382134,-11.426059130964608,-7.586580468702686,-13.630885993484904,2.3011381211488144,-2.019636203993612,0.4122458626089137,26.62314517502853,19.09997993045383,24.18516599214994,32.09908613112577,18.114421242161804,23.247874301412832,32.48894132416824,31.90288691557655,20.179787779276356,29.9866857736007,28.3931464579568,33.779983853669144,-5.092680902550169e-06,4.009742079246819e-06,0.0005219566446612,8.715910553291906e-05,6.64786351226016e-06,-9.703191584199538e-06,-2.771499531753272e-05,5.489183957185113e-06,-7.413738238496854e-06,1.9908457951625748e-05,0.0024075455439742,-0.0002762577787507,0.0005733161287935,0.0082319456851109,1.7536393176234686e-06,-1.328589016700962e-05,9.895740464016504e-06,-5.68638418546006e-05,2.1132082809459456e-06,-8.228593086705376e-06,3.055422176227072e-05,3.710407358523989e-05,0.0004068886268856,-0.0004663982562145,5.194146747179477,22.89664653322479,8.293333164143855,19.456352966503857,16.816704130275507,8.285861840942959,25.557834537748494,9.15885409036314,7.625672065390934,46.35904309520231,14.486004072440709,17.43517723459096,34.05684217116785,9.595657281197576,10.37448359946065,18.81846784478214,29.864427816706137,19.640981064373022,11.533939676272924,13.52517885817705,22.59480400723489,54.973224522336125,49.44237989635936,31.85081608051152,-0.0534961281338987,0.0368692394526593,-0.0741726547146642,-2.571806082358727,0.0267683905586341,185.3256702423096,15.720555186271667,0.0234152360966331,-0.00357301290363,-0.264497370355659,-0.3672652691602707,-0.0206542933430475,0.37,0.61,0.75,0.35,-0.47,-1.26,-3.0,-0.2,-0.39,2.64,7
1965-08-01,-8.168911582313774e-05,4.501110475562313e-05,2.3183335236477062e-06,0.0001095111256172,7.816064533324459e-05,-6.335820890618144e-05,-0.0001057840984652,2.998320753994024e-05,-3.626610554700438e-05,0.0023225677432492,-1.752913365550718e-05,5.965926537068641e-05,-5.032629924244248e-05,6.052173570128811e-05,-1.6750375757122006e-05,2.404042905701881e-05,0.00010749901803,-9.166673781015936e-05,-2.0112469101750568e-06,8.427368748079907e-05,-7.973512519792829e-05,-3.186403810104821e-05,4.6377602098191705e-05,0.0004415491606447,,,,,,,,,,,,,1010.363021850586,1072.2702829461348,1040.784527504281,1055.435378830154,1428.6832258034658,1154.7348798331568,1061.0964207659183,1338.2040061698056,1477.649368064991,1037.3273397229382,1259.9381811824844,1040.132055038061,81.48119018738528,60.84905203163771,59.70165200902326,39.57602669507029,23.70763558607835,84.4030213356018,46.00746624630567,82.90613074051706,65.95082310905234,36.136777888345456,30.77300162103236,40.67199510284686,68.86783530495383,29.507617516951125,37.29193341601026,91.31439727486917,108.346340391371,69.09001153161022,69.7963159940363,99.49273329514725,76.7659444394319,75.1843612081503,50.330358393052045,87.32277214860117,-0.519152123926861,-9.009881814320885,-1.4809159132150505,2.0209670576274905,-20.286135240034625,-6.282206894694896,-9.003057151005187,-6.405597139698591,-15.468788146972658,1.691888531912928,-3.823381822500656,0.1928062808565697,0.5497678932988862,-7.912011279000176,-0.3999362675807415,3.2220553808402475,-18.773278779390328,-5.136603980824567,-7.185893223203462,-4.771557889243429,-14.06973315551218,2.8374918777009714,-2.564927464100852,1.5735334704536537,26.300137038163196,18.53576103846232,25.64094641269782,32.15637098350416,17.671498385342687,22.461072949395664,36.58973101911874,34.59256933641064,19.633629047765144,30.435167706531026,27.75132421237319,34.83536899350096,-4.218916584455316e-06,3.0240815795178075e-06,0.0009690054260621,6.486129677796271e-05,6.710590378052287e-06,-7.886678847037093e-06,-2.429935560800144e-05,4.672652683443857e-06,-6.9126552842693725e-06,1.7175534324691484e-05,0.002370708680246,-0.0002850168311852,0.0004930679097014,0.0076368756708689,1.3674793347925751e-06,-1.1285457599300225e-05,9.145684124191069e-06,-6.226448331677176e-05,1.284555901549802e-06,-7.460034424205566e-06,3.1165934495603374e-05,3.426755875838792e-05,0.0004062546341789,-0.0004383949357468,6.879372192228902,22.01341821857537,6.086802231859511,15.74126480159402,14.338996170843645,6.714052994532025,23.59325655768974,6.9909041081612,6.7772902555766565,41.26131954120065,11.631751941466096,16.240688489026734,32.44719252948641,9.617210034754311,8.580691430142485,16.32005947368025,25.54755787807746,12.754392140250658,9.477657376739524,10.565573006053684,22.0581249143931,51.6686116650251,40.325883181637685,29.868654207898395,-0.0514247621863316,0.0341724650566849,-0.0726548538610921,-2.844978066591116,0.024764659854305,167.633056640625,40.504634380340576,0.026098453684857,-0.0036250113184193,-0.194991421368387,-0.4506018012762069,-0.0176589900798671,1.29,1.12,2.32,0.45,0.2,0.32,-1.1,-0.2,-0.21,1.62,8
