,zgu250_cluster1,zgu250_cluster2,zgu250_cluster3,zgu250_cluster4,zgu250_cluster5,zgu250_cluster6,zgu250_cluster7,zgu250_cluster8,zgu250_cluster9,zgu250_cluster10,zgu250_cluster11,zgu250_cluster12
1968-01-01,-0.33185616,0.21406555,-1.0221897,0.9591007,-0.38765183,-0.20312539,0.33149147,-0.20130157,0.3533722,0.040114593,0.027350616,-0.11742554
1968-02-01,-0.21771201,0.19546738,-0.43907127,0.87267226,-0.086792946,-1.5170562,0.23740502,-0.14951745,0.06965332,-0.031726837,0.22464104,-0.67611086
1968-03-01,-0.37853545,0.16884537,-0.79754907,0.194738,0.789526,-0.08314667,0.012034607,0.00802269,0.0018234253,0.15863495,-0.057254028,0.19874954
1968-04-01,-0.12326088,-0.3555603,-0.10721512,0.006929016,0.40661508,-0.08898125,-0.025892258,-0.012034607,0.10794449,0.076582335,0.07111206,0.17322159
1968-05-01,-0.1754097,0.16374016,0.06053696,-0.11523743,0.61192816,-0.6600655,-0.111226276,-0.07366486,0.069288634,-0.07767601,-0.38692206,-0.036467742
1968-06-01,-0.024433136,0.29538804,-0.2552742,-0.034644317,0.013492966,-0.70783824,-0.12180176,0.25782698,0.15061188,-0.63016206,-0.038655855,0.08059387
1968-07-01,0.2202652,0.19182053,-0.17139816,0.31726915,-0.22208825,-0.0007293701,-0.08715744,0.06090088,0.14295349,-0.24870987,-0.084970094,0.0798645
1968-08-01,0.06965332,0.33915025,0.024433136,-0.1451416,-0.35009003,1.0116142,-0.25053328,-0.1743164,0.1451416,-0.4080742,-0.14258881,-0.24105224
1968-09-01,0.11852036,0.13274232,0.34461975,-0.0018234253,-0.16118737,0.6943455,-0.28991812,0.13237762,-0.06017227,-0.14660034,-0.33440858,-0.053242493
1968-10-01,-0.3635826,-0.36795884,0.39129868,0.14659996,0.51711196,-0.68194616,-0.117061235,0.021516418,0.37269974,-0.18890305,-0.1404007,-0.1630104
1968-11-01,-0.3107048,-0.02260971,-0.37525254,0.2432396,0.2961174,-0.9270088,0.4281311,-0.06855927,0.14587097,-0.3533722,-0.25162736,-0.012034607
1968-12-01,-0.17577438,0.30705795,-0.3785347,0.41026154,-0.15535203,-0.3099758,0.27423707,0.1509758,0.23157005,-0.091898344,-0.07840538,-0.246521
1969-01-01,-0.319454,0.047768783,-0.71620023,0.5105289,1.1358356,0.6521767,0.010615158,-0.4448471,0.31679994,0.08591767,-0.16520043,-0.44650537
1969-02-01,0.09520607,0.08425903,-0.395751,0.32044905,0.11411438,0.16652718,0.13468131,-0.18477249,0.2368534,-0.3128193,0.3005455,-0.3148094
1969-03-01,-0.16818619,0.17581634,-0.26903114,0.58384097,0.20898858,-0.22292098,0.5354084,-0.2720169,0.75899315,-0.031513978,0.07629738,-0.16188279
1969-04-01,-0.06501846,-0.24050292,-0.25443572,0.2932476,0.22922401,0.09752808,0.15591201,-0.06203308,0.38978004,-0.83794403,0.12141228,0.15989304
