,r200_cluster1,r200_cluster2,r200_cluster3,r200_cluster4,r200_cluster5,r200_cluster6,r200_cluster7,r200_cluster8,r200_cluster9,r200_cluster10,r200_cluster11,r200_cluster12
1968-11-01,63.210743,31.030422,44.179077,83.08744,52.252728,61.208427,81.50201,38.667877,49.6774,56.59537,73.27866,22.527014
1968-12-01,58.961452,39.64972,9.912739,82.907166,59.381554,60.223366,71.60953,44.056747,43.251957,61.293736,71.81716,18.268066
1969-01-01,73.51329,37.337906,23.215015,79.39741,67.179634,43.369087,48.305664,47.134186,31.861547,79.92048,49.575737,27.222435
1969-02-01,59.6394,28.718115,11.179394,77.925125,46.067993,39.49536,43.847034,38.551163,36.01937,68.82404,41.66284,18.768085
1969-03-01,73.50828,45.548264,49.38857,80.46527,60.020424,51.81508,61.62807,32.712162,46.33872,67.0827,42.434914,43.01647
1969-04-01,38.038116,79.05817,49.57908,82.47566,60.077244,33.006287,69.21342,41.09465,35.51635,62.025803,51.098156,38.18685
1969-05-01,46.764862,64.97037,63.464664,80.95659,36.046104,45.984436,71.489525,25.701689,34.29474,49.473797,54.935116,37.378014
1969-06-01,39.324905,49.301666,55.9729,80.77444,31.224838,66.64152,82.76812,20.071583,36.527397,35.07684,68.52658,40.30921
1969-07-01,47.10912,47.653915,65.256134,77.495636,14.26601,75.079155,86.909225,16.518719,32.531677,34.794415,76.94416,55.81581
1969-08-01,56.00632,34.59722,80.20792,62.005753,16.822868,85.88481,90.21477,13.938465,39.022423,46.39554,83.548546,52.51529
1969-09-01,47.082382,62.26979,68.5249,80.82958,30.28064,58.412777,84.111725,11.8395,42.71734,36.960228,66.94066,46.032898
1969-10-01,46.35209,51.62958,59.69622,79.12668,43.541214,61.836964,86.44966,39.92986,37.583565,53.902344,69.27191,17.467934
1969-11-01,58.815525,60.037136,35.02336,85.086,51.25357,54.88832,69.97045,40.96263,55.69716,53.54806,58.42782,20.465977
1969-12-01,66.910576,27.065348,36.012684,84.30223,64.25679,54.819805,63.334316,38.967278,40.84732,65.90955,67.15958,20.099995
1970-01-01,52.291496,20.723469,26.871582,78.55708,59.008907,27.088379,43.543472,41.863705,42.328743,78.423035,30.381714,21.72802
1970-02-01,63.113167,24.822763,23.657684,84.07963,47.4541,42.782196,58.75901,45.751163,40.787994,75.01882,49.042847,18.951027
1970-03-01,70.54385,26.840137,21.052803,79.34484,27.502115,53.444992,55.601383,35.9357,39.897633,72.0151,52.250122,21.984535
1970-04-01,64.01511,63.8943,61.216602,74.10695,38.78055,47.53354,71.77182,43.394527,42.43135,67.329956,65.44663,33.49466
1970-05-01,56.241844,65.51614,76.07302,79.05522,29.213326,46.035812,85.24637,28.869097,42.199657,55.844658,64.35934,24.17237
1970-06-01,41.327503,58.605103,74.38829,82.69941,22.997362,68.80782,77.20831,24.857517,42.512444,43.36805,48.912106,35.492176
1970-07-01,41.683315,65.08751,85.8107,80.11273,20.75988,80.62245,81.93317,11.937382,41.054436,42.044094,71.64605,81.58729
1970-08-01,60.40899,48.097874,74.234375,76.738304,18.416481,74.15659,89.26953,11.348221,44.22365,40.44873,82.49089,51.761917
1970-09-01,55.727158,57.441677,68.728386,76.56288,34.002728,77.14046,90.50246,10.451244,43.934036,34.916256,83.9191,45.148766
1970-10-01,51.72385,71.0453,47.19262,80.976616,43.925762,74.26417,78.84339,25.541008,38.911285,66.1715,55.73047,15.300224
1970-11-01,63.54676,63.7106,34.376747,83.210785,55.950573,59.04035,80.46524,37.36888,49.833908,72.71845,69.35065,13.052811
1970-12-01,57.658474,32.584442,23.915855,81.368835,54.67958,34.864952,68.79789,28.794624,43.09167,84.76312,68.8161,17.089218
1971-01-01,48.847237,25.441912,16.669777,87.83751,54.94496,24.897564,51.322166,35.05931,41.080963,78.9014,42.71063,12.620968
1971-02-01,53.39982,12.801853,9.615215,86.28392,51.768463,12.172977,56.52222,19.301926,37.103157,86.51552,46.096752,8.830811
1971-03-01,60.11797,40.543373,21.6974,81.46423,40.52985,54.33299,55.572144,21.6078,38.6652,57.10038,55.034557,9.508713
1971-04-01,62.185482,88.79773,49.961292,91.48059,54.96525,62.716305,84.6999,19.570717,35.230057,70.97114,61.333454,34.651894
1971-05-01,53.802166,52.312813,69.33471,85.5925,36.09053,55.820652,72.37597,18.990868,49.54035,43.861877,58.22289,35.045784
1971-06-01,39.46651,52.960285,86.23659,90.659,9.8840065,74.942184,85.85284,19.70765,35.716927,35.588448,63.6275,25.034496
1971-07-01,49.07884,53.01945,67.19282,80.92664,10.977779,80.776184,84.71173,8.868004,36.075317,27.806957,68.63991,63.556496
1971-08-01,48.624084,45.60819,80.9706,87.11059,10.460476,70.371,84.45308,10.291424,44.71559,33.54967,81.12613,57.688683
1971-09-01,63.167675,43.574486,65.5361,77.47966,19.02975,69.09804,82.270615,17.22258,45.54564,44.495823,71.948265,49.536972
1971-10-01,63.306297,67.01531,47.729797,82.8961,40.724262,55.668507,75.86014,23.653336,53.609444,54.584877,56.91442,19.680603
1971-11-01,63.039196,53.131027,33.963852,87.04973,49.335796,69.94499,71.86881,27.903316,38.668583,69.09128,64.602936,18.654453
1971-12-01,56.67606,57.78504,25.475723,83.56555,64.17861,41.829865,44.587112,28.892275,46.940323,71.88233,50.31123,15.25988
1972-01-01,62.295063,40.044754,13.534542,83.10861,56.54314,58.469116,56.7268,21.860935,38.230923,71.74129,56.661785,24.51342
1972-02-01,52.198723,26.800213,13.160725,84.76316,38.721764,35.31514,47.428474,28.176838,34.58213,66.631355,37.12572,9.601326
1972-03-01,51.745262,31.633844,23.242437,86.49573,56.838943,41.34987,64.62249,27.047256,45.36435,71.91682,48.137104,29.078878
1972-04-01,61.030582,47.977825,46.599575,88.41521,56.192074,47.80392,74.236115,28.337744,44.675224,56.765804,64.18529,52.68631
1972-05-01,56.265213,66.94016,68.14126,89.33187,49.256935,63.64406,83.88388,27.21954,32.178318,37.660446,72.31339,31.113749
1972-06-01,43.14257,61.683952,64.91179,83.07123,21.625267,78.86821,81.67023,21.896694,37.91399,46.092484,59.697838,35.763725
1972-07-01,34.143303,45.469994,61.875736,47.31308,19.871574,77.08363,85.673325,13.139595,34.35784,31.03411,75.00488,72.33289
