,r300_cluster1,r300_cluster2,r300_cluster3,r300_cluster4,r300_cluster5,r300_cluster6,r300_cluster7,r300_cluster8,r300_cluster9,r300_cluster10,r300_cluster11,r300_cluster12
1965-01-01,24.758728,57.209698,51.646957,28.7031,44.6493,68.80857,54.361168,30.334576,64.56936,23.189499,41.573086,43.702522
1965-02-01,27.492598,46.505188,51.6961,17.351566,48.918003,68.37941,37.862953,29.312447,57.484886,10.783077,20.968334,33.2388
1965-03-01,53.209633,35.183136,46.73615,34.00048,43.499405,63.56197,40.96865,38.508335,65.085335,21.115753,23.39589,36.308464
1965-04-01,57.00167,46.531395,50.518356,40.03989,54.502037,64.04846,55.004913,43.748386,73.627655,31.27808,17.063274,39.599262
1965-05-01,61.907562,48.041656,56.446377,15.76268,51.96801,68.25656,26.730915,61.5947,64.31874,32.233047,31.427141,43.97771
1965-06-01,74.23536,34.180664,42.25942,21.379478,59.689674,26.21166,14.149223,53.743633,63.873196,31.86613,71.77668,25.40575
1965-07-01,68.797104,39.864624,51.38815,16.902748,53.303,28.716204,16.218052,61.86661,55.240788,29.523752,65.70615,28.920958
1965-08-01,50.434814,36.28553,50.10721,33.715466,45.756607,13.608673,16.935509,54.529884,50.384037,42.444515,66.36136,36.36416
1965-09-01,73.22633,41.830254,51.60109,20.889706,49.62563,34.20687,25.209187,46.8246,55.892723,37.718803,69.771736,48.31848
1965-10-01,58.423477,56.372665,57.253925,15.584133,47.69767,42.107082,30.061026,44.452736,52.562614,43.08007,66.72664,47.527317
1965-11-01,69.7619,54.5004,57.58808,12.36705,48.515045,54.054855,32.342796,46.48553,64.23848,25.010984,32.17408,51.198135
1965-12-01,62.551308,49.93358,58.814964,14.6095085,47.311096,57.995953,32.165894,34.9358,57.12616,20.309845,24.154297,40.94572
1966-01-01,56.118004,52.7002,56.26739,31.976685,36.602703,54.297474,46.51959,32.585716,59.17794,18.490967,31.451374,40.47687
1966-02-01,42.844055,43.623814,54.82607,14.373844,31.61225,73.162704,35.29435,48.354893,48.425484,14.925419,31.008142,39.610107
1966-03-01,42.30561,40.90861,56.75823,22.713154,40.755943,47.4159,31.068882,48.121788,67.39085,22.803442,49.517143,34.444004
1966-04-01,34.77725,57.47232,57.69722,24.809473,49.22658,57.49038,44.35925,53.703217,53.857525,28.233843,39.273582,39.10121
1966-05-01,67.403984,44.69085,55.481064,12.963711,51.821945,43.53845,38.964962,65.279755,57.82855,36.234985,43.89139,55.33168
1966-06-01,58.936626,46.327522,49.79129,22.25515,44.388798,24.90961,18.187271,63.6792,55.026344,28.642601,69.01275,37.200245
1966-07-01,77.008965,38.186844,53.051502,12.113365,31.75671,22.604809,17.77359,70.10113,64.587006,51.482136,58.609947,20.150623
1966-08-01,63.19657,30.505814,50.66134,22.916712,38.805725,25.751749,15.493412,53.06956,47.67856,47.790184,68.3085,23.63409
1966-09-01,68.58757,47.368294,53.49309,25.810846,46.242157,41.181118,19.423393,58.73799,53.52428,51.204704,68.51862,40.26018
1966-10-01,71.439026,53.699932,57.053715,18.52216,59.235397,58.616516,39.616676,53.71963,59.220623,56.114723,56.75987,49.720703
1966-11-01,78.63414,54.597885,54.295834,16.337193,48.74067,66.6193,42.637215,41.744186,60.919674,28.598278,35.171234,47.25831
1966-12-01,66.524086,60.351685,62.915855,23.836006,50.25094,65.041725,54.0578,40.202724,57.176834,20.597137,24.866928,40.452248
1967-01-01,56.782143,52.34156,52.10171,29.968037,38.028313,66.852425,37.035137,28.728252,66.50448,11.280079,35.974396,43.46208
1967-02-01,36.342613,47.928,61.89836,28.069513,34.050537,81.6555,47.112175,37.835762,67.81182,16.043278,23.9735,42.38951
1967-03-01,38.96237,53.38541,60.47616,33.12661,37.866165,71.38591,59.292114,46.191628,69.31172,22.603657,15.004498,32.466183
1967-04-01,32.62327,44.26608,61.337585,23.507313,51.125423,47.659435,52.613503,52.66755,66.659874,26.740208,23.77081,43.394516
1967-05-01,69.29483,45.30655,57.635128,14.411629,47.512486,53.78403,30.12512,59.49987,64.84412,57.096313,22.769188,45.407894
1967-06-01,56.748363,45.43492,57.41555,24.676155,39.92177,34.513344,23.865398,58.280357,59.66371,46.537888,68.02802,29.900473
1967-07-01,73.56482,32.778664,44.046497,17.45028,40.32884,43.60396,10.378113,63.749588,48.775917,63.12632,58.85464,31.932434
1967-08-01,75.38734,33.7313,49.35358,15.431831,51.60005,46.889217,9.530197,70.06336,46.414585,49.078262,60.01335,21.922958
1967-09-01,51.861862,33.158703,51.208187,19.44677,40.521393,39.467407,17.098953,52.583096,45.608894,44.110683,66.69365,27.544209
1967-10-01,63.668514,53.87693,46.309864,12.63979,41.766243,59.162056,34.386665,39.66165,58.354675,39.26134,54.03908,43.215473
1967-11-01,51.37034,54.552563,63.242867,18.560005,53.920845,66.6092,58.21617,48.813076,49.60863,36.003113,32.219574,44.887657
1967-12-01,28.101604,57.658775,66.73757,25.361921,45.755844,76.95649,46.933132,24.07991,73.772575,23.250572,30.163969,38.984333
1968-01-01,34.787178,51.800434,54.968086,26.571886,40.623516,64.16361,56.057774,29.23735,61.92469,13.4683,35.574265,38.99945
1968-02-01,18.855564,43.58192,54.316208,12.837345,50.337326,74.95102,51.216156,28.867147,65.6058,21.709347,24.519672,38.445755
1968-03-01,24.006216,52.687313,53.85426,28.353691,34.408928,56.339447,51.715126,51.227425,67.96061,45.222084,28.307013,38.664658
1968-04-01,41.63111,46.56769,62.584618,23.484713,43.931202,71.90569,41.664913,50.311573,63.17211,31.505247,35.01574,51.129242
1968-05-01,63.049786,47.45296,60.74165,20.516647,45.115852,44.00202,39.986122,66.06614,70.49892,39.015545,57.335777,51.304684
1968-06-01,54.073162,41.82748,48.848465,12.758476,51.383553,26.805275,24.432756,61.966537,56.928555,29.407965,67.134895,30.434877
1968-07-01,65.63638,32.823494,46.434097,20.078842,40.33379,27.09339,9.769485,62.932285,54.22607,49.955856,62.11784,23.825945
1968-08-01,65.30641,30.46224,52.28331,19.076077,45.58263,40.02636,11.068417,59.92881,46.673923,53.03659,62.661877,52.753307
1968-09-01,68.396805,45.561707,59.2544,15.993732,45.981804,54.171345,21.202328,57.808994,58.684605,49.361923,66.66651,43.47891
1968-10-01,47.050568,65.2195,61.284077,20.397541,46.64978,53.4245,30.31577,45.84982,51.995193,30.381762,61.628525,54.570522
1968-11-01,25.02991,46.0816,51.65557,23.048517,57.40016,59.978706,52.479675,45.798313,59.109535,36.525528,37.28203,44.533184
1968-12-01,57.802555,52.508648,58.686214,18.86039,51.185574,68.641464,45.601944,45.429718,64.16039,15.229179,26.55579,42.28138
1969-01-01,30.068403,52.578793,62.77949,16.88136,37.79413,68.102104,42.087315,46.9654,60.678856,14.8559265,23.494099,40.472984
1969-02-01,22.760464,52.782673,54.318462,17.554832,37.496666,66.49446,50.04533,47.521893,53.18041,10.9938965,25.15188,36.960228
1969-03-01,36.839905,46.111443,55.006973,29.684038,44.02585,52.76763,44.241425,48.58642,54.122936,30.444412,24.597057,51.80505
1969-04-01,28.688034,44.908215,52.231194,22.49308,51.55939,55.969555,42.884453,60.687214,68.09208,27.832405,25.74848,55.023685
1969-05-01,57.386692,49.306683,57.319847,11.436752,51.10818,29.3966,36.071175,61.644783,64.61776,31.776318,39.390076,45.377808
1969-06-01,68.45639,31.452116,39.30819,14.648701,50.95611,24.827677,19.66048,64.31528,52.991566,48.090084,61.952274,32.884293
1969-07-01,70.859505,41.64947,50.69875,18.622696,43.8721,29.085768,11.542034,68.73213,46.479095,37.690517,74.06644,22.213997
1969-08-01,62.07594,31.360203,43.28219,21.102684,51.624565,24.528542,13.732914,52.042355,45.16056,46.370472,79.053154,20.536163
1969-09-01,71.2188,45.795597,57.802807,9.899296,50.65697,41.99373,37.09893,63.710323,51.652977,51.26193,63.59167,40.065224
1969-10-01,58.207226,47.102436,47.060658,17.698551,54.24326,51.91869,34.971558,49.612503,56.292088,48.842102,56.597908,50.488186
1969-11-01,68.78895,52.66402,57.060818,18.138065,44.675926,55.32115,38.95558,39.42684,60.496704,30.273954,23.256798,41.18155
1969-12-01,41.33864,50.113846,61.0181,22.722027,42.39982,73.17738,45.710365,36.002655,54.04272,20.952282,49.03763,43.756794
1970-01-01,38.38833,47.574913,53.398655,27.253874,37.991142,73.38705,35.11154,39.177734,53.54429,22.878204,32.377575,29.901781
1970-02-01,21.954746,45.074295,56.48181,15.384628,37.81241,66.421394,35.498795,40.692005,63.9787,21.501293,27.396198,26.290697
1970-03-01,38.512447,42.576984,42.720966,28.647335,42.84674,77.41849,49.85211,28.516594,62.262524,12.865803,28.038317,34.12023
1970-04-01,36.19718,54.667995,58.856655,22.097073,47.589806,64.559586,45.678345,56.647305,71.06516,29.742907,27.621271,45.19676
1970-05-01,45.392044,44.739994,60.147507,15.038742,43.852943,33.534378,26.74415,57.819004,54.889755,50.40983,29.35234,49.416862
1970-06-01,69.367195,30.242699,45.03623,17.32753,52.135933,39.560024,11.36808,61.93981,54.78715,39.3515,68.84589,33.81241
1970-07-01,68.64067,33.256348,49.840527,20.025085,44.317986,35.43756,16.668861,58.93609,45.66842,57.301006,66.66633,26.072245
1970-08-01,67.31672,30.947704,49.532707,27.52694,44.003548,32.256763,15.078461,60.56952,50.35025,56.56456,72.7681,20.21706
1970-09-01,67.54675,45.580704,51.62621,25.511219,50.620007,40.83433,17.00978,54.886448,50.351906,63.507042,75.51365,41.325848
1970-10-01,76.145836,45.87032,50.285706,11.354843,47.717236,52.091248,28.690363,44.349426,60.498356,34.980797,50.987404,47.6378
1970-11-01,63.872784,55.583176,61.567448,18.638245,60.375893,57.259636,41.603878,44.274956,57.026287,33.001488,33.327515,48.5927
1970-12-01,56.2104,50.279087,62.11358,33.021347,54.631584,69.873604,31.81324,35.780136,71.46566,21.196785,29.726357,43.18766
1971-01-01,42.861084,54.189297,54.791122,51.60448,42.384357,64.51502,38.17833,36.156464,63.70357,16.35365,40.26782,37.62384
1971-02-01,42.482407,46.556572,53.20372,18.55471,35.7034,73.45452,37.46662,42.898277,65.30788,13.177151,17.19215,46.392593
1971-03-01,39.415794,49.46766,50.681458,31.68164,52.48863,62.420464,41.062366,41.45964,62.657135,26.826452,46.96399,39.882378
1971-04-01,23.403137,52.75742,62.25648,26.280413,51.78706,48.203144,43.415577,57.90676,52.123474,43.07071,43.637035,51.423595
1971-05-01,67.71688,50.843746,56.19933,15.925945,51.577435,54.415825,36.53176,58.775692,62.37313,60.41888,37.256996,46.661385
1971-06-01,77.87694,36.83943,48.95881,12.713947,51.63153,37.324615,5.767578,60.1484,62.499916,56.83666,58.99884,18.874222
1971-07-01,78.74418,30.401915,49.001072,23.357494,50.24699,40.567043,8.918716,60.440857,47.151638,59.527973,64.49812,22.524067
1971-08-01,75.47808,35.617184,52.94,18.028957,47.307167,40.196815,13.222794,59.44683,41.540787,67.632355,56.638866,31.691784
1971-09-01,67.88931,43.6793,48.162575,27.478996,47.200665,39.970287,26.180672,56.34979,54.794502,36.770123,70.61613,44.154335
1971-10-01,79.57591,43.162,47.8008,15.455978,44.54654,54.01855,26.199268,35.686497,58.089336,34.53694,53.1716,47.166855
1971-11-01,53.20879,56.88061,53.13948,24.643984,53.060024,69.75734,63.583546,37.0237,58.616783,27.362349,45.626785,49.264793
1971-12-01,60.83306,55.027798,61.41291,32.9208,49.482872,58.956577,42.937157,38.283142,69.39557,22.89936,37.14711,44.365654
1972-01-01,18.546955,45.856815,64.229164,24.521547,36.311447,72.653076,40.369812,48.72059,51.018757,27.458458,21.646397,44.4168
1972-02-01,33.042976,47.569878,50.81072,27.549475,37.790466,68.20789,47.52762,40.84765,62.81841,18.633099,28.1037,38.811153
1972-03-01,34.421227,41.299484,53.323425,42.134884,46.640205,59.31752,43.334354,48.145233,64.500595,28.024061,29.20565,36.062775
1972-04-01,60.21956,57.004723,64.10402,22.088478,50.922863,47.52762,55.021862,59.709217,69.97946,39.25811,35.711716,54.602535
1972-05-01,54.8252,44.899513,54.352238,9.931259,47.9632,34.816177,46.342777,57.177006,61.630318,25.542233,54.48714,50.134594
1972-06-01,74.73996,47.8348,52.616425,9.251884,56.964092,23.385464,27.825775,55.200645,61.675827,37.239494,67.153076,32.296967
1972-07-01,83.3589,36.079033,49.729897,14.8575325,47.49024,24.313509,23.006771,56.209953,49.49748,52.985367,68.690605,32.318092
1972-08-01,78.03606,41.97398,50.401142,16.54134,57.77674,39.757076,23.211557,65.07757,51.22517,58.322838,71.923325,34.222942
1972-09-01,66.23478,43.153946,49.682762,8.255577,40.517715,40.10489,25.997316,60.013145,59.385784,40.374687,68.48744,34.58863
1972-10-01,76.31487,44.53707,55.459064,10.438351,51.17641,34.114044,40.76151,44.05761,50.77171,33.16975,55.25428,47.428474
1972-11-01,81.31591,51.693253,60.898933,9.586697,54.10032,56.52201,48.70596,42.11213,60.479607,40.348686,39.58642,42.362427
1972-12-01,50.32963,48.766094,58.109924,15.385754,48.250877,73.84605,37.548298,44.605335,67.23759,16.466576,32.184822,41.14508
1973-01-01,31.985332,55.415123,60.38289,28.316576,49.00219,58.845757,36.75603,37.899025,55.400345,7.9873276,24.260252,39.539623
1973-02-01,22.8857,41.60884,60.19732,23.562302,42.558052,65.37036,30.650194,48.23034,66.69565,17.405556,19.243217,44.763577
1973-03-01,38.147003,42.00462,50.591877,28.9357,44.019646,60.87392,42.650017,43.58281,70.683,17.551716,15.0588,33.079063
1973-04-01,34.83297,41.165436,49.754333,11.518139,47.26963,52.565845,27.912586,59.036255,61.841198,38.505013,36.964596,40.400154
1973-05-01,59.745705,49.48665,57.45971,12.000954,49.870934,46.42552,20.35337,56.43331,63.146774,45.408978,39.5659,37.649406
