,mgv600_cluster1,mgv600_cluster2,mgv600_cluster3,mgv600_cluster4,mgv600_cluster5,mgv600_cluster6,mgv600_cluster7,mgv600_cluster8,mgv600_cluster9,mgv600_cluster10,mgv600_cluster11,mgv600_cluster12
1968-01-01,-0.057333637,-0.20456079,0.13689288,0.06823411,-0.42016354,0.106881216,0.39170906,-0.000566268,-0.07417979,-1.1173688,-0.23457244,0.35518536
1968-02-01,0.19351871,0.19833192,-0.07163165,-0.021093082,-0.3624052,0.109570935,0.50920767,0.10461619,0.013165498,-0.93913907,-0.2972855,0.005662584
1968-03-01,0.14722712,-0.18898869,-0.053794526,-0.19323559,-0.269822,-0.058749296,0.53468925,-0.0059457063,0.055634867,-0.6817748,-0.17341655,0.2659998
1968-04-01,0.14708553,0.01330707,0.08819471,0.0075028897,-0.21984974,0.070216,-0.015430534,-0.23542185,-0.056059577,-0.29318017,-0.3376314,0.49660844
1968-05-01,0.20229574,0.035957396,-0.21928346,-0.029587006,-0.20413604,0.035815835,0.13519414,0.07885146,0.641712,-0.26203597,-0.2757677,0.41280216
1968-06-01,0.2059764,0.023782838,-0.42950678,0.088619396,0.29799336,-0.08791156,0.083523035,0.012457669,0.46036786,-0.23244897,-0.32687253,0.08508024
1968-07-01,0.15515473,-0.062288392,-0.46730453,0.07403827,0.20158792,-0.079417706,0.43984097,0.00028312206,0.4248352,-0.20937395,-0.24674697,0.011608303
1968-08-01,0.14765182,-0.055493306,-0.26741543,-0.14113984,-0.11735699,-0.16152513,0.49958125,0.045583773,0.53426456,-0.2885085,-0.269822,0.0550686
1968-09-01,0.09767954,0.01896963,-0.46617204,0.027321959,0.103200555,-0.17454906,0.5605956,0.11834794,0.29629457,-0.4193142,-0.3265894,0.28610194
1968-10-01,0.14014891,-0.087062195,-0.010192657,0.06950817,-0.13561882,0.1285406,0.53638804,0.12811592,0.22721107,-0.45697036,-0.23329838,0.15826914
1968-11-01,0.27010512,0.021376252,0.0151474,-0.071773246,-0.2582137,0.10546555,0.753548,0.024065996,-0.04770725,-0.52676165,-0.14071515,0.3328182
1968-12-01,0.31583047,-0.0562011,0.04501755,0.08677907,-0.26331005,0.07771893,0.64454335,0.014722705,-0.19804879,-0.5191171,-0.059881795,0.20286198
1969-01-01,0.07283044,-0.13460763,0.033008385,-0.14581227,-0.2507426,0.332658,0.31070286,0.11356099,-0.034068298,-0.98601216,-0.19350795,0.16791883
1969-02-01,0.16625327,-0.42093268,-0.09296858,-0.0413362,-0.1373331,-0.041790463,0.36763477,0.11401522,-0.10705016,-0.5965737,-0.22485074,0.32402736
1969-03-01,0.12991378,-0.06541113,-0.14323826,0.109927036,-0.087820485,0.043607403,0.53055686,0.04966401,0.03361405,-0.651083,-0.15747124,0.31645656
1969-04-01,-0.09493698,-0.008479213,-0.22469933,0.0888804,-0.019835329,0.17064431,0.09024312,-0.24150637,-0.08373229,-0.7065007,-0.1550486,0.3368976
1969-05-01,-0.06525971,0.05708332,-0.35627866,0.21485738,0.13809016,0.025286246,0.21531162,-0.028920198,0.4610576,-0.47831887,-0.2584648,0.2769374
1969-06-01,0.25180253,-0.082520984,-0.48437542,0.29616705,0.24968271,0.0001513958,0.46378303,-0.00545094,0.4510642,-0.18078908,-0.39852336,0.3216047
1969-07-01,0.26452142,-0.11961758,-0.42532372,0.25286242,0.14687221,-0.02513485,0.74435437,0.15777406,0.46999112,-0.37490267,-0.22394228,-0.035885274
1969-08-01,0.16367923,0.012113166,-0.31115708,0.09675393,0.06162574,-0.03013153,0.48270988,0.0052995086,0.22787905,-0.4039743,-0.2428691,0.027406048
1969-09-01,0.029525852,-0.04451592,-0.38005075,-0.03527961,0.0858521,-0.18624,0.55811435,0.06344273,0.33992586,-0.27103224,-0.3234217,0.13809016
1969-10-01,0.059657384,0.022106528,-0.02483201,0.08221815,-0.12673405,0.09993366,0.28314537,-0.02861737,-0.07267902,-0.2722436,-0.3032835,0.45908922
1969-11-01,0.25377095,0.015444279,-0.037248004,0.09130303,-0.5031508,0.19032821,0.394738,0.075253084,-0.025286246,-0.5628082,-0.24135494,0.28041992
1969-12-01,0.026648974,-0.27466616,-0.05723474,-0.04163904,-0.4335001,0.20970932,0.48664665,-0.014535785,-0.19017681,-0.7844793,-0.23227008,0.19411358
1970-01-01,0.1617413,0.24084392,-0.06705389,-0.33265013,-0.22709265,0.10241435,0.59510326,-0.03077669,-0.25865513,-0.6481439,-0.27960947,-0.032217313
1970-02-01,0.30960035,-0.099402145,-0.2150439,-0.03077669,-0.17654029,0.05749347,0.7036729,0.10516457,0.08250771,-0.72109115,-0.4074309,0.33487648
1970-03-01,0.053564526,-0.077531055,-0.30187345,-0.055005144,-0.13083366,0.15453826,0.51194066,-0.13410775,0.017287325,-1.0014865,-0.43034977,0.22290175
1970-04-01,0.06247015,-0.18741038,-0.10568845,0.119570695,-0.16187227,0.17012304,0.4727823,0.18819615,0.35033035,-0.09167521,-0.17680225,0.580828
1970-05-01,-0.023835564,-0.01741829,-0.2772521,0.16580121,0.12402351,0.17824285,0.37613037,-0.13633418,0.17850477,-0.24883278,-0.31248158,0.31955367
1970-06-01,0.13921538,-0.007464981,-0.36735576,0.26756072,-0.024752319,0.1011047,0.5757204,0.042694427,0.30095667,-0.06050565,-0.33657905,-0.18033826
1970-07-01,0.18046923,0.025538063,-0.540491,0.13685802,0.24451093,-0.15257378,0.5294899,0.08224578,0.31811303,-0.58541185,-0.1639677,0.09403262
1970-08-01,0.20155457,-0.10149755,-0.33068568,0.08093615,0.23403378,-0.18492205,0.5897336,0.08918691,0.2985993,0.24830893,-0.20718603,0.035098504
1970-09-01,0.03693204,-0.17077789,-0.3712847,-0.07281633,-0.15689561,-0.054219343,0.39276284,0.059326936,0.32741153,-0.43951726,-0.26179826,0.3706299
1970-10-01,0.1090935,0.057493497,-0.015322876,0.046492457,-0.17379002,0.1495616,0.49439144,0.16147938,0.100580834,-0.3794045,-0.28301454,0.10136662
1970-11-01,0.1210113,0.044396996,-0.095342256,0.008643663,-0.14654942,-0.1499545,0.43860048,-0.06980415,-0.2695252,-0.6726343,-0.2971587,-0.24870181
1970-12-01,0.2150439,-0.16999206,-0.04151578,0.08316253,-0.23966524,0.14707325,0.5869834,0.19356573,-0.13345294,-0.7119237,-0.22984293,0.24568956
1971-01-01,0.25149503,-0.13359325,-0.100482866,-0.04549079,-0.15864196,0.21838465,0.47837323,0.13949554,-0.30691892,-0.34837896,-0.3347029,0.4140238
1971-02-01,0.12610742,-0.30274418,-0.031958748,-0.032534577,-0.22068796,0.16814321,0.5903727,0.15245178,0.009069371,-0.8040067,-0.2733767,0.39458948
1971-03-01,0.09414868,-0.085511185,-0.17030258,-0.07442641,-0.1433824,0.21219444,0.6322645,0.25653356,-0.00690999,-0.73692226,-0.10077076,0.29669794
1971-04-01,0.18671384,-0.11746991,-0.32923248,-0.14151093,0.048945796,0.077161625,0.49550423,0.1967909,-0.008349585,-0.68768847,-0.24184982,0.21593738
1971-05-01,-0.07183516,-0.0823441,-0.14942864,0.030231237,-0.13474491,0.099619105,0.44886178,0.18829739,0.30922228,-0.475638,-0.48197213,0.14223075
1971-06-01,-0.043619335,-0.20629215,-0.38825536,0.13460094,-0.12898655,0.03167081,0.7484388,0.12524363,0.32692918,-1.1328074,-0.40351495,0.023897076
1971-07-01,0.13445699,-0.23162882,-0.2939627,0.06823621,0.03584559,-0.04189185,0.6751641,0.08363974,0.28388566,-0.59901017,-0.1589299,-0.09414868
1971-08-01,0.031814765,-0.0751462,-0.37083638,0.04606664,0.09745971,-0.0067660334,0.45015734,0.0017274857,0.29828146,-0.5160903,-0.1533155,0.17087846
1971-09-01,-0.04117205,-0.16094533,-0.4124403,-0.03642144,0.0716912,-0.07644181,0.44209567,0.07212305,0.073562644,-0.24631253,-0.23868275,0.31512457
1971-10-01,0.03167081,0.106673025,-0.23047712,0.047938086,-0.10278617,-0.00791769,0.6586089,0.13186577,0.20125361,-0.33427104,-0.38120142,0.34492385
1971-11-01,0.1250997,-0.26891395,0.12581949,0.0813364,-0.4318747,0.28187022,0.6233392,0.010364997,-0.40826553,-0.486003,-0.2106109,0.17735656
1971-12-01,0.2430015,-0.42381305,0.24012232,0.05643163,-0.5201211,0.09745973,0.42482075,-0.024184966,0.0020154,-0.8068859,-0.0558558,0.34074914
1972-01-01,0.08417559,-0.26857275,-0.02104392,0.14678122,-0.21451625,0.15480419,0.6781397,0.22648498,-0.1936039,-0.7277244,-0.15362048,0.5059743
1972-02-01,-0.05721309,-0.27357072,-0.12744708,-0.2008377,-0.20833464,0.113110974,0.39970258,0.08864746,-0.11995025,-0.75166184,-0.35366908,0.22648497
1972-03-01,0.17926772,-0.1046934,-0.099695444,-0.13297112,-0.004866409,0.011048054,0.43166298,0.023937415,-0.20004854,-0.60869485,-0.18623853,0.16295871
1972-04-01,-0.024726558,-0.18360803,-0.191631,0.09075181,-0.021964574,0.013678551,0.31223887,0.20175835,0.24108419,-0.3727401,-0.3303892,0.15901296
1972-05-01,-0.06549914,-0.20452042,-0.13888974,0.1694034,0.11600451,0.15046391,0.32184014,0.05274129,0.5058428,-0.61001,-0.27501747,0.12692103
1972-06-01,0.1208709,-0.15388355,-0.3624812,0.19676046,0.15099001,0.04432372,0.6051436,0.11126967,0.22253923,-0.15454113,-0.34275252,0.06326322
1972-07-01,0.22438058,-0.2001801,-0.46414956,0.13823213,0.25015938,-0.14309852,0.8937081,0.19110489,0.4454731,-0.047480296,-0.15059538,-0.16427393
1972-08-01,0.05445113,-0.16322175,-0.26620534,0.14033651,-0.15625095,0.021043872,0.75324005,0.25594646,0.040114928,-0.20386279,-0.06273713,-0.10009003
1972-09-01,0.14112565,-0.22293381,-0.38128918,0.0148622515,0.0074969055,-0.22096097,0.793618,0.28685465,0.4429741,-0.69287044,-0.40101784,-0.016309023
1972-10-01,0.111138105,-0.091540955,-0.11205878,-0.11600451,-0.223986,-0.05274129,0.50321233,0.10245748,0.21806741,-0.7027347,-0.3551158,0.30684638
1972-11-01,0.14033647,-0.191631,0.2546312,0.14454529,-0.566607,0.17782097,0.41417027,0.059712075,-0.042876948,-0.67564076,-0.26909888,0.20859766
1972-12-01,0.14625514,-0.034722425,0.18571243,0.00052609446,-0.57370937,0.1003531,0.36747915,0.00065763,0.08693762,-0.6976053,-0.2481865,0.29237872
1973-01-01,0.089757964,-0.087264694,0.09280531,0.07050433,-0.25389868,0.12618752,0.30279467,0.1423938,0.02202395,-0.70656693,-0.15582982,0.26276368
1973-02-01,0.39643103,-0.08310924,0.09516005,0.024794256,-0.2890816,0.14530264,0.32080165,-0.11926174,0.06468669,-0.828045,-0.3141529,0.36498806
1973-03-01,0.20666496,-0.24143231,0.057345368,-0.02174691,-0.25306758,0.19225936,0.4530838,0.22314827,0.1270186,-0.8949478,-0.088095784,0.4625029
1973-04-01,0.105133176,-0.08130853,-0.0034628808,-0.07285909,-0.18741131,0.020223247,0.43937078,0.16829619,0.13754578,-0.69479316,-0.1998777,0.3925526
1973-05-01,0.042108677,0.001246643,-0.22688822,0.0108042015,-0.09793039,0.02146988,0.66293466,0.27883148,0.031720042,-0.48397273,-0.26027042,0.19738443
1973-06-01,0.066071846,-0.1475189,-0.30944338,0.17799227,0.1286808,0.121200964,0.37759298,0.024240185,0.5220645,-0.3896438,-0.42136383,0.14073162
1973-07-01,0.09155868,-0.09529857,-0.3462885,0.09599116,-0.008587956,0.018007005,0.73496264,0.08684914,0.17342128,-0.30043986,-0.26414883,-0.13560656
1973-08-01,0.07147394,-0.04252424,-0.37232938,-0.046818208,0.10360952,-0.046679687,0.5687442,0.02687199,0.24475667,-0.081031516,-0.08269367,-0.033659242
1973-09-01,0.14447156,-0.013297463,-0.234091,0.046125624,-0.15970823,-0.15458317,0.23256736,-0.024378706,0.3124907,-0.0856025,-0.30334872,-0.06801107
1973-10-01,0.1576305,0.067318484,-0.11178192,0.15084325,-0.21926984,0.07535237,0.5428418,-0.011635291,0.09432898,-0.41152915,-0.26151705,-0.0062331916
1973-11-01,0.2124826,-0.35598454,0.12410978,-0.014267087,-0.35958594,0.042247176,0.3954614,0.13380586,-0.047787808,-0.55794,-0.2519595,-0.028672695
1973-12-01,0.3041798,-0.106241286,0.03698362,-0.13740727,-0.37676185,0.058869027,0.47316852,0.16358668,-0.2224557,-0.74230385,-0.2378309,-0.21719214
1974-01-01,0.14312777,-0.09555884,0.115765095,0.014874065,-0.22226898,0.07044132,0.36946613,-0.04083352,-0.28162497,-0.53406304,-0.20781592,0.2761523
1974-02-01,0.18662739,0.013049888,-0.05248022,-0.53672916,-0.15126641,0.19925633,0.542763,-0.005472535,0.15982601,-0.7550692,-0.20094018,0.22226906
1974-03-01,0.13905847,-0.03999157,-0.07647514,-0.00028065444,-0.26857507,0.07240583,0.49968427,0.120536044,-0.034659386,-0.9003018,-0.25454295,0.7185856
1974-04-01,0.077176735,-0.120536014,-0.049252786,0.07605417,-0.1136603,0.003928995,0.42208663,0.09808461,0.035641618,-0.79421884,-0.16277274,0.10692487
1974-05-01,0.083210565,-0.077738024,-0.3063215,-0.05093665,-0.030449737,0.053181805,0.35318887,0.26983795,0.23279312,-0.7898689,-0.30407637,-0.03185296
1974-06-01,-0.019644987,-0.2051498,-0.42559466,0.20290466,0.10201361,0.16263244,0.57391435,0.18620643,0.18115486,-0.36020494,-0.32512456,-0.17385817
1974-07-01,0.12011508,-0.12839404,-0.3602049,0.10608294,0.06665264,-0.06861714,0.61460745,0.1243247,0.47512808,-0.32849225,-0.2076756,-0.031291675
1974-08-01,0.053743087,-0.13344558,-0.31726655,0.14860031,0.15645829,-0.071563885,0.7299517,0.19799343,0.39191753,-0.45393953,-0.315723,-0.02385459
1974-09-01,0.040412545,-0.07128324,-0.34841794,0.020065939,0.007016075,0.0046306015,0.36427414,0.07310744,0.040272214,-0.6153091,-0.17077108,0.41535115
1974-10-01,0.10341684,-0.06637199,-0.31039083,-0.013751495,-0.04321897,-0.040693186,0.53602755,0.14284714,0.16754368,-1.0163475,-0.29691997,0.077317044
1974-11-01,0.09780399,-0.09050727,-0.28134426,-0.02525785,-0.07759769,-0.095558845,0.5076826,0.19238058,0.033396482,-0.7734512,-0.26576862,0.13751495
