experiment,model,n_clusters,R_mlp,R_mlp_noFS,R_lgbm,R_lgbm_noFS,R_xgb,R_xgb_noFS,R_S_mlp,R_S_mlp_noFS,R_S_lgbm,R_S_lgbm_noFS,R_S_xgb,R_S_xgb_noFS,R_Y_mlp,R_Y_mlp_noFS,R_Y_lgbm,R_Y_lgbm_noFS,R_Y_xgb,R_Y_xgb_noFS
test1_linreg_nc5_nv8_nd10,linreg,5,0.8211247342904804,0.8187195296437156,0.8053615888628124,0.7971527310829541,0.8025976569101985,0.796774280071381,0.9981050702360028,0.9981275848702912,0.9955628743996554,0.9971513709208004,0.9949960251675868,0.9980931166065846,0.3473058111422257,0.4416689650009942,0.0688977937874741,0.0651986339530502,0.0558203588226091,0.1651690829227998
test1_linreg_Anc5_nv8_nd10,linreg,5,0.8124246763873963,0.8177521291807734,0.7701704778850635,0.7901922165018206,0.7748000114528835,0.7915122653458119,0.9941852528276608,0.9975743158306252,0.9925840776327532,0.9930939137059004,0.9946367406537404,0.9947569790659432,0.4111661262281785,0.3765328893743195,-0.0353657160749852,-0.0396742285456482,0.1211369211201617,0.026441913694086
test2_linreg_nc5_nv8_nd10,linreg,5,0.822508219755921,0.8002500512979192,0.7987958527303405,0.7971527310829541,0.7941182302508945,0.796774280071381,0.9963365526751832,0.9976965053508624,0.9963810618755168,0.9971513709208004,0.9962654786645716,0.9980931166065846,0.5244654971532133,0.1887184065833342,0.3122392030115483,0.0651986339530502,0.3415409247338454,0.1651690829227998
test2_linreg_Anc5_nv8_nd10,linreg,5,0.8160732352656959,0.8009306307045743,0.7959685694018003,0.7901922165018206,0.7916444417217176,0.7915122653458119,0.9951029336171988,0.9972086376771369,0.9920043203643558,0.9930939137059004,0.9934290106040672,0.9947569790659432,0.4800836097796894,0.2806847774694583,0.0074611073808746,-0.0396742285456482,0.0226300856029986,0.026441913694086
test3_linreg_nc5_nv8_nd10,linreg,5,0.8254409278774675,0.8093408856146016,0.8126161207718344,0.7971527310829541,0.810336470033174,0.796774280071381,0.9972248553762288,0.9972887998095504,0.9965587097942225,0.9971513709208004,0.9958421127773956,0.9980931166065846,0.4188478884548747,0.241609848579773,0.0891739475866902,0.0651986339530502,0.1649458964536922,0.1651690829227998
test3_linreg_Anc5_nv8_nd10,linreg,5,0.8296372321483854,0.8087882269633004,0.7994663225208826,0.7901922165018206,0.7989862305634003,0.7915122653458119,0.9960263317313308,0.9970099294453988,0.9927399910486794,0.9930939137059004,0.9941934575763024,0.9947569790659432,0.4533362369474941,0.3539201655916019,0.1666622587402152,-0.0396742285456482,0.0766839749965011,0.026441913694086
test4_linreg_nc5_nv8_nd10,linreg,5,0.8202527895505831,0.8133023822930883,0.7917288620276233,0.7971527310829541,0.7903280961148227,0.796774280071381,0.998231982153868,0.9969038166251804,0.9951117441917472,0.9971513709208004,0.9946614152263128,0.9980931166065846,0.5370860160640519,0.4141710104095928,0.1717902162285123,0.0651986339530502,0.2494260702114407,0.1651690829227998
test4_linreg_Anc5_nv8_nd10,linreg,5,0.8262309500729959,0.7853838872943548,0.7945199023025926,0.7901922165018206,0.7899766531784362,0.7915122653458119,0.9984486078134824,0.9980554410376692,0.996533703650016,0.9930939137059004,0.9970943619699484,0.9947569790659432,0.3782047050014789,0.1216781837563358,0.1505048361496289,-0.0396742285456482,0.0534551511326407,0.026441913694086
test5_linreg_nc5_nv8_nd10,linreg,5,0.8106104850977378,0.8165512417492526,0.799384849351567,0.7971527310829541,0.7966479122109944,0.796774280071381,0.994839987389844,0.9970730500433964,0.99562957514003,0.9971513709208004,0.996089438787144,0.9980931166065846,0.40642779779348,0.3901875823318658,0.2840032721204168,0.0651986339530502,0.3689993963251769,0.1651690829227998
test5_linreg_Anc5_nv8_nd10,linreg,5,0.8285166679297369,0.8127627762006588,0.7954766977337433,0.7901922165018206,0.79700667040248,0.7915122653458119,0.9951053043344732,0.997871965354299,0.9912901200945022,0.9930939137059004,0.9931901468521692,0.9947569790659432,0.4641961063600278,0.3042593425656388,0.1366639614679685,-0.0396742285456482,0.0221927924299701,0.026441913694086
test1_lgbm_nc5_nv8_nd10,lgbm,5,0.792834097012078,0.8044353498517551,0.8028445534068844,0.7971527310829541,0.7967998149292796,0.796774280071381,0.9959151222008882,0.9964077063475596,0.995761844623859,0.9971513709208004,0.9970096032632176,0.9980931166065846,0.149345755024481,0.2394662906248176,0.1791758019694433,0.0651986339530502,0.2223799347151573,0.1651690829227998
