experiment,model,n_clusters,R_mlp,R_mlp_noFS,R_lgbm,R_lgbm_noFS,R_xgb,R_xgb_noFS,R_S_mlp,R_S_mlp_noFS,R_S_lgbm,R_S_lgbm_noFS,R_S_xgb,R_S_xgb_noFS,R_Y_mlp,R_Y_mlp_noFS,R_Y_lgbm,R_Y_lgbm_noFS,R_Y_xgb,R_Y_xgb_noFS
test1_linreg_nc5_nv8_nd10,linreg,5,0.7214426118139734,0.7647334650395358,0.6837240910231122,0.7280934162495369,0.6955012825867263,0.7214546112518464,0.984614735146462,0.99746873536642,0.9909710371401104,0.9985730910326682,0.9897137048631718,0.9986174342051534,-0.5482367878827341,0.1424552964648728,-0.3924355711681858,-0.1941045730873959,-0.4903069017222091,-0.1044526917103542
test2_linreg_nc5_nv8_nd10,linreg,5,0.7260981802119799,0.762604982791022,0.6963779941788955,0.7280934162495369,0.7053294376949247,0.7214546112518464,0.9865540496563392,0.9975277613794457,0.996719616915872,0.9985730910326682,0.9975987705455228,0.9986174342051534,-0.5378342373747406,0.0533535287684309,-0.4231881454331206,-0.1941045730873959,-0.4785923503726547,-0.1044526917103542
test2_linreg_Anc5_nv8_nd10,linreg,5,0.7003752719319958,0.7445206020074968,0.6726223043161057,0.70626863912714,0.6669969945566059,0.7005045854712773,0.9794238005489796,0.9973185160373972,0.9903760174151708,0.9962271751366756,0.9903240281696724,0.9948025773723695,-0.3526505422581181,0.1662019119288961,-0.4123641340942231,-0.1509505178414834,-0.2322482552351684,-0.0573872178327191
test3_linreg_nc5_nv8_nd10,linreg,5,0.7620513202323367,0.7714375417827406,0.6839821969671096,0.7280934162495369,0.6618239063607465,0.7214546112518464,0.9948354569180772,0.9973306238987304,0.995628966154878,0.9985730910326682,0.9960849072441056,0.9986174342051534,-0.2987858957458191,0.3229838051732241,-0.3685196652736293,-0.1941045730873959,-0.4389074846941886,-0.1044526917103542
test3_linreg_Anc5_nv8_nd10,linreg,5,0.7066543249840309,0.7192592761532217,0.7022755488856374,0.70626863912714,0.6935081390729068,0.7005045854712773,0.9872164691063802,0.996852140716262,0.9921877918755874,0.9962271751366756,0.9902484887150612,0.9948025773723695,-0.2840555984447291,-0.1054576670133686,-0.1930643466857702,-0.1509505178414834,-0.1768785036517254,-0.0573872178327191
test4_linreg_Anc5_nv8_nd10,linreg,5,0.7183274102338633,0.7311352179000545,0.6994867759845337,0.70626863912714,0.6929227027390386,0.7005045854712773,0.984198723018228,0.9961235491447992,0.99119544848504,0.9962271751366756,0.9918572625749446,0.9948025773723695,-0.2511290158719543,-0.0790501710016256,-0.2198550987553609,-0.1509505178414834,-0.1776029966191378,-0.0573872178327191
test5_linreg_nc5_nv8_nd10,linreg,5,0.7071456754139903,0.7739224993328759,0.7037141520389051,0.7280934162495369,0.7049318624394141,0.7214546112518464,0.9876739480864728,0.997558310836512,0.9978954794346268,0.9985730910326682,0.9982800624525824,0.9986174342051534,-0.5520318118075813,0.2682001595661135,-0.4370106890191269,-0.1941045730873959,-0.3953276088736897,-0.1044526917103542
test5_linreg_Anc5_nv8_nd10,linreg,5,0.720588304138684,0.7469747707496185,0.7129273344955083,0.70626863912714,0.700375690702582,0.7005045854712773,0.9916248211619914,0.9974358431620974,0.9979377642846798,0.9962271751366756,0.995793521159552,0.9948025773723695,-0.0909488701398141,0.2656704026664865,-0.194458891672958,-0.1509505178414834,-0.0600964030749961,-0.0573872178327191
test1_lgbm_nc5_nv8_nd10,lgbm,5,0.767281653869974,0.7754625848331965,0.7288758843238126,0.7280934162495369,0.7220001031903054,0.7214546112518464,0.9978878511330465,0.997754007565145,0.9992361348292876,0.9985730910326682,0.9983776790014866,0.9986174342051534,0.2159026705522187,0.3730642673164299,-0.1840535468993168,-0.1941045730873959,-0.2086248027069049,-0.1044526917103542
test1_lgbm_Anc5_nv8_nd10,lgbm,5,0.7063171060449556,0.7356532252546726,0.7217592519903154,0.70626863912714,0.7087265379316177,0.7005045854712773,0.9846775173152068,0.9977515222583816,0.9969851575980996,0.9962271751366756,0.9960663640598376,0.9948025773723695,-0.0991953929528405,0.1183136972858237,-0.1061495136996423,-0.1509505178414834,-0.1222471387412571,-0.0573872178327191
