,zgv500_cluster1,zgv500_cluster2,zgv500_cluster3,zgv500_cluster4,zgv500_cluster5,zgv500_cluster6,zgv500_cluster7,zgv500_cluster8,zgv500_cluster9,zgv500_cluster10,zgv500_cluster11,zgv500_cluster12
1965-01-01,0.042091906,-0.013098526,-0.29361305,0.14084597,0.33805975,-0.7329289,-0.15423885,0.27183124,0.217671,-0.23621503,0.18735313,0.0030906678
1965-02-01,-0.34836197,0.030170774,-0.33997303,0.11347152,0.3744119,-0.3292293,-0.008241773,-0.0033850193,0.20368949,-0.2549062,0.42165488,-0.20045161
1965-03-01,-0.49936303,-0.05386586,-0.29758677,0.0054454566,0.16365805,0.10213909,0.2847826,0.15365013,-0.15306148,-0.073587224,0.5042197,0.12141891
1965-04-01,0.093161486,-0.037087977,-0.24651723,-0.056073476,0.5872262,-0.35174695,-0.013245702,0.3047983,0.7728132,-0.61136276,0.492593,-0.13996296
1965-05-01,0.13672507,0.017513752,-0.1677789,-0.0038265227,0.11626782,0.31819123,-0.42415684,0.26344222,0.28713742,-0.29184696,0.39045388,-0.4413762
1965-06-01,-0.055631947,0.07903268,0.010596561,-0.16822048,-0.13451743,-0.15997863,-0.04812608,0.1677789,0.06078305,-0.40782052,0.2501966,0.114501715
1965-07-01,-0.33349735,0.040178634,-0.13495898,-0.11170542,0.06387367,0.13613638,0.32849342,0.067405894,0.07344005,-0.36234355,0.6453601,-0.03649926
1965-08-01,-0.058722638,0.006475687,0.119358495,0.23547916,-0.26241213,0.32937646,0.35410175,0.043857954,0.10920353,-0.22915068,0.49421185,-0.1557105
1965-09-01,-0.017808115,-0.008241773,-0.15894842,0.024136614,-0.10184474,-0.22841477,-0.03296709,0.091836855,0.068436146,-0.13142681,0.10022583,-0.21296148
1965-10-01,-0.16571847,0.050922345,-0.23989439,0.015453339,-0.22915077,-0.10920346,-0.11891699,-0.055631947,0.062990665,-0.09345579,0.39207277,0.468162
1965-11-01,-0.45889014,0.08212336,0.007800245,0.057103705,0.30023593,-0.10817323,-0.013834405,0.40988094,0.07564764,-0.6462431,0.48023033,0.10066719
1965-12-01,0.11670935,-0.061813258,-0.017513776,0.09080668,0.04577122,0.4502067,-0.35689807,0.18396807,0.20501402,-0.43019098,0.32967082,-0.060047247
1966-01-01,-0.22900765,-0.11110415,0.20152092,-0.022423362,0.20065299,-0.15464887,0.1715749,-0.1764936,-0.09793945,0.05815611,-0.22452302,0.22264233
1966-02-01,0.24593365,-0.003327322,-0.01085,0.032405425,0.13454023,0.23754296,-0.3788825,0.15479355,0.49172267,0.05974741,0.24434236,-0.34691113
1966-03-01,-0.04354472,-0.020687342,0.15855491,0.36513916,0.5773655,-0.32231778,0.055552103,-0.028933382,0.32275176,-0.5495894,0.13323817,-0.2524437
1966-04-01,-0.22119562,-0.0510674,-0.0092587,-0.19023696,0.040506743,0.26763374,-0.46293396,0.12123082,-0.0037613392,-0.03949406,0.57345945,0.050488733
1966-05-01,-0.094901465,0.01953001,-0.12571554,-0.075226784,-0.10907884,0.0018806458,-0.3759892,-0.022134017,0.08115812,-0.19515562,-0.03298404,-0.0075226785
1966-06-01,-0.029512024,-0.024738025,-0.17750624,0.3738192,-0.7610923,0.17360024,0.038047362,-0.254469,0.003761387,0.019964028,0.37295118,-0.29844776
1966-07-01,-0.034864713,-0.03804741,0.27573505,0.1624609,0.059602737,-0.08911476,0.15681887,-0.11558883,-0.06350875,0.12195416,0.1291875,0.017794013
1966-08-01,0.19775958,-0.05974741,-0.013020014,0.16983895,0.22408898,0.28340238,-0.012441349,0.054684065,0.062351417,-0.1720089,-0.1782296,0.0072333813
1966-09-01,-0.27457774,-0.07783079,0.12947686,-0.11081481,-0.10835548,0.052948095,-0.031392716,0.1653542,0.10907881,0.028644037,0.24304032,0.014611339
1966-10-01,-0.16289489,-0.0075226785,-0.008246017,-0.17909761,-0.12889819,-0.13251486,0.10256882,0.030524706,-0.14090553,-0.33374646,0.3064044,0.23913431
1966-11-01,0.0072333813,0.024738025,-0.16636689,0.024304057,0.11399746,0.007378006,0.04774003,-0.18719892,-0.04788475,0.03689008,0.21613231,-0.07826476
1966-12-01,-0.1851736,0.076239444,-0.14307551,-0.20889898,0.13974819,-0.22322099,0.10604076,0.4264779,-0.019240666,-0.100109436,0.073056795,-0.26691037
1967-01-01,0.2684433,-0.062448047,-0.028975893,0.06294761,0.07710252,-0.12839317,0.026311446,0.15587029,-0.19650318,0.24962564,0.4076608,-0.12656136
1967-02-01,-0.26411358,-0.05112412,-0.06011665,-0.12239814,0.227977,0.15753558,-0.3328897,0.31423855,0.1831809,-0.2353042,-0.08093266,-0.3425483
1967-03-01,0.10974202,0.060949277,-0.30774394,0.048626207,-0.47793564,0.1208994,-0.028476309,0.22564559,0.14804348,0.041632034,-0.1547046,0.085595414
1967-04-01,0.068443045,0.033971727,0.11124077,0.33372232,0.40399712,-0.0059950114,0.15170713,-0.27127427,0.11323915,-0.7530401,0.16669464,-0.16419668
1967-05-01,0.18617845,0.022814345,-0.1768528,0.26444665,-0.25545412,0.22831006,-0.20832667,-0.25945076,-0.017152404,0.06677778,-0.013821816,-0.32955915
