,mgu250_cluster1,mgu250_cluster2,mgu250_cluster3,mgu250_cluster4,mgu250_cluster5,mgu250_cluster6,mgu250_cluster7,mgu250_cluster8,mgu250_cluster9,mgu250_cluster10,mgu250_cluster11,mgu250_cluster12
1967-12-01,-1.1837223,-1.7130502,-0.23870392,-0.5012455,-1.4674892,-1.1843754,0.2419693,0.99824524,-0.3448307,-1.7888085,-0.9917145,-0.22858086
1968-01-01,-2.4553711,-0.8380276,-1.5622768,-1.1228409,-0.07694702,-1.1921295,-0.91132814,-2.250058,-1.9393528,-1.1695194,-1.5557125,-0.9715004
1968-02-01,-1.7759777,-1.378115,-1.1275814,-2.24787,-0.04850159,0.08460541,0.051054765,-3.2470849,-0.4941376,-1.8445374,-1.8204682,-0.17358628
1968-03-01,-1.3347183,-2.2081199,-0.5696257,-2.3408628,-1.6687626,-0.30888176,0.44125938,0.0025527955,0.65970075,-2.7759223,-1.9419057,-0.25673294
1968-04-01,-0.3982273,-1.7165352,-0.2756958,0.4416237,-1.3325303,-0.58275414,1.3336242,-0.3132576,0.23448715,-1.228962,-1.3445648,-0.48903236
1968-05-01,0.38254625,-1.4995525,0.07038269,-1.0553757,-2.0155704,2.217237,0.030632783,2.4199975,-1.0156257,-4.192328,-0.6039055,-0.2855423
1968-06-01,1.6636574,-3.6351013,-2.4199967,-3.066935,-2.4557357,1.8831924,1.0138023,3.9396071,2.6063473,-4.501574,1.6964779,-0.34024352
1968-07-01,0.07913475,-2.8886075,-2.2168725,-3.3502884,-1.8463608,1.5338318,-0.93867874,1.7752488,2.9699302,-3.9757104,1.893039,-0.43651885
1968-08-01,-0.12544899,-1.4780365,-3.8480735,-3.820723,-2.207026,3.6081154,-0.16629295,4.178836,1.8620411,-4.26344,0.86939013,-0.546286
1968-09-01,-0.66626513,-2.1585236,-1.1768135,-1.3934311,-2.4334903,1.5783222,-0.7917141,2.5213776,0.7592579,-3.9629464,-0.5087246,-0.4284958
1968-10-01,-1.3627987,-1.1866592,-0.6133865,-0.52185285,-2.4079628,0.4084385,-1.3463882,0.98572236,0.6403729,-2.9947288,-0.56670797,0.28627166
1968-11-01,0.390934,-0.7344597,-1.8897572,-1.8926739,-1.4302632,0.09518127,-1.6425056,-0.4562111,-0.49887848,-2.8065553,0.12946014,0.12216721
1968-12-01,-2.258445,-1.2683471,0.9222683,1.0907494,-1.2304204,-1.000309,-1.1888473,-0.053243257,-0.8971054,-2.121327,-1.9703503,-0.54154587
1969-01-01,-2.8949878,-1.5919613,0.97726995,-1.1660229,-0.46076965,-2.3065028,-1.3196129,-1.6729031,-1.7292964,-2.272335,-2.827315,0.037485503
1969-02-01,-1.6138554,0.23386803,-0.43622208,-0.5463556,-0.6382443,-1.6277882,-2.2793014,-0.55365336,-0.59744185,-1.949564,-1.6626194,-0.59777296
1969-03-01,-0.8120697,-1.1112881,-0.48797148,-1.5143372,-0.34267503,-0.31315118,-0.8366173,0.21761322,0.13003731,-2.8568394,-0.6744026,-0.19704589
1969-04-01,-1.1640323,-1.2157819,0.0016586303,-1.1875855,-1.4808327,0.43157768,-0.21230546,-0.089566804,-0.684354,-2.2295423,-1.0665047,-0.30253562
1969-05-01,-0.3675545,-2.6810236,-0.15358964,-0.8820648,-2.6269517,2.5214627,1.2370129,2.0394623,0.7984684,-3.9425845,0.37518388,-0.42925566
1969-06-01,-0.23552665,-2.7344317,-1.3352051,-1.988044,-2.2666957,1.2798065,0.34765053,1.5378898,0.88173217,-4.1061263,0.6302826,-0.4425251
1969-07-01,0.27566606,-2.216605,-1.2960609,-2.7662773,-2.0099385,2.4448333,-1.4118335,1.7515228,1.3998909,-4.103472,-0.3333866,-0.41764528
