,r600_cluster1,r600_cluster2,r600_cluster3,r600_cluster4,r600_cluster5,r600_cluster6,r600_cluster7,r600_cluster8,r600_cluster9,r600_cluster10,r600_cluster11,r600_cluster12
1968-11-01,53.075222,30.026045,22.491602,43.755756,63.928616,38.732258,72.35799,55.450962,22.216364,52.46197,46.0478,28.08489
1968-12-01,71.033295,22.438486,20.880413,34.819374,42.03512,69.05191,73.37524,68.79598,27.82092,42.765865,67.97993,27.949686
1969-01-01,75.43845,27.067019,29.32307,46.430634,62.450275,46.328693,71.04834,59.89676,12.461166,76.20551,67.8531,42.82429
1969-02-01,80.542145,18.458923,22.69529,55.175762,64.63948,38.514397,66.71171,43.410866,19.548515,73.3913,69.11148,46.024544
1969-03-01,71.57642,20.751743,23.492428,48.198708,57.6875,46.686317,78.555145,38.78345,24.476736,66.27052,59.582584,36.492302
1969-04-01,49.425335,26.032576,22.962673,57.640705,13.58585,69.97045,71.489525,31.843164,13.196472,46.246807,59.263393,28.743181
1969-05-01,50.180695,32.56343,29.120861,54.208164,19.55854,42.86774,69.101456,25.98077,11.209476,31.876587,45.88751,19.566898
1969-06-01,66.910576,31.86656,23.871778,43.397495,20.404144,38.79682,56.61295,24.06229,7.925667,35.51802,15.756676,14.566814
1969-07-01,40.885757,21.976696,23.851725,52.20947,7.7234573,38.094936,45.44298,26.978447,18.388737,29.020592,23.474045,10.754925
1969-08-01,46.9654,25.202015,14.127304,52.533672,9.86253,30.778643,78.762375,15.927132,22.37777,59.774765,18.589275,4.8758163
1969-09-01,35.813816,17.307503,15.684814,61.61637,18.504044,56.45252,75.57883,36.33856,11.035675,37.471596,9.458111,12.847202
1969-10-01,41.263435,21.466995,9.651962,47.11915,23.492428,43.731728,84.72838,49.311695,13.639328,44.448647,23.636147,34.7259
1969-11-01,49.42032,20.673199,28.865175,43.6348,50.344467,57.911434,77.21321,43.67825,12.838848,64.88514,43.57965,25.893871
1969-12-01,71.828766,18.773102,20.151798,45.45301,49.599133,60.548508,75.236244,53.131943,10.083122,61.0064,52.60219,30.1787
1970-01-01,74.970825,15.965511,43.38956,56.432163,60.44209,75.76685,61.474773,37.095818,31.654366,75.85953,74.34195,34.20794
1970-02-01,74.2079,19.846352,49.231506,72.44539,68.28817,57.775978,54.71102,28.827724,51.791706,62.14999,63.765213,28.640715
1970-03-01,80.70189,30.848408,29.800829,43.84798,52.374245,73.62536,69.018,32.93033,39.905907,68.42884,56.637375,22.485985
1970-04-01,73.27286,28.169056,34.80372,56.31135,45.309296,69.39201,56.700264,44.475204,32.23194,51.497124,51.19758,21.31594
1970-05-01,70.3072,30.214565,24.508324,36.69201,33.997765,63.21908,48.02671,49.397003,20.116108,52.883965,30.538935,18.876556
1970-06-01,67.65598,30.348616,24.701952,66.05896,21.13224,69.974556,63.603027,29.456602,14.350288,69.653496,27.970463,18.994057
1970-07-01,61.52111,28.81283,21.284496,39.13967,6.244381,46.749096,57.20171,28.888956,8.291542,38.09871,29.148783,8.308094
1970-08-01,54.596832,20.983295,16.329597,37.911705,5.9167023,38.093746,65.676674,36.602642,18.686237,33.41026,14.752438,7.8198853
1970-09-01,53.986156,28.5348,11.498821,57.474777,26.23112,46.558777,64.931946,24.999842,8.296509,23.063559,9.398701,9.890217
1970-10-01,60.00684,25.519493,21.349037,40.936935,50.044086,58.610065,68.38747,21.6039,11.583225,27.801659,17.772709,24.839312
1970-11-01,59.487186,28.169056,34.275795,51.04036,41.43673,75.69073,78.37836,18.188099,21.258018,31.48225,38.555473,27.161196
1970-12-01,87.6328,22.661407,31.836409,58.583588,59.028767,68.2832,78.93773,51.523605,16.220371,49.173584,59.543453,20.41565
1971-01-01,78.04768,21.944214,44.926907,73.15192,68.59088,70.497795,60.691055,34.19038,35.429535,63.509163,65.52427,24.748796
1971-02-01,85.036316,15.068848,50.04413,79.56915,69.899345,69.8013,61.66311,15.658844,32.579308,66.49801,73.18911,39.939857
1971-03-01,79.78723,18.274086,40.31008,62.496536,61.076496,54.354965,63.554806,34.01288,21.036404,49.694187,62.73828,26.598232
1971-04-01,55.14106,23.92213,35.612114,68.3373,39.835045,36.39821,69.80806,29.558342,27.739336,65.76094,65.08135,20.263832
1971-05-01,63.59538,26.00993,40.568733,46.25228,29.384218,55.582287,52.189404,51.20721,14.291206,31.409468,37.392235,25.477413
1971-06-01,73.06401,27.031006,26.261818,33.921585,15.437382,45.464493,46.47374,26.148552,14.893036,30.00802,23.480904,14.850773
1971-07-01,53.08369,25.687038,28.870298,41.567833,10.900013,55.318565,60.77727,33.950325,20.045757,34.847996,17.16003,16.722183
1971-08-01,58.816265,30.67747,31.368895,61.12383,12.096905,35.483635,61.336838,30.310625,21.041473,35.454895,26.168839,11.948139
1971-09-01,61.86259,33.58686,19.369545,54.180843,24.6947,48.41277,58.280365,42.015823,13.84322,31.67319,10.178158,12.943859
1971-10-01,55.736126,28.026726,21.857998,50.98406,53.08031,62.844784,59.881294,21.350842,11.82135,30.210884,22.816528,26.488348
