,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9,sst_cluster10,sst_cluster11,sst_cluster12
1965-01-01,28.813843,25.941315,25.62149,27.573425,16.030457,28.109314,24.96585,25.545166,16.707031,27.87033,15.872284,17.208008
1965-02-01,28.88321,26.343506,26.099487,28.28894,16.517426,28.507477,25.615997,25.494751,17.821716,28.511475,16.299377,18.67044
1965-03-01,28.602295,26.484192,26.120941,27.891266,16.599762,28.702087,25.395477,25.52121,17.530334,28.573364,15.897217,18.347626
1965-04-01,29.042877,26.779083,25.740753,28.241058,15.568909,29.306335,24.516296,24.535767,16.799347,28.671661,14.671783,17.812225
1965-05-01,28.49054,26.69278,24.644012,27.103912,14.1763,28.850769,23.585236,23.566772,16.096313,28.170197,13.486725,17.098236
1965-06-01,27.87381,25.782654,23.343231,25.984253,13.126495,28.893188,22.534912,22.705566,14.617889,27.074982,12.618042,16.354279
1965-07-01,26.939758,24.581665,22.625214,25.418427,12.602081,28.846283,22.28244,21.732574,13.434845,25.39096,12.338135,15.315918
1965-08-01,26.47821,24.201935,21.471619,24.689423,13.07608,28.207123,21.813416,20.758606,12.953857,25.005768,12.463867,15.748016
1965-09-01,26.973694,24.396545,21.093903,24.741333,13.243256,28.459076,22.331848,21.256561,12.996246,25.327118,11.426514,15.83783
1965-10-01,27.656769,24.399048,22.017975,25.379486,12.517242,28.476044,22.290924,21.901245,13.329559,26.260162,11.832672,15.619812
1965-11-01,28.923126,23.881104,22.663635,26.479706,13.697784,28.646698,23.454498,23.053345,14.212219,27.340424,12.625519,16.502472
1965-12-01,29.47348,24.784729,23.851166,27.53302,15.54245,28.638214,24.473389,24.713379,16.449066,27.996552,14.395355,17.993866
1966-01-01,29.323334,25.400421,24.75293,27.800873,17.018585,28.646576,26.128113,25.868408,17.277283,28.472076,16.271729,18.802765
1966-02-01,29.312225,26.105927,25.812958,28.478119,18.70694,29.461517,26.565857,26.65863,18.075073,28.95871,16.66858,19.51532
1966-03-01,29.409058,26.58551,25.89212,28.335419,17.92276,29.462524,26.080719,25.809418,17.763428,29.383331,16.121948,19.901123
1966-04-01,29.438293,26.432709,25.1503,28.169006,16.703888,29.396454,24.635406,25.24411,17.140625,29.539154,15.234375,18.6893
1966-05-01,28.741364,26.096344,23.943542,27.399445,15.032166,29.208862,23.866364,24.304596,15.57782,28.464508,14.33017,17.45227
1966-06-01,28.300629,25.326813,23.440247,26.455902,13.718475,28.90982,22.683289,23.0943,14.334717,27.012146,13.241913,16.733154
1966-07-01,27.19571,24.810913,22.391815,25.441772,13.007935,29.413086,22.917297,21.341888,13.578278,25.857819,12.503143,16.670105
1966-08-01,27.18512,24.664673,21.450806,24.729218,12.931274,28.804413,22.337341,21.180511,12.996826,25.548706,11.811249,15.706909
1966-09-01,27.656647,23.969238,21.302032,24.911774,12.936829,28.64505,21.601074,21.178986,12.854126,25.846222,11.907562,15.270172
1966-10-01,28.35559,24.49118,22.106384,25.541138,12.661987,28.485199,21.81845,21.363068,12.486481,26.917847,12.36496,15.448212
1966-11-01,29.114563,24.978851,23.31668,26.548187,12.86673,28.194733,23.200714,22.464447,14.417419,28.325836,13.177368,16.437134
1966-12-01,29.515472,25.458435,24.453857,27.856842,15.312042,28.231018,24.262238,24.814941,15.87384,28.688934,15.349365,17.153717
1967-01-01,29.150452,26.148499,25.024658,28.089203,17.006958,28.12326,25.09076,26.171051,16.630829,29.007202,16.890747,18.332123
1967-02-01,28.900055,26.921783,25.647186,28.55246,17.773224,28.549469,25.984222,26.802582,17.498749,28.572998,18.11026,19.053314
1967-03-01,29.285675,27.038483,25.55304,28.483856,17.866364,28.983673,25.739838,26.671356,16.945862,28.35965,16.483582,19.272675
1967-04-01,29.136444,26.89624,24.72116,28.181366,16.929321,29.618713,25.242004,26.17456,16.492615,29.200043,15.399292,18.215454
1967-05-01,28.138275,26.406921,23.649902,26.987885,14.844391,29.399872,24.669586,24.224335,16.267242,28.690186,13.266296,17.87387
1967-06-01,27.712097,25.85852,22.6232,25.777405,13.417023,29.278656,23.545227,23.162079,14.941559,27.53128,12.8526,16.725983
1967-07-01,26.863678,24.84134,21.075653,25.281586,13.006348,29.327728,22.145905,22.389832,13.717041,26.231659,12.71637,15.374268
1967-08-01,26.91977,24.51532,20.862305,24.640533,12.743927,28.600555,21.959106,21.743256,12.775482,25.991241,12.370819,15.039703
1967-09-01,27.04898,24.332,20.645447,24.187775,12.03125,28.707214,21.68164,21.131256,12.830078,25.751343,11.487366,15.416321
1967-10-01,28.043121,24.404633,21.387177,25.019135,12.567627,28.430267,22.513031,22.089325,13.3880005,26.9328,12.1614685,16.077423
1967-11-01,28.636108,24.582916,22.622192,26.361359,13.176147,28.284515,23.242218,22.906158,14.549896,27.873352,13.438568,16.410461
1967-12-01,28.904541,25.218964,23.604828,27.844788,14.672119,28.410248,24.387604,24.615479,16.031342,28.145782,14.251923,16.878235
1968-01-01,29.03418,25.577332,24.691498,27.695251,16.140656,28.348633,25.64264,25.497223,17.475616,28.032593,14.945679,18.85559
1968-02-01,28.644928,26.214905,25.194519,28.295227,17.454346,28.477722,25.80188,26.100647,18.036499,28.33133,15.597076,20.052032
1968-03-01,29.031708,26.129333,25.074799,28.32837,17.901978,28.765106,25.668335,25.793488,17.49936,28.588531,15.500641,19.347229
1968-04-01,29.005981,26.020508,24.596039,28.418884,16.632782,29.261688,24.806732,25.50711,16.225739,28.373383,14.671173,18.016724
1968-05-01,29.356659,24.957092,23.512817,27.3154,15.570374,28.78537,23.287292,24.449127,15.03717,27.387604,13.948547,17.254028
1968-06-01,28.253693,24.529755,22.563171,26.50473,13.878815,28.53363,21.862823,23.158691,13.829834,26.797546,13.411896,15.758331
1968-07-01,27.511261,24.62619,21.967163,25.063934,13.553345,28.593964,21.42212,21.956299,13.06073,25.855804,12.789673,15.862701
1968-08-01,26.969177,23.946594,21.138214,24.161774,13.157654,28.105774,22.248596,20.972015,12.582428,25.345856,12.275757,15.865662
1968-09-01,27.430145,23.282837,20.85083,24.275024,12.829742,28.185913,22.023071,21.509155,12.353912,25.91565,11.283569,15.550079
1968-10-01,28.543518,24.041565,21.640228,25.124756,13.750702,28.228943,22.564178,22.150177,12.635345,26.617004,12.479065,15.681152
1968-11-01,29.336884,24.654388,23.405487,25.785065,14.081085,28.35556,22.92871,22.936615,13.283295,27.685852,13.755157,16.608551
1968-12-01,29.604462,25.052063,24.397705,26.843048,15.801849,28.33133,24.879944,24.962036,15.075256,28.516815,14.927887,18.013763
1969-01-01,29.57425,26.03421,25.199982,28.274414,17.862,29.032257,26.514648,26.609528,16.953918,28.949188,15.890472,19.4982
1969-02-01,29.338379,26.63617,25.411743,28.630768,18.379364,29.617828,27.018188,27.180206,17.662537,29.230194,16.877533,20.372955
1969-03-01,29.075836,27.08844,24.821564,28.874329,18.25119,29.743439,27.089447,26.983826,17.511292,29.38913,16.461182,19.816101
1969-04-01,29.371704,27.083313,24.35086,28.84613,17.040588,29.912659,25.969086,26.09317,16.265808,29.085602,15.396698,18.348083
1969-05-01,29.07431,26.40802,23.41098,27.94217,15.809479,29.704987,24.383667,24.513397,15.146484,28.198029,14.356323,17.608185
1969-06-01,28.400543,25.901398,22.58136,26.601837,14.646545,29.170197,22.420868,22.752106,14.129181,27.442749,13.794373,16.487335
1969-07-01,27.663727,25.457886,21.22461,25.520447,13.882538,29.45578,21.950165,22.11731,13.329803,26.337769,13.042145,15.995087
1969-08-01,27.007935,25.488647,21.352814,24.679016,13.598999,29.486572,21.703522,21.375366,12.78064,25.99115,12.430969,15.658203
1969-09-01,27.28891,24.545715,21.215912,24.905151,13.33905,29.113281,21.926575,21.387665,12.464783,26.036774,11.602356,14.804474
1969-10-01,28.442596,24.871307,21.70044,25.71939,13.170349,29.260956,22.975159,22.908478,12.582214,27.050995,12.203308,15.150574
1969-11-01,29.05484,25.247131,22.488556,26.673096,14.582977,28.568726,24.18576,24.401611,13.960999,28.127258,13.597961,16.043274
1969-12-01,29.894714,25.567596,23.728882,27.973938,16.707306,28.428253,24.940002,26.075745,14.768066,28.420563,15.491547,16.306824
1970-01-01,29.655365,26.261047,24.80072,28.418213,17.994507,29.171875,25.477936,27.074646,16.457245,28.987457,16.65561,17.75586
1970-02-01,29.25763,26.98114,25.256348,29.164642,18.280182,29.2323,26.094208,27.054474,17.107056,29.268463,17.53891,18.992004
1970-03-01,29.442535,27.434174,25.654602,28.873291,17.917542,29.771088,25.372559,26.133972,17.406677,29.547424,16.5094,18.588043
1970-04-01,29.062866,26.770905,24.981018,28.657898,17.420105,29.461151,24.57965,25.533722,16.55899,29.030853,15.7883,17.712494
1970-05-01,28.624329,26.769867,23.927734,27.71518,15.455109,29.294312,23.46698,24.619415,15.270691,28.271515,15.016541,16.717072
1970-06-01,28.176971,25.390137,22.691101,26.011047,13.731873,29.163605,22.540253,22.848145,14.499481,27.207397,12.826324,16.341003
1970-07-01,27.636658,24.927795,21.647644,25.28424,13.051025,29.050995,22.281464,22.262878,13.760773,26.841156,12.110382,15.694275
1970-08-01,27.457397,24.155548,20.817017,24.710327,12.777771,28.968353,22.261322,21.343903,12.83252,25.840057,11.679047,16.0383
1970-09-01,27.768372,24.652985,20.558746,24.265564,12.862488,28.295776,22.836761,21.292755,12.376923,26.204224,11.472412,16.064117
1970-10-01,28.995728,24.610626,20.775696,24.97586,13.472015,28.275635,23.121399,22.566101,12.61969,27.06482,11.797333,15.481964
1970-11-01,29.477173,25.00476,21.76233,25.88034,14.523224,28.152191,24.384369,23.663788,13.699829,28.258606,13.200836,16.238739
1970-12-01,29.412598,25.471222,23.078003,26.608185,16.202057,28.445068,25.504791,25.081726,15.4184265,28.771027,14.988129,17.51361
1971-01-01,29.476532,25.936554,23.864624,27.08786,18.460297,28.703186,26.170258,26.34668,16.64978,28.482819,15.595795,18.600616
1971-02-01,28.883057,26.60559,24.761993,27.378906,19.006805,28.733337,25.91333,26.515656,17.74231,28.574219,15.833984,19.161469
1971-03-01,29.097504,26.567047,25.158783,28.32962,18.385193,29.023895,26.585846,26.160889,17.578766,28.789673,15.473267,19.51825
1971-04-01,29.035248,26.548767,24.70221,28.447235,17.52243,29.292694,25.921722,26.183594,16.67746,29.10147,14.501801,18.74591
1971-05-01,28.46405,26.286377,24.040558,26.959412,15.589386,29.213135,24.697754,24.664642,15.342316,28.22882,13.602966,17.628174
1971-06-01,28.168549,25.23288,23.135284,25.839691,14.016052,29.047607,22.814117,23.258331,14.001709,26.95694,13.020386,16.051392
1971-07-01,27.259338,24.743713,21.820892,24.826721,13.373688,28.66861,22.01065,22.144073,13.187378,26.426239,12.590485,15.474243
1971-08-01,27.309753,24.298492,21.23288,24.441772,13.004059,28.552979,21.759125,21.331207,12.492645,26.097137,12.190735,15.973816
1971-09-01,27.55188,23.788055,21.091553,24.024231,12.678436,28.124084,21.745789,21.599518,12.475342,26.447968,11.632843,15.716858
1971-10-01,28.704681,24.292572,21.00064,24.388428,13.280792,27.952606,22.738007,21.864868,12.434326,27.041412,11.368988,15.747498
1971-11-01,29.145935,24.846497,22.19989,26.012146,14.452881,27.974335,23.41101,23.401154,13.504639,27.218323,12.961578,16.028168
1971-12-01,29.100494,24.635498,23.243011,26.867004,15.440155,28.291077,24.75357,25.360382,15.115997,27.328033,14.692535,16.638428
1972-01-01,29.620789,26.254913,24.309448,27.680573,16.934479,28.768555,26.82309,26.62796,16.805359,28.454834,16.4151,18.12674
1972-02-01,29.28601,26.578217,25.48114,28.05072,17.903412,28.760437,26.325226,26.145416,17.48349,28.957947,16.548553,18.953125
1972-03-01,28.588257,26.960327,26.011993,28.635132,17.099945,29.067474,26.24823,26.182709,17.277374,28.736511,16.11908,18.939758
1972-04-01,28.828827,26.576294,25.209015,28.183685,16.63559,29.235321,25.86612,25.43045,16.529419,28.520355,15.114288,18.698242
1972-05-01,28.489746,26.4357,24.299408,27.257324,14.985657,29.286499,24.59018,24.01294,15.573395,27.851776,13.944519,17.426117
1972-06-01,27.328094,25.665253,23.32425,26.607391,14.075562,29.4357,23.087067,23.19754,14.608307,26.986633,13.341949,16.130096
1972-07-01,26.791046,25.357758,21.993317,25.28122,13.634155,29.524658,22.357727,22.47107,13.090851,26.617432,12.3567505,15.3897705
1972-08-01,26.376404,24.594482,21.200867,24.940247,13.27594,28.66095,21.96463,22.110016,12.625519,25.529907,12.401245,15.241974
1972-09-01,26.54953,24.552399,21.320923,24.889557,13.19989,28.674347,22.023926,22.315186,12.197968,26.025848,12.474396,14.738892
1972-10-01,27.867554,24.859406,22.193695,25.27069,12.788147,29.024414,23.055023,22.127228,13.343842,26.854645,12.063599,15.026306
1972-11-01,29.052155,25.020111,23.676239,27.00241,13.802002,29.042603,23.10379,23.003357,14.676239,28.127228,13.464355,15.586334
1972-12-01,29.763794,25.342438,25.084656,28.170746,15.072205,29.009583,25.084656,25.253967,16.506927,29.196106,15.107117,17.290771
1973-01-01,29.680542,26.454834,25.734467,28.798492,17.109314,29.42569,25.979614,26.305817,17.855438,29.377625,16.167084,18.628723
1973-02-01,29.546082,26.68106,25.855804,29.092194,18.570465,29.43103,26.547058,26.377167,18.087952,29.111603,17.147675,19.433563
1973-03-01,29.451416,27.037354,25.689789,28.871307,18.253967,29.632965,26.650482,26.42279,17.933594,29.607727,16.001068,19.875305
1973-04-01,29.360138,26.841248,25.169403,28.753357,17.072906,30.022278,25.399017,25.702911,16.813202,29.75238,15.298645,18.402008
1973-05-01,28.812592,26.083984,24.083984,27.813568,15.685547,29.378113,24.050995,24.585938,15.260803,29.028595,14.625366,17.323395
1973-06-01,28.49997,25.237366,22.5578,26.03543,14.387024,29.016937,23.226715,23.603912,14.321472,27.7529,13.578278,16.048157
1973-07-01,27.765991,24.61554,21.792267,25.260681,14.094788,29.325195,22.499054,22.98352,13.428772,26.666016,12.688507,15.757874
1973-08-01,27.507263,24.60196,20.981598,24.515045,13.611786,28.595093,21.855865,22.298096,12.578308,26.369415,11.652588,15.364685
1973-09-01,27.982971,24.402924,21.221893,24.393219,12.942871,28.767914,22.591278,22.174316,12.317627,26.463104,11.653564,15.273895
1973-10-01,28.667908,25.062622,21.302948,24.973785,13.724884,28.619385,23.103912,22.476746,12.607422,27.598999,11.887054,15.95932
1973-11-01,29.743622,25.047577,21.899078,25.510193,14.57489,28.261627,23.983032,23.844177,14.124878,28.41745,13.012268,16.765137
