,r100_cluster1,r100_cluster2,r100_cluster3,r100_cluster4,r100_cluster5,r100_cluster6,r100_cluster7,r100_cluster8,r100_cluster9,r100_cluster10
1969-07-01,4.914253,64.26013,46.362114,53.870594,55.762333,54.632637,46.764862,65.81931,68.931,36.004326
1969-08-01,5.355438,58.564854,51.901978,54.091183,57.682487,49.396923,66.26217,68.00685,63.257442,28.081406
1969-09-01,6.211067,53.265636,56.325512,55.672092,77.455536,72.08613,62.448605,89.31735,68.61181,35.940826
1969-10-01,7.633213,55.66875,55.94616,64.019485,78.45154,76.432785,59.44889,83.49841,77.39537,24.74412
1969-11-01,8.570728,70.10414,57.704212,65.936295,80.092606,72.87157,69.99886,87.611115,79.31552,36.70287
1969-12-01,14.431454,68.961075,77.8048,64.92358,82.13976,73.37459,87.926956,87.455696,77.84157,53.76531
1970-01-01,13.524471,61.09248,85.82228,68.51986,75.98365,72.80617,91.44743,77.32581,79.74864,46.120216
1970-02-01,13.463238,72.69528,79.500404,69.34237,78.07881,72.78796,82.4131,77.76437,72.26831,62.27742
1970-03-01,11.267128,68.693634,81.835526,76.60922,78.9129,72.662186,70.00269,92.427155,80.65721,50.45782
1970-04-01,10.63163,66.90795,55.715572,59.13965,80.3527,78.35849,63.753628,77.4913,80.40235,38.103676
1970-05-01,5.243141,55.3068,46.76068,55.811558,68.30306,75.237274,51.93734,76.32126,88.087906,25.747875
1970-06-01,5.3474007,77.98613,62.97746,74.69445,61.42678,63.99525,54.80039,81.44496,79.915794,44.58112
1970-07-01,5.736313,64.771416,58.643166,62.078827,54.628277,54.40817,67.63281,75.08998,71.01055,35.742073
1970-08-01,5.931595,75.82312,57.90837,59.56828,65.42677,57.39203,72.15411,76.294785,70.90794,38.484314
1970-09-01,3.7123184,71.77182,59.99691,69.81734,72.49172,68.149155,67.7619,77.7743,82.6961,28.083
1970-10-01,7.3283653,72.3825,56.31632,65.12888,84.013435,68.576126,60.38582,78.03744,88.422195,32.991558
1970-11-01,7.9704857,71.75362,52.87404,77.47144,83.65597,77.36719,73.91167,89.59059,86.14334,30.194706
1970-12-01,9.6072235,50.979126,46.788815,55.80494,80.60425,72.98489,67.118126,65.00311,80.69196,44.311363
1971-01-01,13.221104,63.21839,71.9601,60.265045,72.739426,71.29403,90.24144,70.55527,82.600266,54.147034
1971-02-01,16.659634,61.945427,78.11699,55.404785,78.18123,60.83813,83.74813,56.49179,69.18764,67.07786
1971-03-01,11.501839,62.66559,54.344826,50.49212,70.22731,65.14221,65.46848,60.80432,66.41518,63.12879
1971-04-01,6.648342,52.321266,52.167427,43.19412,82.8606,75.83647,74.91176,83.12433,75.18731,33.781273
1971-05-01,5.598526,60.54398,47.83292,55.149513,77.8127,71.18246,49.689117,85.0025,87.492645,23.073486
1971-06-01,6.166542,58.33277,60.21433,64.40852,48.43813,66.47266,54.412445,72.560234,76.296295,29.061327
1971-07-01,5.4176407,72.409775,51.868202,58.177246,55.32364,60.706272,57.64135,62.748425,73.40381,36.318752
1971-08-01,4.318798,65.7322,61.368958,60.500027,55.85277,49.831123,61.22188,70.94409,62.38158,26.476515
1971-09-01,6.239235,62.95467,53.513084,63.199795,59.44683,59.41809,58.00481,68.19022,79.74835,42.012444
1971-10-01,5.2891617,79.05692,48.820187,74.08847,79.68242,57.986214,53.29839,86.20108,91.8897,52.801376
1971-11-01,6.5891724,70.30676,46.551502,61.128902,89.50268,82.757484,61.390934,75.85338,74.820465,45.204155
1971-12-01,11.288834,56.415718,72.6194,75.01826,86.49185,60.555813,89.70216,75.27015,84.84021,49.905502
1972-01-01,14.059513,64.37219,58.61214,41.278355,95.29021,74.77571,97.74766,64.679375,65.451385,50.643314
1972-02-01,14.664124,61.739212,78.19046,74.07521,75.58186,71.98996,92.28666,83.3329,73.73228,40.48521
1972-03-01,11.589062,62.79078,62.460846,55.2299,79.10713,69.18307,77.1584,72.523056,75.15279,59.545063
