,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6
1965-01-01,1010.0508,1011.5808,1016.96313,1015.09955,1016.47076,1020.9068
1965-02-01,1010.0105,1010.2796,1015.01587,1013.84564,1016.07947,1018.26056
1965-03-01,1011.1429,1012.2846,1015.2745,1014.1855,1018.7368,1017.9957
1965-04-01,1011.0158,1013.4146,1015.63666,1011.3904,1018.82556,1014.0118
1965-05-01,1010.97296,1016.35046,1014.7455,1008.67596,1020.0572,1010.2443
1965-06-01,1012.8918,1018.993,1015.0921,1005.84424,1022.8293,1007.5993
1965-07-01,1011.4896,1019.2572,1016.63696,1004.0321,1021.757,1007.21045
1965-08-01,1011.8375,1018.255,1016.31256,1005.4101,1020.1049,1008.5252
1965-09-01,1012.1699,1017.43756,1015.02014,1008.6623,1020.59235,1011.56274
1965-10-01,1011.53424,1015.90326,1015.9709,1012.4942,1019.09595,1016.8831
1965-11-01,1011.5262,1014.6115,1016.539,1014.08374,1017.9585,1019.3985
1965-12-01,1011.3246,1012.6691,1016.0453,1015.0369,1017.9269,1021.7279
1966-01-01,1011.318,1013.1856,1015.2316,1016.27936,1018.7241,1021.3059
1966-02-01,1010.9099,1011.44507,1015.90894,1014.19525,1018.18896,1018.66156
1966-03-01,1010.5907,1012.67804,1015.7919,1013.2933,1018.5307,1014.5119
1966-04-01,1011.0545,1014.0731,1015.1384,1010.8617,1020.1668,1012.9816
1966-05-01,1011.7805,1016.6555,1015.73804,1009.57306,1021.003,1010.8843
1966-06-01,1012.9378,1018.59265,1015.539,1004.73615,1020.5386,1008.95154
1966-07-01,1011.2266,1018.0682,1016.14545,1002.15814,1020.8471,1008.6104
1966-08-01,1011.9001,1017.41974,1016.859,1003.86115,1021.4398,1006.4749
1966-09-01,1012.4684,1016.78204,1015.6704,1008.2468,1021.17944,1009.80084
1966-10-01,1010.99445,1015.32806,1015.4045,1011.27423,1019.07587,1016.74194
1966-11-01,1010.3485,1013.0436,1016.99475,1012.96716,1017.2714,1018.18646
1966-12-01,1009.4322,1010.8248,1016.46783,1014.30975,1015.86383,1019.2774
1967-01-01,1009.7468,1011.02313,1016.76544,1016.5608,1017.46783,1024.3696
1967-02-01,1009.442,1010.8809,1016.6305,1014.1272,1017.2683,1022.0542
1967-03-01,1009.48126,1010.5312,1016.44257,1011.26984,1017.98364,1017.06146
1967-04-01,1009.96814,1012.47284,1015.62695,1011.5296,1020.39044,1014.38916
1967-05-01,1011.3047,1015.16846,1015.92596,1008.2993,1021.32935,1008.8297
1967-06-01,1012.2073,1016.9214,1014.75116,1002.93353,1020.4797,1005.209
1967-07-01,1012.7131,1017.53314,1016.9918,1001.5847,1021.0747,1004.87085
1967-08-01,1012.67096,1018.51337,1016.5514,1003.3435,1021.8496,1006.1936
1967-09-01,1012.2653,1017.00995,1014.98334,1006.4977,1021.5326,1011.21466
1967-10-01,1011.6305,1015.3418,1016.1392,1012.5469,1020.0669,1015.8933
1967-11-01,1010.82935,1012.7566,1016.41064,1013.3602,1016.4629,1019.337
1967-12-01,1011.4998,1012.319,1016.84015,1015.55365,1018.53735,1024.0547
1968-01-01,1010.6393,1010.8117,1017.00665,1015.26917,1018.1194,1019.96704
1968-02-01,1010.09326,1011.55524,1016.53436,1015.3321,1017.3058,1022.68054
1968-03-01,1010.7645,1011.59534,1016.79333,1012.3903,1019.70087,1016.01556
1968-04-01,1010.693,1013.37787,1015.9397,1011.1566,1020.0515,1016.3082
1968-05-01,1010.8217,1015.383,1014.9894,1009.807,1021.3617,1009.4091
1968-06-01,1012.4562,1017.5426,1015.55396,1004.31775,1021.7338,1008.534
1968-07-01,1012.5971,1019.13403,1017.62274,1003.0032,1022.1582,1005.07556
1968-08-01,1011.6347,1018.6611,1017.29,1005.8627,1021.8147,1006.0066
1968-09-01,1011.91736,1017.0474,1015.2777,1007.5136,1020.1359,1009.97235
1968-10-01,1011.07007,1015.05524,1015.2198,1011.8615,1018.54584,1016.8578
1968-11-01,1010.9241,1014.3747,1016.4592,1014.5171,1018.09076,1020.0558
1968-12-01,1011.0923,1012.3753,1016.8585,1014.69885,1016.75977,1018.4113
1969-01-01,1009.4906,1010.53326,1015.06696,1013.74164,1016.57446,1018.84937
1969-02-01,1009.43445,1011.71936,1014.483,1015.21045,1017.2034,1019.8546
1969-03-01,1009.81256,1012.7564,1014.99023,1013.114,1019.3386,1017.725
1969-04-01,1009.86127,1013.1976,1014.34375,1011.09607,1019.3361,1015.32404
1969-05-01,1010.96936,1015.3384,1014.0318,1007.6119,1020.2271,1009.3059
1969-06-01,1011.4567,1017.4542,1013.67804,1005.0343,1020.4343,1008.0792
1969-07-01,1012.7982,1018.66284,1016.01666,1003.012,1022.0859,1007.2668
1969-08-01,1011.55096,1017.745,1013.75226,1005.1803,1020.8386,1008.47235
1969-09-01,1011.1354,1016.2531,1014.0081,1008.1909,1019.6693,1008.5971
1969-10-01,1010.59314,1013.8671,1014.342,1011.7032,1018.3696,1016.04156
1969-11-01,1010.9632,1013.3117,1015.99164,1013.6506,1017.6096,1020.97833
1969-12-01,1010.8184,1012.26166,1015.95544,1015.0607,1017.6807,1023.0767
1970-01-01,1011.3377,1012.1726,1016.70984,1015.0652,1018.10626,1022.2127
1970-02-01,1010.06323,1011.53204,1016.6231,1014.3307,1018.31537,1020.01294
1970-03-01,1010.1791,1011.8606,1014.53687,1012.5493,1018.7729,1018.2346
1970-04-01,1010.3834,1013.9724,1014.72107,1011.1987,1019.7777,1016.4163
1970-05-01,1010.5998,1015.0301,1015.5648,1006.47485,1019.7112,1010.3549
1970-06-01,1012.0187,1017.6409,1016.36884,1002.9026,1021.035,1009.1191
1970-07-01,1012.5338,1018.11993,1016.50726,1003.48364,1021.4938,1006.3614
1970-08-01,1011.63367,1016.8786,1015.1364,1002.5865,1020.319,1006.16235
1970-09-01,1010.70734,1015.7901,1014.6023,1005.58234,1020.11993,1008.8962
1970-10-01,1010.4732,1014.4495,1014.878,1010.8672,1017.86206,1015.16077
1970-11-01,1010.4666,1012.21295,1016.8733,1013.67053,1016.71576,1019.392
1970-12-01,1010.60455,1012.05194,1015.75916,1015.3569,1016.49414,1020.0041
1971-01-01,1009.95593,1010.3853,1016.1142,1014.8893,1016.47705,1022.1041
1971-02-01,1008.87506,1009.7486,1015.2925,1013.5313,1017.00757,1019.1047
1971-03-01,1008.8322,1011.5692,1015.3194,1013.6933,1018.0731,1018.61835
1971-04-01,1010.0999,1012.3762,1014.90985,1010.1312,1018.9537,1013.6376
1971-05-01,1010.258,1014.65704,1014.87585,1006.84186,1020.1516,1011.2672
1971-06-01,1011.431,1017.5438,1016.1449,1004.0824,1020.0224,1007.7372
1971-07-01,1011.81757,1017.3173,1016.0361,1002.56,1020.46014,1005.9114
1971-08-01,1011.5539,1016.5097,1016.28125,1003.38617,1020.29376,1008.0149
1971-09-01,1011.67804,1016.2057,1014.3454,1007.6591,1019.842,1008.56213
1971-10-01,1011.3811,1015.56,1015.3725,1011.8924,1018.3924,1016.59094
1971-11-01,1011.13086,1012.8056,1016.22687,1014.8772,1017.4094,1020.4358
1971-12-01,1011.21216,1012.1241,1016.01056,1014.59686,1016.6083,1021.1782
1972-01-01,1009.29,1010.8512,1015.6239,1015.06024,1016.4238,1020.5435
1972-02-01,1009.6175,1010.48865,1015.8739,1014.7327,1017.2126,1017.6275
1972-03-01,1009.4219,1011.858,1014.9171,1013.1866,1018.0594,1017.84064
1972-04-01,1009.9919,1012.93536,1014.6096,1011.47424,1019.12305,1015.1446
1972-05-01,1010.63617,1014.9102,1014.3352,1009.76,1020.15857,1009.38
1972-06-01,1012.18164,1016.22455,1013.8522,1003.79175,1020.7141,1006.3321
1972-07-01,1011.698,1018.0644,1015.947,1002.76056,1020.4029,1001.3669
1972-08-01,1010.843,1016.62695,1016.03827,1005.2366,1020.3804,1005.9434
1972-09-01,1011.5161,1016.22766,1015.6464,1008.6563,1021.2823,1012.711
1972-10-01,1011.1411,1014.32025,1015.8677,1011.6886,1019.52734,1016.6351
1972-11-01,1011.3767,1013.3016,1015.6283,1012.7117,1017.9256,1019.3717
1972-12-01,1011.12616,1012.73474,1016.4476,1015.4264,1017.91876,1020.54474
1973-01-01,1011.41846,1012.239,1015.7463,1016.9411,1019.7815,1020.91266
1973-02-01,1009.6873,1011.8139,1016.0627,1015.02155,1019.24896,1018.6523
1973-03-01,1009.7696,1011.868,1014.04083,1013.6004,1019.1429,1017.97577
1973-04-01,1009.623,1013.1984,1014.1945,1010.05963,1019.80914,1012.4332
1973-05-01,1010.81586,1015.1746,1015.2582,1007.30096,1020.5692,1010.57794
1973-06-01,1010.6242,1017.17194,1015.41705,1002.6554,1020.557,1006.6231
1973-07-01,1010.8602,1017.415,1016.5765,1001.9751,1020.78015,1005.78265
1973-08-01,1011.0757,1017.5945,1015.79443,1003.39557,1021.07086,1007.8179
1973-09-01,1011.2467,1015.60095,1015.5128,1007.32086,1021.02576,1013.0557
1973-10-01,1009.66486,1013.7939,1014.91736,1010.67633,1017.3989,1015.38745
1973-11-01,1011.28406,1013.3091,1016.7276,1014.05115,1017.6375,1019.8973
1973-12-01,1010.7085,1012.2261,1017.4864,1015.8736,1017.17,1023.00256
1974-01-01,1009.9857,1011.07654,1016.71173,1015.0842,1016.6044,1019.4946
1974-02-01,1008.5226,1009.98364,1015.9598,1014.6053,1016.80273,1020.2615
1974-03-01,1008.78,1011.5025,1015.9013,1012.75916,1017.2762,1018.3847
1974-04-01,1010.16034,1012.77405,1015.4387,1010.0666,1019.4172,1013.06885
1974-05-01,1011.11664,1014.6053,1014.2168,1007.82837,1020.97064,1010.41156
1974-06-01,1010.1562,1015.66766,1013.67474,1004.4124,1019.76636,1006.1574
1974-07-01,1011.6845,1017.6382,1017.0391,1002.2503,1021.673,1006.4882
1974-08-01,1010.40955,1016.5969,1016.0447,1003.4431,1020.43536,1004.0707
1974-09-01,1010.8783,1016.17444,1014.3159,1006.836,1020.3593,1010.45917
1974-10-01,1010.2472,1014.5374,1016.43115,1010.87006,1018.2801,1013.18634
1974-11-01,1010.5516,1013.1015,1016.1765,1014.3499,1017.34406,1017.984
1974-12-01,1010.50806,1011.2484,1016.2804,1014.9959,1016.5181,1021.2444
1975-01-01,1010.55786,1011.867,1016.37976,1015.8068,1018.0307,1021.9303
1975-02-01,1009.9511,1011.13635,1016.3098,1015.2215,1018.0065,1019.1336
1975-03-01,1009.99536,1011.4567,1014.4818,1013.253,1019.14185,1016.3043
1975-04-01,1009.61615,1012.6973,1014.3815,1010.7011,1018.9675,1012.9602
1975-05-01,1010.0362,1014.1075,1014.4929,1006.7441,1020.17633,1010.149
1975-06-01,1011.84485,1017.2688,1015.6234,1002.834,1021.3789,1006.8201
1975-07-01,1011.21936,1016.3507,1016.4593,1002.31714,1020.76306,1006.94196
1975-08-01,1010.8423,1017.27167,1016.5838,1002.21466,1020.66,1003.4865
1975-09-01,1011.28577,1015.8622,1014.9897,1005.65906,1020.3597,1010.13586
