,abs_vo600_cluster1,abs_vo600_cluster2,abs_vo600_cluster3,abs_vo600_cluster4,abs_vo600_cluster5,abs_vo600_cluster6,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,r700_cluster1,r700_cluster2,r700_cluster3,r700_cluster4,r700_cluster5,r700_cluster6,r850_cluster1,r850_cluster2,r850_cluster3,r850_cluster4,r850_cluster5,r850_cluster6,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6,vo850_cluster1,vo850_cluster2,vo850_cluster3,vo850_cluster4,vo850_cluster5,vo850_cluster6,vws600-250_cluster1,vws600-250_cluster2,vws600-250_cluster3,vws600-250_cluster4,vws600-250_cluster5,vws600-250_cluster6,vws850-200_cluster1,vws850-200_cluster2,vws850-200_cluster3,vws850-200_cluster4,vws850-200_cluster5,vws850-200_cluster6,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,EA-WR,ENSO3.4,EP-NP,NAO,PDO,PNA,SOI,TNA,TSA,WP,month
1965-01-01,-2.160787868976308e-06,-8.060567139307149e-05,6.159400425794662e-05,-4.2661058235656434e-05,2.5722114893575023e-05,9.72996916505094e-05,-3.392104234790612e-06,-8.229671862148526e-05,5.915842855727648e-05,-5.04378282640814e-05,2.94853273856264e-05,9.596016280560789e-05,,,,,,,1024.6282500128189,1044.8597350995867,1068.162715714862,1345.1489539823124,1077.0789480040858,1039.4354602175767,72.15020330597824,60.37196180779521,29.24102902250665,43.06376231055212,45.768583598889805,36.04388353935055,66.73305882703538,41.989698540674496,70.17736692118919,82.14554736838524,47.1924064695373,59.11041381418841,0.5783743646830342,-5.112038362746271,-5.902719497680665,-1.1942881069997875,-9.43644669012814,-12.87077453901183,1.72351820853234,-3.888330683612184,-4.581470017271918,-0.0263227845850364,-8.305704747675618,-11.632289166720408,28.33693198864891,24.550911137455,26.12466581777674,27.11746480541297,17.973038577294165,17.150371119661152,1.0930860627499098e-06,1.0017788387472972e-05,1.984908091713865e-06,-1.0343635124648475e-05,-0.000558368964658,0.0005541536180923,9.877419950841214e-06,0.0009757492989592,-5.102392232113791e-06,-4.173238786669182e-05,2.1156117890357218e-05,-5.233010969047561e-07,7.652889607550042,23.90996886786497,11.327612472088672,18.36449654970077,15.50491545095928,36.13101278921846,25.694177634722568,13.26890857584966,45.98266224718885,20.20768155766913,31.486514606413923,14.528712441910743,-0.0321930261991803,0.0215301586927256,37.78055906295776,-0.0706118683816876,0.0207048495578525,1.873818039894104,-0.37,-0.89,0.6,-0.65,-1.24,-0.92,-0.7,-0.36,-0.39,-1.0,1
1965-02-01,-2.301047882816244e-06,-7.880281986053653e-05,6.0928286087680574e-05,-4.228430971882821e-05,2.487948855243461e-05,9.930073276362665e-05,-3.3463289782514217e-06,-8.140065426848856e-05,5.943710498086945e-05,-4.989526560489805e-05,2.856174793948609e-05,9.830570408361036e-05,,,,,,,1023.8295816863066,1043.4579009422137,1067.5005773983091,1342.641033512531,1076.5699406815922,1037.2650458951043,72.97098604667602,59.72173985590865,29.599561652464327,42.61836551833135,47.60825628983347,31.846886824522095,68.18109614737082,34.22213880983118,68.82935305119348,81.87809056936656,41.45239699410529,56.608344319198025,0.3870905443911609,-4.594305110991135,-6.964417701758049,-0.6783357334200598,-9.063877430997154,-14.251524727299527,1.5806300868458958,-3.318882548569033,-5.587331050835946,0.5389898538165245,-7.885348026758632,-12.960699549261127,28.46394370505632,25.40877510770589,25.430212619799924,27.958052014116717,18.65989872343472,16.113862451517356,1.859239153610051e-06,9.657597826259888e-06,1.9397710059945084e-06,-1.0425705989293524e-05,-0.0004572204768639,0.000661808589939,9.835247747402364e-06,0.002113837217621,-4.816452604973565e-06,-4.622005300396788e-05,2.5602767415139604e-05,-1.658007653849668e-07,8.078407861202788,25.6854857733071,11.641662659741192,16.774065675423927,14.637117995818963,37.67890077810378,24.48935633685035,11.863823997316985,48.808224225139625,22.08940812719894,32.1405030861321,15.64271980344881,-0.0302802332382665,0.0225905972064424,77.3419976234436,-0.0933963032263629,0.0179020750149098,2.143029476466932,1.46,-0.56,-0.93,-2.2,-1.16,-1.03,0.7,-0.25,-0.08,-1.04,2
1965-03-01,-1.6564966450283874e-06,-7.999323015181196e-05,5.983656844682417e-05,-4.2881299577857135e-05,2.577651766155078e-05,0.0001002231196337,-4.605446919435408e-06,-8.136919006220865e-05,5.924291469671257e-05,-4.917838282830482e-05,2.840389106964234e-05,0.0001004037231362,,,,,,,1025.264137286275,1045.5165956078506,1069.9932402848078,1342.4678789900474,1077.322398478909,1036.9868672341615,73.27105442895966,62.12597372037416,28.23505375731428,43.59869148213408,45.26187615645559,32.69176820968087,71.07096998483543,29.06145174209386,69.5471415627311,80.85972324065631,38.5808456775754,57.22936399976865,0.3082145761961049,-4.976451316935904,-7.436516780208275,-0.6201919817839653,-9.740605834842652,-14.67100755223688,1.5995360728917385,-3.5965384519606896,-5.9466110911346295,0.696863979101181,-8.465522573899852,-13.274429249313645,28.584078717547868,25.23929672753251,25.187730098116223,28.2191778841392,18.179682798163835,15.909610244463076,1.8312923480209104e-06,9.237956748491516e-06,2.322868283643367e-06,-1.091583628936979e-05,-0.0003804529954392,0.000558748045781,9.698367134804812e-06,0.0018203327272203,-4.863180273484017e-06,-4.00399325631692e-05,3.603197131139626e-05,-3.642484932853434e-07,6.742883457217291,24.91814306980995,11.766102214294914,15.99281867088271,15.244194256597645,33.91915841276754,24.142003670820337,10.756072390280286,44.226959225139424,21.61118475331301,31.256454303725977,13.67313110780599,-0.0272266934776017,0.021788335316786,29.5803964138031,-0.0814038240965807,0.0175673362771886,1.4462551004008244,-1.84,-0.34,2.23,-1.99,0.04,-0.8,1.2,-0.13,0.11,-1.17,3
1965-04-01,-3.1188498005283164e-06,-8.34601728202897e-05,6.276690880520461e-05,-3.932609350461765e-05,2.667700264241133e-05,9.560167734151592e-05,-5.38044695193138e-06,-8.32353430161235e-05,6.144789365169087e-05,-4.66036390962508e-05,2.854617284271823e-05,9.735525651473954e-05,,,,,,,1025.3302526360194,1046.382417299322,1071.9480129474766,1337.8887113564872,1077.2916436616608,1034.257845829778,72.28535864372355,56.28106131106418,30.48519020649924,43.30000185728623,51.43007218210321,37.47088330967875,69.88906284306674,31.644634090057792,70.52041884628572,81.00634451942577,44.22048425797652,56.146364494445386,0.4273663899508374,-6.32786356096033,-7.350338023641836,-1.2859842504682917,-11.18742895988839,-14.536985001474058,1.8825627629439148,-4.772832302972508,-5.671355920137415,0.1982126848977655,-9.750529592351397,-12.96317622346698,29.24964090202209,24.47177878428892,25.90434631863654,28.11068402490582,17.272399931915047,16.63458050421949,2.2187440617490745e-06,9.249627272207644e-06,-6.244194897358809e-07,-9.467334912456848e-06,-0.0003685714406086,0.0006304447500345,8.074462641124823e-06,0.0015544921552645,-5.212812209375911e-06,-4.37847588078252e-05,4.0698731546789145e-05,3.879268195966842e-07,6.227219887729312,20.89632636188838,13.574055229976375,12.745101539931088,22.608864597304173,27.70573441363077,36.238021211529016,9.102508000911806,37.43948518565192,24.6138707242019,27.02111967719618,15.40523858201728,-0.0179808331814613,0.0199076345824955,158.55038166046145,-0.098401942999108,0.0056801823173555,0.9726445925863164,0.67,-0.44,1.02,0.64,0.62,-1.07,-0.9,-0.18,0.1,0.49,4
1965-05-01,-2.8595850674337857e-06,-8.501220523112936e-05,6.207437105157566e-05,-3.840513784325594e-05,2.9398454085151715e-05,9.191161717803572e-05,-7.775908543186323e-06,-8.371223807163863e-05,6.156838128737769e-05,-4.480243696457994e-05,3.069009212079427e-05,9.783898399150172e-05,,,,,,,1025.2024575463342,1046.5526889316232,1073.1279614945531,1335.6078900126342,1076.6380067427672,1031.2915164049168,71.32763031660392,50.8863995853157,26.09044441212793,41.27824582782784,59.15526460346423,42.02599382530441,64.26281769003644,20.484340354187847,71.44339083313088,82.38810163757111,48.09296088009226,47.3949814711725,0.5879336867978002,-7.623755371810606,-5.806643605808129,-2.0769876066688115,-12.3915014340896,-12.625240829755676,2.056355012186906,-6.054591065818565,-4.11240265565218,-0.579302517276297,-10.941544614096944,-11.037129816019313,29.316900563423065,23.076179470258538,27.34038265430985,27.224509826334344,15.976190690230338,18.445410818423863,3.074541770564748e-06,9.068238199252649e-06,-3.496327574103765e-06,-7.947538885210166e-06,-0.0001806704228958,0.0004993322363588,7.115765772152815e-06,0.0040547569369664,-6.68786990525442e-06,-4.34301260351536e-05,4.8761666264562384e-05,1.4527046557063987e-06,8.108589367382054,16.08042241629297,17.218040789625405,9.949877956752108,26.272314069577583,21.04871877410474,41.39880167985809,9.411440978373925,27.978708013881207,30.65470600864124,20.825821408231167,20.49433439558143,-0.0072693097360071,0.0222064968792895,238.5715484619141,-0.103267453282884,-0.0196739935038042,0.2613502113442671,2.95,0.06,0.07,-0.52,-0.66,-0.42,0.3,-0.21,0.15,1.18,5
1965-06-01,-3.0937889600717163e-06,-8.485256353879842e-05,5.999911266726331e-05,-3.866577363472364e-05,3.165915239013857e-05,9.14192847158508e-05,-1.00098847818716e-05,-8.375929731029303e-05,6.321782107012912e-05,-4.4725790287169225e-05,3.223366238484063e-05,9.940924737781246e-05,,,,,,,1027.0295464053645,1047.9245539654205,1075.7781266046802,1332.8989765431622,1076.745396985884,1028.9872413609214,68.99858121897516,46.14068135875062,26.394261498625923,39.0523027843086,66.1538150185033,46.1066607233614,60.99320226067665,24.554611624103703,71.87015657314706,80.77174794798529,59.35490038967872,46.4014622507986,0.8099836923197609,-8.520335425733187,-3.260596391659428,-2.8206093773723078,-13.089171860569207,-9.576251191912958,2.1221648789916268,-7.118131970399179,-1.7466225953781664,-1.4822775623976547,-11.793491945094225,-8.157115072574255,29.066236353552764,21.674456159007097,29.341018142331627,25.99875460315853,14.811750653486229,20.98315256946492,3.909951905918541e-06,7.789373738685305e-06,-4.888132411542603e-06,-6.020133230634702e-06,-0.0002064416828663,0.0004868093916835,6.403832638722732e-06,0.0056128988944692,-7.63829152037342e-06,-3.908777996132683e-05,5.757424549388123e-05,2.464837798138163e-06,8.976236309374118,10.079835816880562,19.196078084817337,7.727287730321014,28.642120632326307,16.360544216246662,42.29769544227369,10.949276691714896,19.946553202137803,30.88818303012313,13.770072196590291,26.368586062371467,0.0045714401121079,0.0229372082070269,171.50462865829468,-0.0831054336151237,-0.0497425445626494,-0.0305310430887498,1.33,0.36,-1.56,0.6,-0.8,1.89,-0.9,-0.28,-0.17,1.19,6
1965-07-01,-4.130223436321455e-06,-8.590568033523674e-05,6.256035344947117e-05,-3.641409837958539e-05,3.255590438433588e-05,8.676744134950839e-05,-1.0077169546514974e-05,-8.401262218858694e-05,6.441752502313168e-05,-4.41115876649858e-05,3.2507222217130214e-05,9.832215546272776e-05,,,,,,,1026.5965682509975,1049.1823717932646,1075.519952191993,1330.6494583784552,1075.7250818403083,1027.9279376866466,66.05419486201801,42.77814262924295,25.34146276549051,38.88345895505189,69.39834996273643,54.26016191695626,58.72811375048337,27.69697267715245,72.50379647405579,79.82237413785184,69.4013531509912,44.08190907541332,0.9702349792638194,-8.980489150523074,-0.8609166179878125,-3.392915284506367,-13.448636353169915,-6.053292796296893,2.1017704416386165,-7.771324204651835,0.4446314080901768,-2.238829709669025,-12.33133123826611,-4.829526307447901,28.763353117512224,20.719393787768063,31.206348898330173,24.95408821784729,13.994980844108325,24.005232037238358,3.214510332116249e-06,1.1733156046527694e-05,-8.564063754440891e-06,-2.340213450320978e-06,-0.0001996681721021,0.0003213256180364,7.347009390962772e-06,0.0054191306844586,-8.497576718028585e-06,-4.556344980041364e-05,6.538374301661471e-05,2.789012952965689e-06,10.064214696158563,10.102120394156197,19.23511637156887,7.951871014115758,32.12621906563823,10.01639590007049,46.67156886980856,12.117640876269803,12.932981152559467,31.041769145529027,13.36676892505073,27.095742089739574,0.0017200087526911,0.0233179977412945,185.3256702423096,-0.1071661921604624,-0.0516227673167589,-0.2654850875076495,0.37,0.61,0.75,0.35,-0.47,-1.26,-3.0,-0.2,-0.39,2.64,7
1965-08-01,-3.764583344755304e-06,-8.557759319799813e-05,6.216391409820488e-05,-3.7658544063864006e-05,3.25321255725152e-05,8.72595964440433e-05,-9.388905951021937e-06,-8.511465907392591e-05,6.385012980841798e-05,-4.446076640694517e-05,3.314485746665652e-05,9.830351597569896e-05,,,,,,,1026.3360508301946,1048.4886551393013,1074.573935925121,1332.1020950972052,1076.230142366479,1029.6803965910303,68.58915221595252,44.28294545908113,27.06597973889541,39.42441186443806,69.57448055869655,56.0916516046758,55.740667509552615,32.65873425627408,72.854890965077,79.3176843729584,71.89611390579579,47.0993580742143,1.0851480825872415,-9.414435179708256,0.3339392047573403,-3.910847618062301,-13.62102419831032,-3.980889140434985,2.188380710411471,-8.235513443914837,1.606831816587471,-2.7856283976938374,-12.531664205151934,-2.787731908402353,28.76534458647553,20.16477862193814,32.2709115806985,24.320986262419893,13.711089003609748,25.95551184888156,2.5983272356411213e-06,1.0907543607477116e-05,-7.027365224301416e-06,-2.9255321698178365e-06,-0.0002001783286686,0.0003269785520387,6.867978778624917e-06,0.005184673864278,-7.457897158171616e-06,-4.957272592166971e-05,6.187601684359834e-05,2.2064866916231067e-06,7.400291502291392,7.705598918118631,17.779136118780002,7.412240950812391,30.39662324503191,8.210642391910854,44.8852080770049,10.293789167466292,10.145331173472536,29.96567437182084,10.94220251944442,23.652467568785003,0.004375285897957,0.0221431486953273,167.633056640625,-0.1193970371529741,-0.0509192716212026,-0.1621610337966366,1.29,1.12,2.32,0.45,0.2,0.32,-1.1,-0.2,-0.21,1.62,8
1965-09-01,-4.387781495273474e-06,-8.457047497436939e-05,6.146005825057069e-05,-3.787259894731203e-05,3.228175323190795e-05,8.96829745303044e-05,-8.854282352730503e-06,-8.338533291677058e-05,6.34177722120942e-05,-4.567510306241825e-05,3.286081992723432e-05,9.624436410430008e-05,,,,,,,1026.2968659685448,1048.259103405307,1074.4167417427743,1335.8267906868812,1076.784002261392,1031.855393757999,69.39562012618732,45.78573310076009,25.2132829849885,36.13505989244509,70.42659398129112,53.662555808917055,55.46129981943425,31.135433667326627,72.25150369193832,79.18625409594812,67.4859276113584,46.140306685671455,1.1200629492840792,-9.766817732945386,0.1487171520357546,-4.076772100984838,-13.815865775411442,-4.863083497533259,2.298492846252697,-8.507540081971444,1.5083711936278046,-2.874857484233761,-12.65225644567524,-3.58859934896793,28.959825200295832,19.982905462550903,32.269795735677086,24.317801804729203,13.673801569975623,25.24588674869177,2.3863369723330544e-06,1.0168304201357822e-05,-5.633104419541274e-06,-3.060827349716334e-06,-0.0002671379031828,0.0004196725300668,6.786650486759991e-06,0.0042752213630592,-6.712900988159049e-06,-4.9494561348443055e-05,5.0713615131653134e-05,2.108220515665754e-06,7.534413384203584,8.998215957954159,17.287573680421435,6.2976216985476965,28.673167016895725,15.86017053080176,42.37290295308832,10.04781433133423,19.35344538004744,29.270635073510128,11.813632663907896,21.30870875877555,0.0005891195248677,0.0234825672003673,108.20423364639282,-0.0863677933343551,-0.0473341224567284,0.1349421610173426,0.66,1.29,2.26,0.51,0.59,0.36,-2.2,-0.12,-0.03,-1.29,9
1965-10-01,-4.303297901647203e-06,-8.307453418548255e-05,6.184168895405181e-05,-3.921578903979632e-05,3.0507151020072225e-05,8.996164111761886e-05,-7.593467314882773e-06,-8.316138083798264e-05,6.14392538143725e-05,-4.656031281771755e-05,3.241738734677429e-05,9.311902506185025e-05,,,,,,,1025.9470500354266,1047.77527247222,1073.538652160358,1341.2846832778982,1077.873993818555,1035.54131309327,70.69607905983605,48.93337738561189,24.901130888484712,39.04280688153353,65.35211181640625,48.64731198760404,61.34048884346981,35.13061000876231,70.36426042421347,80.77120764330289,58.27802318011143,50.77504568599623,1.0796619299734214,-9.652752630929283,-1.1357580262105822,-3.887495366703997,-13.87257982594098,-7.065462796193249,2.356832142235596,-8.287961050968043,0.3378206567055937,-2.5848728694101246,-12.611472452641763,-5.684191056017606,29.22101097346517,20.419250932049167,31.33328663554169,24.814672911294416,13.914884276476323,23.369673962862983,2.4265941259880563e-06,8.051353409568069e-06,-2.814168830944502e-06,-6.482986933756163e-06,-0.0003990117245568,0.0005176709964871,6.985234880688404e-06,0.0027053782105213,-5.645624678276288e-06,-4.8295213283771386e-05,3.0333911213563712e-05,1.401174638436449e-06,6.451052752926051,13.554137361123615,16.069810466439456,8.504389178625358,24.528319450855545,22.33775632974153,38.423664404564114,8.186759252760654,29.013602728937038,28.770424454930996,17.801744775409144,17.718705210207666,-0.0073926557605909,0.0208552536173417,155.8345079421997,-0.0927380128008014,-0.0263677640798348,0.764247853504984,3.08,1.45,0.85,0.92,-0.36,1.42,-1.5,-0.1,-0.17,1.57,10
