,zgv250_cluster1,zgv250_cluster2,zgv250_cluster3,zgv250_cluster4,zgv250_cluster5,zgv250_cluster6
1965-01-01,-0.3847058327673705,0.290407160895366,0.09239654406465055,-0.19066496960707563,0.005382855877074721,-0.042665078369684
1965-02-01,-0.3277639312320672,0.1631886946728768,0.02602154903805457,0.006076373132084732,0.018817962006816652,3.1739204428916756
1965-03-01,-0.29942290880094186,0.18696795882621228,-0.007558122811689658,0.14421332127122735,0.021389423122931295,0.6473501061284265
1965-04-01,-0.19476940524549088,0.25027178896001195,-0.01274022285508204,-0.17723271817858538,-0.021578424789698264,0.7284322450327319
1965-05-01,-0.11973368454896764,0.24712441338989438,-0.21785641755154236,-0.08380001327439919,0.04359363403962145,1.3481740341630093
1965-06-01,-0.01352522567530908,0.16900875777953328,-0.23144993278736303,-0.21932659976517974,0.0667212318496352,0.3197856767233028
1965-07-01,-0.03792884671231256,0.16862165127858672,-0.17954932588628073,-0.3833853987170689,0.09977947910154998,-2.091151891752731
1965-08-01,-0.054188410767383524,0.08960568285827333,-0.15066033818676502,-0.2138728192493097,0.099579791366721,-1.272860654564791
1965-09-01,-0.15100404419630328,0.20073498905795994,-0.1876451153669679,-0.07288286379024164,0.07882335639491095,-0.022454804545918177
1965-10-01,-0.2399353727408279,0.25410297052949565,-0.08626503698952213,-0.072755827220963,0.03336795757904482,0.28174290823382003
1965-11-01,-0.17213549628092423,0.2937516487213052,-0.020857549520289988,-0.36937995855487993,0.00853379553589741,-1.7312625119852465
1965-12-01,-0.21806166863064405,0.17023463590783103,-0.021885215788136552,-0.2130925029849828,0.049817342631123425,0.13067041372143945
1966-01-01,-0.24618078827622306,0.2512691823700094,-0.01749145594044325,-0.19793597731127666,0.010539176190979571,1.358371418575908
1966-02-01,-0.183970056963663,0.14961676187940134,0.04180868348806216,-0.1787994446149513,-0.01231396032299576,2.5469477786574255
1966-03-01,-0.18268739759305677,0.174409948568474,-0.0029976805868531077,-0.061826487141313835,-0.0020009177436469405,0.19889338765033457
1966-04-01,-0.12484325182118844,0.1310024655738023,-0.04530107181315789,-0.2202931235530483,0.021652447446067324,1.4215659263522127
1966-05-01,-0.04712335239651719,0.00478916893481667,-0.15365098286734477,0.21615400354364023,0.08773177816641814,-1.3281586558319802
1966-06-01,-0.0890523240586557,0.1684256523813752,-0.17634804639572332,-0.24872901501940256,0.09298207503665426,-0.868276177450668
1966-07-01,0.04963197531813071,0.14067416911295674,-0.14650887860779016,-0.20501604164714243,0.0450053990313877,-2.844111586725989
1966-08-01,-0.08955907972796917,0.06705190115328138,-0.13807739999601107,0.11869212334502988,0.07270086530658454,-1.4139158781184706
1966-09-01,-0.14693077558474818,0.16238618479295294,-0.13447392312908066,0.0317748205096864,0.06302393915641574,-1.1114704054455424
1966-10-01,-0.11761549068841438,0.14260913854941648,-0.08644168972497498,0.07876294539935552,0.026948983448052875,-0.35354883171791257
1966-11-01,-0.09219916922622642,0.22575412660194444,-0.09064017146637168,0.06538004572711774,-0.021075770186062635,-1.428491986075113
1966-12-01,-0.2941631179511402,0.2609810808823612,0.06614929764582637,-0.404956831193682,0.01679755809753301,1.057177366212357
1967-01-01,-0.2185680041284529,0.12947826072252297,0.027786720866329558,0.07112008456919175,-0.005006991930347582,1.9653106844702433
1967-02-01,-0.2584880643916246,0.24158075646360938,0.13407604996790864,-0.2703185902157826,-0.0336347669935343,0.4418569595314736
1967-03-01,-0.11456155194391081,0.11764654327315044,0.026795021646345653,0.12853028280521506,-0.03954787336695711,-0.6771532602088396
1967-04-01,-0.1334538586990604,0.18732932562200894,-0.008817475126026677,0.19501844949241892,-0.06076367577152879,-0.792269928510799
1967-05-01,-0.07483146514249579,0.35158293438011884,-0.26210776514487677,-0.26853537159179575,0.033088952683233634,-0.34641963104869045
1967-06-01,-0.01121021999909266,0.16031402869363579,-0.24859578454796272,0.09275292022042532,0.043379331642356,-0.7684336845264879
1967-07-01,0.028987977327439036,0.08362731246212148,-0.20174975801683678,-0.24746519082517765,0.10837087241214748,-2.7182207551113393
1967-08-01,0.07066587416722536,0.09779279690054028,-0.1541140929398909,-0.4123504148490393,0.07091907332664325,-1.5491498071093892
1967-09-01,-0.10094494572891614,0.23149602055955554,-0.17841882642185636,-0.21682043017736122,0.06646049609563871,-0.9963872127754744
1967-10-01,-0.16012506042845057,0.2736345051907248,-0.22015990257137436,-0.18123402121240523,0.0643019089163099,0.9361936602481576
1967-11-01,-0.07948415057049325,0.2871461999132197,-0.1366056741572885,-0.029725531366334032,-0.018492107235373898,-0.9409534376721049
1967-12-01,-0.5167367564482556,0.40567029060354026,0.08784358538019192,-0.5030034526960173,0.03547990702446446,2.5439678236495618
1968-01-01,-0.3452943533731493,0.19790376880112082,0.03762154811443093,-0.006153486641262894,0.024756766951970717,0.8703464685484421
1968-02-01,-0.34604024894336133,0.24381213811956656,0.18464716535478137,-0.3311613713627431,-0.018379032148787097,-0.6789900535760924
1968-03-01,-0.27709696135979933,0.29323458857622914,-0.010943003509680933,-0.4467605877278456,0.015731330404276624,2.280694384907567
1968-04-01,-0.2169812157061268,0.02413881225374006,0.021648832561471792,0.3935068456539467,-0.0028165628061780717,2.192122160002243
1968-05-01,-0.09006247232575196,0.04508214546568379,0.01199711585723901,0.23993172668921411,-0.02088062967272611,-0.01979943061637324
1968-06-01,-0.14571097640914346,0.29175245043452697,-0.14216475314480342,-1.0013870561300817,0.1292996966103144,0.1397511640260386
