,abs_vo600_cluster1,abs_vo600_cluster2,abs_vo600_cluster3,abs_vo600_cluster4,abs_vo600_cluster5,abs_vo600_cluster6,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,r400_cluster1,r400_cluster2,r400_cluster3,r400_cluster4,r400_cluster5,r400_cluster6,r600_cluster1,r600_cluster2,r600_cluster3,r600_cluster4,r600_cluster5,r600_cluster6,r700_cluster1,r700_cluster2,r700_cluster3,r700_cluster4,r700_cluster5,r700_cluster6,r850_cluster1,r850_cluster2,r850_cluster3,r850_cluster4,r850_cluster5,r850_cluster6,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6,vo850_cluster1,vo850_cluster2,vo850_cluster3,vo850_cluster4,vo850_cluster5,vo850_cluster6,vws600-250_cluster1,vws600-250_cluster2,vws600-250_cluster3,vws600-250_cluster4,vws600-250_cluster5,vws600-250_cluster6,vws850-200_cluster1,vws850-200_cluster2,vws850-200_cluster3,vws850-200_cluster4,vws850-200_cluster5,vws850-200_cluster6,vws_u600-250_cluster1,vws_u600-250_cluster2,vws_u600-250_cluster3,vws_u600-250_cluster4,vws_u600-250_cluster5,vws_u600-250_cluster6,vws_u850-200_cluster1,vws_u850-200_cluster2,vws_u850-200_cluster3,vws_u850-200_cluster4,vws_u850-200_cluster5,vws_u850-200_cluster6,vws_v600-250_cluster1,vws_v600-250_cluster2,vws_v600-250_cluster3,vws_v600-250_cluster4,vws_v600-250_cluster5,vws_v600-250_cluster6,vws_v850-200_cluster1,vws_v850-200_cluster2,vws_v850-200_cluster3,vws_v850-200_cluster4,vws_v850-200_cluster5,vws_v850-200_cluster6,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5,mgu850_cluster6,mgu600_cluster1,mgu600_cluster2,mgu600_cluster3,mgu600_cluster4,mgu600_cluster5,mgu600_cluster6,mgv850_cluster1,mgv850_cluster2,mgv850_cluster3,mgv850_cluster4,mgv850_cluster5,mgv850_cluster6,mgv600_cluster1,mgv600_cluster2,mgv600_cluster3,mgv600_cluster4,mgv600_cluster5,mgv600_cluster6,zgu850_cluster1,zgu850_cluster2,zgu850_cluster3,zgu850_cluster4,zgu850_cluster5,zgu850_cluster6,zgu600_cluster1,zgu600_cluster2,zgu600_cluster3,zgu600_cluster4,zgu600_cluster5,zgu600_cluster6,zgv850_cluster1,zgv850_cluster2,zgv850_cluster3,zgv850_cluster4,zgv850_cluster5,zgv850_cluster6,zgv600_cluster1,zgv600_cluster2,zgv600_cluster3,zgv600_cluster4,zgv600_cluster5,zgv600_cluster6,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,EA-WR,ENSO3.4,EP-NP,NAO,PDO,PNA,SOI,TNA,TSA,WP,month
1965-01-01,-2.160787868976308e-06,-8.060567139307149e-05,6.159400425794662e-05,-4.2661058235656434e-05,2.5722114893575023e-05,9.72996916505094e-05,-3.392104234790612e-06,-8.229671862148526e-05,5.915842855727648e-05,-5.04378282640814e-05,2.94853273856264e-05,9.596016280560789e-05,,,,,,,1024.6282500128189,1044.8597350995867,1068.162715714862,1345.1489539823124,1077.0789480040858,1039.4354602175767,36.83266938901415,23.206234145289752,22.85007322912986,57.7511323411519,41.98521765203424,47.70760087109117,66.88950996259193,41.79199768217983,27.502753710177164,24.311293363571167,75.68340617299869,34.41601848274571,72.15020330597824,60.37196180779521,29.24102902250665,43.06376231055212,45.768583598889805,36.04388353935055,66.73305882703538,41.989698540674496,70.17736692118919,82.14554736838524,47.1924064695373,59.11041381418841,0.5783743646830342,-5.112038362746271,-5.902719497680665,-1.1942881069997875,-9.43644669012814,-12.87077453901183,1.72351820853234,-3.888330683612184,-4.581470017271918,-0.0263227845850364,-8.305704747675618,-11.632289166720408,28.33693198864891,24.550911137455,26.12466581777674,27.11746480541297,17.973038577294165,17.150371119661152,1.0930860627499098e-06,1.0017788387472972e-05,1.984908091713865e-06,-1.0343635124648475e-05,-0.000558368964658,0.0005541536180923,9.877419950841214e-06,0.0009757492989592,-5.102392232113791e-06,-4.173238786669182e-05,2.1156117890357218e-05,-5.233010969047561e-07,7.652889607550042,23.90996886786497,11.327612472088672,18.36449654970077,15.50491545095928,36.13101278921846,25.694177634722568,13.26890857584966,45.98266224718885,20.20768155766913,31.486514606413923,14.528712441910743,1.9508037934504063,10.012068996155303,33.90674310617054,17.656631518050997,1.177342552891093,15.282946075365238,24.361838277038498,45.182597248104656,3.4490881913886438,15.51229690034776,-0.1980245137831474,27.06698510171597,6.468520903330816,-0.6225274306613752,-5.02413172932487,-1.0701164890695378,-0.1321457712729248,4.22578644114888,8.328214379040114,-6.799884616174871,0.9231401811272788,-3.989648669842688,7.899737060712738,-0.9238806531863788,0.0783366758264996,0.3386608746182905,-0.853970428125574,-0.902778882325463,-0.3877532113280224,0.8430575974704584,-0.6905480913349972,1.1110681204741446,1.3466957922624545,-1.0223730103722934,0.062300783078947,-0.0542452194426767,0.1420367193532522,0.0016553794673913,0.3733314419614857,-0.1368512023632853,-0.5460254013768495,0.6510340961916694,-0.5382166159423915,0.1738491367686916,-0.1311093144790649,0.0980218104686614,0.5000236733206388,-0.1263784228776438,-0.1606859250500464,0.2940356489298439,-0.4983013257002219,0.2411276588634568,0.0439089873113245,-0.254025837270225,0.0697480870565031,0.1950901714447643,-0.1181313525817114,-0.0474360326254796,-3.933862393552607,0.569308406174785,-0.0667561473619169,-0.3138450119230482,0.530795515084467,0.1156448031683038,-0.524755099724079,0.2063307836352581,-0.0553748886255735,0.2016082828121232,-0.1105603723486593,0.2422714599298837,0.0872268237472183,-0.3861298636784629,-0.0321930261991803,0.0215301586927256,37.78055906295776,-0.0706118683816876,0.0207048495578525,1.873818039894104,-0.37,-0.89,0.6,-0.65,-1.24,-0.92,-0.7,-0.36,-0.39,-1.0,1
1965-02-01,-2.301047882816244e-06,-7.880281986053653e-05,6.0928286087680574e-05,-4.228430971882821e-05,2.487948855243461e-05,9.930073276362665e-05,-3.3463289782514217e-06,-8.140065426848856e-05,5.943710498086945e-05,-4.989526560489805e-05,2.856174793948609e-05,9.830570408361036e-05,,,,,,,1023.8295816863066,1043.4579009422137,1067.5005773983091,1342.641033512531,1076.5699406815922,1037.2650458951043,38.960466197892735,19.740544267377167,21.21422215021036,57.62537527775419,41.153415200488816,51.86969857997995,65.27486039605333,41.13886008988943,28.543699153861088,20.35620406270027,78.86145951732105,38.04189773769313,72.97098604667602,59.72173985590865,29.599561652464327,42.61836551833135,47.60825628983347,31.846886824522095,68.18109614737082,34.22213880983118,68.82935305119348,81.87809056936656,41.45239699410529,56.608344319198025,0.3870905443911609,-4.594305110991135,-6.964417701758049,-0.6783357334200598,-9.063877430997154,-14.251524727299527,1.5806300868458958,-3.318882548569033,-5.587331050835946,0.5389898538165245,-7.885348026758632,-12.960699549261127,28.46394370505632,25.40877510770589,25.430212619799924,27.958052014116717,18.65989872343472,16.113862451517356,1.859239153610051e-06,9.657597826259888e-06,1.9397710059945084e-06,-1.0425705989293524e-05,-0.0004572204768639,0.000661808589939,9.835247747402364e-06,0.002113837217621,-4.816452604973565e-06,-4.622005300396788e-05,2.5602767415139604e-05,-1.658007653849668e-07,8.078407861202788,25.6854857733071,11.641662659741192,16.774065675423927,14.637117995818963,37.67890077810378,24.48935633685035,11.863823997316985,48.808224225139625,22.08940812719894,32.1405030861321,15.64271980344881,1.7492592523318362,11.731259387792566,35.26372030347304,17.437980833158623,-3.2183324889801237,14.196100953104358,24.802888173249137,48.64408919810536,-3.409762851128512,17.76585105015477,-1.1090204025401946,24.70224332733772,4.724563068857135,-0.0613718810966337,-4.80745177830952,-1.4792059561556012,1.6924145669122306,3.3583221647239605,7.187105768976704,-6.614076292131688,0.6810741150397541,-0.3797157133231376,6.189253515673262,-1.7207713564209273,0.1224710984135777,0.4211590555313594,-0.8805527235025296,-0.9932348656552032,-0.5696738866208599,0.7876466349459511,-0.8749830190110323,1.066757696096435,1.3553064323296746,-0.9662954725068192,0.1338615698980533,-0.218440084918145,0.1276559559452445,-0.0169223576471947,0.420682902993827,-0.1254482549041845,-0.6149376796479391,0.6906374775130174,-0.5343052643266591,0.2175895437739654,-0.0924514334390298,0.0197447999253299,0.4782268199427374,-0.120519220440414,-0.1234093982902845,0.305127148878275,-0.5469762489326999,0.1656706175025628,0.0520834462054034,-0.2314399473550843,0.0714081535293797,0.1611175340346634,-0.1372741703148726,-0.0230206089465628,-5.0923152403398,0.6552819651786728,-0.0561621123127514,-0.2790466613239712,0.5744701548784721,0.0938183760904396,-0.5141055172887342,0.1875398388828139,-0.0090332559286006,0.3089950656233897,-0.3154551194719047,0.3134867050469558,-0.011729598413093,-0.3161876506748654,-0.0302802332382665,0.0225905972064424,77.3419976234436,-0.0933963032263629,0.0179020750149098,2.143029476466932,1.46,-0.56,-0.93,-2.2,-1.16,-1.03,0.7,-0.25,-0.08,-1.04,2
1965-03-01,-1.6564966450283874e-06,-7.999323015181196e-05,5.983656844682417e-05,-4.2881299577857135e-05,2.577651766155078e-05,0.0001002231196337,-4.605446919435408e-06,-8.136919006220865e-05,5.924291469671257e-05,-4.917838282830482e-05,2.840389106964234e-05,0.0001004037231362,,,,,,,1025.264137286275,1045.5165956078506,1069.9932402848078,1342.4678789900474,1077.322398478909,1036.9868672341615,36.127430784936045,19.809602647236893,19.48565026075741,57.7839640109929,38.876605841631445,51.716798651155344,63.788066067538416,42.111939941810455,27.421774066755795,19.993663132190704,78.42252238696774,37.29422166175449,73.27105442895966,62.12597372037416,28.23505375731428,43.59869148213408,45.26187615645559,32.69176820968087,71.07096998483543,29.06145174209386,69.5471415627311,80.85972324065631,38.5808456775754,57.22936399976865,0.3082145761961049,-4.976451316935904,-7.436516780208275,-0.6201919817839653,-9.740605834842652,-14.67100755223688,1.5995360728917385,-3.5965384519606896,-5.9466110911346295,0.696863979101181,-8.465522573899852,-13.274429249313645,28.584078717547868,25.23929672753251,25.187730098116223,28.2191778841392,18.179682798163835,15.909610244463076,1.8312923480209104e-06,9.237956748491516e-06,2.322868283643367e-06,-1.091583628936979e-05,-0.0003804529954392,0.000558748045781,9.698367134804812e-06,0.0018203327272203,-4.863180273484017e-06,-4.00399325631692e-05,3.603197131139626e-05,-3.642484932853434e-07,6.742883457217291,24.91814306980995,11.766102214294914,15.99281867088271,15.244194256597645,33.91915841276754,24.142003670820337,10.756072390280286,44.226959225139424,21.61118475331301,31.256454303725977,13.67313110780599,2.584903564359856,11.701928463121464,31.93718611164394,17.742666906356135,-1.2346319253033358,15.075943730616704,24.94434594114453,44.560365660911714,0.3273559422769798,18.044480046856425,1.456389478048168,25.51152536034887,4.107213579223797,-0.323263300903878,-3.755261840426919,-0.9607671756051712,1.5592921542037923,2.8581319659859914,5.1136792940263085,-6.505297321129069,0.7293739359651259,-0.9515580403056444,5.047950610372393,-1.0582979662825136,0.0337088854198515,0.3587544282143632,-0.9331296161044992,-0.9548416465137136,-0.4120632713132932,0.7160887832600796,-0.6969626003129471,1.055405926341793,1.2412765095576996,-0.9889326095581056,-0.0128312979086793,-0.1517446795731495,0.1275596764891845,-0.063081470572707,0.4169119020988201,-0.1111799109211182,-0.4418601112936454,0.2826770831798685,-0.5378358574076132,0.1961569034199554,-0.0953836458938183,0.0420464785474408,0.5041257060807327,-0.1329484836589787,-0.1420071381062938,0.2679409027275694,-0.55970881993954,0.0994257872201958,0.0571032185400031,0.0170470908193326,0.0983537038325504,0.1606160569426926,-0.1391116136705482,-0.0159233955898884,-3.61254404891621,0.5572340103110882,-0.0632121108492075,-0.0649774281515015,0.5241603285324674,0.0874151055223047,-0.4424431097918543,0.1422439952452019,-0.0209726987116254,0.4161440464553281,-0.0289188805690481,0.2480508434814914,0.0253623319277141,-0.3647598718839978,-0.0272266934776017,0.021788335316786,29.5803964138031,-0.0814038240965807,0.0175673362771886,1.4462551004008244,-1.84,-0.34,2.23,-1.99,0.04,-0.8,1.2,-0.13,0.11,-1.17,3
1965-04-01,-3.1188498005283164e-06,-8.34601728202897e-05,6.276690880520461e-05,-3.932609350461765e-05,2.667700264241133e-05,9.560167734151592e-05,-5.38044695193138e-06,-8.32353430161235e-05,6.144789365169087e-05,-4.66036390962508e-05,2.854617284271823e-05,9.735525651473954e-05,,,,,,,1025.3302526360194,1046.382417299322,1071.9480129474766,1337.8887113564872,1077.2916436616608,1034.257845829778,39.25416516322716,26.515187732810105,27.368269456336435,52.76358784108922,34.24035244300717,53.20612226213728,52.44539631155384,41.50909430143849,29.8757235751624,28.259942531585693,77.79245250272434,45.53474085437473,72.28535864372355,56.28106131106418,30.48519020649924,43.30000185728623,51.43007218210321,37.47088330967875,69.88906284306674,31.644634090057792,70.52041884628572,81.00634451942577,44.22048425797652,56.146364494445386,0.4273663899508374,-6.32786356096033,-7.350338023641836,-1.2859842504682917,-11.18742895988839,-14.536985001474058,1.8825627629439148,-4.772832302972508,-5.671355920137415,0.1982126848977655,-9.750529592351397,-12.96317622346698,29.24964090202209,24.47177878428892,25.90434631863654,28.11068402490582,17.272399931915047,16.63458050421949,2.2187440617490745e-06,9.249627272207644e-06,-6.244194897358809e-07,-9.467334912456848e-06,-0.0003685714406086,0.0006304447500345,8.074462641124823e-06,0.0015544921552645,-5.212812209375911e-06,-4.37847588078252e-05,4.0698731546789145e-05,3.879268195966842e-07,6.227219887729312,20.89632636188838,13.574055229976375,12.745101539931088,22.608864597304173,27.70573441363077,36.238021211529016,9.102508000911806,37.43948518565192,24.6138707242019,27.02111967719618,15.40523858201728,4.387713786896003,13.952580833803088,27.783446013252124,13.812793244647796,2.6702280087901658,22.22321378705884,32.77764671114745,38.99426538799415,1.829484847072666,20.596673404537032,7.880763821658388,20.76819240678928,3.474287026530891,0.1913342261797038,-2.4997786123714314,-1.983742998952808,1.3591858996057404,1.474193576080255,1.2622706013095286,-4.005809102027749,0.5061346939202679,0.2999332036480762,5.2276661185981,-3.8369881274255104,0.0599485005655307,0.1817613518164481,-0.8110280886338027,-0.0081899276107165,-0.4083692468203425,0.6394042617534367,-0.3213252114123048,0.7056308534888713,1.0809145121409376,-0.9257540949459734,0.1705982052509806,-0.3379056267734163,0.1130271677149573,-0.0840795524963109,0.4043114288099881,-0.0627789499035698,-0.4629974429671829,0.1400630921125412,-0.518630478869785,0.1520189583603681,-0.0520214078609238,0.02363859380924,0.7295390912171068,-0.1098784966508268,-0.1068491038130108,0.2692036319694632,-0.5858601540581794,-0.0114864133754555,0.0554187217463997,0.076487751268759,0.1194411497207204,0.1290543856315181,-0.132648284127424,-0.0026606151393094,-4.072022438049316,0.4847489523165154,-0.05615796571304,0.290152264965905,0.5018619053504046,0.0720238951026215,-0.3532357668054515,-0.0096938479317718,-0.025265692527797,0.606057616730629,-0.3115538045887119,0.3004537146286608,0.014251343381226,-0.3049042253267197,-0.0179808331814613,0.0199076345824955,158.55038166046145,-0.098401942999108,0.0056801823173555,0.9726445925863164,0.67,-0.44,1.02,0.64,0.62,-1.07,-0.9,-0.18,0.1,0.49,4
1965-05-01,-2.8595850674337857e-06,-8.501220523112936e-05,6.207437105157566e-05,-3.840513784325594e-05,2.9398454085151715e-05,9.191161717803572e-05,-7.775908543186323e-06,-8.371223807163863e-05,6.156838128737769e-05,-4.480243696457994e-05,3.069009212079427e-05,9.783898399150172e-05,,,,,,,1025.2024575463342,1046.5526889316232,1073.1279614945531,1335.6078900126342,1076.6380067427672,1031.2915164049168,42.552310906204525,37.71049446065873,23.50359254477951,42.33648011896674,29.253521069802872,56.82245325159144,38.27083992870736,42.83716820723173,24.58636638654377,32.099937200546265,76.15143226471957,57.72175805265551,71.32763031660392,50.8863995853157,26.09044441212793,41.27824582782784,59.15526460346423,42.02599382530441,64.26281769003644,20.484340354187847,71.44339083313088,82.38810163757111,48.09296088009226,47.3949814711725,0.5879336867978002,-7.623755371810606,-5.806643605808129,-2.0769876066688115,-12.3915014340896,-12.625240829755676,2.056355012186906,-6.054591065818565,-4.11240265565218,-0.579302517276297,-10.941544614096944,-11.037129816019313,29.316900563423065,23.076179470258538,27.34038265430985,27.224509826334344,15.976190690230338,18.445410818423863,3.074541770564748e-06,9.068238199252649e-06,-3.496327574103765e-06,-7.947538885210166e-06,-0.0001806704228958,0.0004993322363588,7.115765772152815e-06,0.0040547569369664,-6.68786990525442e-06,-4.34301260351536e-05,4.8761666264562384e-05,1.4527046557063987e-06,8.108589367382054,16.08042241629297,17.218040789625405,9.949877956752108,26.272314069577583,21.04871877410474,41.39880167985809,9.411440978373925,27.978708013881207,30.65470600864124,20.825821408231167,20.49433439558143,7.429954391760427,17.290113987459538,20.1337345958723,10.251916564921684,-2.344922981935563,26.062986409388586,38.4119223978158,28.69024091960128,-5.1646723047521,24.129628541689662,12.116565404607949,14.736433392393682,2.050850719489228,0.4823050468040705,-1.200442741854837,-2.1530640339661318,1.9258065291286448,-0.9995232150671844,-2.8062603623682576,-2.7012405818110548,0.1961800687984072,2.389197384988411,3.946433487087991,-5.116634342743919,0.1216670685504332,-0.0742727064858917,-0.7954053466837705,0.5070557218252845,-0.4082239997823714,0.6799002148411385,-0.1547260653083595,0.2645977478856823,1.0431838057297391,-0.887374787495054,0.3934559165021652,-0.5192715122864813,0.1137953316638247,-0.176571454555299,0.4459874280567827,-0.0178624319611271,-0.3984776933220823,-0.4627040747938485,-0.4475592889569022,0.1408076969660799,0.0018703047539365,0.0092026235111883,0.8079884381129825,-0.1642048698938717,-0.1071535322601509,0.2565405151340423,-0.5023930826757709,-0.2982045862139487,0.0536160971676804,0.5863932574667582,0.3382182472450717,0.0868537839375696,-0.1495117445786794,0.0073304554493826,-2.777627381411466,0.3770336960301255,-0.0568367026060727,0.800370176633199,0.6158015307258158,0.0673833215140942,-0.3893630771801389,-0.265981502322308,-0.0695735908010055,0.8604547807148526,-0.7065427204794135,0.3214488939458365,0.0355466644426534,-0.2856372855603695,-0.0072693097360071,0.0222064968792895,238.5715484619141,-0.103267453282884,-0.0196739935038042,0.2613502113442671,2.95,0.06,0.07,-0.52,-0.66,-0.42,0.3,-0.21,0.15,1.18,5
1965-06-01,-3.0937889600717163e-06,-8.485256353879842e-05,5.999911266726331e-05,-3.866577363472364e-05,3.165915239013857e-05,9.14192847158508e-05,-1.00098847818716e-05,-8.375929731029303e-05,6.321782107012912e-05,-4.4725790287169225e-05,3.223366238484063e-05,9.940924737781246e-05,,,,,,,1027.0295464053645,1047.9245539654205,1075.7781266046802,1332.8989765431622,1076.745396985884,1028.9872413609214,40.77587314680511,51.91371336501033,19.233943197721374,34.892639017993616,21.98681211210991,55.42856004503039,31.075660300342157,41.57174201990595,21.59386812216593,36.93389654159546,70.3064451154494,68.72372250376698,68.99858121897516,46.14068135875062,26.394261498625923,39.0523027843086,66.1538150185033,46.1066607233614,60.99320226067665,24.554611624103703,71.87015657314706,80.77174794798529,59.35490038967872,46.4014622507986,0.8099836923197609,-8.520335425733187,-3.260596391659428,-2.8206093773723078,-13.089171860569207,-9.576251191912958,2.1221648789916268,-7.118131970399179,-1.7466225953781664,-1.4822775623976547,-11.793491945094225,-8.157115072574255,29.066236353552764,21.674456159007097,29.341018142331627,25.99875460315853,14.811750653486229,20.98315256946492,3.909951905918541e-06,7.789373738685305e-06,-4.888132411542603e-06,-6.020133230634702e-06,-0.0002064416828663,0.0004868093916835,6.403832638722732e-06,0.0056128988944692,-7.63829152037342e-06,-3.908777996132683e-05,5.757424549388123e-05,2.464837798138163e-06,8.976236309374118,10.079835816880562,19.196078084817337,7.727287730321014,28.642120632326307,16.360544216246662,42.29769544227369,10.949276691714896,19.946553202137803,30.88818303012313,13.770072196590291,26.368586062371467,6.11341793212497,17.54347385121272,13.52029730433538,4.463616428997045,-11.108863815931372,28.44656354491951,38.8481884788757,17.864758376099186,-16.40208828765567,23.87323314701703,9.348649954402966,4.950004077453331,-0.0679101431207371,1.0147585667724477,-0.6432226610885299,-3.086369774772485,3.205843616360319,-3.461796616567696,-6.47645157092212,-2.085468480702787,-0.1298077561694333,5.55722808646818,2.090116252401894,-7.949026065689644,0.1048335338077843,-0.3403121574157817,-0.762055991986476,1.2173297323382464,-0.396306213604035,0.6630023745569449,-0.2451838736516842,-0.2192789249603739,1.0563917498770958,-0.623954557139298,0.4442678141054277,-0.5303705344588792,0.1269554042294152,-0.2601075393678903,0.4928117990493774,0.0045114670830147,-0.2968840732537641,-1.448166062091959,-0.2708554267883301,0.1769151348971004,0.0480160498827739,-0.0430633194721322,0.979179400822212,-0.2233690026411441,-0.0918401063807736,0.1999611945677015,-0.5463226483418392,-0.491423302767228,0.0874828906115437,1.0371678486102966,0.3620132329357657,0.0421703280486047,-0.1700171058649545,0.0379897608946381,-2.646687626838684,0.282663648778742,-0.0486929038874903,1.1916336748335097,0.5794317406766555,0.067928449755248,-0.3143952684155826,-0.4945982651538159,-0.0702914832252333,0.8823568597802975,-0.6031102015952433,0.2886878160819464,0.0358328042845627,-0.2170182646266998,0.0045714401121079,0.0229372082070269,171.50462865829468,-0.0831054336151237,-0.0497425445626494,-0.0305310430887498,1.33,0.36,-1.56,0.6,-0.8,1.89,-0.9,-0.28,-0.17,1.19,6
1965-07-01,-4.130223436321455e-06,-8.590568033523674e-05,6.256035344947117e-05,-3.641409837958539e-05,3.255590438433588e-05,8.676744134950839e-05,-1.0077169546514974e-05,-8.401262218858694e-05,6.441752502313168e-05,-4.41115876649858e-05,3.2507222217130214e-05,9.832215546272776e-05,,,,,,,1026.5965682509975,1049.1823717932646,1075.519952191993,1330.6494583784552,1075.7250818403083,1027.9279376866466,41.72473215589336,54.66525116234026,19.490982151264667,26.8981937542712,19.005863210542604,55.251575449787126,24.728748824570204,44.81162772273386,19.593133291693675,49.552348256111145,66.32933585059564,70.38672666779088,66.05419486201801,42.77814262924295,25.34146276549051,38.88345895505189,69.39834996273643,54.26016191695626,58.72811375048337,27.69697267715245,72.50379647405579,79.82237413785184,69.4013531509912,44.08190907541332,0.9702349792638194,-8.980489150523074,-0.8609166179878125,-3.392915284506367,-13.448636353169915,-6.053292796296893,2.1017704416386165,-7.771324204651835,0.4446314080901768,-2.238829709669025,-12.33133123826611,-4.829526307447901,28.763353117512224,20.719393787768063,31.206348898330173,24.95408821784729,13.994980844108325,24.005232037238358,3.214510332116249e-06,1.1733156046527694e-05,-8.564063754440891e-06,-2.340213450320978e-06,-0.0001996681721021,0.0003213256180364,7.347009390962772e-06,0.0054191306844586,-8.497576718028585e-06,-4.556344980041364e-05,6.538374301661471e-05,2.789012952965689e-06,10.064214696158563,10.102120394156197,19.23511637156887,7.951871014115758,32.12621906563823,10.01639590007049,46.67156886980856,12.117640876269803,12.932981152559467,31.041769145529027,13.36676892505073,27.095742089739574,5.2785369475877735,17.869700557185915,5.5077000815202455,2.2084082888692804,-13.976132986837444,32.01674007153979,40.96162853923595,5.161208412124121,-19.68611685523563,23.786156921017152,7.660093616316926,1.943272126843935,0.3694261388624617,0.4551818287908665,0.5530409842935938,-3.479081752253392,3.555573438071264,-3.1192734385190626,-6.211431538064024,-0.7478491578204888,-0.657073452688915,6.537152997051755,1.937606228150983,-8.854047148814583,0.2379288601277265,-0.5463880788865181,-0.9890176287484824,1.4343962137279591,-0.302634125207555,0.672251168265028,0.1154092734382636,-0.3050948751686644,0.554544740578733,-1.183051323068553,0.7138727632628816,-0.5376130590618545,0.1322220639887031,-0.2751989593924231,0.4843735181052109,0.0278077646688792,-0.360724249401608,-1.8221740064949823,-0.2062079369683157,0.1669665028737268,0.1151854150499766,-0.0463947948216694,0.9811727651234332,-0.2714210073113322,-0.0964379049558889,0.2430920498762032,-0.6018428848339962,-0.5663209667011183,0.0799082859336393,1.220853881138127,0.488710507845423,0.0067565558543191,-0.183815884066152,0.0473240266801786,-1.348711143840443,0.329074203365981,-0.052155513276937,1.2345276938544378,0.5557347496016687,0.0776799045355876,-0.2987237326030074,-0.5990893007761025,-0.0856519074735532,1.1842735588844189,-1.239413564855402,0.1892019129572419,0.0530045651002201,-0.1631631486354366,0.0017200087526911,0.0233179977412945,185.3256702423096,-0.1071661921604624,-0.0516227673167589,-0.2654850875076495,0.37,0.61,0.75,0.35,-0.47,-1.26,-3.0,-0.2,-0.39,2.64,7
