,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6
1965-01-01,1.4302714e-06,7.1733302e-06,6.341041e-05,-2.491157e-06,-9.948155e-06,1.2377968e-05
1965-02-01,-4.1827298e-07,-2.4777546e-07,8.030755e-05,-1.2855577e-05,-5.613947e-06,4.310772e-06
1965-03-01,-1.1092343e-06,3.3550168e-07,8.8222194e-05,-5.8898724e-05,-1.1168559e-05,5.2619653e-06
1965-04-01,-3.2090393e-06,4.364614e-06,8.3475206e-05,-7.8120014e-05,-1.26132945e-05,4.73253e-06
1965-05-01,-8.718787e-06,-7.5029675e-07,4.889124e-05,-4.6613983e-05,-1.6256541e-05,6.6618377e-06
1965-06-01,-1.1706965e-05,-9.656578e-07,6.5124346e-05,-2.661199e-05,-1.7611543e-05,1.577894e-05
1965-07-01,-1.0450676e-05,-6.9645466e-07,2.2289169e-06,-2.0895859e-05,-6.502327e-06,1.7124963e-05
1965-08-01,-7.7586155e-06,2.3007015e-06,1.4755955e-05,-2.7904178e-05,-5.820337e-06,1.4370096e-05
1965-09-01,-2.7154965e-06,1.026463e-06,3.072883e-05,-3.960565e-05,7.334849e-06,1.2889461e-05
1965-10-01,-6.690767e-06,-7.143972e-07,7.652072e-05,-5.636819e-05,6.1862374e-06,8.555253e-06
1965-11-01,-4.810863e-07,2.2019958e-06,6.913551e-05,-5.664638e-05,-1.988643e-06,7.0746173e-06
1965-12-01,-2.2983295e-07,-2.029119e-07,8.552117e-05,-5.9733262e-05,-1.3963872e-06,6.042661e-06
1966-01-01,1.1166776e-07,-8.385541e-08,7.452456e-05,-5.7095174e-05,-1.7786857e-05,8.16071e-06
1966-02-01,2.8164068e-06,5.366357e-06,7.3269955e-05,-4.1184474e-05,-1.4731806e-05,1.0955064e-05
1966-03-01,7.7156074e-07,1.1463126e-06,6.770569e-05,-5.7657307e-05,-1.4862155e-05,7.0771857e-06
1966-04-01,2.1565174e-06,2.8001123e-06,6.301313e-05,-4.4019558e-05,-7.8396115e-06,4.54353e-06
1966-05-01,-4.7845606e-06,1.7980565e-06,6.356712e-05,-1.122868e-05,-1.3534223e-05,9.529373e-06
1966-06-01,-1.120424e-05,-2.6093621e-06,2.8552156e-05,-3.9848397e-05,-1.6434486e-05,9.488638e-06
1966-07-01,-1.0006661e-05,-1.0533222e-06,1.9615114e-05,-2.6292117e-05,-1.1546406e-05,1.3863471e-05
1966-08-01,-9.542291e-06,5.353031e-07,1.7928725e-05,-4.1103005e-05,-8.458766e-06,1.4034555e-05
