,zgu500GLB_cluster1,zgu500GLB_cluster2,zgu500GLB_cluster3,zgu500GLB_cluster4,zgu500GLB_cluster5,zgu500GLB_cluster6,zgu500GLB_cluster7,zgu500GLB_cluster8,zgu500GLB_cluster9,zgu500GLB_cluster10,zgu500GLB_cluster11,zgu500GLB_cluster12,zgu500GLB_cluster13,zgu500GLB_cluster14,zgu500GLB_cluster15,zgu500GLB_cluster16,zgu500GLB_cluster17,zgu500GLB_cluster18
1980-01-01,-0.3450653,0.23837204,-0.5429203,-0.46661454,-0.053346634,0.020933533,1.7276891,0.7083626,-0.055710603,0.12830201,0.006415176,0.10601807,0.084746934,-0.37646523,0.039503478,-1.2003,0.14450912,0.16577987
1980-02-01,-0.6995842,0.11310806,-0.9035171,-0.43420142,-0.015531158,0.04119148,1.70473,0.828899,-0.20697097,0.1630787,-0.061449815,0.16105309,0.16307907,-0.48856086,0.062125396,-1.5085628,0.06752777,0.010804367
1980-03-01,0.6962078,0.24512482,-0.46864033,-0.26977196,0.034439087,0.120536424,1.6365273,0.6293556,0.26842117,0.0030387877,0.018907929,-0.11918602,-0.029711913,-0.1276268,-0.017557526,-0.8545593,0.4399414,-0.35857087
1980-04-01,0.20156936,0.24039765,-0.020258332,-0.2245285,-0.18299942,-0.15058593,1.2073902,0.33020896,0.047269057,0.017557144,-0.14518356,-0.09791412,0.14484635,-0.21845093,0.079006955,-0.29576987,0.06786499,-0.13370438
1980-05-01,0.576009,0.04693184,-0.22790508,-0.10736885,-0.089473724,-0.19954339,0.22182731,0.43183804,-0.04321747,0.10838165,-0.08339615,0.07225418,0.10264168,0.031062316,0.19549179,-0.44433022,0.2221653,-0.11310844
1980-06-01,-0.3470909,0.17422028,0.01620636,0.29239386,0.114458844,-0.094200514,0.4139431,0.42069608,0.7235565,0.27416116,-0.033425905,-0.012154388,0.115134045,0.1617279,0.030049896,-0.25660402,0.09926529,-0.033425905
1980-07-01,-0.33831215,-0.190765,-0.02836151,0.04085388,0.001688385,-0.050307848,0.05132103,0.49126205,0.36971283,0.14687195,0.018232727,0.17590865,0.27483672,0.20528373,-0.120536424,0.0074279783,-0.13944396,-0.37984163
1980-08-01,0.08238335,0.01215477,-0.10331688,0.15700111,-0.10601807,-0.04726944,0.17388305,0.1607151,0.4460186,0.15058632,0.053347014,-0.014180755,-0.07292938,0.13336639,-0.29880866,-0.05199585,0.024647523,-0.13100319
1980-09-01,-0.25120202,0.08440857,-0.057398222,-0.22554168,-0.27652472,-0.324469,0.79682386,0.50206643,-0.038152695,0.094200894,-0.06854095,0.010466767,0.22790489,0.017219543,0.048619844,-0.1627411,-0.064826205,-0.05098305
1980-10-01,0.0317379,0.073942564,-0.27753752,-0.64691275,-0.2218277,-0.20427056,0.38659438,0.41056672,0.11986122,0.1012909,0.029374694,0.1566635,0.046593856,-0.017557526,-0.064826205,-0.61213607,0.014518356,-0.020258332
