,zgv500GLB_cluster1,zgv500GLB_cluster2,zgv500GLB_cluster3,zgv500GLB_cluster4,zgv500GLB_cluster5,zgv500GLB_cluster6,zgv500GLB_cluster7,zgv500GLB_cluster8,zgv500GLB_cluster9,zgv500GLB_cluster10,zgv500GLB_cluster11,zgv500GLB_cluster12,zgv500GLB_cluster13,zgv500GLB_cluster14,zgv500GLB_cluster15,zgv500GLB_cluster16,zgv500GLB_cluster17,zgv500GLB_cluster18
1980-01-01,-0.023310447,0.30384427,-0.22704105,-0.104290664,-0.010914141,0.040287994,0.4543516,-0.09364601,-0.12962227,0.2572234,-0.19227752,-0.029239107,-0.16559854,-0.05686133,0.49571747,-0.07060506,-0.84672165,-0.086369894
1980-02-01,-0.23391286,0.2484651,0.028969621,0.05147162,-0.06508062,0.5504229,-0.0009431839,-0.018324982,0.3991072,-0.07222197,0.26261312,0.43966466,-0.040692233,0.01643858,-0.31435418,-0.8468565,-0.1855404,0.52643883
1980-03-01,-0.07707268,-0.46917328,-0.04864204,-0.047968317,0.0152259115,0.02708323,0.27285352,-0.14646506,-0.041365933,0.03894057,-0.52024066,0.23606881,0.12261565,0.070739806,0.8448353,-0.10186534,0.05942135,0.2826897
1980-04-01,0.058478236,0.12517576,-0.052684307,-0.15050736,0.078554854,0.5528482,1.2291209,-0.14552183,0.12773585,-0.10806346,0.3293106,0.1707187,-0.24563551,-0.027217984,0.24765663,-1.1414034,-0.08771734,-0.017920732
1980-05-01,0.06346371,-0.31880066,-0.08327083,-0.024792576,0.16276892,-0.12126827,1.2832873,-0.22192088,0.18742676,-0.0024253726,0.1234241,0.3190702,-0.40665278,0.08098023,1.4498289,-0.65377027,-0.32499886,-0.103617094
1980-06-01,-0.060768843,-0.45502535,-0.13123918,-0.13986269,0.018459713,-0.08717837,0.65889066,-0.56228036,0.42160922,0.0012126684,0.048911475,0.080710724,-0.20925507,0.09485872,0.07491684,-0.40234098,0.5267083,0.71912056
1980-07-01,0.116417505,-0.2690807,-0.14147958,-0.1901216,0.29050475,0.31812698,0.876365,-0.7215459,0.6768114,-0.0132047655,-0.040153265,0.09741881,0.043387078,-0.06319423,-0.42834625,-0.20575175,0.75738746,-0.20548229
1980-08-01,-0.054301213,0.39075318,-0.24711767,-0.26948494,0.16398159,0.032068707,0.5091918,-0.59354055,0.51431197,-0.05793927,-0.16074777,0.11965132,-0.15657075,0.053762246,-0.19093008,-0.103751704,-0.11224051,0.40934762
1980-09-01,-0.106716014,-0.23162231,-0.095801905,-0.14767773,0.1608825,0.37633577,0.6343676,-0.30829078,0.3842855,0.034089852,-0.5046105,0.24038057,-0.43198436,0.01387847,0.24630925,-0.39775977,0.3925048,1.0345527
1980-10-01,-0.057400297,0.24873462,-0.079093836,-0.10819821,0.072760925,0.34372798,0.82974416,-0.07262619,-0.11520481,0.030721283,0.08650465,0.5002988,-0.26369104,-0.03422459,-0.13986269,-0.90061873,0.4352182,0.22784948
