,wGLB_cluster1,wGLB_cluster2,wGLB_cluster3,wGLB_cluster4,wGLB_cluster5,wGLB_cluster6,wGLB_cluster7,wGLB_cluster8,wGLB_cluster9,wGLB_cluster10,wGLB_cluster11,wGLB_cluster12,wGLB_cluster13,wGLB_cluster14,wGLB_cluster15,wGLB_cluster16,wGLB_cluster17,wGLB_cluster18
1980-01-01,0.03174424,0.038698137,-0.026295722,0.039379895,0.012564242,-0.23932093,0.4281613,0.021472514,0.028880894,-0.052565932,0.028517306,-0.19609779,0.3768934,0.21363616,-0.04052162,-0.037021935,0.05315131,0.29771912
1980-02-01,0.026335716,0.024744928,-0.031840622,0.8740282,0.003156066,-0.20977837,0.51783466,0.037198305,-0.010706246,-0.04302138,0.021699786,-0.22304982,0.29694647,0.22127181,-0.09942514,-0.07933611,-0.029295385,0.23858833
1980-03-01,0.021972477,0.045015752,-0.03006804,0.6162344,0.02469951,-0.15264732,0.49274608,-0.011433482,0.018927276,-0.075972795,0.027653754,-0.21800488,0.26126802,0.14823323,-0.03747648,-0.061701417,0.059423447,0.22640765
1980-04-01,0.0040650964,0.027881026,-0.04056704,1.9042034,0.013109684,-0.25931913,0.22922558,-0.044294,0.016063929,-0.029340863,0.020699859,-0.078154445,0.07664913,0.005292237,0.009973586,-0.097925305,-0.2754994,-0.10683352
1980-05-01,-0.064882934,0.027881026,-0.025841177,2.385067,0.0072466135,-0.26090986,0.023017824,-0.04215783,0.031926095,-0.009115517,0.045242965,-0.02974993,0.013018787,-0.17814499,-0.0009344816,-0.049384415,-0.1815992,-0.08965331
1980-06-01,-0.065292,-0.004297793,-0.007570207,1.8650253,-0.037567377,-0.2180503,-0.053338587,-0.044703066,0.021972477,0.0058376193,0.050560653,-0.062292278,-0.030886173,-0.24009365,0.03828913,-0.044294,-0.33553916,0.24658757
1980-07-01,-0.054247618,-0.00011634827,-0.003843248,1.7858055,-0.014478624,-0.30940527,-0.12233204,-0.0789271,0.032289684,0.00861007,0.032789648,-0.067337275,-0.08110869,-0.2743631,0.026926517,-0.06342852,-0.4938423,0.99938
1980-08-01,-0.05879259,0.0087919235,-0.021023452,1.6026411,-0.036385655,-0.24550217,-0.11778706,-0.051202416,0.021245241,-7.092953e-05,0.04069799,-0.04488486,-0.077563584,-0.27327234,0.014564097,-0.07310945,-0.32104057,0.54969525
1980-09-01,-0.020250797,0.0074738264,-0.032476902,0.8357591,0.012291551,-0.2039153,-0.07888162,-0.060519755,0.023926854,-0.016887486,0.0373801,-0.07438207,-0.06692821,-0.18228096,-0.0044341087,-0.069791555,-0.4063961,0.36153126
1980-10-01,-0.06633735,-0.0016616583,-0.032931447,0.80867076,0.019881785,-0.28531665,0.010200858,-0.034567654,0.014564097,-0.05202055,0.045015752,-0.037021935,0.07469475,-0.06656462,-0.014887691,-0.05606562,-0.30576926,0.72013366
