,ssta30GLB_cluster1,ssta30GLB_cluster2,ssta30GLB_cluster3,ssta30GLB_cluster4,ssta30GLB_cluster5,ssta30GLB_cluster6,ssta30GLB_cluster7,ssta30GLB_cluster8,ssta30GLB_cluster9,ssta30GLB_cluster10,ssta30GLB_cluster11,ssta30GLB_cluster12,ssta30GLB_cluster13,ssta30GLB_cluster14,ssta30GLB_cluster15,ssta30GLB_cluster16,ssta30GLB_cluster17,ssta30GLB_cluster18
1980-01-01,-1.224659627971604,-14.833037512642996,-3.1712433153932746,-10.99453777880282,-0.1939639258891978,2.843750489724649,-7.079950357094789,-7.286726293109712,-18.093312127249582,-2.1929598680817253,-4.05761113196063,3.0410093069076543,-5.159264300242964,-62.001171818485965,0.939765431309171,-10.434385600842928,1.1768879185260182,-9.501249765612416
1980-02-01,-1.892282457455345,-16.290238698323567,-2.4169104343110863,-9.886815419068208,0.5818741372291077,3.0081054111858747,-8.354012477092253,-6.481679848262242,-19.538718632289342,-1.1773901410622172,-5.019624101603689,2.935754760451939,-4.343930353601295,-68.02186612729673,0.6402132772004028,-9.838055058529504,1.5376720210196269,-10.624680076677775
1980-03-01,-2.1688524018163267,-16.801929928007578,-2.543710307641463,-10.684020132631868,0.6527479024643593,3.0517625737118648,-8.512588953360533,-7.049129406611125,-20.297249385288787,-1.045481019681043,-5.248434119429326,2.9421023959698887,-4.709371457616967,-69.0906595300745,0.6024911355122962,-10.376292780825967,1.6919062590934861,-10.813601975588455
1980-04-01,-1.3651065074879192,-16.269543057396298,-3.570107031952251,-12.116705404745566,-0.08123661609406167,2.864312266444301,-7.9691446744478664,-8.377741632007417,-20.593626839773997,-2.4619205753401956,-4.476499996302318,3.051739879276442,-5.937269222305482,-63.73998853895399,1.1564189696129952,-11.671592310855264,1.3591593420001824,-10.303794231611429
1980-05-01,-0.31991656707680743,-15.447730563935778,-4.937941919673573,-13.566607397955817,-1.2784760556322463,2.4318784206837147,-6.554912603818453,-9.698491437094553,-19.109134674072266,-4.27086081835303,-3.137763731318749,3.3724853785141655,-7.428605297961868,-49.18755778559932,1.8582351941795445,-12.769450137489722,0.7675400817058456,-8.305346105516572
1980-06-01,1.3801811311555947,-12.696492331368582,-6.072892384095625,-15.108537029575658,-2.3704214806252337,1.5191976730529968,-4.114293746459178,-11.099171070825486,-15.088575908115933,-5.671395759771366,-1.0698387959252107,3.3934375514154853,-8.683748704841339,-31.013379273591216,2.4899406894169385,-13.852007012618216,-0.081088609049018,-4.724585149706025
1980-07-01,2.6112594293511435,-9.08544585818336,-6.969068808989092,-15.67213148684115,-3.32631009690305,0.9997195309704846,-1.454768556719407,-11.756281625656856,-10.570519311087473,-6.570801876559115,0.7583408999296786,3.4532424159671953,-9.482081826910916,-14.660150916488082,2.7580898833335508,-14.258833433452406,-0.7127947160895441,-1.4930074976891587
1980-08-01,3.391094829725183,-5.774819964454287,-7.526521249250933,-16.37330506298993,-3.744643393983232,0.6685314098703073,-0.1096696043625856,-12.408295131865001,-7.152754238673619,-7.20300273139878,1.8555692368489833,3.45875532730766,-10.166753631040274,-7.256883603555185,2.851166433960427,-14.946063192267168,-1.0680836690983302,-0.013874904204582431
1980-09-01,3.4346260195193086,-6.737820988609677,-7.8286720947785815,-16.60110886032517,-3.8766232957231237,0.9432554692477435,-0.2772624293963114,-12.516173862275624,-7.883501734052386,-7.511899730946758,1.827922298864353,3.5141238440638007,-10.387520043246719,-13.443998937253598,2.9527053881540857,-15.039199026007402,-0.9305582394902135,-0.7289842231986449
1980-10-01,2.776635833408522,-8.481153760637556,-7.355471361767162,-15.789073222392314,-3.5273384540639023,1.5154387678827967,-1.4370134243598351,-11.81622346242269,-11.355695724487305,-6.768354094854676,0.9088414578350045,3.4811987565911338,-9.782118969653027,-25.0679369325991,2.745994478084962,-14.278467077957957,-0.6143534687203421,-2.7042971443884154
1980-11-01,1.6195438737454624,-11.237090882800874,-6.41815797849135,-14.705244914905446,-2.6148373015383455,2.2249324185712203,-3.455047118358123,-10.650098323822021,-14.461014611380442,-5.652210618009661,-0.5890975883401977,3.530900789343793,-8.70151950652341,-41.23092933937355,2.210718135494009,-13.425891273900083,-0.011754185486007745,-5.308185164461431
1980-12-01,0.1942683561988499,-13.533777509416852,-4.574755646965721,-12.447159354751175,-1.3117199375274333,2.748875825612753,-5.549859847777929,-8.608153888157435,-16.65316445486886,-3.450354078028462,-2.458645449094246,3.364170841548754,-6.555830426962979,-55.71696316754376,1.461935649998012,-11.83526591250771,0.5052998242243915,-7.837938033428389
1981-01-01,-0.9323744443447695,-15.324736549740745,-2.9020845890045166,-10.481339209788555,-0.10065691268190424,2.929341435074448,-7.032492221930088,-6.872963621502831,-18.3607850755964,-1.5335094810712455,-3.745345542767297,3.1136868570161904,-4.822008293795299,-67.94167977792245,0.8318498920241688,-10.53832305105109,0.9251811974485156,-9.768885189724951
1981-02-01,-1.6972403163495273,-16.620486123221262,-2.3153712803667243,-9.639415225467166,0.6458546760234427,3.0491206023070188,-8.062959023011036,-6.153774829137893,-19.599499021257675,-0.635989183689108,-4.629326012968286,2.9233025986215346,-4.196181785629457,-72.85520059091073,0.6038096285503329,-9.985728012888055,1.3669778028844108,-10.648943714259826
1981-03-01,-1.8163853883743288,-17.222534815470375,-2.559629150412299,-10.439218701543036,0.6095566806641031,3.0986697108179957,-8.485081868293957,-6.759022814886911,-20.67920276096889,-1.3119488954544067,-4.96418490731643,2.8936947428661846,-4.592534720179547,-73.52946246111834,0.7371560687023871,-10.464917233115749,1.5033722343579146,-10.988250221173788
1981-04-01,-1.3607170011686243,-17.268586385817756,-3.679658066142689,-11.827017165519097,-0.2889187158422267,2.9098687587199628,-8.230113677489452,-8.038189581462316,-20.329288755144393,-2.618937622202505,-4.393626137013816,3.2229499194933022,-5.878896023853716,-67.10168344003182,1.2151779715948128,-11.707758652536493,1.2557475079952831,-10.152114789510511
1981-05-01,-0.20328909158706668,-15.73446273803711,-4.993233626539057,-13.555759352606696,-1.3442681190815378,2.4153696166144476,-6.74897279494848,-9.691413527443295,-18.798322677612305,-4.252849002875904,-3.1952183670792844,3.451371711233388,-7.467066523540451,-51.52814653184679,1.9193730281509516,-12.726622129741468,0.6979728196288498,-8.283364404108106
