,sstGLB_cluster1,sstGLB_cluster2,sstGLB_cluster3,sstGLB_cluster4,sstGLB_cluster5,sstGLB_cluster6,sstGLB_cluster7,sstGLB_cluster8,sstGLB_cluster9,sstGLB_cluster10,sstGLB_cluster11,sstGLB_cluster12,sstGLB_cluster13,sstGLB_cluster14,sstGLB_cluster15,sstGLB_cluster16,sstGLB_cluster17,sstGLB_cluster18
1983-11-01,300.10846,292.0148,292.18845,287.4025,297.07037,300.47644,294.91785,289.9433,286.69833,294.62604,297.94238,302.3213,291.4862,288.37772,301.17484,285.4747,299.22678,292.29697
1983-12-01,299.06424,290.01276,294.64822,288.5793,298.40735,301.0451,293.2558,291.3251,285.39752,296.3175,296.30786,301.64075,293.21,284.4657,300.54108,287.31857,299.7033,290.1748
1984-01-01,298.15662,289.07385,296.65793,289.81876,300.20865,301.22427,292.30734,292.30338,285.1029,298.26303,295.10278,301.91275,295.1899,281.92535,300.17352,288.47202,300.55414,288.97882
1984-02-01,297.6894,288.19037,297.53793,290.59927,301.09857,301.7128,291.5946,292.94336,284.89603,299.30438,294.26932,301.4772,295.6804,279.4333,300.06216,289.4149,301.29654,288.19037
1984-03-01,297.5221,288.1508,297.44388,290.38892,300.79617,302.24734,291.42734,293.1032,284.8881,298.90942,294.55637,301.58957,295.35968,279.63623,300.28488,288.56207,301.4683,288.18097
1984-04-01,298.10562,288.99417,296.34015,290.19244,299.67807,302.3869,292.15738,292.54987,285.07617,298.19077,295.0043,302.35275,294.53558,282.303,300.0275,287.85974,301.14362,288.71304
1984-05-01,298.64215,290.0593,295.1706,288.37302,298.6481,301.94888,293.0849,290.8601,286.0898,296.87372,295.95013,302.14835,293.4492,287.2361,300.65707,286.9451,300.272,291.15314
1984-06-01,299.34796,291.18332,293.65112,287.102,297.7542,301.0466,295.12854,289.85388,288.16367,295.86353,297.37164,301.61877,291.97324,292.6548,300.91544,286.44373,299.57858,293.76892
1984-07-01,299.50287,293.50858,292.44147,286.74316,297.0613,300.0478,297.12317,289.10553,290.81854,294.96173,298.17395,301.16095,291.02148,297.1875,300.88376,284.8896,298.3135,296.13773
1984-08-01,300.31506,294.82166,291.9782,286.43777,296.40845,299.6058,298.2155,288.90012,292.5474,294.6138,299.1381,301.70093,290.47406,299.41922,300.6254,284.4466,297.9636,297.70374
1984-09-01,300.9105,295.38837,292.02573,286.80502,295.8645,300.0671,298.62732,288.5873,292.64786,294.49945,299.61472,301.80734,290.36963,297.5775,300.5972,284.06796,297.74084,297.40182
1984-10-01,300.67538,294.1421,291.32587,286.52985,296.05508,300.14136,297.52902,288.8754,291.20953,294.5143,299.2341,302.01025,290.40475,292.97504,300.62442,284.39316,298.43823,296.39313
1984-11-01,299.64047,292.0391,293.28635,287.70038,296.96774,300.71994,295.6982,290.40427,288.30865,295.27057,298.25412,302.1914,291.801,288.4121,300.2245,285.9864,299.14255,293.10767
1984-12-01,298.51495,290.4028,294.7766,289.4114,297.60672,301.0862,294.1916,292.42712,287.0119,296.43668,297.0989,301.5658,293.25516,284.25604,299.98148,287.26978,299.73352,290.99127
