,ssta20GLB_cluster1,ssta20GLB_cluster2,ssta20GLB_cluster3,ssta20GLB_cluster4,ssta20GLB_cluster5,ssta20GLB_cluster6,ssta20GLB_cluster7,ssta20GLB_cluster8,ssta20GLB_cluster9,ssta20GLB_cluster10,ssta20GLB_cluster11,ssta20GLB_cluster12,ssta20GLB_cluster13,ssta20GLB_cluster14,ssta20GLB_cluster15,ssta20GLB_cluster16,ssta20GLB_cluster17,ssta20GLB_cluster18
1981-12-01,-0.9689331,-9.027832,-6.470215,-11.116364,-2.6401672,1.4528503,-6.135956,-8.5971985,-13.96109,-3.7797852,-3.7311096,1.5456543,-7.6518555,-16.395172,0.5105896,-13.423309,-0.6966858,-9.24057
1982-01-01,-2.0610046,-10.555145,-4.280548,-9.201782,-2.120575,1.754242,-7.6701965,-6.4645386,-14.758423,-2.3959656,-4.9134216,1.4127808,-5.7445374,-18.578674,-0.008178711,-11.636139,-0.43426514,-10.505096
1982-02-01,-2.8622131,-11.063477,-3.91568,-8.378784,-1.7351685,1.693512,-8.389313,-6.1211853,-15.636749,-1.8953857,-5.386688,1.3310242,-5.336609,-20.051819,-0.08590698,-10.837677,-0.50097656,-11.709869
1982-03-01,-3.2828674,-11.456055,-4.4859924,-9.311615,-1.5379639,1.7961121,-8.946136,-6.519287,-16.193054,-2.4286804,-5.5654907,1.347992,-6.391632,-19.523132,0.22195435,-12.006836,-0.4970398,-12.082916
1982-04-01,-3.0056152,-11.671478,-5.7363586,-10.5564575,-1.9361267,1.513092,-9.086945,-7.9879456,-16.272308,-3.2118835,-5.661743,1.5050964,-7.597412,-18.210968,-0.01449585,-13.135498,-0.3574524,-11.193329
1982-05-01,-2.3622742,-10.616119,-6.308197,-11.98999,-2.5740662,0.53619385,-6.984131,-9.188141,-15.391174,-3.91391,-4.355011,1.6116638,-7.959961,-13.466522,0.001953125,-14.103394,-0.6178894,-9.2117
1982-06-01,-0.7680664,-8.40155,-7.4161987,-13.000336,-3.035675,-0.13119507,-4.1897583,-10.330688,-12.864655,-4.5627747,-1.7494202,1.8900757,-8.711456,-8.141174,0.5612488,-14.496399,-0.94381714,-5.406433
1982-07-01,0.65426636,-6.7829285,-7.890442,-12.779175,-3.2400818,-0.64450073,-1.8321533,-11.003723,-10.499023,-4.522339,-0.51434326,1.7287598,-9.350464,-3.1394348,1.2490845,-14.88855,-1.2803955,-2.0624695
1982-08-01,1.300354,-5.152008,-8.12561,-12.739929,-4.0565186,-1.0543823,-0.29934692,-11.408112,-8.301331,-5.1209717,0.1867981,1.4956055,-9.684235,-0.95877075,1.5151367,-15.180267,-2.0317383,-0.805542
1982-09-01,1.3157959,-5.114044,-8.427582,-13.257721,-4.3785095,-0.45562744,-0.9227905,-11.507294,-7.511322,-5.2437134,0.20626831,1.5235901,-9.734863,-3.0692139,1.4094238,-15.292511,-1.6743164,-1.8345337
1982-10-01,0.39996338,-6.4744873,-7.9830627,-13.449036,-3.895935,-0.2133789,-2.3257751,-11.661591,-9.820068,-5.1326294,-0.7701416,1.5830688,-9.57074,-6.7323303,0.89764404,-15.830811,-1.4606018,-3.6646118
1982-11-01,-0.9454346,-8.61145,-6.3143005,-12.834259,-3.181488,0.2772522,-4.740143,-10.130035,-12.164825,-4.9158936,-2.7198792,1.4413452,-8.329071,-11.3767395,0.66326904,-15.106354,-1.3935547,-7.304657
1982-12-01,-2.1740723,-9.970764,-3.8769226,-11.468842,-1.9597778,0.5887146,-6.034363,-9.095581,-14.754852,-4.4697266,-3.8694153,2.0176697,-5.9197083,-15.129852,0.1395874,-13.481598,-0.6895447,-9.617279
1983-01-01,-2.7216187,-10.967682,-1.8573303,-10.576996,-0.71377563,0.24407959,-7.438141,-7.833618,-15.753632,-3.3505554,-4.981262,1.5038757,-3.5309448,-17.608093,-0.28598022,-12.550598,0.016937256,-11.425873
1983-02-01,-3.60495,-11.705322,-2.9533386,-9.821899,-0.64404297,0.99676514,-8.344116,-7.5063477,-16.532776,-2.348999,-5.998657,0.9866333,-4.607666,-19.182098,-0.5201111,-11.24762,0.10498047,-12.437958
1983-03-01,-3.2552795,-12.002441,-4.2309875,-9.997467,-0.64019775,1.1564026,-8.906982,-7.66745,-17.22342,-3.0054321,-6.432251,0.9601135,-5.6248474,-19.910858,-0.53359985,-12.186188,0.26800537,-12.789551
1983-04-01,-3.2467957,-12.089935,-5.16687,-11.537201,-1.2061462,1.6631165,-8.6336975,-8.72052,-17.813477,-4.0966187,-6.26651,0.65267944,-6.9668274,-17.630707,-0.9051819,-13.6588745,-0.052459717,-11.997803
1983-05-01,-2.1380615,-11.489563,-5.973877,-12.636963,-2.1496277,1.3027344,-7.442505,-9.967865,-16.12793,-5.1341553,-5.2474976,1.0664062,-7.491211,-13.794037,-0.83148193,-14.1605835,-0.36749268,-8.968048
1983-06-01,-0.552948,-10.120026,-7.047241,-13.342834,-2.7334595,0.35235596,-5.403534,-11.067291,-13.668854,-5.522644,-2.8487244,1.5137634,-8.686615,-8.592072,0.2578125,-14.587189,-1.1601562,-6.0165405
1983-07-01,0.74884033,-7.309601,-7.8753357,-13.511139,-3.0580444,-0.46899414,-2.7257385,-11.101013,-11.501343,-5.80188,-0.8500366,1.3502808,-9.290436,-4.5488586,1.3386841,-15.07428,-1.4172058,-2.4493713
1983-08-01,1.0886841,-5.664154,-7.8417664,-13.54892,-3.9013062,-0.82125854,-1.0262451,-11.175018,-9.326324,-6.316223,-0.08383179,1.8840027,-9.297852,0.2755127,1.1856079,-15.233643,-1.7130737,-1.4588928
1983-09-01,1.289856,-4.715393,-8.527557,-13.336182,-4.006378,-0.6910095,-0.9741211,-11.450836,-8.7552185,-6.377411,0.35031128,2.0846863,-10.080597,-1.7863159,1.2464294,-15.820557,-1.8519287,-2.8001404
1983-10-01,0.86279297,-5.588562,-8.007355,-13.289612,-4.228943,-0.23300171,-3.0786133,-11.001526,-9.812134,-6.004303,-0.4741516,2.4066772,-9.723389,-6.461548,1.036438,-15.461426,-1.6292725,-4.8072205
1983-11-01,0.0993042,-7.9943542,-7.820709,-12.606659,-2.9387817,0.46728516,-5.0913086,-10.065857,-13.310822,-5.3831177,-2.0667725,2.3121338,-8.522949,-11.631439,1.1656799,-14.534454,-0.78237915,-7.7121887
1983-12-01,-0.9158325,-9.967316,-5.331848,-11.400757,-1.5727234,1.065033,-6.7242737,-8.654968,-14.58255,-3.6625671,-3.6722107,1.660675,-6.7700806,-15.514374,0.56100464,-12.661499,-0.27676392,-9.805267
1984-01-01,-1.8938599,-10.976624,-3.3925476,-10.23172,0.1581726,1.1737976,-7.7431335,-7.747101,-14.947571,-1.7874451,-4.947693,1.8622742,-4.860565,-18.125122,0.123046875,-11.578461,0.5036621,-11.071655
1984-02-01,-2.4325867,-11.93161,-2.5840454,-9.522705,0.976593,1.5908203,-8.527374,-7.1786194,-15.225952,-0.81759644,-5.852661,1.3552246,-4.4415894,-20.68869,-0.059814453,-10.707092,1.1745605,-11.93161
1984-03-01,-2.9171143,-12.288422,-2.9953308,-10.050293,0.3569641,1.808136,-9.011871,-7.3359985,-15.551117,-1.5297852,-5.882843,1.1503601,-5.079529,-20.802979,-0.1543274,-11.877136,1.0290833,-12.25824
1984-04-01,-2.5980225,-11.709473,-4.363495,-10.5112,-1.0255737,1.683258,-8.546265,-8.153778,-15.627472,-2.5128784,-5.699341,1.6491089,-6.1680603,-18.400635,-0.67614746,-12.843903,0.43997192,-11.990601
1984-05-01,-1.8571167,-10.439972,-5.3286743,-12.126251,-1.8511658,1.4496155,-7.4143677,-9.63916,-14.409454,-3.6255493,-4.5491333,1.6490784,-7.0500793,-13.263153,0.1578064,-13.554169,-0.2272644,-9.34613
1984-06-01,-0.61517334,-8.779816,-6.3120117,-12.861145,-2.2089233,1.0834656,-4.8345947,-10.109253,-11.799469,-4.0996094,-2.5914917,1.6556396,-7.9898987,-7.3083496,0.952301,-13.519409,-0.384552,-6.194214
1984-07-01,-0.10165405,-6.0959473,-7.1630554,-12.861359,-2.543213,0.44326782,-2.4813538,-10.498993,-8.78598,-4.6427917,-1.4305725,1.556427,-8.583038,-2.4170227,1.2792358,-14.714935,-1.2910156,-3.4667969
1984-08-01,0.8432617,-4.6501465,-7.4935913,-13.034027,-3.0633545,0.13400269,-1.2562866,-10.571686,-6.924408,-4.8580017,-0.33370972,2.229126,-8.997742,-0.052581787,1.153595,-15.0252075,-1.5082092,-1.7680664
1984-09-01,1.2173462,-4.304779,-7.6674194,-12.888123,-3.8286438,0.3739624,-1.0658264,-11.105835,-7.045288,-5.193695,-0.078430176,2.1141968,-9.323517,-2.115631,0.90405273,-15.625183,-1.952301,-2.2913208
1984-10-01,1.0205078,-5.512787,-8.32901,-13.1250305,-3.5997925,0.4864807,-2.1258545,-10.77948,-8.445343,-5.140564,-0.42077637,2.3553772,-9.250122,-6.67984,0.96954346,-15.261719,-1.2166443,-3.2617493
1984-11-01,-0.18292236,-7.7843018,-6.5370483,-12.123016,-2.8556519,0.8965454,-4.125183,-9.419128,-11.51474,-4.552826,-1.5692749,2.3680115,-8.0224,-11.411285,0.40109253,-13.837006,-0.68084717,-6.7157288
1984-12-01,-1.2754517,-9.387604,-5.013794,-10.378998,-2.1836853,1.2958069,-5.598816,-7.3632812,-12.778503,-3.3537292,-2.6914978,1.7753906,-6.535248,-15.534363,0.19107056,-12.52063,-0.056884766,-8.799133
1985-01-01,-2.0005798,-10.697784,-3.8101196,-9.54422,-0.9029846,1.4742432,-6.6058044,-5.9211426,-13.328613,-1.5377502,-3.8736267,1.4797974,-4.9692383,-19.158508,-0.4880371,-11.040619,0.61260986,-10.574768
1985-02-01,-2.4691162,-11.377045,-3.6584778,-9.058807,0.048797607,1.6268921,-8.21228,-6.0059814,-14.016968,-1.25,-5.000122,1.7342834,-5.002136,-20.697418,-0.34295654,-10.461945,0.868103,-11.417908
1985-03-01,-2.7433777,-11.684601,-3.8193054,-9.366364,-0.2295227,1.5290833,-8.331268,-6.6775513,-14.839813,-2.4015503,-4.8614807,1.8865356,-5.6328735,-20.45694,-0.19522095,-11.223785,0.41027832,-11.686615
1985-04-01,-2.8916626,-11.94632,-4.888733,-9.832275,-1.3987732,1.3192749,-8.201233,-7.8916626,-15.097992,-3.4961853,-5.128235,1.7281799,-6.6105347,-18.27185,0.14654541,-11.802124,-0.026367188,-11.033234
1985-05-01,-1.8222961,-11.230408,-6.0559387,-10.96521,-1.9836426,1.3631287,-6.4602966,-9.076538,-14.188446,-4.099701,-3.7861023,1.9918518,-7.686493,-13.956024,0.4147644,-12.505981,-0.057647705,-8.753845
1985-06-01,0.4229126,-8.516785,-6.291809,-11.759705,-2.0672607,0.79904175,-4.3385925,-9.883636,-11.642731,-4.40213,-1.3553467,2.3877258,-8.197144,-7.894623,1.297699,-13.149231,-0.16494751,-4.5448303
1985-07-01,1.0534668,-5.6018066,-7.0210876,-12.572662,-3.3717957,0.06677246,-1.7750244,-10.281647,-9.156799,-5.0784607,0.0385437,2.1399841,-8.866882,-2.3069458,1.6216736,-14.141174,-1.1216125,-2.5071106
1985-08-01,1.098053,-3.6679993,-7.5083923,-12.796783,-4.0401,-0.24609375,-0.60910034,-10.990295,-8.292908,-5.3817444,0.5500183,2.2395325,-9.078918,-0.11904907,1.6642456,-14.441437,-1.6578064,-1.2711182
1985-09-01,1.7324829,-3.29776,-8.329041,-12.5672,-3.8483276,0.13119507,-0.83078,-10.932648,-8.422821,-5.8423767,1.0019226,2.3168335,-9.549652,-1.5331116,1.1642761,-15.124939,-1.4342957,-2.1411743
1985-10-01,0.9577637,-5.080353,-8.561737,-12.559418,-3.037384,0.2675476,-3.3494873,-10.656128,-8.924774,-5.7453613,-0.8194885,2.348816,-9.843903,-6.9170837,1.065155,-14.856506,-0.84872437,-4.693634
