,zgu200GLB_cluster1,zgu200GLB_cluster2,zgu200GLB_cluster3,zgu200GLB_cluster4,zgu200GLB_cluster5,zgu200GLB_cluster6,zgu200GLB_cluster7,zgu200GLB_cluster8,zgu200GLB_cluster9,zgu200GLB_cluster10,zgu200GLB_cluster11,zgu200GLB_cluster12,zgu200GLB_cluster13,zgu200GLB_cluster14,zgu200GLB_cluster15,zgu200GLB_cluster16,zgu200GLB_cluster17,zgu200GLB_cluster18
1983-03-01,-0.9530176,-0.059868623,-1.4052861,-0.16171035,-0.47537002,0.023101807,0.9243851,-0.0068328856,-0.3019455,0.30845413,-0.41257247,-0.046528243,0.674173,0.75193727,-0.5440239,0.23817292,-0.1776537,-0.10021515
1983-04-01,-0.2131195,0.043600082,-0.18481179,0.36409265,-0.40834314,0.24305344,0.27656707,-0.41517562,0.098587796,0.24793434,0.39988366,-0.005531311,0.3673462,0.41550142,-0.3185402,0.6705936,0.21149254,0.7597458
1983-05-01,0.16268691,0.01887169,0.14967155,-0.026029587,0.03709259,-0.047829818,0.34945068,-0.14056091,0.07613754,0.09468345,0.2137701,0.45682374,0.2137703,0.1890419,-0.4948925,-0.0035793304,-0.2453312,0.47537002
1983-06-01,-0.23426819,0.12429275,-0.5199463,-0.12819672,-0.117134094,0.377433,0.2433792,-0.36376724,0.23784713,-0.07613754,-0.07874031,-0.28567734,-0.24175224,-0.06279717,-0.15780601,0.22060318,-0.306176,0.8186386
1983-07-01,-0.25248948,0.27721786,0.76690406,-0.194899,-0.24858475,0.01268959,-0.2202774,0.22678527,-0.059217833,-0.975794,0.5238506,0.014641571,0.06572533,0.043600082,-0.17862968,0.39305037,-0.3364357,-0.036441803
1983-08-01,-0.32179338,0.1216896,-0.6962986,-0.21800002,-0.069955446,0.44868964,-0.04685402,0.089803316,0.11778488,-0.9673338,0.81668645,0.05270996,0.2762417,-0.12982368,-0.3052002,0.26875764,-0.4285164,-0.23784752
1983-09-01,-0.367997,0.54272234,-0.14576721,-0.16789246,-0.26322633,0.3240715,-0.2814476,0.22808647,0.25444183,-0.40281218,-0.05075836,-0.053687286,-0.13698196,-0.10021515,0.005856705,0.10119095,-0.28990784,-0.5567133
1983-10-01,-0.3120327,0.053361513,0.23947449,0.05791626,-0.37222672,0.0741848,-0.23524475,0.3862179,0.37645683,0.38231355,-0.035790823,0.026680756,0.20465966,0.2580208,0.06247158,0.46886253,-0.49944764,0.012038803
1983-11-01,-0.35921174,-0.18416138,-0.027656937,0.043600082,-0.1893669,0.39207458,-0.028307343,0.052710343,-0.16951942,0.40183562,-0.537841,-0.048480608,-0.0497818,0.2388237,-0.13535538,0.4275402,-0.21116714,0.3966299
1983-12-01,-0.57916415,-0.053035736,-0.32830125,-0.19912834,-0.2498867,0.3504265,0.17537613,-0.28860626,-0.013340759,0.146418,-0.12331657,-0.14218788,0.28502694,0.49684486,-0.48122674,0.1571556,-0.281773,0.26810724
1984-01-01,-0.47916412,-0.022141267,-0.00830307,-0.12973785,0.06711731,0.06019821,-0.13942452,0.7549,-0.10863419,0.15776062,-0.8220173,-0.5327889,0.79883766,0.7860367,-0.3899048,0.14634399,-0.14772797,0.5954086
1984-02-01,-0.50545806,-0.27296752,0.22730026,0.016952515,-0.0726532,0.11970444,0.052241135,-0.27054596,0.092027284,0.34665832,-0.5359024,-0.24079284,0.52448577,0.117974855,-0.44629747,0.24598236,-0.22384071,0.9230396
1984-03-01,-0.0795723,-0.29337996,-0.58537596,0.4445675,0.13458137,0.13804093,0.09998436,-0.05189495,-0.0017295837,-0.58537596,-0.7839611,0.27020034,0.41031724,0.4988842,-0.20342866,-0.0598526,0.26362687,0.21103974
1984-04-01,-0.291996,0.20896378,0.019374084,0.145998,-0.2743519,-0.15879898,0.053970717,-0.004497528,0.18647614,0.16191253,-0.25912935,-0.04359169,0.08303223,0.2805794,-0.25290146,0.15672302,-0.11036339,0.8531542
