,r900GLB_cluster1,r900GLB_cluster2,r900GLB_cluster3,r900GLB_cluster4,r900GLB_cluster5,r900GLB_cluster6,r900GLB_cluster7,r900GLB_cluster8,r900GLB_cluster9,r900GLB_cluster10,r900GLB_cluster11,r900GLB_cluster12,r900GLB_cluster13,r900GLB_cluster14,r900GLB_cluster15,r900GLB_cluster16,r900GLB_cluster17,r900GLB_cluster18
1981-03-01,83.70013,32.64955,75.65285,73.87995,15.482594,59.711742,31.860672,61.6114,23.42813,48.395527,17.250492,31.410357,58.112297,79.29539,74.343605,29.063723,75.91637,64.980415
1981-04-01,86.795616,25.624659,71.15472,73.09607,15.624359,74.99406,20.888027,58.31744,49.11436,44.607887,14.335125,21.14487,46.91783,77.71596,68.818085,29.193813,57.668655,57.905487
1981-05-01,87.14919,25.889845,79.68233,75.4277,14.630333,83.264824,31.210218,50.05335,70.08397,58.432518,23.182957,16.483292,63.24754,74.90066,63.906334,45.97384,51.814575,57.807083
1981-06-01,91.10862,27.684427,78.16627,75.27258,15.716087,83.92194,56.821396,50.253487,73.25452,77.5475,37.24609,16.965294,75.87968,76.07648,66.08285,39.424274,44.87307,67.190285
1981-07-01,84.780876,37.05262,81.10665,73.74486,28.753506,85.49971,82.71611,48.95258,82.05398,80.83313,61.386246,21.309986,69.59363,64.53677,56.74968,44.969803,42.786617,69.76708
1981-08-01,84.98936,33.331696,81.750435,77.00546,33.670265,86.20687,84.22215,48.07697,83.13139,84.225494,54.124516,19.00338,65.45241,66.70495,53.73758,27.000618,35.28806,66.97847
1981-09-01,84.53738,39.21913,82.72611,77.55084,23.639944,85.19784,86.93905,55.190258,79.78073,82.17073,54.953426,18.22784,47.95188,62.492016,53.565796,32.18923,29.759207,75.60782
1981-10-01,84.462326,36.288757,81.69206,77.65758,15.477589,84.65412,60.507298,50.40526,70.84116,82.21742,32.833015,21.528473,43.548813,73.78488,58.390823,25.56962,36.70571,68.65298
1981-11-01,84.97601,57.505207,81.742096,76.405045,20.70123,84.62577,46.727695,64.76693,37.466244,61.39792,32.609528,36.41384,49.99831,74.99239,63.382637,43.35034,52.91034,64.98708
1981-12-01,86.643845,35.981876,79.45883,77.07551,13.913166,73.20281,51.546055,63.405983,24.408812,56.65128,37.19272,41.467365,42.02275,79.74904,69.78543,28.770184,56.761356,75.16084
1982-01-01,86.59356,44.479317,80.19945,80.07237,26.323269,58.631607,57.92383,59.944206,29.125416,48.12597,28.602627,47.926502,46.01229,76.033226,87.41232,34.887352,68.426254,70.03966
1982-02-01,86.35388,53.760826,80.37318,76.5898,20.422997,65.694885,44.45358,75.23859,19.818169,47.847683,19.358116,43.666985,47.571007,79.028404,81.053604,54.463776,66.44126,67.86485
1982-03-01,86.25093,44.56296,78.37371,80.24771,20.432648,65.849304,29.487347,59.720615,35.194588,55.157074,17.00637,31.295391,54.243397,81.22894,82.145836,58.033215,51.72436,65.61124
1982-04-01,86.85254,28.06697,76.0847,82.34691,23.334526,79.49811,26.733458,54.27557,52.103985,52.501305,14.445511,30.891638,55.699165,76.23913,74.242874,33.25786,49.1635,53.96029
1982-05-01,89.42145,31.951693,78.27881,78.676125,15.722725,80.543686,36.241776,51.746883,69.46539,70.996765,21.468575,23.802624,63.851448,76.04771,66.90132,37.816574,45.023018,62.236435
1982-06-01,89.61125,28.840698,80.31848,77.43108,15.830498,82.67023,59.154396,44.51792,73.17317,85.11366,25.504501,18.76616,64.58657,73.77156,62.33134,43.990307,40.786015,72.77264
1982-07-01,87.23377,34.552765,83.57104,80.32331,22.887342,86.12868,77.78336,39.799957,80.14154,74.15762,46.179585,23.020853,63.25788,71.06915,56.559753,37.480385,41.030518,68.29113
1982-08-01,86.46648,35.098076,81.967285,80.6402,30.825686,84.726,84.71635,51.285217,83.447174,71.31687,59.640186,25.198872,41.62087,67.084694,49.065376,31.987082,32.789764,69.64073
1982-09-01,84.47506,38.31041,82.98873,81.494354,21.338278,86.95227,76.13457,56.067528,81.9335,81.08417,57.623024,19.366158,57.58442,60.42678,52.887363,34.589764,30.500751,77.170494
1982-10-01,83.85897,36.873947,80.74637,79.53671,22.7297,82.17961,58.56726,68.22035,75.578,70.21339,45.439636,30.568314,48.344734,74.62572,61.43858,20.84766,46.443394,70.31473
1982-11-01,85.07828,49.694332,80.609634,82.51903,24.770988,82.00267,59.382812,69.28362,38.826763,48.73884,28.880913,43.842316,32.783325,77.22519,75.766205,22.980639,56.014446,69.31258
1982-12-01,86.448784,48.41712,81.93189,82.82465,30.365631,65.70454,42.894863,66.16298,27.391367,51.57959,30.909332,47.94098,41.44875,80.31366,74.39569,29.376354,58.60426,67.82947
1983-01-01,84.154076,67.81405,85.98102,80.51781,20.67369,66.64302,40.280445,44.822186,23.415693,45.441296,31.540913,49.13516,43.144028,82.997444,83.19742,27.949434,69.72577,73.323654
1983-02-01,83.37659,42.140976,79.738716,78.93404,24.653913,64.96006,38.04557,68.23479,16.911037,56.16454,18.733173,36.38981,38.152756,83.69495,83.69495,24.361155,65.11044,64.590515
1983-03-01,84.88517,41.667442,81.57685,76.276825,15.524036,62.13967,24.80429,60.35113,16.495098,53.95206,15.140095,32.72474,51.016487,86.28337,79.8347,62.08688,62.45163,67.67807
1983-04-01,86.958466,29.92035,75.90567,74.43869,19.14751,64.09459,23.98361,48.400867,40.566803,44.940567,10.910309,24.389952,65.74875,78.22214,71.159164,55.26867,55.834988,68.78991
1983-05-01,86.92168,26.752808,82.09038,77.99817,16.275928,78.23494,27.70627,47.241035,63.014748,57.922684,18.960339,21.319998,68.49715,72.51576,60.035976,53.520123,45.372505,62.259655
1983-06-01,87.12164,28.73332,83.354195,78.134155,17.165401,82.647095,55.286266,46.415554,74.06754,75.45614,43.852726,21.193615,66.7886,68.01082,59.042522,51.366837,41.48667,63.18112
1983-07-01,86.092995,34.43009,81.327286,75.48814,16.728664,85.211525,83.2822,33.57102,78.83805,79.48276,47.242634,20.990444,69.46181,66.02391,55.924576,44.79499,39.674133,61.773327
1983-08-01,84.50123,38.216743,84.362045,73.31725,26.248882,87.918335,88.1183,56.01896,81.300095,76.84794,53.872074,22.660603,60.90465,66.87338,56.84444,43.918316,30.579453,66.41905
1983-09-01,83.3078,42.555313,81.82162,76.236824,16.907837,87.50719,89.43331,51.298046,79.8139,83.45498,42.18257,23.265314,58.15945,63.304306,45.910027,25.02826,24.378754,60.730278
1983-10-01,85.310715,51.56521,79.8763,77.32307,17.194195,86.7265,61.54136,59.35288,54.617565,71.75908,23.863628,26.575233,55.60462,71.66629,62.654797,33.791786,36.490593,73.02129
1983-11-01,86.50734,41.953804,81.634445,82.016785,23.292511,75.27217,40.773174,72.392586,30.718634,72.43738,24.847485,39.736523,49.435917,73.077286,73.37164,35.725906,52.742638,69.91135
1983-12-01,83.51897,39.938095,79.031624,79.92429,21.414383,71.147964,47.177044,60.344734,27.528696,59.930393,33.129482,42.288155,45.930824,80.96414,79.00763,30.917004,74.17313,76.87193
1984-01-01,83.88264,55.18873,77.71706,71.71563,20.524578,65.042816,56.05381,57.56566,19.876175,56.915615,31.60161,49.783173,56.19991,86.22017,85.059616,64.03985,61.743347,67.17516
1984-02-01,84.43255,34.81244,75.20388,70.344955,17.985134,62.06837,45.70562,68.273346,15.88562,46.818573,28.354666,31.78382,41.958008,85.112144,88.34595,36.61976,67.444374,72.77606
1984-03-01,82.52838,34.016296,78.72496,73.38999,18.883049,63.5835,20.711712,69.09083,37.736,45.4085,15.112461,37.12535,47.829758,84.65744,80.957436,43.540443,63.954487,70.57641
1984-04-01,85.01365,26.23217,74.85423,75.647095,14.7250595,76.56799,22.129993,56.57746,56.52329,41.746254,10.995506,21.542324,59.195698,75.947495,69.91652,42.522697,54.234997,66.45454
1984-05-01,85.50447,17.049461,78.048645,72.88112,19.352528,85.29435,22.48292,57.939926,67.71687,71.29704,27.794905,15.552387,63.96926,67.424675,63.205948,37.02686,44.266,66.96505
1984-06-01,85.983795,30.889187,82.07696,75.14807,20.091213,84.67221,62.65768,47.97093,70.58626,82.42168,23.541706,16.422398,59.25479,67.09473,57.04365,47.76902,45.09497,59.87529
1984-07-01,85.02186,32.41252,82.474205,74.89527,21.555458,81.96861,78.77913,33.453255,75.663506,79.67376,44.30047,21.107319,78.57065,64.58319,55.809223,53.026833,37.650642,71.96678
