,mgu50GLB_cluster1,mgu50GLB_cluster2,mgu50GLB_cluster3,mgu50GLB_cluster4,mgu50GLB_cluster5,mgu50GLB_cluster6,mgu50GLB_cluster7,mgu50GLB_cluster8,mgu50GLB_cluster9,mgu50GLB_cluster10,mgu50GLB_cluster11,mgu50GLB_cluster12,mgu50GLB_cluster13,mgu50GLB_cluster14,mgu50GLB_cluster15,mgu50GLB_cluster16,mgu50GLB_cluster17,mgu50GLB_cluster18
1980-01-01,0.6354332,-0.04355507,-0.7586708,-0.71140134,1.181392,0.17658386,1.2587112,0.440279,-0.9393066,-0.13032837,0.48856124,0.4831589,0.49902764,1.3802605,-0.83328855,-0.42778626,-0.79243433,0.8944008
1980-02-01,0.9244507,-0.28057632,-0.773864,-1.0274296,0.88325846,0.25862962,0.9332291,-0.038828276,-1.1057618,0.07563019,0.5094948,0.3521553,0.3818676,1.2057022,-0.8207954,-0.30454865,-0.6658203,1.7209364
1980-03-01,0.4416298,-0.27213556,-0.56351626,-1.0375588,1.0628815,0.3524933,0.9865753,-0.253228,-0.9514618,0.13269195,0.20865937,0.22520447,0.8559101,0.9929905,-0.83193743,-0.2866539,-0.77690315,0.05165863
1980-04-01,0.057736207,0.6384716,-0.8565849,-0.9129707,1.0571419,0.13573074,1.1732895,0.13843116,-0.8633385,-0.12593842,0.012155151,-0.34371415,0.98184854,0.7627224,-0.8964264,-0.2795639,-0.61753845,0.03984108
1980-05-01,-0.6894547,0.4794449,-0.6036957,-0.26065597,0.7802788,0.6175381,0.27483672,0.3504673,-0.572295,0.09791412,-0.0020259856,-0.46290055,0.6047081,0.7843307,-0.5702694,-0.24073562,-0.71005094,0.38389358
1980-06-01,-2.2942443,0.54866064,-0.13134079,-0.6688593,-0.024310302,0.19312859,-0.8960892,0.6040329,-0.37308922,0.41799468,-0.58681333,-1.0125736,0.7228813,0.62429124,-0.28023872,0.11682244,-1.5112636,0.48923644
1980-07-01,-1.9785538,0.7823051,0.16409187,-0.9487604,-0.43217546,-0.13539238,-1.3248879,0.883934,-0.52671397,0.11310844,-1.655435,-1.1864567,0.78466797,0.26268157,-0.014855957,-0.13978195,-1.9799042,0.7843307
1980-08-01,-1.5132892,0.8515209,0.20021859,-1.5632598,-0.6509644,-0.706337,-1.3866752,0.96260375,-0.9386314,0.61990184,-1.6756929,-1.1810547,0.8390282,0.08575974,0.14383355,0.61753845,-1.7354549,1.0044708
1980-09-01,-1.5504296,0.8258606,0.4723545,-1.5656235,-0.84105456,-0.23026848,-1.3397442,0.9696938,-0.71511537,1.1476285,-0.5803982,-1.1108261,0.9683434,0.03916626,0.105680466,1.1489788,-1.9046112,0.95382464
1980-10-01,-1.085841,0.8910244,0.46897736,-0.81235504,-0.5999813,1.1324348,-0.91195756,0.36093408,-0.28327712,1.5399628,-0.032750703,-0.6712227,0.8258606,0.39739877,0.07563019,1.3738453,-1.4221275,0.6448868
1980-11-01,-0.8866348,0.91871035,0.40415192,-0.5378559,-0.23128167,1.1223056,-0.9902897,0.8528713,-0.13032837,1.6304497,0.39267197,-0.20021859,1.3367054,0.68101424,0.025322724,0.78500634,-1.2560104,0.52738917
1980-12-01,-0.96260357,0.080357745,0.52333754,-0.48889846,-0.1904274,1.0152748,-0.90858155,0.51489675,-0.29138106,1.3552754,1.4599428,0.48011988,0.6151749,0.41596907,-0.049295045,0.8960888,-0.78568155,0.9325539
1981-01-01,-0.20261268,-0.25987282,0.7909973,-0.8357773,-0.4540432,1.3522198,-0.27895966,-0.17471619,-0.52047956,1.6528355,0.74034387,0.56452596,0.49552003,-0.31382942,0.23417969,0.97158587,-1.0416934,1.06335
1981-02-01,0.0033035278,-0.2892372,0.7366737,-0.9572716,-0.68602026,0.87505186,-0.6489479,0.23381194,-0.7931992,2.17515,1.1275837,0.5670956,0.5667286,0.07524528,0.16040191,0.87541884,-0.894873,0.4712948
1981-03-01,-0.47019348,0.14828892,0.33805466,-0.5843468,-0.42504615,1.4979389,-0.6900574,0.13764457,-0.5414017,1.2923905,1.5463902,0.72089005,0.9242371,0.013948059,0.03156662,0.75869673,-0.8108181,0.25032958
1981-04-01,-0.8823929,0.2613411,0.1376442,-0.89083517,-0.6874882,1.4248959,-1.511153,0.36595076,-0.6206852,1.8044274,1.3323987,0.12222824,0.5164421,0.14755479,-0.103875734,0.68748856,-1.1995258,-0.26060677
1981-05-01,-2.3362858,0.18095665,0.14828873,-0.5560837,-0.39971924,1.2923896,-0.89340436,0.43715897,-0.29033813,0.7333698,0.4650547,-0.5920547,0.4808384,0.33034667,0.1413147,0.7128147,-1.0750949,0.17728654
1981-06-01,-2.0463147,0.38210145,-0.12443085,-0.6739079,-0.20114441,0.4639534,-0.9201988,0.75832903,-0.45734674,0.89744186,-0.4316532,-1.5203292,1.0193039,0.2672142,-0.2429882,0.23344497,-1.3720404,0.3108925
1981-07-01,-2.0852227,0.66987,-0.51864433,-1.4168209,-0.2565689,0.34686393,-0.9462601,0.7935661,-0.8064129,1.044997,-0.75759506,-1.5845635,0.70180357,0.28042755,-0.25950584,0.3780636,-2.1087136,0.7267631
1981-08-01,-1.9064682,0.7337364,-0.25950545,-2.1156876,-0.13911286,0.6188496,-0.85449755,0.8489914,-0.99801445,1.0174679,-0.55278015,-1.5298729,0.7935661,0.3336502,-0.46982652,0.28079453,-2.3138957,0.80457765
1981-09-01,-1.6293442,0.67647666,-0.32227173,-1.8022251,0.12846832,0.5597542,-0.6416069,0.932312,-0.79980624,0.9987484,-0.06166458,-0.9803959,1.0457313,0.49772263,-0.28373107,0.27528915,-1.7512051,0.76860654
1981-10-01,-1.1716293,0.5421356,0.11121674,-0.96644783,0.24812774,0.6467453,-0.4448677,0.39751703,-0.29988176,0.7939331,0.5546154,-0.2591385,0.86660993,0.67794496,0.055057526,0.009542847,-1.2116387,0.47092742
1981-11-01,-0.47753447,0.57149965,-0.24188766,-0.34392777,0.36521682,0.77264404,-0.11672211,0.24225464,-0.2095871,0.5406677,0.42211,0.03266754,1.0226066,0.80861586,-0.37476045,0.3182335,-0.73777467,0.4529419
1981-12-01,-0.21142197,0.8258667,-0.29510957,-0.6386703,0.43018493,0.7976036,0.16370544,0.18205795,-0.9018463,0.6819824,0.5274536,0.3901764,1.0501359,0.8537628,-0.5579193,0.3116272,-0.3593437,0.5377308
1982-01-01,-0.3646225,-0.3144745,-0.2817978,-0.77098006,0.4924179,0.97221756,0.29085693,0.23617935,-0.80721587,0.78553927,0.8838936,0.6017723,0.34715158,1.4183708,-0.6444786,0.3869461,-0.776157,0.6525669
1982-02-01,-0.2898861,-0.49727097,-0.15400238,-0.970924,0.11097183,1.0388664,0.12326622,-0.046265412,-0.9456886,0.95377654,0.82015765,0.726009,0.19897309,0.82371634,-0.4658882,0.48044664,-0.69236183,1.1537206
1982-03-01,-0.28535652,0.25817984,-0.13911971,-1.0660431,0.29376832,0.8363342,0.00032348634,-0.30541572,-0.9541,0.7780983,0.69883233,0.5208889,0.63833123,0.7091854,-0.33744583,0.36171037,-0.80398065,0.605978
1982-04-01,0.22420883,0.28729743,-0.4425934,-0.77842176,0.5386833,0.29376832,0.6176254,-0.08735428,-0.83374596,0.046588898,0.20512009,-0.01844101,0.39665222,0.87289315,-0.57880175,-0.12844315,-0.62668455,-0.31738624
1982-05-01,0.30573884,0.19962044,-1.0414543,-0.985483,0.9136589,-0.4235054,0.96477664,0.13038406,-0.87095225,-0.65450823,-0.26012117,-0.36138687,0.6082428,0.49403572,-0.7250385,-0.7929802,-1.3902233,0.08703079
