,abs_vo500GLB_cluster1,abs_vo500GLB_cluster2,abs_vo500GLB_cluster3,abs_vo500GLB_cluster4,abs_vo500GLB_cluster5,abs_vo500GLB_cluster6,abs_vo500GLB_cluster7,abs_vo500GLB_cluster8,abs_vo500GLB_cluster9,abs_vo500GLB_cluster10,abs_vo500GLB_cluster11,abs_vo500GLB_cluster12,abs_vo500GLB_cluster13,abs_vo500GLB_cluster14,abs_vo500GLB_cluster15,abs_vo500GLB_cluster16,abs_vo500GLB_cluster17,abs_vo500GLB_cluster18
1980-01-01,8.812086e-05,-4.2302356e-05,1.7028917e-05,-6.173935e-05,4.5996778e-05,-1.5992205e-06,-6.745057e-05,-1.5930482e-05,-7.9714424e-05,2.1213404e-05,1.1836195e-05,0.00030774777,7.152697e-05,0.000108952605,3.7373156e-05,-6.950458e-05,-3.0787796e-05,7.8880155e-05
1980-02-01,9.304096e-05,-5.1537903e-05,1.5098976e-05,-6.6758854e-05,3.8086517e-05,1.7968109e-06,-5.4785858e-05,-2.594463e-05,-8.573617e-05,2.1975444e-05,1.4569583e-05,0.0002754192,8.161567e-05,0.00012446666,3.0026134e-05,-7.6089564e-05,-2.9321705e-05,7.596454e-05
1980-03-01,8.147789e-05,-4.2302356e-05,1.454401e-05,-5.56762e-05,5.3749667e-05,-3.868759e-06,-5.1348412e-05,-1.4456111e-05,-7.8298035e-05,3.0390976e-05,1.1049307e-05,0.00024012534,8.2709026e-05,0.00010105891,3.6122427e-05,-7.601502e-05,-3.5906687e-05,8.043736e-05
1980-04-01,8.62489e-05,-3.823541e-05,2.1833057e-05,-6.646895e-05,5.703802e-05,-2.3778207e-06,-5.191166e-05,-1.2161718e-05,-9.4259376e-05,3.092109e-05,7.802375e-06,0.00022100817,6.835458e-05,0.0001050099,4.5333127e-05,-7.4317e-05,-3.0589003e-05,6.947895e-05
1980-05-01,8.510584e-05,-4.566526e-05,2.4284822e-05,-7.497559e-05,5.4296346e-05,-3.9818542e-07,-5.5183446e-05,-4.74843e-06,-9.186559e-05,4.2368192e-05,9.516954e-06,0.00013175057,7.363914e-05,9.374502e-05,4.8588347e-05,-7.778758e-05,-3.2038526e-05,7.126808e-05
1980-06-01,9.4689276e-05,-4.001625e-05,2.2686207e-05,-6.7520894e-05,6.326684e-05,-1.5909332e-06,-5.83227e-05,-1.20954555e-05,-0.00010019001,5.0005125e-05,5.980111e-06,0.000104052204,8.224518e-05,9.4465635e-05,4.190396e-05,-8.1200174e-05,-2.14777e-05,5.8354875e-05
1980-07-01,9.2220944e-05,-2.9480274e-05,3.2161955e-05,-6.624531e-05,6.365614e-05,1.2998339e-06,-5.826472e-05,-1.36195285e-05,-8.2025384e-05,4.322963e-05,7.661563e-06,9.2124676e-05,7.499755e-05,9.030757e-05,4.4968674e-05,-8.48447e-05,-1.6880633e-05,6.0036327e-05
1980-08-01,9.988272e-05,-3.389511e-05,3.0430809e-05,-6.6767134e-05,5.054415e-05,9.4366123e-07,-5.9614853e-05,-9.395195e-06,-9.7208125e-05,3.9560255e-05,7.0486217e-06,0.000107166605,7.856752e-05,0.000104521205,4.74867e-05,-8.2185856e-05,-2.0781928e-05,6.701062e-05
1980-09-01,9.3993505e-05,-3.6081827e-05,2.5643236e-05,-6.2393716e-05,5.7617835e-05,-2.6565385e-07,-6.668853e-05,-1.8829536e-05,-9.417655e-05,4.773558e-05,8.763202e-06,0.000121487916,8.1499704e-05,0.000103195925,4.7900856e-05,-7.97755e-05,-2.1982964e-05,6.900682e-05
1980-10-01,8.184234e-05,-3.5195542e-05,2.2802164e-05,-6.149915e-05,4.9111193e-05,-1.1519382e-06,-4.9551003e-05,-1.663454e-05,-9.826007e-05,4.1548177e-05,1.2970968e-05,0.00017049845,8.139203e-05,9.5997995e-05,4.6285666e-05,-8.059552e-05,-2.024353e-05,6.537887e-05
1980-11-01,8.7797824e-05,-3.5087865e-05,2.452503e-05,-5.5054974e-05,4.3238542e-05,-3.264105e-06,-5.3883014e-05,-1.8067496e-05,-0.00010072012,3.852488e-05,1.6499524e-05,0.00018739575,7.826934e-05,0.00010558971,3.1980922e-05,-6.885022e-05,-2.905665e-05,6.712657e-05
1980-12-01,9.16577e-05,-4.5681827e-05,1.4502595e-05,-5.869121e-05,5.8470985e-05,-1.1519382e-06,-5.436343e-05,-1.8067496e-05,-9.020071e-05,2.6779584e-05,9.699181e-06,0.00024257711,7.686951e-05,0.00011497435,4.576384e-05,-6.5205706e-05,-2.3863202e-05,7.241942e-05
1981-01-01,9.1987706e-05,-5.048038e-05,8.234969e-06,-5.6163513e-05,4.4762295e-05,6.5879162e-06,-4.889436e-05,-1.7202537e-05,-8.16709e-05,2.3231638e-05,1.8094424e-05,0.0002212807,7.699477e-05,0.000118427284,3.1666143e-05,-6.7835645e-05,-4.0773124e-05,7.705872e-05
1981-02-01,8.6704786e-05,-4.7480615e-05,1.6209338e-05,-6.619605e-05,5.886952e-05,-6.311065e-06,-5.1469156e-05,-1.7719167e-05,-9.751132e-05,2.5148154e-05,1.3444789e-05,0.00027841787,7.0811926e-05,0.00011156949,4.5940014e-05,-7.021879e-05,-3.589851e-05,7.1609145e-05
1981-03-01,8.836299e-05,-4.1647738e-05,1.4309484e-05,-7.4562064e-05,3.888776e-05,8.6960845e-06,-5.490222e-05,-1.9002398e-05,-8.67455e-05,3.4347424e-05,1.6277898e-05,0.00020677352,8.7802255e-05,9.256266e-05,2.6049911e-05,-6.889389e-05,-2.6615904e-05,6.807609e-05
1981-04-01,9.553743e-05,-4.270599e-05,2.5883575e-05,-6.2837986e-05,5.5311466e-05,-1.1281422e-06,-5.117751e-05,-1.2652899e-05,-8.4745654e-05,3.5389014e-05,1.3811428e-05,0.0001654101,7.8303e-05,0.00010686986,4.6489975e-05,-6.627743e-05,-2.3682802e-05,6.0135048e-05
1981-05-01,8.6954766e-05,-4.5489105e-05,2.7075152e-05,-8.7902685e-05,4.840368e-05,-3.0946553e-06,-5.2602398e-05,-8.453228e-06,-0.00010304422,3.3722477e-05,1.8902692e-05,0.00011753887,8.3060964e-05,0.00012213533,4.9764716e-05,-7.541005e-05,-2.0883024e-05,6.172659e-05
1981-06-01,0.00010061203,-4.547244e-05,2.7691767e-05,-6.696266e-05,5.5594777e-05,-3.9362544e-06,-6.3968175e-05,-1.6260949e-05,-0.00010727722,5.570408e-05,1.4294723e-05,0.000115930656,7.107024e-05,0.000103928425,5.4414348e-05,-8.540093e-05,-2.6949212e-05,5.8143538e-05
1981-07-01,8.332172e-05,-4.1656072e-05,3.5482823e-05,-7.87784e-05,5.846122e-05,-2.1947249e-06,-6.778454e-05,-1.50110445e-05,-9.445323e-05,3.9005397e-05,5.5120777e-06,8.083342e-05,7.2536786e-05,9.543743e-05,5.0173014e-05,-7.211864e-05,-2.2582888e-05,6.907601e-05
1981-08-01,8.516324e-05,-4.507247e-05,3.1449807e-05,-7.517868e-05,6.095269e-05,-6.281821e-07,-6.411816e-05,-1.2677896e-05,-9.7836295e-05,5.1629402e-05,1.0894988e-05,8.874113e-05,6.417078e-05,9.422086e-05,4.6989935e-05,-8.2626146e-05,-1.8966508e-05,6.1026643e-05
1981-09-01,8.861297e-05,-4.1297768e-05,3.0124913e-05,-5.8938294e-05,4.9286944e-05,-9.0316234e-07,-5.281905e-05,-8.76987e-06,-0.00010046109,3.8455437e-05,9.036803e-06,0.0001145641,7.3003415e-05,9.712063e-05,4.3681863e-05,-8.670083e-05,-1.5566773e-05,6.54013e-05
1981-10-01,8.511324e-05,-3.7181424e-05,2.7725098e-05,-6.690434e-05,5.5794764e-05,-1.2864634e-06,-4.9852617e-05,-1.7110882e-05,-9.0553534e-05,3.7880483e-05,5.120442e-06,0.0002052153,7.481161e-05,0.0001043284,5.386439e-05,-7.878478e-05,-2.1091339e-05,7.421727e-05
1981-11-01,8.6421474e-05,-4.5580764e-05,2.0342344e-05,-6.964579e-05,5.4853168e-05,-1.6697682e-06,-5.04359e-05,-1.6702577e-05,-9.366163e-05,3.2139265e-05,1.9394321e-05,0.0002318882,8.186939e-05,0.000107511485,3.4740897e-05,-7.916808e-05,-2.8099123e-05,7.13925e-05
1981-12-01,8.987953e-05,-4.0614486e-05,1.9942378e-05,-6.293798e-05,4.3454063e-05,-2.5321197e-07,-5.456058e-05,-1.7285869e-05,-0.000104602426,2.6523041e-05,1.0928319e-05,0.0002647356,7.859465e-05,0.00010187859,4.434847e-05,-8.4084364e-05,-2.5032696e-05,7.729203e-05
1982-01-01,8.468344e-05,-5.4698674e-05,1.4900495e-05,-7.053907e-05,4.277916e-05,3.3489728e-06,-4.898668e-05,-1.8312434e-05,-8.461055e-05,2.8547234e-05,1.5436277e-05,0.00023322116,7.357745e-05,0.000103215374,3.865384e-05,-6.6053995e-05,-3.5395733e-05,8.335904e-05
1982-02-01,8.1306964e-05,-4.0651514e-05,1.3663313e-05,-8.0720034e-05,4.8767455e-05,-4.2373517e-06,-5.9897924e-05,-1.5795113e-05,-8.7239554e-05,2.3950764e-05,1.8314442e-05,0.0002964119,9.268502e-05,9.4168485e-05,5.520973e-05,-7.616624e-05,-3.6478265e-05,8.1443126e-05
1982-03-01,8.818019e-05,-5.6236557e-05,1.22457095e-05,-7.564244e-05,5.3312375e-05,-3.7975542e-07,-5.1641462e-05,-1.8922436e-05,-9.265222e-05,3.207835e-05,1.3846844e-05,0.00025759533,8.594926e-05,8.597216e-05,4.1068062e-05,-7.43792e-05,-2.830772e-05,8.328172e-05
1982-04-01,9.815496e-05,-4.759347e-05,1.8517527e-05,-8.249848e-05,5.9420956e-05,-7.656783e-06,-5.89099e-05,-1.5142161e-05,-9.1234615e-05,3.1812015e-05,6.7760134e-06,0.0002138988,8.823461e-05,9.911721e-05,5.271818e-05,-8.133834e-05,-2.7706312e-05,7.2370465e-05
1982-05-01,8.946892e-05,-5.3564585e-05,2.307104e-05,-7.987807e-05,5.14652e-05,4.1231488e-08,-6.0903134e-05,-1.2796669e-05,-9.069335e-05,3.1863565e-05,9.636993e-06,0.00015885284,7.6902375e-05,9.704665e-05,4.7657773e-05,-8.5754386e-05,-1.8487597e-05,7.379666e-05
