,abs_vo600GLB_cluster1,abs_vo600GLB_cluster2,abs_vo600GLB_cluster3,abs_vo600GLB_cluster4,abs_vo600GLB_cluster5,abs_vo600GLB_cluster6,abs_vo600GLB_cluster7,abs_vo600GLB_cluster8,abs_vo600GLB_cluster9,abs_vo600GLB_cluster10,abs_vo600GLB_cluster11,abs_vo600GLB_cluster12,abs_vo600GLB_cluster13,abs_vo600GLB_cluster14,abs_vo600GLB_cluster15,abs_vo600GLB_cluster16,abs_vo600GLB_cluster17,abs_vo600GLB_cluster18
1980-01-01,1.6194723e-05,-6.160683e-05,6.736891e-05,-3.292481e-05,3.4449262e-05,-4.881259e-05,0.000103000224,4.734029e-06,-7.629664e-05,0.00022535268,-3.6161033e-05,2.4534893e-05,5.635053e-05,8.39576e-05,-1.219783e-05,-4.2284228e-07,-9.065627e-05,0.00017140644
1980-02-01,1.7072727e-05,-6.9368e-05,6.20595e-05,-2.6720842e-05,3.7919835e-05,-6.1054874e-05,0.00010134363,1.4425139e-05,-7.5451775e-05,0.00029395247,-4.059244e-05,2.5992696e-05,5.2209034e-05,8.360972e-05,-1.2512581e-05,2.5636837e-07,-9.253652e-05,0.00016770394
1980-03-01,1.9830963e-05,-6.106015e-05,7.046675e-05,-3.1806605e-05,3.54018e-05,-4.7884892e-05,9.821265e-05,9.728676e-06,-7.988318e-05,0.00023041359,-4.0012626e-05,2.7674148e-05,4.6493762e-05,8.2922226e-05,-1.670378e-05,-4.754853e-06,-8.1868006e-05,0.00016235313
1980-04-01,1.867963e-05,-6.4663254e-05,7.067382e-05,-2.5155354e-05,3.9916038e-05,-5.2498526e-05,9.343336e-05,8.99149e-06,-7.719949e-05,0.00018957011,-3.6591748e-05,2.5843605e-05,5.341007e-05,7.799384e-05,-1.5776088e-05,-2.965724e-06,-8.7053166e-05,0.00015408668
1980-05-01,3.030896e-05,-6.337939e-05,6.977926e-05,-2.6745689e-05,4.7362457e-05,-5.245711e-05,9.170221e-05,1.1153359e-05,-7.649543e-05,0.00022688504,-4.4891316e-05,2.9852577e-05,5.350118e-05,7.319798e-05,-8.371084e-06,-2.0794396e-06,-8.959605e-05,0.00013696573
1980-06-01,2.2506376e-05,-6.23026e-05,7.191627e-05,-2.0334646e-05,4.2177297e-05,-5.5579807e-05,9.118867e-05,8.726434e-06,-7.69013e-05,0.00012627969,-2.6917201e-05,3.805275e-05,5.5803852e-05,7.667684e-05,-1.2330354e-05,-2.2202512e-06,-8.69372e-05,0.00013525943
1980-07-01,2.4585408e-05,-6.831606e-05,8.080393e-05,-2.199953e-05,4.703942e-05,-4.883744e-05,8.69312e-05,8.105213e-06,-8.299759e-05,7.138824e-05,-3.7030743e-05,3.3828415e-05,6.0964165e-05,7.094501e-05,-1.4972633e-05,-1.3671015e-06,-7.703902e-05,0.00012449152
1980-08-01,2.4055296e-05,-6.509397e-05,6.755941e-05,-2.4824036e-05,4.935038e-05,-4.6385674e-05,9.004561e-05,7.177514e-06,-7.792011e-05,8.781343e-05,-3.4355337e-05,3.3405988e-05,7.333069e-05,7.3313946e-05,-7.170049e-06,-6.547634e-07,-8.793945e-05,0.00012482284
1980-09-01,1.860508e-05,-6.159854e-05,6.58117e-05,-2.9976061e-05,4.7279627e-05,-4.5930105e-05,8.809911e-05,7.127819e-06,-7.5228134e-05,8.9569425e-05,-3.387492e-05,3.4905206e-05,5.6955192e-05,7.95759e-05,-1.2504301e-05,-2.6675334e-06,-8.3797946e-05,0.00012883182
1980-10-01,1.9060642e-05,-7.120683e-05,6.446985e-05,-2.4774334e-05,4.308015e-05,-4.3685413e-05,8.6550186e-05,1.0548698e-05,-7.4905096e-05,0.00016270834,-3.555637e-05,3.090452e-05,4.9649585e-05,7.886356e-05,-1.2371769e-05,5.214242e-07,-8.643194e-05,0.00014809807
