,vo500GLB_cluster1,vo500GLB_cluster2,vo500GLB_cluster3,vo500GLB_cluster4,vo500GLB_cluster5,vo500GLB_cluster6,vo500GLB_cluster7,vo500GLB_cluster8,vo500GLB_cluster9,vo500GLB_cluster10,vo500GLB_cluster11,vo500GLB_cluster12,vo500GLB_cluster13,vo500GLB_cluster14,vo500GLB_cluster15,vo500GLB_cluster16,vo500GLB_cluster17,vo500GLB_cluster18
1980-01-01,7.127915611355301e-06,1.984773234653403e-06,-9.811820236859519e-08,-2.6297357659419312e-05,0.008788603008724749,-1.2599094243657777e-05,1.116670858537869e-05,3.242532299930749e-05,0.000617505533487669,4.350917367399043e-06,-2.210777361297511e-06,7.975382598597088e-06,0.0017115165246650577,-2.9266982312617403e-06,2.1934378125905235e-05,-8.855074046727741e-06,1.6778089778198232e-06,-2.021878584932444e-05
1980-02-01,-2.9186589986956712e-08,1.3771151080382643e-05,1.3589535070280087e-06,-2.7828939078302172e-05,0.007907479205944886,-1.0996798384719743e-05,1.1138766908006649e-05,4.8216894415940055e-05,0.0007528680725954472,5.38964208916363e-06,-2.90267842540823e-06,8.880955403153251e-06,0.001550951274111867,-5.033332824526012e-06,2.07757440438388e-05,-8.802828917103263e-06,1.9042926989820128e-06,-2.116826052911101e-05
1980-03-01,-1.0750104712841629e-06,3.1864979535659133e-06,2.5071353958365635e-06,-2.5235418242549428e-05,0.006042924845435968,-8.056779521893421e-06,1.0920366662031782e-05,2.7157872610870505e-05,0.0006812754041415506,5.7506235040260016e-06,-1.4008588583969238e-07,7.983887307448138e-06,0.0012238675844855607,-1.6830386852194392e-05,-1.343810081495196e-05,-1.1194086731384171e-05,4.259094778640177e-06,-1.697934121565736e-05
1980-04-01,-6.832017892552438e-06,-1.8050684081606084e-05,7.018461099519283e-06,-1.69303013152737e-05,0.0048248228267766535,-7.0227712152899e-06,9.421067853920506e-06,-2.788998583992743e-07,0.0008345363312400876,1.2127956613102538e-05,-2.2095924521946983e-06,3.807235397735866e-06,0.0010094571916852146,-1.4758301563983127e-05,-2.485652013219115e-05,-1.4311060888166132e-06,4.230156927795336e-06,-1.0738623631637689e-05
1980-05-01,-3.4551389087043886e-06,-4.5166889027246656e-06,7.823553984761953e-06,-1.1707194828072956e-05,0.003375016967765987,-2.61008665488668e-06,7.863809986403974e-06,-3.0214343988503614e-06,0.0007580554665764793,1.5252325864416176e-05,-2.7471867739366633e-06,1.273791852510813e-06,0.0006284655682975426,-1.5466859402514963e-05,-1.7695055237110658e-05,-7.423251807133374e-06,4.548837021545678e-06,-7.490025286066336e-06
1980-06-01,-1.6845399187060827e-05,-2.9602801987493873e-05,1.2309301076057953e-05,-1.2467765037926209e-05,0.0010860627905155222,4.130605258220615e-06,5.056141300385463e-06,3.817138453772803e-06,0.0006656536632882697,2.18159573661803e-05,-4.680142354173805e-06,-6.53274172928908e-06,0.00012957030776306055,-8.966966621241286e-06,-1.4166647516400258e-05,-9.82877709064867e-06,3.2613344167833805e-06,1.3355000085468906e-06
1980-07-01,-1.5765224640761104e-05,-1.747594406306571e-05,1.139093777903858e-05,-1.1532324845718808e-05,-1.4240156550234436e-05,2.8161278979557207e-06,6.725823704341206e-06,8.963049412323316e-06,0.0007059480204978691,2.3948597523288418e-05,-3.3419310563252074e-06,-6.69735592071504e-06,-0.00015488318240386434,-7.123523053970919e-06,-1.4926001911797219e-05,-7.129636550044419e-06,2.7352166810740115e-06,9.010362909623542e-07
1980-08-01,-1.1274722398587058e-05,-1.642281741051529e-05,9.521837601868074e-06,-1.0301542045597575e-05,0.0005200965460971929,-4.237161759036811e-07,7.2446811858021666e-06,-1.7116587782840695e-06,0.000738357422440978,1.956734092846273e-05,-2.536764306056526e-06,-2.062807180023416e-06,-3.616689582486288e-05,-5.786870423145336e-06,-8.947356750295626e-06,-6.965692957860086e-06,3.092067598338579e-06,1.138982452015574e-06
1980-09-01,-7.1057153642565636e-06,-2.0231590059228e-05,9.531658867267022e-06,-9.208180065462856e-06,0.001270435920256811,1.1459322190355165e-06,6.851571158837349e-06,-1.4339764406866409e-05,0.0007456759444072044,1.4496819573420895e-05,-3.5637080991756083e-06,-1.856728692050914e-06,0.0001474993405281566,-1.0128911566385835e-05,-2.1005348859449164e-05,-1.1583328794573915e-05,2.216576117384261e-06,1.4332414666665166e-06
1980-10-01,-2.4203482976110793e-06,-9.375780454892837e-06,7.538494330478574e-06,-1.544599447362615e-05,0.003751552867470309,-3.473984076751343e-06,8.523068636840816e-06,-5.3974257544261315e-06,0.000705065914579401,1.1059285545533233e-05,-2.149747465458731e-06,9.267690107403074e-07,0.000699457959854044,-1.6094690591261906e-05,-1.8213636452211303e-05,-1.4601258062734113e-05,2.4150992654055905e-06,-7.924639178359222e-06
1980-11-01,-3.835899364228106e-07,-2.674247273009516e-06,3.893982213330776e-06,-2.3465135631053463e-05,0.004311098018661141,-6.6289918445577975e-06,7.942625910407936e-06,1.2265994972368076e-05,0.0006735339411534368,9.077218993593579e-06,-2.850753993129933e-07,3.3302203235519424e-06,0.0007686055323574692,-1.4595038270012342e-05,-1.7970761936213201e-06,-9.932239895564231e-06,2.4440966135513654e-06,-1.1710905332171972e-05
1980-12-01,-6.3552199822369045e-06,1.0415494586966276e-05,2.499927724838858e-06,-3.026239267599426e-05,0.0058097871563707795,-9.75524874709699e-06,1.2666451385405582e-05,4.437266010218529e-05,0.0006826846531891663,9.932790338912656e-06,-1.6432105042700148e-06,5.649356525878077e-06,0.0008958404941949993,-7.2543176369495936e-06,2.614730724820254e-05,-1.0964717355989632e-05,2.8621725882588444e-06,-1.7735514005143558e-05
1981-01-01,4.866061774185239e-06,1.7822121326052754e-05,3.3156051420839557e-07,-3.064392474602516e-05,0.005073687255692979,-1.2802378496281668e-05,1.325636361217217e-05,4.921513492695713e-05,0.0005793504117588912,2.9821238233827063e-06,-1.5666158292031343e-06,9.941753565108409e-06,0.0010689209011616185,-9.073713564638247e-06,2.5922675871974022e-05,-5.805081733134841e-06,2.5004290937165126e-06,-2.0175734084980024e-05
1981-02-01,1.0059190907141832e-05,9.762954875811744e-06,8.237579966467064e-07,-2.818738721543923e-05,0.0075370747557220365,-1.0913990246209722e-05,9.370779778510795e-06,4.0705804092824826e-05,0.000617270208229976,-3.0039459433973236e-07,-5.731766748442358e-07,1.0201450368633787e-05,0.0016224634600803256,-1.1282095379051548e-05,1.0943065579432428e-05,-6.60114733821825e-06,3.5992675509168317e-06,-2.0226361555896675e-05
