,ssta30GLB_cluster1,ssta30GLB_cluster2,ssta30GLB_cluster3,ssta30GLB_cluster4,ssta30GLB_cluster5,ssta30GLB_cluster6,ssta30GLB_cluster7,ssta30GLB_cluster8,ssta30GLB_cluster9,ssta30GLB_cluster10,ssta30GLB_cluster11,ssta30GLB_cluster12,ssta30GLB_cluster13,ssta30GLB_cluster14,ssta30GLB_cluster15,ssta30GLB_cluster16,ssta30GLB_cluster17,ssta30GLB_cluster18
1980-01-01,-1.1436157,-8.675781,-2.3516235,-8.910858,-0.41119385,2.3661194,-6.0860596,-6.0994263,-13.560333,-0.50372314,-3.4235535,2.9678955,-4.1317444,-16.479156,0.8878784,-10.73996,1.2372742,-10.154999
1980-02-01,-1.2293701,-9.562256,-2.0221863,-7.6757507,0.34683228,2.4659424,-7.3065796,-5.294861,-13.889557,-0.26235962,-3.9616394,2.7792053,-3.854248,-17.712555,0.805603,-10.670807,1.599884,-10.721283
1980-03-01,-1.8459167,-10.307953,-2.1477966,-8.564484,0.29348755,2.5219727,-7.544037,-6.530487,-14.697601,-0.010864258,-4.412384,2.6051025,-4.0179443,-17.454132,0.7789612,-10.656372,1.4302368,-10.919159
1980-04-01,-1.3806152,-9.719452,-2.901886,-9.613556,0.22973633,2.7868347,-7.3999023,-7.567688,-14.837555,-0.94363403,-4.4350586,2.5299683,-4.6978455,-17.510437,0.8735962,-10.827484,1.2799072,-10.587463
1980-05-01,-0.24234009,-8.52179,-4.2934875,-10.348907,-0.5803528,2.494873,-5.785553,-8.242676,-14.043243,-2.08432,-3.0473633,3.105072,-5.9028625,-13.148987,1.6461487,-11.65097,0.97210693,-8.653931
1980-06-01,1.3219299,-6.4141235,-5.649536,-11.067535,-1.6028442,1.4530945,-3.15036,-9.516571,-11.565399,-2.6416016,-0.6961975,2.954071,-7.0139465,-8.137817,2.3141785,-12.420074,0.21289062,-5.210083
1980-07-01,1.7730713,-4.6846924,-6.1545105,-11.895691,-2.075653,0.8446655,-0.27575684,-9.978485,-9.087189,-3.6523438,0.8367615,3.4472961,-7.650543,-3.1445923,2.6500244,-13.495148,-0.22970581,-2.2726135
1980-08-01,2.416565,-2.9925537,-6.3597717,-12.045013,-2.3145752,0.58843994,0.9115906,-10.750397,-6.328583,-4.129303,2.0448914,2.83078,-8.201233,-0.19247437,2.6640015,-13.7034,-0.15933228,-0.14892578
1980-09-01,2.4858704,-3.0395508,-6.8783875,-11.877716,-2.558014,0.8294678,0.56274414,-10.2282715,-6.185028,-4.3841553,2.1156921,3.1282349,-8.453613,-2.6070251,2.3423462,-14.489746,-0.5611572,-1.2594299
1980-10-01,2.1916504,-4.1755676,-6.3550415,-11.84137,-2.1390991,1.2384949,-1.0270996,-9.952881,-8.038666,-3.868744,1.0316162,3.6164246,-7.9584656,-5.9799194,2.3569336,-13.725403,-0.08532715,-2.619629
1980-11-01,1.7252808,-6.2280273,-5.5678406,-11.053162,-1.8754883,1.8609009,-2.9212036,-8.8316345,-10.375671,-4.04953,-0.20773315,3.5845947,-7.555298,-10.618652,2.190979,-12.985687,0.16540527,-4.6448975
1980-12-01,0.6791687,-7.9966736,-4.091034,-9.744629,-1.2845459,1.8367004,-4.743286,-7.754181,-11.391113,-2.0580444,-1.9224548,3.355011,-5.817688,-15.916351,1.371521,-11.262939,0.59158325,-7.5324707
1981-01-01,-0.41629028,-9.4097595,-2.5981445,-7.918457,0.08868408,2.2633362,-5.3946533,-5.9555054,-12.68869,-0.6439209,-2.5443115,2.9518433,-4.1371155,-18.788239,1.0427246,-10.113647,1.2759705,-9.983948
1981-02-01,-1.1691895,-10.250336,-2.286255,-7.0892944,0.5220642,2.9187012,-6.5217896,-4.965393,-13.465179,-0.9231262,-3.6381226,2.4516907,-3.966217,-18.96698,0.92141724,-10.025787,1.3940735,-10.790161
1981-03-01,-1.3017883,-10.382935,-2.6208496,-7.966797,0.29510498,3.1162415,-7.1152954,-5.0369873,-14.790741,-0.6543274,-4.2090454,2.388794,-4.2998047,-20.111053,0.8918457,-10.943268,1.2752991,-10.824341
1981-04-01,-1.4909058,-10.520264,-3.3513184,-9.269409,-0.51431274,2.9794312,-7.191101,-6.299591,-14.233429,-1.4627075,-4.3848267,2.8681946,-4.893402,-18.999054,0.7755432,-11.277466,1.067749,-9.758453
1981-05-01,-0.23358154,-9.63562,-4.974579,-10.49585,-1.2383728,2.3281555,-5.6999817,-7.9582214,-13.073486,-2.4123535,-2.9696045,2.9377136,-6.37619,-13.211884,1.5038147,-12.323975,0.516449,-7.7147217
1981-06-01,1.180603,-6.9670105,-5.851471,-11.227661,-2.3797913,1.8465271,-2.692505,-8.892548,-11.082062,-3.4794312,-0.5762634,3.14917,-7.068512,-7.6114197,2.6698608,-13.361328,-0.33789062,-3.2061768
1981-07-01,2.2387085,-5.1783447,-6.6819763,-11.517822,-2.7417297,0.76123047,-0.89001465,-9.57077,-8.432159,-4.0689697,1.0847168,3.0543518,-7.916443,-2.0855103,2.807251,-14.206696,-0.7110901,-1.3657532
1981-08-01,2.6304626,-3.8704834,-7.3344727,-12.0416565,-3.1399536,0.276886,0.42913818,-10.018219,-5.766266,-4.206787,1.9465942,3.2287292,-8.681213,0.9484558,2.9508972,-14.656708,-0.9878235,-0.45056152
1981-09-01,2.8394165,-2.610077,-7.452606,-12.412018,-3.618988,0.6114502,-0.15292358,-10.457764,-5.5004272,-4.4643555,2.457489,3.1270142,-8.698853,-2.5270386,2.5005798,-14.283691,-1.1792603,-1.1444092
1981-10-01,2.078003,-4.821289,-7.0985107,-11.990234,-3.3468933,1.3946228,-1.070221,-9.799164,-7.6219177,-3.9533691,1.1316528,3.2447815,-8.091003,-6.9708557,1.9816284,-13.981384,-0.84310913,-1.9745178
1981-11-01,1.3175049,-6.4978943,-6.268738,-11.309631,-2.0352478,2.1531372,-3.3163452,-9.530212,-10.103363,-3.439392,-0.8371582,3.239441,-7.359131,-11.039978,2.2597656,-13.21875,0.06561279,-5.6161194
1981-12-01,0.24108887,-7.81781,-5.260193,-9.906342,-1.4301453,2.6628723,-4.925934,-7.3871765,-12.751068,-2.5697632,-2.5210876,2.7556763,-6.4418335,-15.18515,1.7206116,-12.213287,0.5133362,-8.030548
