,mslGLB_cluster1,mslGLB_cluster2,mslGLB_cluster3,mslGLB_cluster4,mslGLB_cluster5,mslGLB_cluster6,mslGLB_cluster7,mslGLB_cluster8,mslGLB_cluster9,mslGLB_cluster10,mslGLB_cluster11,mslGLB_cluster12,mslGLB_cluster13,mslGLB_cluster14,mslGLB_cluster15,mslGLB_cluster16,mslGLB_cluster17,mslGLB_cluster18
1981-11-01,100788.97,101707.72,101290.68,100890.68,101891.914,101956.086,101424.81,101237.83,101109.69,101708.586,101745.664,101363.04,101311.78,102430.57,102006.67,102256.96,102102.06,102474.57
1981-12-01,100777.12,101554.75,101481.53,100871.11,101905.16,102014.125,101787.41,101272.51,101126.99,101951.36,101611.0,101549.89,101346.4,102819.984,102128.625,101869.48,101454.37,102292.91
1982-01-01,100623.945,101545.96,101427.04,100908.79,101868.97,101833.69,101710.08,101246.21,101131.68,101861.45,101453.66,101567.055,101117.8,102528.914,101591.81,101963.31,101184.44,102179.17
1982-02-01,100825.555,101481.42,101295.555,100937.45,101761.94,101787.96,101522.586,101285.45,101142.07,102325.92,101186.06,101636.46,101063.05,102341.78,101580.94,101877.8,101077.414,102372.43
1982-03-01,100849.35,101479.5,101241.89,100896.47,101717.47,101888.98,101381.484,101161.125,101090.39,102093.48,101694.16,101446.75,101269.89,101832.37,101757.25,101817.34,102738.88,102102.49
1982-04-01,101127.23,101633.64,101092.26,100989.016,101139.25,101985.97,100941.36,101251.625,101143.76,101925.63,101772.09,101486.47,101493.62,101606.77,101368.02,101143.39,102583.484,101461.23
1982-05-01,101397.65,101642.89,100961.37,100976.16,101343.984,101910.37,100762.52,101412.375,101204.87,102128.99,101750.766,101537.97,101805.984,100934.03,101245.375,101636.64,102125.51,101715.01
1982-06-01,101646.56,101715.19,100823.94,101065.695,101099.05,102222.92,100150.83,101618.8,101383.17,102227.305,101587.55,101618.914,102075.69,100684.82,100720.695,101554.08,101894.56,101950.21
1982-07-01,101622.22,101683.4,100733.85,101034.74,100916.12,102370.15,99980.1,101656.48,101371.63,102224.9,101590.13,101483.65,102096.12,100288.74,101442.36,101528.12,102414.26,101471.51
1982-08-01,101773.12,101709.59,100819.61,101081.14,100897.61,102489.98,100113.51,101727.02,101317.01,102085.84,101608.4,101387.375,102040.48,100514.875,101480.4,101471.15,102419.84,101529.86
1982-09-01,101532.625,101691.75,101017.86,101160.22,101266.23,102164.39,100775.74,101585.74,101322.77,102074.484,101588.15,101497.65,101875.09,101354.266,101613.266,101705.51,102067.63,101752.74
