,vo1000GLB_cluster1,vo1000GLB_cluster2,vo1000GLB_cluster3,vo1000GLB_cluster4,vo1000GLB_cluster5,vo1000GLB_cluster6,vo1000GLB_cluster7,vo1000GLB_cluster8,vo1000GLB_cluster9,vo1000GLB_cluster10,vo1000GLB_cluster11,vo1000GLB_cluster12,vo1000GLB_cluster13,vo1000GLB_cluster14,vo1000GLB_cluster15,vo1000GLB_cluster16,vo1000GLB_cluster17,vo1000GLB_cluster18
1980-01-01,-5.0990097464064075e-06,1.692942971137846e-05,5.0201506936541055e-06,0.0018477830963092856,0.0014368055417435244,-1.4205323046347335e-06,-0.00084687490016222,-0.00023817360077215275,-2.7364730445914865e-05,8.873185340784683e-06,0.0002366455798134363,2.253861527171229e-05,0.0002584281074549918,2.7255777013124316e-05,0.008546309254597872,1.4705574580059366e-05,-4.4256022293767375e-05,-2.4517690759193435e-05
1980-02-01,-5.988596237655971e-06,2.009870425913012e-05,5.325295399426562e-06,0.002496225897630211,0.001295698651423057,-1.2654301935933541e-06,-0.0007707527402089909,-0.00024667639556118166,-3.3240366274884975e-05,9.000565582147736e-06,0.00023513111955253407,2.3322728220196236e-05,0.00022833279548318717,0.0006567825039383024,0.008620847802376375,1.2598921762773677e-05,9.858742689377525e-05,-2.0005775039390765e-05
1980-03-01,-6.37084600136779e-06,2.2358018399990467e-05,4.114463463090194e-06,0.0011789909876824822,0.0029108996386639774,-1.0947171364680179e-06,-0.0007521427202542934,-0.0002027034972105985,-3.187963627099704e-05,9.667234379180217e-06,0.00016628879772421595,2.4326327943329133e-05,0.00027765064177484334,0.0009934309370388898,0.007251810166053474,6.86200098975749e-06,0.00016608793076658103,-1.4991312841457444e-05
1980-04-01,-5.366183856228875e-06,2.552435955338472e-05,3.234560780859752e-06,-0.00208380697586108,0.003522721575185036,6.845185127179844e-07,-0.0005433591165153,-0.00014588247564540285,-2.498112906354607e-05,7.417893198211139e-06,0.00010605717761791311,-6.145845200871523e-05,0.00025942703029035,0.0013032141093087073,0.007459303742507473,-2.6794067591209772e-06,0.00037853634340636845,3.090463860068747e-06
1980-05-01,-5.507352867846276e-06,3.414589375908296e-05,1.9311888509003687e-06,-0.003602583456085995,0.00424596267597129,2.0456502210578412e-06,-0.0004638202274994304,-5.172365569666473e-05,-2.2250363448013864e-05,7.385088930041313e-06,4.911540448423087e-05,-0.0001547065514149954,0.0002631941904176281,0.0013300147353826712,0.002247049087600317,-1.1920825361413315e-05,0.0006337009835988283,1.4624698980950125e-05
1980-06-01,-5.39103734843852e-06,3.775309438884528e-05,-3.128025640770279e-08,-0.003609258055803366,0.00478036527056247,3.335806265387333e-06,-0.0005622636308544315,-2.6822671434669957e-05,-2.11750911824847e-05,7.647273300980135e-06,-1.1672676691887318e-05,-0.0002442428724506222,0.00025826567170125515,0.001070301489865718,-0.0001140040808422782,-2.0996473567054905e-05,0.0011673170471719156,2.5763620215002447e-05
1980-07-01,-5.3375863413333395e-06,4.236179990245097e-05,-1.4112672963794014e-06,-0.0033824213460320607,0.00485626709026595,4.074418850814094e-06,-0.0005432642865343951,-1.45887312278912e-06,-2.1162558034555907e-05,8.722265405763878e-06,-3.875813945342088e-05,-0.00026837021679334015,0.00024160822662948206,0.0012549804523587227,-0.0030075952963670716,-2.604439808836593e-05,0.001352422825422966,2.982944144743577e-05
1980-08-01,-4.3587381593785605e-06,4.019817994509162e-05,-3.75297477320489e-07,-0.0043658910726662725,0.0053753154740358395,4.187455515708593e-06,-0.0005378370891169956,-1.5947838342665065e-05,-2.9067060441021516e-05,9.355381560032594e-06,-4.3801844640256604e-05,-0.00027394660561264533,0.00025417023359543896,0.0010756938233195494,-0.002756847425189335,-2.6391300663107826e-05,0.0011854827688593003,2.7884914144826462e-05
1980-09-01,-4.938788052539356e-06,3.7666221208174724e-05,-1.0589203330210883e-07,-0.003761845437111333,0.003920170759859806,3.828799966395117e-06,-0.0006798127894095767,-6.250416529086499e-05,-3.128183084494299e-05,9.121225722618107e-06,4.235578596005023e-05,-0.00019937689775479552,0.00023855115035654637,0.0005808786227134988,-0.0004205688583169831,-1.4136339592457773e-05,0.0009320597099657688,2.1729564524102437e-05
1980-10-01,-5.57108129565596e-06,2.9598700769066094e-05,2.3998674814214486e-06,-0.003011095577676315,0.002923746797023341,2.257100543882185e-06,-0.0007235009737390404,-0.00012527674223984712,-3.191088635348078e-05,8.462922501919571e-06,0.00011592687769734766,-0.00011247013943553294,0.00024354467313969508,-0.00014012333243348016,0.003439528154558502,-4.766008254502994e-06,0.00047603191180516866,1.163318267595347e-06
1980-11-01,-5.831501018875909e-06,2.0900256184900337e-05,3.3600212050942233e-06,-0.001943846837093588,0.002848351141437888,1.2530086228500664e-06,-0.0007255634045577608,-0.00017312274354955423,-3.27535316399816e-05,8.48073262377303e-06,0.00017752719638034858,-6.165542088084571e-05,0.00024650661626682535,-0.0007255335124985626,0.005225330824032426,-1.239539514932492e-06,0.0001389436066448171,-1.4387249485722188e-05
1980-12-01,-6.0475364779230925e-06,1.7174494702436302e-05,4.471453900021979e-06,-0.00017821860183175886,0.003269061805137123,-2.685414045400314e-07,-0.000771706982050091,-0.00020161105962672633,-3.219809156542039e-05,8.837984407185558e-06,0.0002226213988857732,-1.8293317423186913e-05,0.00026549254967407745,-0.0006525960391930615,0.007533957250416279,6.691424149300097e-06,-1.71167446044112e-05,-2.0667445098780848e-05
1981-01-01,-5.900141701736167e-06,1.706505399961754e-05,6.171112373633851e-06,0.00223531860683579,0.0007002109365809399,-1.5410379862251224e-06,-0.0007026468059242083,-0.0002576740845815157,-3.335716405089419e-05,8.849728395231695e-06,0.00021836649466422386,4.683130575121259e-05,0.00025349801779322496,-0.00023431102817994542,0.009235688048647717,1.4757969460688623e-05,-3.928740726324678e-05,-2.5988933136627737e-05
