,vo500GLB_cluster1,vo500GLB_cluster2,vo500GLB_cluster3,vo500GLB_cluster4,vo500GLB_cluster5,vo500GLB_cluster6,vo500GLB_cluster7,vo500GLB_cluster8,vo500GLB_cluster9,vo500GLB_cluster10,vo500GLB_cluster11,vo500GLB_cluster12,vo500GLB_cluster13,vo500GLB_cluster14,vo500GLB_cluster15,vo500GLB_cluster16,vo500GLB_cluster17,vo500GLB_cluster18
1980-11-01,-4.216454e-06,-3.731402e-07,8.361749e-07,-2.0848725e-05,0.00012005342,-1.8392311e-06,3.5861303e-06,1.5306581e-05,4.968932e-05,9.30969e-06,2.9566218e-06,2.7329806e-06,1.775835e-05,-6.3120533e-06,3.950583e-06,-6.4942797e-06,8.94157e-07,-1.3799887e-05
1980-12-01,3.5861303e-06,1.5058089e-05,1.051536e-06,-3.268513e-05,0.00017523477,-3.843721e-06,1.171176e-05,2.1659642e-05,4.052832e-05,6.6425637e-06,1.275177e-06,2.1614542e-06,4.301322e-05,-5.2352625e-06,2.3896053e-05,-5.838956e-08,2.691566e-06,-1.5870639e-05
1981-01-01,1.3586978e-06,2.0873831e-05,-5.8240694e-06,-3.3663542e-05,0.00015393837,-4.2991887e-06,5.883343e-06,4.427199e-05,5.815423e-05,1.10579385e-05,6.591621e-06,7.858187e-06,4.3947017e-05,-1.5256657e-05,2.5790112e-05,-4.540838e-06,3.1168966e-06,-2.0231266e-05
1981-02-01,7.4415548e-06,1.3157773e-05,-1.0827716e-06,-3.237198e-05,0.00021107553,-8.32387e-06,1.3307759e-05,1.7157457e-05,5.09048e-05,-1.1215314e-05,3.9210863e-07,1.0374657e-05,7.9919184e-05,-1.9056359e-05,1.2132852e-05,-9.515446e-06,2.0003135e-06,-1.8581399e-05
1981-03-01,-1.0911099e-06,-9.7654265e-06,2.0753141e-06,-1.9306339e-05,0.00013943117,-7.57393e-06,6.2542676e-07,2.1932083e-05,5.0463168e-05,3.2002208e-06,-4.078247e-07,6.4166343e-06,3.9780676e-05,1.5420228e-06,-1.6106591e-05,-4.0658706e-06,2.9502407e-06,-5.924063e-06
1981-04-01,6.716611e-06,-3.3075994e-06,1.2041193e-05,-1.8639723e-05,9.806776e-05,-2.8326394e-06,6.966591e-06,2.0432199e-05,7.176983e-05,9.924694e-06,-1.799388e-06,8.94977e-06,2.0257212e-05,-1.8131432e-05,-7.973897e-06,-1.8731385e-05,4.183479e-06,-4.349182e-06
1981-05-01,-1.1161028e-06,-1.4073419e-05,1.3141107e-05,-1.3098499e-05,5.0196526e-05,-3.240937e-06,1.2149518e-05,1.5365931e-05,6.411209e-05,1.6707494e-05,1.4086982e-06,3.3835422e-06,1.0670556e-06,-2.0022948e-05,-1.0785152e-07,-4.824149e-06,3.025234e-06,-1.0482036e-05
1981-06-01,-6.182374e-06,-1.3706784e-05,6.916598e-06,-1.8048107e-05,4.8588317e-05,-1.5410697e-06,7.566545e-06,2.4540208e-05,3.835579e-05,1.6157537e-05,4.4751214e-06,-3.1492818e-06,4.1334824e-06,-1.1181983e-05,-1.634824e-05,-1.3823439e-05,4.150148e-06,-2.6826456e-06
1981-07-01,-5.032467e-06,-1.0907002e-05,7.7082e-06,-7.0073074e-06,1.3491081e-05,-1.866043e-06,5.3000585e-06,-9.890413e-06,5.412955e-05,1.632419e-05,-4.157533e-06,-5.6157514e-06,4.483456e-06,-3.3075994e-06,-8.248877e-06,-4.157533e-06,1.1587181e-06,7.224906e-06
1981-08-01,-1.2173565e-05,-1.13403e-05,7.1499126e-06,-2.074361e-06,2.1398791e-05,4.5043998e-07,8.2998195e-06,-1.6106591e-05,7.006163e-05,1.4590991e-05,-1.8284481e-07,-4.9158043e-06,6.6666144e-06,-6.948976e-06,-1.3827521e-06,-7.657254e-06,4.366797e-06,-5.994807e-07
1981-09-01,-5.349102e-06,-1.5423313e-05,6.891598e-06,-6.3281186e-07,4.7221758e-05,6.713526e-08,9.641382e-06,-9.682095e-06,3.4672747e-05,1.8823994e-05,-2.3993343e-06,-4.0575396e-06,1.523261e-05,-7.9239035e-06,-2.2797729e-05,-1.1331969e-05,1.7003404e-06,-3.1742748e-06
1981-10-01,-4.115871e-06,-3.2742682e-06,5.8166843e-06,-2.2414431e-05,0.00013787296,-4.374182e-06,8.691455e-06,4.000158e-06,7.651112e-05,1.657417e-05,-4.4741755e-06,-5.1614916e-07,3.9439037e-05,-6.7989895e-06,8.908108e-06,-2.2556087e-05,2.5669397e-06,-6.140712e-06
1981-11-01,-1.4160833e-06,4.0751547e-06,6.1166575e-06,-2.2339438e-05,0.00016454587,-2.2076856e-06,2.9919065e-06,4.183479e-06,5.9854097e-05,1.0782958e-05,5.4667107e-06,1.3087047e-06,4.0388964e-05,-1.1448625e-05,-2.0206273e-05,-8.740506e-06,5.880429e-08,-1.5206664e-05
1981-12-01,-3.5492485e-06,2.083645e-06,-5.994807e-07,-3.059712e-05,0.00019739327,-2.8243012e-06,2.9919065e-06,1.2807799e-05,2.97398e-05,-9.994474e-07,5.004331e-07,5.966671e-06,6.402877e-05,-1.7214836e-05,2.3336252e-06,-1.4931684e-05,-1.4660764e-06,-1.235689e-05
