,wGLB_cluster1,wGLB_cluster2,wGLB_cluster3,wGLB_cluster4,wGLB_cluster5,wGLB_cluster6,wGLB_cluster7,wGLB_cluster8,wGLB_cluster9,wGLB_cluster10,wGLB_cluster11,wGLB_cluster12,wGLB_cluster13,wGLB_cluster14,wGLB_cluster15,wGLB_cluster16,wGLB_cluster17,wGLB_cluster18
1980-01-01,0.00436898828083344,0.03948094016766246,-0.024164485690125137,3.9379894733428955,0.010793028858287401,-2.371613468442644,8.738691466195242,0.04387637769634073,0.0071810453431680795,-0.10497628473768048,0.026366889227338926,-1.5943360679289873,2.172008554140727,3.777581701676051,-0.058274543242591424,-0.05473985659832857,0.1792852533981204,13.182812929153442
1980-02-01,0.00728106672005331,0.04240333216602792,-0.023524407031822594,87.4028205871582,0.012107870573290377,-2.2624807698386054,7.337627240589686,0.03678431057117202,0.006773063258151524,-0.09025491627992369,0.02582645290456658,-1.9069135189056394,2.12184210618337,5.569332341353099,-0.05407969792636388,-0.051606672682932446,-1.054493524134159,11.377546191215515
1980-03-01,-0.003851023235465171,0.03953522487783231,-0.031220176790190325,61.62344217300415,0.006913608172297321,-2.232415548392704,7.146189042500087,0.02208324593745849,0.011369370995089412,-0.08307443475168125,0.031449363785192606,-1.6619280857198377,1.519482433795929,4.51892614364624,-0.022968646744934568,-0.07712655149552287,-0.9271344169974327,3.7611622363328934
1980-04-01,-0.017106590876508444,0.024262287571460386,-0.02620308166806057,190.42034149169922,0.005928257063490747,-4.2917400598526,4.588170136724199,-0.03001920868303965,0.013708271039649843,-0.060053875523747184,0.03239852193271229,-0.8757958517355077,0.4620571434497833,-1.557771364847819,-0.007391771029805739,-0.06239292382889865,-6.914883852005005,9.199389070272446
1980-05-01,-0.04779349661386404,0.013786804064605305,-0.021233305604388658,238.50669860839844,-0.00026825429832567693,-3.9237780230385915,1.7974700246538433,-0.08535102771764451,0.017924932669848202,-0.007608208084004182,0.03834763078189833,-0.4426531931933234,-0.16523029655218124,-7.4173177282015486,0.01472739333456213,-0.059701471912617585,-3.3044539391994476,12.777169048786163
1980-06-01,-0.06573614435362034,0.007793513069691662,-0.02183304632996833,186.5025281906128,-0.004907206814305911,-3.375416781221117,0.9302886469023567,-0.10738811709664084,0.024023236986249686,-0.005379655654085617,0.04345440296279985,-0.2067444079062518,-0.21663899223009747,-7.600129147370657,0.036509739208306996,-0.07068848959645446,-9.909462928771973,24.645575881004333
1980-07-01,-0.06454322548186193,0.0018303293242602596,-0.01858804003162928,178.5805344581604,-0.008281028195188975,-2.8805004698889594,-0.8523484425885336,-0.12016966600309718,0.02648133896291256,0.008930218424282823,0.04129016573989582,-0.21979885504526248,-0.2018158882856369,-9.102007746696472,0.03511761337447395,-0.06389066729010368,-12.304157018661499,43.157583475112915
1980-08-01,-0.06111782410594284,0.0014087929867329823,-0.01233047037527663,160.26411056518555,-0.006474231478569936,-2.9602363705635066,-0.3279787621327809,-0.09981999004429036,0.027123100496828555,-0.011732094828724204,0.04102303558388478,-0.1936975209151997,-0.29904114703337353,-9.388343493143719,0.02924718038495363,-0.0757158524831947,-8.264932781457901,28.343871235847473
1980-09-01,-0.0670159571483487,0.011446035392425231,-0.010784126793521849,83.57590436935425,-0.00926812821695168,-2.4681557502065385,0.7417908204453332,-0.06983498450029979,0.02197277545928955,-0.013505405057039038,0.03822206301286578,-0.3116059171802857,-0.032072498773535095,-5.958870053291321,0.022161188513111843,-0.05545979175640613,-7.62588307261467,25.358688831329346
1980-10-01,-0.06939823907174048,0.02538631198621249,-0.014358997542236584,80.86707592010498,-0.0030956762870944783,-2.9097929596900936,1.936829090118408,-0.028060664507475765,0.017652827547863126,-0.03139360433480903,0.03572487756284564,-0.4671312430325676,0.11227714518706004,-3.1237860520680747,0.004129017409133284,-0.06417586677232567,-7.3735155165195465,28.173846006393433
1980-11-01,-0.05022740510643506,0.031979547475586456,-0.014802647620352277,109.50073003768921,-0.0018654887309649914,-3.2368134175028116,4.229770387922014,0.010729846227067437,0.01431397395208478,-0.07436508495433658,0.037012747834603336,-0.6110042333602905,0.7789714634418488,3.7164767583211265,-0.024594383149376613,-0.05090235333357539,-2.524939365684986,15.833047032356262
