,mpiGLB_cluster1,mpiGLB_cluster2,mpiGLB_cluster3,mpiGLB_cluster4,mpiGLB_cluster5,mpiGLB_cluster6,mpiGLB_cluster7,mpiGLB_cluster8,mpiGLB_cluster9,mpiGLB_cluster10,mpiGLB_cluster11,mpiGLB_cluster12,mpiGLB_cluster13,mpiGLB_cluster14,mpiGLB_cluster15,mpiGLB_cluster16,mpiGLB_cluster17,mpiGLB_cluster18
1980-01-01,8.572289707705538,3.8462792902510787,6.385475982195194,8.007597517864133,5.8087604532276975,4.034374095253054,2.717276938838861,4.03344607187312,6.802379569296229,8.9080643407683,6.456482128202259,5.743868645213918,3.3256610094027095,7.681194645522919,7.72801039923231,5.80115521340015,6.4814687126328545,5.4762828424953724
1980-02-01,8.536966780356057,4.984235548369159,7.841462755895515,7.662381097249343,5.2008235204544055,3.6267973503855435,2.147142748205268,5.6853972113209705,6.109721484764645,8.75684144511797,6.6418294345510915,5.453821099357164,5.3906324365995255,7.551551370578741,8.22580512243799,4.910519602394359,5.8696026563542985,5.694618468164054
1980-03-01,8.860698678009575,4.5319771185580215,8.539954018125176,7.720577759849034,3.9071391069689234,3.7378483050293707,3.5469533036579324,3.280746312210815,6.668957941473598,8.781251682859281,6.191886747602083,5.025793591692658,6.183271502100635,8.000768247554182,7.891112530496628,3.805177323284647,6.074936013656364,5.667181201393119
1980-04-01,8.661555702043866,4.652734046584768,8.365084107122465,7.967074031693085,4.489828954439389,3.4756135737278218,2.1907360887994596,2.8870744460236994,6.124958254601414,8.732639804388885,7.177387491866868,5.353370390454043,5.658930962786791,8.234319311288743,7.993157301546953,3.1012618443949433,6.031241577546274,6.075160598709674
1980-05-01,8.577333914462875,5.238341677947041,6.796998844863647,8.213793212861612,3.504318575953009,3.7901353250419287,2.262420050717664,2.530991958500131,6.395053618168314,8.830291349048546,6.429466773276381,3.619772849806232,3.3377996414931177,8.335504022595572,7.497232818037212,3.04886776285979,5.253519797405021,6.208876231514358
1980-06-01,8.050038008780568,4.393130055015742,5.3421385879929355,8.275312546799336,6.013569019862092,3.6256037438859385,0.0,0.0,7.748629132241828,8.739845099020235,6.31219380728793,4.093906379755119,3.0555325940616385,8.381159610751634,6.973984183328766,4.234829188907632,6.2924125766901335,5.7926621446316275
1980-07-01,7.330188497199623,4.253321873767782,3.0890039624351138,8.098729577575273,7.521445246038577,4.225676483560766,0.0,1.8201816591789173,7.904467482626991,8.86202935495871,5.734081840793397,3.0641137239519405,2.562383396595596,7.003448067469228,6.38550926886326,6.250754046468941,6.432291011927478,5.368709522620797
1980-08-01,6.696594466736642,3.937924304598118,3.235386288480955,8.057351722618016,8.21762088640819,3.6594183667606237,0.0,3.5616595587506485,8.241587250230797,8.45068229861539,4.990121971826904,4.725713206134008,2.4021019127224887,6.73191077389818,5.8395140143083735,6.3969265409170015,7.423213370888896,4.948963766523406
1980-09-01,6.843226420372046,3.6058301672972766,3.1758562517822324,8.487061558749188,7.878225419841305,3.4371760166164074,0.0,4.571464038931858,8.304280229140621,8.542881940551045,4.936029924095342,6.291056979199082,0.0,7.147616619542793,5.697576920870858,6.524020743228707,8.003460888754619,4.012206881415487
1980-10-01,7.511272035365921,3.6050248711722945,3.1031307630339064,8.824687870975671,7.472318843806109,3.381684680085126,0.0,3.3581084541284643,8.291798536422558,8.815881820092722,5.40132638870197,6.113619826470534,2.2454925385859354,6.18334202267306,6.590250060640376,5.7196569589677475,7.633492640840961,4.486395297277404
