,mpiGLB_cluster1,mpiGLB_cluster2,mpiGLB_cluster3,mpiGLB_cluster4,mpiGLB_cluster5,mpiGLB_cluster6,mpiGLB_cluster7,mpiGLB_cluster8,mpiGLB_cluster9,mpiGLB_cluster10,mpiGLB_cluster11,mpiGLB_cluster12,mpiGLB_cluster13,mpiGLB_cluster14,mpiGLB_cluster15,mpiGLB_cluster16,mpiGLB_cluster17,mpiGLB_cluster18
1980-01-01,10.174906780885804,4.338669765254723,7.40034518750982,9.022647908856602,8.889862624220434,4.180033471448963,4.125220616375998,8.92439332474813,7.7567658506819805,9.275925175639976,8.114354153797304,5.865151324584196,11.762929200463416,11.998247368074482,8.95568426886738,7.346717440530182,8.796678906682493,6.467363459486757
1980-02-01,10.285952065184697,4.979533197071744,9.099105283269449,8.734886319555164,7.81536928021155,4.651183584134781,3.3224510555509195,8.42177201320902,7.073612982608247,9.248397151497974,8.335091861629076,5.514758944174867,16.62964185234099,12.16209263042947,9.224924132091031,6.701318117550341,7.99751014436284,6.82066687330783
1980-03-01,10.491088297210384,5.370692629493008,10.2770881261431,8.81544959460318,6.165525561816489,4.887523791918394,3.6482606088601264,7.130793949107214,7.158085630274515,9.31041608053117,8.602533980650138,5.12614760182679,18.619174030753605,12.626087669348037,9.407407217202215,4.68138778611019,8.095316540362441,7.21332576689758
1980-04-01,10.462189569639534,5.837283195903322,10.049070226773797,9.174243267125835,6.966611264671443,5.494714319922957,2.115208431689442,6.284165575900485,7.828155532192098,9.263601646152589,8.536970724788445,4.929070553801673,13.823713634746097,13.112395701190831,9.22467166254482,4.267357776378915,8.048780153832555,7.4638229805062295
1980-05-01,10.161318855179537,5.7964173004261,8.256469545834912,9.294980357300275,7.84088519088199,5.544719010879616,3.224529346717885,5.223439826687794,8.159618281889362,9.293236795385749,7.908335791793898,3.860688281204695,9.64694835790009,12.966824475569169,8.507336897978478,3.624428615794987,7.527404520656074,7.1994724015954095
1980-06-01,9.297235309225636,5.691327595592861,6.14900829384622,9.467525042401656,10.735364911237093,5.479135991732728,1.7695424225773146,1.9723539391161142,8.77321172696881,9.184180328414818,7.520600438707728,3.3524986377895516,7.342754525627991,12.387033098853399,7.491449610250195,4.78786121696092,7.72791906249533,7.129026527923372
1980-07-01,8.586610517826303,5.632296952079059,4.5966181787761755,9.416522807107427,12.191891736022953,5.392499819667218,0.21371110513880678,2.8777323845735086,9.085983579535164,9.026340877269666,6.804235915574815,3.4645866730371817,4.18054825220681,10.943846013260144,6.685475995592978,7.684475631570127,8.528315300939681,6.631867478392682
1980-08-01,8.183608254694093,4.9982751371713805,3.886497236870479,9.38256449107111,13.050919259151842,5.016089336197952,0.6179933862992485,7.564504526702223,9.364782466978289,8.90688669614444,6.275363320855963,4.922424067698432,2.169305291800049,10.01993486587393,6.222680936479725,9.565688682019065,9.60975999976685,5.876733194842978
1980-09-01,8.437936219517404,4.5114604381138985,3.6690655386688453,9.56460246088144,13.220115673039995,4.341666399528619,1.0667905112859624,7.751791565874227,9.541235918492397,9.037031932727148,6.006672552576838,5.629339509201243,3.07457379193932,10.238776548620544,6.449793281478329,9.423993072395893,9.94488926022056,5.555823830232729
1980-10-01,9.077583268985949,4.399217564250497,3.4223325911401576,9.62529715487209,12.80118141753875,4.561356333190989,0.5486180990910647,8.87952837904898,9.583250305000846,9.152810779575423,6.042995865267808,5.965026158428492,2.7729918686814603,9.9304554601815,7.027031151566094,8.34861686660436,9.985620078520668,5.330858603518313
1980-11-01,9.74228401372794,4.035591756937324,4.3090079979504425,9.616966649730728,11.239084157501606,3.690163698020746,2.507269110759166,8.574812731099916,9.20223875272673,9.298604186277613,6.518760369007129,5.902703216735494,5.71814563073548,10.54157442338556,7.854568894863875,7.548564805879209,9.619207385510075,5.242047765356683
1980-12-01,10.097466703115703,3.9409558264992315,4.5933780823173045,9.329045169812709,10.04506648676497,3.7211517802199605,1.9356207754686072,8.875030650498294,8.590420195785645,9.309427979216306,7.34759317828967,5.906553290002002,8.052618603237091,10.53914303002252,8.452822812912853,7.855766013981976,9.258070719935528,5.6844912917994375
1981-01-01,10.143406214538155,4.236757997808737,5.942790539708174,8.763773809399007,8.956763662405363,3.6377294638294595,4.13989965534513,9.707050835294588,7.736250336926606,9.233344451546742,7.9203361317685435,6.108865089156193,10.674833478020188,9.390769778736992,8.931694470227,6.973085603708241,8.897217141508614,6.191976095761744
1981-02-01,10.316905823792085,4.628271224423057,8.34637187143044,8.654789052237131,7.266375166615216,4.368334922534207,3.5858380826328236,7.566982825011835,7.444082539408237,9.200517937731725,8.257337132621844,5.571478364924297,13.120170789621593,10.217814370013736,9.28215933818544,5.623230674339629,8.459256898940875,6.420087628828576
1981-03-01,10.434077437751577,5.42008878927824,9.502103529067782,8.819200081052612,6.5320497667637145,4.732794275552359,4.0249140739820515,6.638136339473404,7.316294216648364,9.233858184627332,8.682225705522548,4.786186968144912,16.26537297723643,11.68904013834632,9.369943445383011,4.1529763812675125,7.951051322758664,7.388713243789915
