,mgu850GLB_cluster1,mgu850GLB_cluster2,mgu850GLB_cluster3,mgu850GLB_cluster4,mgu850GLB_cluster5,mgu850GLB_cluster6,mgu850GLB_cluster7,mgu850GLB_cluster8,mgu850GLB_cluster9,mgu850GLB_cluster10,mgu850GLB_cluster11,mgu850GLB_cluster12,mgu850GLB_cluster13,mgu850GLB_cluster14,mgu850GLB_cluster15,mgu850GLB_cluster16,mgu850GLB_cluster17,mgu850GLB_cluster18
1982-01-01,0.502124,-0.63994944,-0.8204811,-0.3018566,-0.009382248,-0.8220989,0.37368125,-0.3623577,0.63768464,0.21514969,1.1504848,0.18085518,-1.4015472,-0.68168485,0.23197365,-0.12941322,0.9143055,0.9871006
1982-02-01,0.3122097,-0.5781544,-0.51183015,-0.34715158,0.0064704893,-0.82986337,0.12941322,-0.32256317,0.6583904,0.32159233,1.0472778,0.19250222,-1.2708397,-0.47785872,0.12358971,-0.13458976,0.8191868,0.9431
1982-03-01,0.23876762,-0.58786047,-0.46653557,-0.10773659,-0.0666481,-0.60306627,0.012294387,-0.5030945,0.6587143,0.3442394,1.2048385,0.27823868,-1.2236038,-0.5283302,0.5108593,-0.05953026,0.73700905,0.9838654
1982-04-01,0.19735566,-0.35976905,-0.29862136,-0.027500153,-0.091236494,0.40506363,-0.19509086,-0.45100555,0.4154171,0.31673926,0.753833,0.20609093,-0.6936558,-0.5817131,0.5778309,-0.040765,0.62312543,0.6357433
1982-05-01,0.16597252,-0.26820946,-0.33712196,0.00097045896,-0.45359382,1.0686309,-0.26206207,-0.66292,0.35329857,-0.021029662,1.2310448,0.12358971,-1.006189,0.21935578,0.8088337,0.010029602,0.1760025,0.5102123
1982-06-01,-0.02685318,-0.25073853,-0.5354481,0.118090056,-0.5432129,1.1207199,-0.25203285,-0.6959206,0.301857,-0.9317764,1.1815445,0.4277111,-0.8130398,1.5804611,0.7949219,0.04270668,-0.47559413,1.0155712
1982-07-01,-0.032676697,0.05726509,-0.5293007,0.21741447,-0.54256594,1.2640454,-0.23391457,-0.80333364,0.019088745,-1.1246026,1.6911094,0.5351246,-0.97189486,1.4546067,0.8149807,0.010029602,-0.5487129,0.9327469
1982-08-01,0.030088425,0.07247162,-0.47268218,0.35297507,-0.53027153,1.0534248,-0.33485717,-0.7570683,-0.011323929,-1.2355744,0.593684,0.4150936,-1.1294556,1.581755,0.74865645,-0.02782402,-0.12811927,0.82145154
1982-09-01,-0.049500655,-0.35232812,-0.41024017,0.25073814,-0.32159233,0.6936558,-0.57297784,-0.6655083,0.3846813,-0.6224785,0.3037979,0.5610069,-1.656168,0.51894796,0.839893,-0.10708962,-0.5354481,0.6836262
1982-10-01,0.18376693,-0.20123787,-0.30768052,-0.012294387,-0.4901535,0.9395412,-0.36947554,-0.68847924,0.18182564,0.13167839,0.1565899,0.5228302,-1.1999855,-0.31447488,0.85412824,-0.09997177,0.20544395,0.8149807
1982-11-01,0.2814743,-0.49824142,-0.31350365,-0.18926735,-0.37659302,0.08347168,-0.15109023,-0.8068924,0.5338303,0.2374733,1.3659588,0.21353225,-0.97415924,-0.21191445,0.22194405,-0.12326622,0.78748053,0.9793358
1982-12-01,0.34585723,-0.7447742,-0.73183286,-0.44097632,-0.2271206,-0.9861301,0.27500343,-0.68103826,0.73409766,0.1986496,1.8496411,0.154002,-1.062484,-1.0757488,0.1093544,-0.16759034,0.5293007,1.010395
1983-01-01,0.3309044,-0.6302479,-0.7301372,-0.37645683,-0.0022773743,-0.86874616,0.49684447,-0.81733704,0.65465087,0.21376991,1.4215548,0.13079986,-1.4654804,-0.5570385,0.18318519,-0.14381485,1.0281792,1.0734059
1983-02-01,0.39402658,-0.62374,-0.70475805,-0.19197007,-0.031561278,-0.9260117,0.6224388,-0.5323101,0.69206846,0.1343792,1.2461789,0.2082386,-0.9413044,-0.49814606,0.11030159,-0.15650444,0.7861015,1.0164654
1983-03-01,0.25379103,-0.8065998,-0.54662704,-0.119737245,-0.059869003,-0.672221,0.59087753,-0.58957595,0.9048622,0.32114333,1.0496536,0.2811222,-1.198349,-0.33057937,0.5944565,-0.12429275,0.60063857,1.0151641
1983-04-01,0.28405076,-0.49586868,-0.3868683,0.034814835,-0.27168655,0.05075836,0.23426858,-0.76137316,0.572982,0.25379103,0.30747718,0.1473938,-1.2022533,-0.84239084,0.7939102,-0.05954323,0.5928299,0.86028594
1983-05-01,0.097286604,-0.10542069,-0.4164772,0.000976181,-0.4516178,0.93251914,-0.34554633,-0.60682106,0.19424781,-0.268758,1.0424954,0.032862853,-0.52905655,-0.08069267,0.86614305,0.06051941,0.14934655,0.8137581
1983-06-01,0.004880524,-0.2642029,-0.47569543,0.036767196,-0.5196209,0.97123873,-0.17374916,-0.7002026,0.32211953,-0.7259075,2.0436683,0.4285164,-0.879158,1.3398861,0.7756897,0.07808952,-0.3413166,0.6361042
1983-07-01,-0.03709259,-0.22027779,-0.39988327,0.06507454,-0.5996624,1.2416236,-0.4164776,-0.7512867,0.330254,-1.1846836,1.2875011,0.48285407,-0.9260117,1.6636322,0.7743877,0.022125244,0.12559395,0.7483578
1983-08-01,0.07483558,0.13698196,-0.12852249,0.25444144,-0.44999123,1.1713428,-0.13925973,-0.8065998,-0.053035736,-1.282621,0.20498466,0.7415253,-0.79781455,1.5308803,0.77276117,-0.04099693,-0.47927475,0.73729515
