,abs_vo850GLB_cluster1,abs_vo850GLB_cluster2,abs_vo850GLB_cluster3,abs_vo850GLB_cluster4,abs_vo850GLB_cluster5,abs_vo850GLB_cluster6,abs_vo850GLB_cluster7,abs_vo850GLB_cluster8,abs_vo850GLB_cluster9,abs_vo850GLB_cluster10,abs_vo850GLB_cluster11,abs_vo850GLB_cluster12,abs_vo850GLB_cluster13,abs_vo850GLB_cluster14,abs_vo850GLB_cluster15,abs_vo850GLB_cluster16,abs_vo850GLB_cluster17,abs_vo850GLB_cluster18
1980-01-01,-5.195264781777327e-05,0.0008337280936151122,-6.086145859356764e-05,9.247345276723635e-05,-2.43335246316846e-05,-8.324782734664749e-05,3.288279154277157e-05,8.690256510267635e-06,0.00045967048208694905,0.000338388296465079,-0.00011211374761099506,5.595095528945051e-05,-1.697427478575264e-05,2.1761627888941626e-05,-4.3281015211668535e-05,6.880589940495285e-05,0.00010582673928217478,-6.913963455186958e-06
1980-02-01,-5.2103857191262327e-05,0.0007280984088235225,-6.153934749882275e-05,9.198301029803676e-05,-2.2914413680804762e-05,-8.446044594791309e-05,3.222441278023011e-05,8.872688985595528e-06,0.0006910973024787381,0.00033221123077156436,-0.00011001945796296888,5.444312086587565e-05,3.760135314223589e-05,2.3136034278356802e-05,-4.332597275261908e-05,6.786345530895822e-05,0.00010708389001794986,-5.990199865056757e-06
1980-03-01,-5.059098786616693e-05,0.0007660549575424133,-5.955574046832102e-05,9.031630303864545e-05,-2.646966362697319e-05,-8.378125719504596e-05,3.416884164347602e-05,8.718053536963559e-06,0.0018358160741627216,0.0003527771898209014,-0.00011256651337471135,5.6788758453798057e-05,6.953386478666548e-05,2.3765392876568162e-05,-4.264420308663571e-05,6.845732442115404e-05,0.0001041767191728232,-8.605040801533108e-06
1980-04-01,-4.895241149500907e-05,0.0007383593886819048,-6.018585028055466e-05,9.003386710520427e-05,-2.9340140872973433e-05,-8.477095212990198e-05,3.603649261762499e-05,6.559780522392494e-06,0.0020085868891328573,0.0003363800917415776,-0.00011425485839719894,5.763304171175409e-05,0.00010207902830318614,2.563902530856731e-05,-3.930567864904398e-05,7.010703458201128e-05,0.00010101750107154387,-1.0777546363102696e-05
1980-05-01,-4.7724058989516524e-05,0.0004322007953305729,-5.875287967852209e-05,8.888485603471311e-05,-2.9991211444472098e-05,-8.503202766574983e-05,3.682417735836788e-05,1.19701995086067e-06,0.003307533625047654,0.00035155854776449915,-0.00011200069420270239,5.680176175780089e-05,0.000262346890979513,2.4922935388589863e-05,-3.742567018358345e-05,7.079130589495002e-05,0.00010189255085101143,-1.1372542722064107e-05
1980-06-01,-4.735009012636937e-05,2.6118332622597034e-05,-5.857712691140843e-05,8.902646033546632e-05,-2.8754508827407962e-05,-8.698356667077196e-05,3.991099347204126e-05,-2.205376792813314e-06,0.0038146809674799442,0.00036233133060805913,-0.00011853519664295737,6.0181904880237985e-05,0.0006913377936663372,2.118235971143041e-05,-3.5599898696184544e-05,7.253393653467545e-05,0.0001012327212029723,-1.096790360418377e-05
1980-07-01,-4.725093360637661e-05,-0.00012445445160362095,-5.80287710751814e-05,9.067468365769734e-05,-2.7355609676642188e-05,-8.542388072170658e-05,4.11352242214501e-05,-3.113586883925503e-06,0.004522765229921788,0.00034944993482592207,-0.0001195204712621197,5.967537876086333e-05,0.0008788686370410556,1.824733706070542e-05,-3.457110679222197e-05,7.516185830881341e-05,0.00010017583176873072,-1.1409954803038408e-05
1980-08-01,-4.70862022784138e-05,-3.5120194752380485e-05,-5.734537858439928e-05,9.023170232440408e-05,-2.7737041818909347e-05,-8.332339723535778e-05,4.052755201456847e-05,-2.6478142965013534e-06,0.003873166278935969,0.0003366102545341063,-0.00011343198034454173,5.979592520973565e-05,0.0007357481081271543,1.6773867261485242e-05,-3.508764381392427e-05,7.442254552977314e-05,0.00010124696052150317,-1.1844012955315445e-05
1980-09-01,-4.806529084284419e-05,0.0003063785091702206,-5.864429058145554e-05,8.772141968070427e-05,-2.744006199181127e-05,-8.396672740055616e-05,4.1517423575614866e-05,-1.0519911350306122e-06,0.002930666960310191,0.0003301010615864976,-0.00011489931873938254,5.924398992871751e-05,0.0004642245975056929,1.819649447321764e-05,-3.609357034738449e-05,7.210552416639859e-05,9.918860558644626e-05,-1.1402096703147602e-05
1980-10-01,-4.832144678597361e-05,0.0006005883430286001,-6.083384560316979e-05,8.74457424465336e-05,-2.9007074741809044e-05,-8.601377950647691e-05,4.101061369514957e-05,1.715676787202832e-06,0.002301745262229815,0.0003160417084776176,-0.00011208305055637907,5.625326324392248e-05,0.00016183448678930287,2.297106294140723e-05,-3.7257383606380696e-05,6.910740816898601e-05,9.949973900802433e-05,-1.0831829899132322e-05
