,zgv250GLB_cluster1,zgv250GLB_cluster2,zgv250GLB_cluster3,zgv250GLB_cluster4,zgv250GLB_cluster5,zgv250GLB_cluster6,zgv250GLB_cluster7,zgv250GLB_cluster8,zgv250GLB_cluster9,zgv250GLB_cluster10,zgv250GLB_cluster11,zgv250GLB_cluster12,zgv250GLB_cluster13,zgv250GLB_cluster14,zgv250GLB_cluster15,zgv250GLB_cluster16,zgv250GLB_cluster17,zgv250GLB_cluster18
1980-11-01,-0.5757545,0.20238319,-0.2042696,0.09068165,0.16721542,0.26005307,0.55028826,0.31516266,0.3216303,-0.4399342,-0.009431958,-0.038401604,-0.43696976,0.298724,-0.11547428,-0.2341824,-0.044734478,-0.39775982
1980-12-01,-0.15104632,0.068314426,-0.3546421,0.37067655,0.37202397,0.29050475,-0.18540573,0.9210995,1.038595,-0.10307803,0.58734244,0.2735272,-1.1807483,-0.16263416,-0.11803441,0.038132094,-1.1507007,-0.009836197
1981-01-01,-0.33213615,0.01986904,0.327627,-0.19629431,0.1302053,0.69315994,-0.4410634,-0.37567884,-0.029733276,-0.3625738,1.5300529,0.24519177,0.15796547,0.023955535,0.13245992,-0.2894389,0.21588135,-0.05213852
1981-02-01,-0.061579753,-0.06792097,-0.21574059,0.019164467,0.18530293,0.3007122,-0.021137238,0.28986177,-0.030014848,-0.38216096,-0.29493466,0.168816,1.5936058,0.09920406,-0.072571084,-0.2825342,-0.049883842,-0.33368626
1981-03-01,0.17924376,-0.014091492,-0.25153294,-0.076516725,0.09638572,0.36539212,-0.19939442,-0.60156536,-0.06482086,0.042556286,0.32184944,-0.027619362,-0.31085807,0.44120425,0.12499142,-0.20545378,0.20799026,-0.34185925
1981-04-01,-0.41583967,-0.032269478,-0.20122632,-0.19643526,0.2301139,0.3627147,0.25547847,-0.13513736,1.1653655,-0.19925356,-0.03917432,-0.2391324,1.3276993,0.64130336,0.045092724,-0.3321362,0.5273032,-0.47347373
1981-05-01,-0.20756754,0.13837834,0.21841793,0.3779336,-0.025364637,0.39892983,-0.111040875,0.12527323,0.18333015,-0.42866278,-0.029310226,0.3334044,0.16585664,0.9934494,0.18600754,0.054815866,1.3640554,-0.06933012
1981-06-01,-0.08328066,0.118368484,0.27591118,-0.10512247,0.099908635,-0.80997837,-0.48136503,0.25421038,-0.093285605,-0.00028181076,0.7065469,0.36792856,0.2747838,0.28943902,0.21193585,-0.16487035,0.013527679,1.1173136
1981-07-01,-0.068343684,0.09356747,-0.03184676,-0.02804203,-0.040724374,0.026492024,-0.110477164,-0.5305443,0.43909055,1.0892714,0.29817572,0.064398095,0.6376395,-1.1060402,0.1702251,-0.1674068,0.021419048,0.054252148
1981-08-01,-0.29747114,0.010427761,-0.17276153,0.1362646,0.3577827,0.4007617,-0.17078876,-0.2819705,0.036215115,-0.106249616,-0.5254711,-0.06045246,0.31268993,-0.1606429,0.077925876,-0.22983208,-0.16219302,0.16148834
1981-09-01,-0.09187646,0.3396047,0.13260083,-0.27140194,0.08046236,-0.27140197,-0.20714474,-0.1647294,0.8251971,-0.13964653,0.42499906,-0.012682343,-0.18121648,-0.027337456,-0.0587615,-0.111745454,0.08835354,-0.11836843
1981-10-01,-0.18149829,0.14246483,0.057775117,0.41386682,-0.15345621,0.81378305,-0.14838333,-1.0692616,-0.7723541,-0.7433256,0.16346121,0.244769,0.9938723,0.9259511,0.06679358,-0.18403473,0.47615117,0.033819534
1981-11-01,-0.58888304,0.075530335,0.30902624,0.34326848,0.21940431,0.55534524,-0.56915486,-0.33129063,0.08539448,0.21221772,0.4214762,0.04424715,0.0031002045,-0.92806494,-0.03184676,-0.011695862,0.49883834,0.13936472
1981-12-01,0.1299235,0.015923405,0.26971093,0.18953046,0.24547362,0.2588606,-0.05270214,0.3682104,-0.11653652,-0.47206467,0.65609944,0.010427666,-0.20813122,0.112450026,0.08144875,-0.064398006,-0.13245992,0.0014091491
1982-01-01,-0.46438137,0.02288642,0.058945846,-0.11443205,0.4807478,0.55792296,-0.2872778,1.7944548,-0.5548625,-0.058945846,-0.25254893,0.19826023,-0.6166027,0.50563014,0.051361393,0.101924375,-1.0213729,0.81739104
1982-02-01,0.114298984,-0.06360302,-0.35314274,-0.27250805,0.063336805,-0.55459636,-0.0775743,0.646142,0.3181478,-1.1932871,0.8853849,0.037389994,0.022221183,1.0977497,-0.07225189,-0.19586511,0.39066577,-0.3971858
1982-03-01,-0.32253885,-0.07717514,0.23019476,-0.045905877,-0.26066563,0.9453953,-0.47010297,-0.4134191,-0.20677614,0.17138195,-0.43457586,0.009846496,0.4816792,-0.2416379,-0.023817826,-0.07597761,0.15993877,-0.3909319
1982-04-01,-0.21768709,0.18428889,0.3277281,0.08888435,-0.17843422,0.27783045,0.21223164,-1.03255,-0.3051079,-0.08302975,1.522612,-0.03246679,0.65199673,0.18681702,0.08449344,-0.2695807,0.24962159,-0.5277182
1982-05-01,0.25268203,0.15168905,0.18282518,-0.2146267,0.058812786,-0.012640739,-1.2383946,0.39785117,0.43191457,-0.44176108,0.09154568,0.10711374,0.98345053,0.8754055,0.038853694,-0.001596737,0.54767716,-0.5032349
1982-06-01,-0.292201,-0.0270113,-0.22819889,-0.2642583,0.12733898,-1.0011476,-0.39199638,-0.13691941,1.2338707,0.012108517,-0.17870025,0.24735956,0.1443707,-0.18708324,-0.04776869,-0.06227236,0.53796387,0.023285603
1982-07-01,-0.010378743,-0.2154251,0.2013206,0.0039918185,-0.12600823,-0.17550687,-0.2144936,0.14516911,-0.08196545,0.7925087,-0.22088051,0.16366449,1.0929595,-0.5571246,-0.24549675,-0.2568069,-0.2617301,0.17005138
1982-08-01,-0.28062472,0.110041045,-0.21875148,-0.13652015,-0.19333696,0.013572169,-0.16353145,0.61074793,-0.44561976,0.86382926,0.09753342,-0.056949995,0.76909006,-1.5528167,-0.006653023,-0.062139273,0.026878214,0.11549656
1982-09-01,-0.29592672,0.110041045,-0.25840363,-0.13638708,-0.09314237,1.1963476,-0.28634632,-0.3551387,-0.0017297745,-0.006919098,-0.04457531,-0.043643855,0.19480066,-0.47542533,0.009314251,-0.17577295,0.12135124,-0.023418665
1982-10-01,-0.06759477,0.25547627,-0.17723675,0.25095218,0.1453021,0.23631556,-0.46810713,-0.024616146,-0.091412544,-0.50057375,-0.59917164,0.25214976,-0.5177385,0.637227,-0.17284568,-0.13319358,0.43324518,0.29472914
1982-11-01,-0.28701156,0.29273325,-0.1266737,0.08169918,-0.57402325,-0.019959068,0.33544564,0.08821914,-0.33877215,0.43750325,0.5580559,0.09939623,-0.25866976,0.7519252,-0.015834188,-0.09101343,-0.514146,-0.107113644
1982-12-01,-0.42579383,0.033132076,-0.36911002,-0.31561965,0.5629792,0.6634399,0.91612196,0.84001124,1.245846,-0.93142396,0.64441216,0.09819865,-0.6060909,1.1660097,0.0,-0.22593684,-0.89749354,-0.4208706
1983-01-01,0.01703558,-0.0645206,-0.0008048058,-0.007511711,-0.035144277,0.40161055,-0.52206695,0.0977869,0.09778695,-0.32823676,0.015828323,0.22736473,0.35036963,-0.14205265,0.057411265,0.012877273,0.6299141,0.2622407
