,mgv600GLB_cluster1,mgv600GLB_cluster2,mgv600GLB_cluster3,mgv600GLB_cluster4,mgv600GLB_cluster5,mgv600GLB_cluster6,mgv600GLB_cluster7,mgv600GLB_cluster8,mgv600GLB_cluster9,mgv600GLB_cluster10,mgv600GLB_cluster11,mgv600GLB_cluster12,mgv600GLB_cluster13,mgv600GLB_cluster14,mgv600GLB_cluster15,mgv600GLB_cluster16,mgv600GLB_cluster17,mgv600GLB_cluster18
1980-11-01,0.59354055,-0.33308336,-0.049989473,0.14269228,0.038940586,0.22448096,-0.04325235,0.3229777,0.057939254,-0.035167783,-0.14161435,0.2220556,-0.07680321,0.76816684,-0.027891695,0.38886675,-0.23310447,-0.9787693
1980-12-01,0.79632795,-0.71332663,-0.01643858,0.11884286,0.1002484,0.1730093,0.07491682,0.3941217,0.027622223,-0.08205817,-0.23445192,0.11978607,-0.27042812,0.70645475,-0.020076657,0.048642017,-0.23768573,-1.5328302
1981-01-01,0.48066035,-0.7409302,-0.12048221,0.08468981,0.42866284,0.099485874,0.019587183,0.51208436,-0.21137218,0.089058116,-0.23730049,-0.1459877,-0.5089843,0.5016568,-0.10963173,-0.25590125,-0.21672697,-1.1773432
1981-02-01,0.3635602,-0.49066535,0.04833374,0.21489505,0.20221272,0.010145855,0.091453694,0.88325405,-0.1892486,-0.032269478,-0.16797037,0.07961683,-0.1362646,0.6469399,-0.11893205,0.02635107,-0.2535058,-1.1625472
1981-03-01,0.19277148,-0.4892562,0.03973799,0.0008454323,0.19812623,-0.09229918,0.07355752,0.42993107,-0.2061584,0.011555004,-0.066652775,0.15754275,0.005213833,0.477983,-0.051997565,-0.60339725,-0.26576528,-0.96428
1981-04-01,0.29620296,-0.26336974,0.06792097,0.25674677,0.4498001,-0.07059832,0.105545186,0.3973798,0.046501826,0.056225013,-0.06482077,0.20023994,-0.17417069,0.40118447,0.16994329,-0.7816544,-0.25604218,-0.65187186
1981-05-01,0.33678645,-0.20968123,0.13992843,0.059325077,0.18840304,-0.060734272,0.03917432,0.32241312,0.03184676,-0.050588418,0.16797046,-0.2864798,0.11329546,0.28211147,0.047911026,-0.46022773,-0.4650189,-0.37807447
1981-06-01,0.40865296,-0.2191226,0.10723615,0.18516207,-0.14584684,-0.3053623,-0.049461175,0.14908782,0.26111513,-0.16642046,-0.23701867,-0.27548847,0.18614845,0.6804776,-0.2970484,0.12696429,-0.33763188,-0.4438816
1981-07-01,-0.27746123,-0.23321399,0.086098954,0.21517691,0.50687057,-0.33058614,-0.03410139,0.031987667,0.27774304,-0.008454895,-0.012118721,-0.4032982,0.2020719,0.67470014,-0.2523784,-0.24589634,-0.20376281,-0.5267396
1981-08-01,0.010145855,-0.14683323,0.07327571,0.09709034,-0.10963173,-0.39864796,-0.1516244,0.04452915,0.3624329,-0.041710757,-0.14415589,-0.362292,0.16994329,0.60283357,-0.35214615,0.3886431,-0.16585675,-1.0880034
1981-09-01,0.1531744,-0.129078,0.017614365,0.14006934,-0.029028416,-0.42415363,-0.09060826,0.2275775,0.26280612,0.1130137,-0.15979739,-0.27393836,0.10174046,0.55731803,-0.18995313,0.072571084,-0.22955027,-1.0531973
1981-10-01,0.1776936,-0.3491869,0.051574804,-0.009582234,0.088635445,-0.25280112,-0.02804203,0.33185434,0.44655904,0.025364686,-0.3016986,0.03184676,-0.017191697,0.49982482,-0.13105078,-0.06637087,-0.32368127,-1.5090567
1981-11-01,0.20404463,-0.35341436,0.05749321,0.19178505,0.13048705,-0.1572609,0.044247247,0.38342923,-0.049742937,-0.25576034,-0.15965652,-0.016064262,-0.08933997,0.8092737,0.029733086,0.091453694,-0.43359488,-0.8621168
1981-12-01,0.4444453,-0.6642724,-0.11371823,0.121891305,0.038469743,-0.07567129,-0.0400198,0.61551595,-0.09779487,0.0069048405,-0.10709524,-0.016627979,-0.17656627,0.53561723,-0.019446183,-0.50658876,-0.3491869,-0.8399932
1982-01-01,0.29393077,-0.7504615,-0.28541487,0.36538428,-0.1665918,0.07225189,0.014370536,0.82164896,-0.027942706,-0.06826005,0.007850575,0.4888645,-0.32586527,0.60981655,-0.092077896,0.043643855,-0.122681834,-1.2244234
1982-02-01,-0.16419677,-0.5986394,0.0075844764,0.059877254,0.26705256,-0.06692946,-0.02368474,0.5677694,-0.30524096,-0.12534304,0.003858757,0.04936545,-0.33890525,0.51348066,-0.15634616,-0.28035864,-0.2995193,-0.64627516
1982-03-01,-0.5852005,-0.3438285,0.07850571,0.2441661,0.23192456,-0.16672488,0.14077806,0.62432015,0.10072684,-0.1711159,-0.23538414,0.4059678,-0.5812085,0.45972425,-0.15807593,-0.06892538,-0.19812715,-0.6003692
1982-04-01,-0.08755388,-0.17830117,-0.05242586,0.22700131,0.20491329,-0.30550706,0.17244649,0.15727761,-0.048966266,-0.10990803,-0.20491326,0.09101339,-0.14516906,0.28115696,-0.012507677,0.09886398,-0.34555832,-0.5883938
1982-05-01,0.4114232,-0.31082946,0.14822948,-0.060010314,0.13119772,-0.26771784,0.14290705,0.1615355,0.20557857,-0.0015967131,-0.26904842,0.037789203,0.04005122,0.4409627,-0.09913011,-0.19213943,-0.22753355,-0.49378777
