,abs_vo600GLB_cluster1,abs_vo600GLB_cluster2,abs_vo600GLB_cluster3,abs_vo600GLB_cluster4,abs_vo600GLB_cluster5,abs_vo600GLB_cluster6,abs_vo600GLB_cluster7,abs_vo600GLB_cluster8,abs_vo600GLB_cluster9,abs_vo600GLB_cluster10,abs_vo600GLB_cluster11,abs_vo600GLB_cluster12,abs_vo600GLB_cluster13,abs_vo600GLB_cluster14,abs_vo600GLB_cluster15,abs_vo600GLB_cluster16,abs_vo600GLB_cluster17,abs_vo600GLB_cluster18
1980-01-01,1.816114570573789e-05,-7.757795517781214e-05,8.882579861637792e-05,-3.748372126882476e-05,4.793591425732895e-05,-6.572655428665157e-05,0.0001543715838636769,1.296339361961329e-05,-9.833342550049757e-05,0.009563343094972273,-5.222339744002305e-05,2.8839149361966544e-05,6.0376718514866344e-05,9.18371471823877e-05,-1.2760347090079449e-05,1.1737633805675047e-06,-8.85610175205043e-05,0.0020262901671230793
1980-02-01,1.8383133896062837e-05,-7.894115764705389e-05,8.679664289069134e-05,-3.648985932579728e-05,4.4239483677390783e-05,-6.54116849328608e-05,0.00015927075102667603,1.2515953461512584e-05,-9.637281580485011e-05,0.009944797299491864,-5.37989156631132e-05,2.988134654200584e-05,5.6474681440630704e-05,9.360080369149003e-05,-1.1457608669237137e-05,4.507088735522698e-07,-8.96625466224692e-05,0.0021540259695029818
1980-03-01,1.989346505101901e-05,-7.563174351539474e-05,8.284615024586948e-05,-3.717228133205531e-05,5.0039579650062575e-05,-6.330641062158518e-05,0.00015410046614209208,1.3314045474042187e-05,-9.775454408985465e-05,0.009205599781125784,-5.01896978345361e-05,3.4194358184461175e-05,5.537247464392724e-05,9.066503111540073e-05,-1.44177088638268e-05,7.748352172806817e-08,-9.075287685540694e-05,0.002057252640952356
1980-04-01,2.2059115540366947e-05,-8.086609220184132e-05,8.185125757228788e-05,-3.273396084348003e-05,5.403193314324652e-05,-6.525847111219458e-05,0.0001520769658172955,1.2973773495846047e-05,-0.00010085050234920345,0.00803979103996729,-4.812316491910624e-05,3.483721837821305e-05,5.545117297466228e-05,8.863703601332577e-05,-1.3067473661168253e-05,-3.607350590133321e-07,-9.28500851402971e-05,0.0019415083443163894
1980-05-01,2.4521607867842377e-05,-8.101945722420864e-05,8.204837586807718e-05,-3.0191120174720425e-05,5.76930611086433e-05,-6.473966101374852e-05,0.0001393255251527592,1.1670213572766008e-05,-0.00010459669427195637,0.00624260283075273,-4.6440481762119546e-05,3.613200757476362e-05,5.8027416270232536e-05,8.545741455147525e-05,-1.2116265048057863e-05,-1.855795259779329e-06,-9.34855942451558e-05,0.001749925831973087
1980-06-01,2.7536476217823004e-05,-8.354927840262029e-05,7.893348971609114e-05,-2.5265593479902066e-05,6.183563350132554e-05,-6.723870077015211e-05,0.00012962315929488467,1.0072103838133704e-05,-0.00010674524865431809,0.0037707291388263306,-4.201528072096126e-05,3.998308072376674e-05,5.6538294449785246e-05,8.324246295529151e-05,-1.3767932374422446e-05,-2.590589814365903e-06,-9.792032602757633e-05,0.0016503505321452394
1980-07-01,2.928977074477364e-05,-8.10332500070172e-05,7.981952088683345e-05,-2.682944258056894e-05,6.214517691242433e-05,-6.509210451091669e-05,0.00012269675493177063,8.662812553041595e-06,-0.00010617839411440256,0.002276266604894772,-4.2453494009378396e-05,3.995755566161158e-05,5.978366160077811e-05,8.076595849116574e-05,-1.3397210649499257e-05,-5.497466868877927e-07,-9.655715756027119e-05,0.001351010359940119
1980-08-01,2.7307827973313498e-05,-7.917562143908865e-05,7.922473426827589e-05,-2.843869267351081e-05,6.223637641958152e-05,-6.290772932899365e-05,0.00012553082872295156,7.22045240806563e-06,-0.00010327439428549137,0.0031636632532657436,-4.443313655704542e-05,4.101439597306341e-05,5.907710712218997e-05,8.21998487576725e-05,-1.3023511908411618e-05,-1.7545292834548088e-06,-9.553377631354843e-05,0.0014893071238475386
1980-09-01,2.5592567557428164e-05,-7.945153228441202e-05,7.866228555739805e-05,-2.8941573324479027e-05,6.432592361052112e-05,-6.381014370031467e-05,0.00012764889530462293,8.493155043900266e-06,-0.00010155084917067525,0.0039068016728075845,-4.3674008338712156e-05,4.34223816134691e-05,5.762106264080865e-05,8.173276535137655e-05,-1.3745076267292057e-05,-1.5805465120981198e-06,-9.439093198373237e-05,0.0016624308045720682
1980-10-01,2.5966578584956823e-05,-8.130802665894776e-05,7.925126000351499e-05,-3.025129922685233e-05,5.768414509804246e-05,-6.378773581009627e-05,0.00013446556339243842,1.0472797499699141e-05,-0.00010405235690613106,0.0052483766921795905,-4.3853779612673506e-05,4.0404999316629034e-05,5.5174692730557776e-05,8.324624594444266e-05,-1.4573398882728523e-05,-1.3309100225307404e-06,-9.247637821941057e-05,0.0017522092093713582
