,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5
1991-09-01,29.682068,28.82193,28.901031,24.323883,23.851166
1991-10-01,29.573425,29.248413,28.830017,23.701508,20.489166
1991-11-01,29.064484,28.718994,28.452118,21.232574,17.865356
1991-12-01,28.85434,27.509552,27.542908,18.979492,15.021362
1992-01-01,28.434662,27.12442,27.18158,17.024597,12.550842
1992-02-01,28.434662,27.466858,27.019775,15.99527,11.275482
1992-03-01,28.282562,28.38379,26.825562,15.293884,9.97879
1992-04-01,28.421112,30.22107,26.95633,15.212524,10.766876
1992-05-01,28.623077,30.30194,27.667877,16.73639,13.866425
1992-06-01,28.995087,29.912994,28.430786,18.055359,18.728638
1992-07-01,29.370483,29.34967,28.628906,21.687714,22.905457
1992-08-01,29.771057,28.823608,29.206268,24.283508,25.111816
1992-09-01,29.703247,29.282318,28.784882,24.937439,23.983215
1992-10-01,29.830658,28.898712,28.918549,22.913696,19.956543
1992-11-01,29.587982,28.000183,28.175049,20.799866,17.429047
1992-12-01,28.947144,27.459106,27.516266,17.141327,14.637573
1993-01-01,28.677887,27.20932,27.022644,15.949585,12.058563
1993-02-01,28.434662,26.942688,26.621002,15.111725,10.110382
1993-03-01,28.520935,27.815643,26.779907,15.14682,10.275604
1993-04-01,28.55069,29.15213,27.164948,14.7178955,10.410126
1993-05-01,28.930359,29.935425,27.88388,15.623993,13.5095825
1993-06-01,29.053192,29.903748,28.605743,16.832275,17.762268
1993-07-01,29.063934,29.482605,28.850922,20.35968,21.569946
1993-08-01,29.612762,29.308105,28.988861,23.914398,23.559082
1993-09-01,29.547424,29.136536,29.265228,23.283691,23.142334
1993-10-01,29.67221,29.09903,29.199432,21.590912,20.529327
1993-11-01,29.507965,29.148743,28.908447,18.811676,18.202393
1993-12-01,29.276428,28.093964,27.76593,17.056,14.75592
1994-01-01,28.920319,27.268707,27.472687,15.661346,12.088928
1994-02-01,28.378937,27.688477,27.542328,15.133209,9.977814
1994-03-01,28.50055,28.243591,27.881195,14.89389,9.276581
